# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 1.035951691468616209e+00 2.621731141408885010e-03 1.752589892511227654e-01 3.505179785022455308e-01 5.120284309888353119e-02 1.024056861977670624e-01
3.344481605351170509e-03 9.961817766949641051e-01 2.183101375485191342e-03 1.707798165504987309e-01 3.415596331009974618e-01 4.672367039825950363e-02 9.344734079651900727e-02
6.688963210702341018e-03 9.535202707499477182e-01 1.820722318837201528e-03 1.667260690351927699e-01 3.334521380703855398e-01 4.266992288295353569e-02 8.533984576590707138e-02
1.003344481605351196e-02 9.080922389078744938e-01 1.525605202200370786e-03 1.631151425832840507e-01 3.262302851665681014e-01 3.905899643104480262e-02 7.811799286208960524e-02
1.337792642140468204e-02 8.600349038390948664e-01 1.289155720574350350e-03 1.599609608791578430e-01 3.199219217583156860e-01 3.590481472691859494e-02 7.180962945383718987e-02
1.672240802675585211e-02 8.094971122950045395e-01 1.103235512327872770e-03 1.572711354240706183e-01 3.145422708481412366e-01 3.321498927183136329e-02 6.642997854366272659e-02
2.006688963210702392e-02 7.566387363981139647e-01 9.602188512537883662e-04 1.550435444175629618e-01 3.100870888351259236e-01 3.098739826532373454e-02 6.197479653064746907e-02
2.341137123745819226e-02 7.016300125474059790e-01 8.530429884176276211e-04 1.532630458236803606e-01 3.065260916473607211e-01 2.920689967144112290e-02 5.841379934288224579e-02
2.675585284280936407e-02 6.446508213799394538e-01 7.752506853326349406e-04 1.518994700438408840e-01 3.037989400876817681e-01 2.784332389160164289e-02 5.568664778320328579e-02
3.010033444816053588e-02 5.858899126405350266e-01 7.210236369356206720e-04 1.509080294555686375e-01 3.018160589111372749e-01 2.685188330332941020e-02 5.370376660665882040e-02
3.344481605351170422e-02 5.255440791986770721e-01 6.852056883593787579e-04 1.502325799880270818e-01 3.004651599760541636e-01 2.617643383578784413e-02 5.235286767157568827e-02
3.678929765886287256e-02 4.638172848092692035e-01 6.633149981315010881e-04 1.498110485619068288e-01 2.996220971238136577e-01 2.575490240966758423e-02 5.150980481933516847e-02
4.013377926421404784e-02 4.009197505419876406e-01 6.515445851491971033e-04 1.495815175530474384e-01 2.991630351060948767e-01 2.552537140080819722e-02 5.105074280161639444e-02
4.347826086956521618e-02 3.370670050994569733e-01 6.467510091671231035e-04 1.494874459453509330e-01 2.989748918907018660e-01 2.543129979311169880e-02 5.086259958622339761e-02
4.682274247491638453e-02 2.724789045014334721e-01 6.464312650905180502e-04 1.494811587400535768e-01 2.989623174801071537e-01 2.542501258781434959e-02 5.085002517562869917e-02
5.016722408026755980e-02 2.073786268350059081e-01 6.486883096539325074e-04 1.495255063651290128e-01 2.990510127302580257e-01 2.546936021288977170e-02 5.093872042577954340e-02
5.351170568561872815e-02 1.419916479497684014e-01 6.521859742523431923e-04 1.495940782191146345e-01 2.991881564382292691e-01 2.553793206687540729e-02 5.107586413375081458e-02
5.685618729096989649e-02 7.654470411656436046e-02 6.560943386715002105e-04 1.496704846889163054e-01 2.993409693778326108e-01 2.561433853667707469e-02 5.122867707335414938e-02
6.020066889632107177e-02 1.126474776559874269e-02 6.600269364597369844e-04 1.497471355543572025e-01 2.994942711087144049e-01 2.569098940211795440e-02 5.138197880423590880e-02
6.354515050167224011e-02 -5.362209752743085645e-02 6.639714233490798213e-04 1.498237891051575343e-01 2.996475782103150687e-01 2.576764295291829321e-02 5.153528590583658642e-02
6.688963210702340845e-02 -1.178915766310492802e-01 6.682155561741615199e-04 1.499060118419127952e-01 2.998120236838255903e-01 2.584986568967354362e-02 5.169973137934708723e-02
7.023411371237457679e-02 -1.813223308794182087e-01 6.732704930947163270e-04 1.500036025419263785e-01 3.000072050838527571e-01 2.594745638968714782e-02 5.189491277937429564e-02
7.357859531772574513e-02 -2.436969084648779038e-01 6.797935299212142651e-04 1.501289965894510026e-01 3.002579931789020051e-01 2.607285043721177531e-02 5.214570087442355062e-02
7.692307692307692735e-02 -3.048027512589762678e-01 6.885124275321182798e-04 1.502956664895495065e-01 3.005913329790990129e-01 2.623952033731025146e-02 5.247904067462050293e-02
8.026755852842809569e-02 -3.644331522883147434e-01 7.001534586802057045e-04 1.505165592004175656e-01 3.010331184008351313e-01 2.646041304817832451e-02 5.292082609635664903e-02
8.361204013377926403e-02 -4.223881782945790864e-01 7.153752086775300905e-04 1.508026451507536170e-01 3.016052903015072340e-01 2.674649899851436891e-02 5.349299799702873781e-02
8.695652173913043237e-02 -4.784755520547125940e-01 7.347100049024458176e-04 1.511616807328824696e-01 3.023233614657649393e-01 2.710553458064322851e-02 5.421106916128645703e-02
9.030100334448160071e-02 -5.325114894211999683e-01 7.585146286189884150e-04 1.515972904389058518e-01 3.031945808778117035e-01 2.754114428666660369e-02 5.508228857333320738e-02
9.364548494983276905e-02 -5.843214863573858997e-01 7.869316854001226621e-04 1.521084488277794911e-01 3.042168976555589821e-01 2.805230267554024992e-02 5.610460535108049984e-02
9.698996655518395127e-02 -6.337410515974799541e-01 8.198626848881350069e-04 1.526893905525536221e-01 3.053787811051072443e-01 2.863324440031438448e-02 5.726648880062876895e-02
1.003344481605351196e-01 -6.806163809375934681e-01 8.569535169003336585e-04 1.533299145618638171e-01 3.066598291237276341e-01 2.927376840962457247e-02 5.854753681924914493e-02
1.036789297658862880e-01 -7.248049695735945264e-01 8.975926195378227442e-04 1.540159962776624925e-01 3.080319925553249849e-01 2.995985012542323744e-02 5.991970025084647489e-02
1.070234113712374563e-01 -7.661761593314391217e-01 9.409217284384941479e-04 1.547305936360733047e-01 3.094611872721466095e-01 3.067444748383406708e-02 6.134889496766813416e-02
