# Z qmu qsqrt 2qsqrt
1.481458459380711329e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.688083587557524967e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.674095834681265549e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.273152787376515938e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.171164834927792331e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.411802500610306987e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.902983461347153238e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.748929892937245248e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.926347503401900918e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.543189432770342040e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
