# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 6.677039153136259397e-01 3.647065271402637459e-03 1.694887222516821002e-01 3.389774445033642003e-01 6.039093699722365705e-02 1.207818739944473141e-01
3.344481605351170509e-03 7.354235852119602734e-01 2.553639687182649234e-03 1.596313353690372583e-01 3.192626707380745166e-01 5.053355011457882212e-02 1.010671002291576442e-01
6.688963210702341018e-03 7.899224012522304550e-01 1.851212948004682867e-03 1.521235095133791904e-01 3.042470190267583807e-01 4.302572425892076807e-02 8.605144851784153615e-02
1.003344481605351196e-02 8.305108306085637881e-01 1.430064778401626347e-03 1.469139825566942448e-01 2.938279651133884895e-01 3.781619730223580167e-02 7.563239460447160334e-02
1.337792642140468204e-02 8.567683115272306527e-01 1.200028885541534968e-03 1.437392183302065307e-01 2.874784366604130614e-01 3.464143307574810843e-02 6.928286615149621686e-02
1.672240802675585211e-02 8.685496289472878217e-01 1.090460444727270545e-03 1.421199057909604824e-01 2.842398115819209647e-01 3.302212053650205315e-02 6.604424107300410629e-02
2.006688963210702392e-02 8.659837165790489344e-01 1.049012203248740963e-03 1.414862431252608133e-01 2.829724862505216265e-01 3.238845787080238403e-02 6.477691574160476806e-02
2.341137123745819226e-02 8.494649488246924784e-01 1.039504823631371344e-03 1.413391379498924461e-01 2.826782758997848921e-01 3.224135269543403071e-02 6.448270539086806141e-02
2.675585284280936407e-02 8.196372511233911418e-01 1.039211820721345656e-03 1.413345937305055811e-01 2.826691874610111621e-01 3.223680847604715183e-02 6.447361695209430366e-02
3.010033444816053588e-02 7.773716114217913420e-01 1.035880286721398017e-03 1.412828794242973474e-01 2.825657588485946947e-01 3.218509416983890425e-02 6.437018833967780851e-02
3.344481605351170422e-02 7.237378077247069719e-01 1.024779017959447482e-03 1.411099550959335203e-01 2.822199101918670405e-01 3.201216984147509104e-02 6.402433968295018207e-02
3.678929765886287256e-02 6.599713670919933328e-01 1.006012160594900798e-03 1.408154800098296300e-01 2.816309600196592600e-01 3.171769475537118688e-02 6.343538951074237375e-02
4.013377926421404784e-02 5.874369314020283506e-01 9.822676112144510061e-04 1.404389341040850336e-01 2.808778682081700673e-01 3.134114884962660441e-02 6.268229769925320882e-02
4.347826086956521618e-02 5.075893178698624997e-01 9.570945086006106507e-04 1.400347293278573213e-01 2.800694586557146426e-01 3.093694407339888860e-02 6.187388814679777721e-02
