# Z qmu qsqrt 2qsqrt
9.192263854618022423e-01 -4.962560445800594522e-01 2.963682242181484017e-02 5.927364484362968033e-02
9.191569645182717796e-01 -4.967355562251352663e-01 1.406450941159784933e-03 2.812901882319569866e-03
9.192484461330404644e-01 -4.961385674420061287e-01 1.243110493032754341e-03 2.486220986065508683e-03
3.151056279431424523e-01 6.752570629515814993e-01 2.899567707143158382e-02 5.799135414286316764e-02
3.150943981898293167e-01 6.752933714344587779e-01 1.396840258177168333e-03 2.793680516354336667e-03
9.192238099913850879e-01 -4.963393633896354684e-01 1.157161413942928412e-03 2.314322827885856824e-03
3.145735921331309637e-01 6.711333948020411500e-01 1.376548329140591526e-03 2.753096658281183051e-03
9.189470117392594117e-01 -4.981015644609003146e-01 1.157754723084880588e-03 2.315509446169761176e-03
6.569585548679220122e-02 -1.007199142613256909e-01 2.975600025123971426e-02 5.951200050247942852e-02
3.149745409359256398e-01 6.742470312397247367e-01 1.147736798529978581e-03 2.295473597059957162e-03
3.135243749215081976e-01 6.629900417102808641e-01 1.815394501157847765e-03 3.630789002315695530e-03
6.563746684807678089e-02 -9.931577653118384141e-02 1.461486462286581750e-03 2.922972924573163499e-03
3.143219155120999808e-01 6.691554466281101066e-01 1.139080365897107098e-03 2.278160731794214196e-03
3.139842188550504010e-01 6.664745233860950302e-01 1.174688437274770333e-03 2.349376874549540667e-03
3.163835111073419748e-01 6.850740132053938503e-01 1.516398135499252842e-03 3.032796270998505683e-03
6.545146934905635150e-02 -9.414260985231497070e-02 1.248876180150738620e-03 2.497752360301477240e-03
9.192032749513967538e-01 -4.964509153956422338e-01 1.057316255093321668e-03 2.114632510186643336e-03
3.166434969622655138e-01 6.873325427972691859e-01 1.411239341968106506e-03 2.822478683936213012e-03
3.123087043116063999e-01 6.534070702291120414e-01 1.364694613904890745e-03 2.729389227809781489e-03
3.110489959235606117e-01 6.431310541748257448e-01 1.473122636218747060e-03 2.946245272437494119e-03
3.158119398447130632e-01 6.807322233053348937e-01 1.078001786475374282e-03 2.156003572950748563e-03
6.578412320054265183e-02 -1.031337033366645645e-01 1.187911735893869324e-03 2.375823471787738648e-03
6.524270296000642122e-02 -8.821225611591411442e-02 1.326914227171129782e-03 2.653828454342259564e-03
3.158623908013723502e-01 6.810639560818411153e-01 1.064096861856917700e-03 2.128193723713835400e-03
3.159201899678523162e-01 6.815795489719365108e-01 1.061827254062713789e-03 2.123654508125427578e-03
6.651293101793262497e-02 -1.227498118269733651e-01 1.509028668965742975e-03 3.018057337931485951e-03
9.188694933846907054e-01 -4.986155856118991703e-01 1.118882170223439373e-03 2.237764340446878747e-03
3.169424038903861929e-01 6.893539826478324306e-01 1.109367797521379007e-03 2.218735595042758014e-03
