# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 1.088099459042248141e+00 1.005838756628821447e-02 2.296987115601427931e-01 4.593974231202855862e-01 1.002915129324920274e-01 2.005830258649840547e-01
3.344481605351170509e-03 1.038276508791360797e+00 8.087368146984713624e-03 2.193369942850674215e-01 4.386739885701348429e-01 8.992979565741664183e-02 1.798595913148332837e-01
6.688963210702341018e-03 9.863782372240947893e-01 6.410611670829887386e-03 2.094734941010263918e-01 4.189469882020527836e-01 8.006629547337561215e-02 1.601325909467512243e-01
1.003344481605351196e-02 9.325187665151661864e-01 5.004959691119832167e-03 2.001529383659546579e-01 4.003058767319093159e-01 7.074573973830390605e-02 1.414914794766078121e-01
1.337792642140468204e-02 8.768209289164980991e-01 3.846571137457786491e-03 1.914279301410551082e-01 3.828558602821102164e-01 6.202073151340434243e-02 1.240414630268086849e-01
1.672240802675585211e-02 8.194159087195499458e-01 2.911244620276169735e-03 1.833631493678255509e-01 3.667262987356511017e-01 5.395595074017479897e-02 1.079119014803495979e-01
2.006688963210702392e-02 7.604428363968367410e-01 2.174736141948047097e-03 1.760412649520455008e-01 3.520825299040910017e-01 4.663406632439473509e-02 9.326813264878947018e-02
2.341137123745819226e-02 7.000483362888046956e-01 1.613066822116314284e-03 1.695702017787637794e-01 3.391404035575275588e-01 4.016300315111302061e-02 8.032600630222604121e-02
2.675585284280936407e-02 6.383860295259219386e-01 1.202815455377405363e-03 1.640888285688372750e-01 3.281776571376745499e-01 3.468162994118652309e-02 6.936325988237304618e-02
3.010033444816053588e-02 5.756159941943391756e-01 9.213910414754097238e-04 1.597616223822768688e-01 3.195232447645537377e-01 3.035442375462610656e-02 6.070884750925221313e-02
3.344481605351170422e-02 5.119041850640637659e-01 7.472808560231424674e-04 1.567436368744879460e-01 3.134872737489758920e-01 2.733643824683717680e-02 5.467287649367435359e-02
3.678929765886287256e-02 4.474218154989562102e-01 6.602701549892741467e-04 1.551029211313920131e-01 3.102058422627840262e-01 2.569572250374124386e-02 5.139144500748248773e-02
4.013377926421404784e-02 3.823447044551006035e-01 6.416302178139585144e-04 1.547376194258522630e-01 3.094752388517045261e-01 2.533042079820148687e-02 5.066084159640297374e-02
4.347826086956521618e-02 3.168525917461751940e-01 6.742721185906242571e-04 1.553739488785124412e-01 3.107478977570248824e-01 2.596675025086166502e-02 5.193350050172333005e-02
4.682274247491638453e-02 2.511284250084842573e-01 7.428643568722154622e-04 1.566627367230950529e-01 3.133254734461901059e-01 2.725553809544429759e-02 5.451107619088859518e-02
5.016722408026755980e-02 1.853576220325001411e-01 8.339132620737611671e-04 1.582847550006155901e-01 3.165695100012311802e-01 2.887755637296482089e-02 5.775511274592964178e-02
5.351170568561872815e-02 1.197273123394751587e-01 9.358058897103672859e-04 1.599981431980684599e-01 3.199962863961369197e-01 3.059094457041768716e-02 6.118188914083537433e-02
5.685618729096989649e-02 5.442556206927492979e-02 1.038815934468394382e-03 1.616378662358216312e-01 3.232757324716432623e-01 3.223066760817085846e-02 6.446133521634171692e-02
6.020066889632107177e-02 -1.035941359308602608e-02 1.135073974713561931e-03 1.630980575468526095e-01 3.261961150937052190e-01 3.369085891920183679e-02 6.738171783840367357e-02
6.354515050167224011e-02 -7.444004609104776238e-02 1.218504116006800765e-03 1.643142769357360811e-01 3.286285538714721621e-01 3.490707830808532225e-02 6.981415661617064450e-02
6.688963210702340845e-02 -1.376302128048054740e-01 1.284729798788072225e-03 1.652503262644526572e-01 3.305006525289053143e-01 3.584312763680189834e-02 7.168625527360379668e-02
7.023411371237457679e-02 -1.997460354549560058e-01 1.330952160100914126e-03 1.658894156669277753e-01 3.317788313338555506e-01 3.648221703927701648e-02 7.296443407855403296e-02
7.357859531772574513e-02 -2.606066730196952563e-01 1.355804875316188405e-03 1.662284543818505211e-01 3.324569087637010423e-01 3.682125575419975538e-02 7.364251150839951077e-02
7.692307692307692735e-02 -3.200351045736476996e-01 1.359189839753552950e-03 1.662743905434117542e-01 3.325487810868235083e-01 3.686719191576099536e-02 7.373438383152199072e-02
8.026755852842809569e-02 -3.778588974787502885e-01 1.342098370988300746e-03 1.660418594147837767e-01 3.320837188295675535e-01 3.663466078713300406e-02 7.326932157426600811e-02
8.361204013377926403e-02 -4.339109564131610752e-01 1.306422812538442137e-03 1.655516700242342654e-01 3.311033400484685307e-01 3.614447139658349267e-02 7.228894279316698535e-02
8.695652173913043237e-02 -4.880302488121506244e-01 1.254763493862000659e-03 1.648298396057314430e-01 3.296596792114628860e-01 3.542264097808068418e-02 7.084528195616136836e-02
9.030100334448160071e-02 -5.400625024157847953e-01 1.190235948849685879e-03 1.639069949871901355e-01 3.278139899743802710e-01 3.449979635953936974e-02 6.899959271907873948e-02
9.364548494983276905e-02 -5.898608707706145537e-01 1.116283117486790728e-03 1.628180219860594913e-01 3.256360439721189826e-01 3.341082335840873246e-02 6.682164671681746493e-02
9.698996655518395127e-02 -6.372865627161703461e-01 1.036496958698412572e-03 1.616018714587017513e-01 3.232037429174035026e-01 3.219467283105098554e-02 6.438934566210197108e-02
1.003344481605351196e-01 -6.822094321002424300e-01 9.544534955874517911e-04 1.603014294092619529e-01 3.206028588185239059e-01 3.089423078161118025e-02 6.178846156322236050e-02
1.036789297658862880e-01 -7.245085242086969357e-01 8.735648093657044080e-04 1.589633284379913802e-01 3.179266568759827605e-01 2.955612981034060061e-02 5.911225962068120121e-02
1.070234113712374563e-01 -7.640725756637797295e-01 7.969509101553167189e-04 1.576375176154928281e-01 3.152750352309856563e-01 2.823031898784207280e-02 5.646063797568414561e-02
1.103678929765886246e-01 -8.008004648380274704e-01 7.273337586558356735e-04 1.563763246545696872e-01 3.127526493091393744e-01 2.696912602691892494e-02 5.393825205383784988e-02
1.137123745819397930e-01 -8.346016101465639769e-01 6.669550115558573996e-04 1.552326707734965616e-01 3.104653415469931232e-01 2.582547214584580281e-02 5.165094429169160561e-02
1.170568561872909613e-01 -8.653963139164987384e-01 6.175183358728786147e-04 1.542571148422555716e-01 3.085142296845111431e-01 2.484991621460480235e-02 4.969983242920960470e-02
1.204013377926421435e-01 -8.931160498858385921e-01 5.801564042633230870e-04 1.534936347331297690e-01 3.069872694662595380e-01 2.408643610547901368e-02 4.817287221095802735e-02
1.237458193979933119e-01 -9.177036927530125565e-01 5.554219659336215613e-04 1.529745906329962324e-01 3.059491812659924648e-01 2.356739200534547010e-02 4.713478401069094020e-02
1.270903010033444802e-01 -9.391136885789294064e-01 5.433017067599500921e-04 1.527160318622841628e-01 3.054320637245683256e-01 2.330883323463339013e-02 4.661766646926678026e-02
1.304347826086956486e-01 -9.573121652336566978e-01 5.432509870505308324e-04 1.527149438435769779e-01 3.054298876871539559e-01 2.330774521592620524e-02 4.661549043185241048e-02
1.337792642140468169e-01 -9.722769824759101009e-01 5.542469937525946371e-04 1.529496495143489176e-01 3.058992990286978353e-01 2.354245088669815189e-02 4.708490177339630378e-02
1.371237458193979852e-01 -9.839977216530272353e-01 5.748573811767838373e-04 1.533833822517554069e-01 3.067667645035108137e-01 2.397618362410464804e-02 4.795236724820929608e-02
1.404682274247491536e-01 -9.924756154080466297e-01 6.033211131141379352e-04 1.539697944414921416e-01 3.079395888829842831e-01 2.456259581384137580e-02 4.912519162768275161e-02
1.438127090301003219e-01 -9.977234181767485888e-01 6.376379688330996096e-04 1.546586930157676787e-01 3.093173860315353574e-01 2.525149438811690600e-02 5.050298877623381200e-02
1.471571906354514903e-01 -9.997652186468339863e-01 6.756630419043417168e-04 1.554007178565728342e-01 3.108014357131456684e-01 2.599351922892207539e-02 5.198703845784415079e-02
1.505016722408026864e-01 -9.986361957316313154e-01 7.152025462316261885e-04 1.561504696734975495e-01 3.123009393469950989e-01 2.674327104584676984e-02 5.348654209169353968e-02
1.538461538461538547e-01 -9.943823199784623812e-01 7.541073465976393239e-04 1.568682136598311960e-01 3.137364273196623921e-01 2.746101503218042680e-02 5.492203006436085361e-02
1.571906354515050230e-01 -9.870600026838605157e-01 7.903608463116084011e-04 1.575205557077223040e-01 3.150411114154446079e-01 2.811335708007153822e-02 5.622671416014307644e-02
1.605351170568561914e-01 -9.767356953222456895e-01 8.221581833730885486e-04 1.580804995079660435e-01 3.161609990159320871e-01 2.867330088031527086e-02 5.734660176063054171e-02
1.638795986622073597e-01 -9.634854422079414116e-01 8.479740970753796726e-04 1.585271934263347005e-01 3.170543868526694009e-01 2.911999479868393817e-02 5.823998959736787634e-02
1.672240802675585281e-01 -9.473943896008020227e-01 8.666173143293384642e-04 1.588455632957049002e-01 3.176911265914098004e-01 2.943836466805414137e-02 5.887672933610828274e-02
1.705685618729096964e-01 -9.285562547306152048e-01 8.772698520520096424e-04 1.590259401953137974e-01 3.180518803906275949e-01 2.961874156766302821e-02 5.923748313532605642e-02
1.739130434782608647e-01 -9.070727584530275944e-01 8.795102198027101182e-04 1.590637361835204600e-01 3.181274723670409199e-01 2.965653755586970114e-02 5.931307511173940228e-02
1.772575250836120331e-01 -8.830530254581082650e-01 8.733201153509503835e-04 1.589591886681023525e-01 3.179183773362047050e-01 2.955199004045159714e-02 5.910398008090319427e-02
1.806020066889632014e-01 -8.566129561305965145e-01 8.590748143893409388e-04 1.587171766963791919e-01 3.174343533927583838e-01 2.930997806872841921e-02 5.861995613745683842e-02
1.839464882943143698e-01 -8.278745743066380225e-01 8.375180437580310392e-04 1.583471026316040364e-01 3.166942052632080729e-01 2.893990400395327761e-02 5.787980800790655522e-02
1.872909698996655381e-01 -7.969653552850759493e-01 8.097226757312162319e-04 1.578628250612968131e-01 3.157256501225936263e-01 2.845562643364605779e-02 5.691125286729211558e-02
1.906354515050167064e-01 -7.640175385309802003e-01 7.770390710559472438e-04 1.572826191815356323e-01 3.145652383630712645e-01 2.787542055388487344e-02 5.575084110776974688e-02
1.939799331103679025e-01 -7.291674295546937135e-01 7.410333145929638666e-04 1.566291257194817876e-01 3.132582514389635753e-01 2.722192709183102535e-02 5.444385418366205071e-02
1.973244147157190709e-01 -6.925546954616830231e-01 7.034179162571679205e-04 1.559292256289409873e-01 3.118584512578819745e-01 2.652202700129022844e-02 5.304405400258045689e-02
2.006688963210702392e-01 -6.543216586464258855e-01 6.659777812838527144e-04 1.552137439463069091e-01 3.104274878926138181e-01 2.580654531865613291e-02 5.161309063731226582e-02
2.040133779264214076e-01 -6.146125930483384847e-01 6.304943808172952307e-04 1.545168457939750106e-01 3.090336915879500213e-01 2.510964716632424487e-02 5.021929433264848974e-02
2.073578595317725759e-01 -5.735730273000855250e-01 5.986710732764832441e-04 1.538749544151455373e-01 3.077499088302910746e-01 2.446775578749475766e-02 4.893551157498951532e-02
2.107023411371237442e-01 -5.313490589795785146e-01 5.720624395111453863e-04 1.533250254417897473e-01 3.066500508835794947e-01 2.391782681413897466e-02 4.783565362827794931e-02
2.140468227424749126e-01 -4.880866840274867835e-01 5.520103045977338852e-04 1.529020981719717287e-01 3.058041963439434574e-01 2.349489954432097336e-02 4.698979908864194671e-02
2.173913043478260809e-01 -4.439311452145393577e-01 5.395888341996337659e-04 1.526362501407804717e-01 3.052725002815609434e-01 2.322905151312971289e-02 4.645810302625942578e-02
2.207357859531772493e-01 -3.990263033380923030e-01 5.355607246853681669e-04 1.525493835868409476e-01 3.050987671736818951e-01 2.314218495919017834e-02 4.628436991838035669e-02
2.240802675585284176e-01 -3.535140345980719578e-01 5.403460677217917498e-04 1.526525437040696653e-01 3.053050874081393307e-01 2.324534507641888570e-02 4.649069015283777140e-02
2.274247491638795859e-01 -3.075336573504093840e-01 5.540049780827681824e-04 1.529445089685280423e-01 3.058890179370560847e-01 2.353731034087727311e-02 4.707462068175454623e-02
2.307692307692307543e-01 -2.612213911638640029e-01 5.762345461463579685e-04 1.534120845083701001e-01 3.068241690167402003e-01 2.400488588071932397e-02 4.800977176143864794e-02
2.341137123745819226e-01 -2.147098508160009134e-01 6.063801331560595342e-04 1.540319855943650118e-01 3.080639711887300236e-01 2.462478696671423911e-02 4.924957393342847822e-02
2.374581939799331187e-01 -1.681275775591306865e-01 6.434604876627233495e-04 1.547737215991327464e-01 3.095474431982654928e-01 2.536652297148198759e-02 5.073304594296397518e-02
2.408026755852842871e-01 -1.215986096692934920e-01 6.862056450259894965e-04 1.556027258226890253e-01 3.112054516453780506e-01 2.619552719503826996e-02 5.239105439007653992e-02
2.441471571906354554e-01 -7.524209396443733155e-02 7.331060971596543158e-04 1.564831306921181664e-01 3.129662613842363328e-01 2.707593206446740758e-02 5.415186412893481516e-02
2.474916387959866237e-01 -2.917193964384753868e-02 7.824713037474696374e-04 1.573798871603511729e-01 3.147597743207023457e-01 2.797268853270042099e-02 5.594537706540084199e-02
2.508361204013377921e-01 1.650348453680131056e-02 8.324952738834010295e-04 1.582601928203407338e-01 3.165203856406814675e-01 2.885299419268996801e-02 5.770598838537993602e-02
2.541806020066889604e-01 6.168160907945025723e-02 8.813266905244672347e-04 1.590943455185944433e-01 3.181886910371888866e-01 2.968714689094368447e-02 5.937429378188736895e-02
2.575250836120401288e-01 1.062658782084818093e-01 9.271408883971220521e-04 1.598561869260675394e-01 3.197123738521350789e-01 3.044898829841678062e-02 6.089797659683356124e-02
2.608695652173912971e-01 1.501659199808780543e-01 9.682109345220345741e-04 1.605232866613678921e-01 3.210465733227357843e-01 3.111608803371713333e-02 6.223217606743426666e-02
2.642140468227424654e-01 1.932976723618358150e-01 1.002975101246124899e-03 1.610769807747720883e-01 3.221539615495441766e-01 3.166978214712132950e-02 6.333956429424265899e-02
2.675585284280936338e-01 2.355834659017331523e-01 1.030098162879345119e-03 1.615023409840782298e-01 3.230046819681564596e-01 3.209514235642747793e-02 6.419028471285495585e-02
2.709030100334448021e-01 2.769520639542136786e-01 1.048524183093113051e-03 1.617881217629338897e-01 3.235762435258677794e-01 3.238092313528311006e-02 6.476184627056622012e-02
2.742474916387959705e-01 3.173386616643819047e-01 1.057518782472521152e-03 1.619267124996710827e-01 3.238534249993421654e-01 3.251951387202031002e-02 6.503902774404062004e-02
2.775919732441471388e-01 3.566848452290296567e-01 1.056699271909197118e-03 1.619141097683481634e-01 3.238282195366963268e-01 3.250691114069740456e-02 6.501382228139480912e-02
2.809364548494983072e-01 3.949385131850717268e-01 1.046051493177312455e-03 1.617499179502017437e-01 3.234998359004034874e-01 3.234271932255097792e-02 6.468543864510195585e-02
2.842809364548494755e-01 4.320537617167964917e-01 1.025932706342468689e-03 1.614373829284391215e-01 3.228747658568782430e-01 3.203018430078835577e-02 6.406036860157671153e-02
2.876254180602006438e-01 4.679907361846843972e-01 9.970603861264902903e-04 1.609834616447731459e-01 3.219669232895462918e-01 3.157626301712237321e-02 6.315252603424474642e-02
2.909698996655518122e-01 5.027154512685251264e-01 9.604873168294896131e-04 1.603989284410943794e-01 3.207978568821887588e-01 3.099172981344361019e-02 6.198345962688722038e-02
2.943143812709029805e-01 5.361995822825971203e-01 9.175638884354041670e-04 1.596985156745439893e-01 3.193970313490879787e-01 3.029131704689322704e-02 6.058263409378645409e-02
2.976588628762541489e-01 5.684202303615160101e-01 8.698889763323058855e-04 1.589010789476816565e-01 3.178021578953633131e-01 2.949388032003089771e-02 5.898776064006179543e-02
3.010033444816053727e-01 5.993596643302445681e-01 8.192512157830460608e-04 1.580297634285739439e-01 3.160595268571478877e-01 2.862256480092317118e-02 5.724512960184634236e-02
3.043478260869565410e-01 6.290050421610560161e-01 7.675628443853418741e-04 1.571121231788084882e-01 3.142242463576169764e-01 2.770492455115772246e-02 5.540984910231544491e-02
3.076923076923077094e-01 6.573481149832680615e-01 7.167885676451119003e-04 1.561801059715518247e-01 3.123602119431036495e-01 2.677290734390106938e-02 5.354581468780213876e-02
3.110367892976588777e-01 6.843849166490673097e-01 6.688720941432011987e-04 1.552697602591520121e-01 3.105395205183040241e-01 2.586256163150126020e-02 5.172512326300252039e-02
3.143812709030100461e-01 7.101154418702549931e-01 6.256630804724134989e-04 1.544204567215579638e-01 3.088409134431159275e-01 2.501325809390718760e-02 5.002651618781437520e-02
3.177257525083612144e-01 7.345433159275812640e-01 5.888472185373516080e-04 1.536733729972820650e-01 3.073467459945641300e-01 2.426617436963131313e-02 4.853234873926262627e-02
3.210702341137123828e-01 7.576754589167543630e-01 5.598820891412588721e-04 1.530690263072967128e-01 3.061380526145934255e-01 2.366182767964594355e-02 4.732365535929188710e-02
