# Z qmu qsqrt 2qsqrt
5.520909983853579117e-01 1.012157362340127126e-01 2.289206541293974800e-02 4.578413082587949601e-02
8.857059077975569794e-01 -6.895468378707206858e-01 2.378673209816280221e-02 4.757346419632560441e-02
1.262735587113855695e-01 -9.341971256972088078e-01 2.332545656408197346e-02 4.665091312816394692e-02
2.204831778283847799e-01 -4.024314126377223078e-01 2.299741005177940653e-02 4.599482010355881306e-02
4.379824430974649796e-01 8.861384197209499769e-01 2.282842619385797370e-02 4.565685238771594739e-02
6.661465667745207764e-01 -7.228172575517710641e-01 2.278938516091016941e-02 4.557877032182033883e-02
3.686946063039736599e-02 4.458790015792680195e-01 2.551068317056236212e-02 5.102136634112472424e-02
9.739605929212356017e-01 -1.497079603480570009e-01 2.923080133727109370e-02 5.846160267454218740e-02
3.295360777830764754e-01 8.105085265823803731e-01 2.288908808395254124e-02 4.577817616790508248e-02
7.749093263820432398e-01 -9.897200788742804844e-01 2.288847060387132551e-02 4.577694120774265102e-02
