# Y X a0 a1 a2 a3
0.000000000000000000e+00 -1.000000000000000000e+00 8.059885333799739204e-02 8.752402691787642963e-01 3.156425424206758118e-02 1.259662324117066107e-02
0.000000000000000000e+00 -9.859719438877755371e-01 8.174837188583269909e-02 8.740680961305761221e-01 3.160750342805744573e-02 1.257602855553390311e-02
0.000000000000000000e+00 -9.719438877755510742e-01 8.297632250926226249e-02 8.728070472049149764e-01 3.164945971582847767e-02 1.256717056999433202e-02
0.000000000000000000e+00 -9.579158316633266113e-01 8.415475717621839769e-02 8.716138536440599660e-01 3.167871406666826484e-02 1.255267511305333678e-02
9.830895332428560840e-01 -9.438877755511021483e-01 8.538853450162849079e-02 8.703813326762644964e-01 3.169319305997533864e-02 1.253693976213171926e-02
2.203747184671945192e+00 -9.298597194388777964e-01 8.666407878803972231e-02 8.690648690509443774e-01 3.173225918370548709e-02 1.253879297731022753e-02
2.116520019320253798e+00 -9.158316633266533335e-01 8.793141982016676461e-02 8.677395364652886744e-01 3.179124724262623325e-02 1.253779647191848902e-02
0.000000000000000000e+00 -9.018036072144288706e-01 8.922290507439772922e-02 8.664569003342389442e-01 3.178978483520612797e-02 1.253040975615720559e-02
0.000000000000000000e+00 -8.877755511022044077e-01 9.057145991067507007e-02 8.650256819079054083e-01 3.186436659859350623e-02 1.253849158282583330e-02
1.200785559070016273e+00 -8.737474949899799448e-01 9.191466020400893000e-02 8.636733124099549297e-01 3.188240138953416652e-02 1.252962599650209174e-02
4.119030033726817641e-01 -8.597194388777554819e-01 9.345930296177210050e-02 8.619933997611736176e-01 3.198661490416594005e-02 1.256068237288818050e-02
5.282305639914236517e-02 -8.456913827655310190e-01 9.482056411565986664e-02 8.606232128858954944e-01 3.199821721227725374e-02 1.255800578616728808e-02
0.000000000000000000e+00 -8.316633266533066671e-01 9.624740062982292677e-02 8.591273417121414457e-01 3.205246442921172445e-02 1.257279322882372437e-02
0.000000000000000000e+00 -8.176352705410820931e-01 9.774496445017179236e-02 8.575666048687541343e-01 3.209403961345793505e-02 1.259439106761630484e-02
0.000000000000000000e+00 -8.036072144288577412e-01 9.927421101243685819e-02 8.559442080177092071e-01 3.216826484045601925e-02 1.261331612939804898e-02
0.000000000000000000e+00 -7.895791583166332783e-01 1.008641506273785377e-01 8.542597044944622020e-01 3.224172446292690453e-02 1.263442041523243214e-02
0.000000000000000000e+00 -7.755511022044088154e-01 1.025149140153715360e-01 8.525146697515005867e-01 3.230018571254045928e-02 1.267023052058748739e-02
5.555107632257505479e-02 -7.615230460921843525e-01 1.040735320001005132e-01 8.508704278223291340e-01 3.236380582159079783e-02 1.269223435597949257e-02
0.000000000000000000e+00 -7.474949899799598896e-01 1.057382729163214158e-01 8.491015662840848410e-01 3.244904759769881575e-02 1.271111320189477305e-02
0.000000000000000000e+00 -7.334669338677355377e-01 1.074551150097240726e-01 8.473211270823587382e-01 3.247788928388076896e-02 1.274586862403636472e-02
0.000000000000000000e+00 -7.194388777555109638e-01 1.092132289653239136e-01 8.454518838078108889e-01 3.254641713496372185e-02 1.278847009190147398e-02
7.615484602454128948e-01 -7.054108216432866119e-01 1.108856344075862671e-01 8.436497275764526238e-01 3.263886220497847629e-02 1.282577581098246974e-02
1.600336151682201002e+00 -6.913827655310621489e-01 1.127972576746186367e-01 8.416218912421986609e-01 3.271649568681835041e-02 1.286435539636441791e-02
0.000000000000000000e+00 -6.773547094188376860e-01 1.144864491435842319e-01 8.398605659882100172e-01 3.275699422671879413e-02 1.289599064148704531e-02
0.000000000000000000e+00 -6.633266533066132231e-01 1.163869495192867004e-01 8.377884577927569021e-01 3.286557803075245560e-02 1.295901465720401650e-02
4.712000162786505464e-01 -6.492985971943887602e-01 1.182423347508431977e-01 8.358001912987538251e-01 3.295193167882801838e-02 1.300554227157501609e-02
0.000000000000000000e+00 -6.352705410821642973e-01 1.201795171744012153e-01 8.337790852148856402e-01 3.299765527826473838e-02 1.304374233244842696e-02
0.000000000000000000e+00 -6.212424849699398344e-01 1.221458806987499729e-01 8.316268933785426754e-01 3.312551266698327002e-02 1.310171325572414593e-02
1.311619869954050444e+00 -6.072144288577154825e-01 1.242247907184919620e-01 8.294298052362304441e-01 3.318294630715921956e-02 1.316245773811829285e-02
8.039173000368614597e-01 -5.931863727454909085e-01 1.262035853942185815e-01 8.272879979266277717e-01 3.328281772136244820e-02 1.322559895779129059e-02
1.739729259946977358e+00 -5.791583166332665567e-01 1.283396812441151835e-01 8.249998041032968743e-01 3.337175693092447881e-02 1.328875772166362469e-02
9.143987016986525607e-01 -5.651302605210420937e-01 1.303707680789102097e-01 8.228123158751405875e-01 3.346970744875833043e-02 1.334720859719087938e-02
2.635483659327952477e+00 -5.511022044088176308e-01 1.325623389612081704e-01 8.204790178198595463e-01 3.354736252295929810e-02 1.341128069597300257e-02
1.563398129105018519e+00 -5.370741482965931679e-01 1.347304701352402267e-01 8.181571189046994430e-01 3.363483775806221099e-02 1.347757320199820079e-02
0.000000000000000000e+00 -5.230460921843687050e-01 1.369646658811388973e-01 8.157639616620626644e-01 3.372132747959491472e-02 1.355004497720354271e-02
0.000000000000000000e+00 -5.090180360721443531e-01 1.391838919927176066e-01 8.133918939514112045e-01 3.379564152364493423e-02 1.362857253222618872e-02
