# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
0.000000000000000000e+00 -1.000000000000000000e+00 -5.356649889908333684e-01 1.285191700168331758e-02 2.570383400336663515e-02 1.133662957041611935e-01 2.267325914083223870e-01 1.181920630883218429e-02 2.363841261766436858e-02 1.087161731704725937e-01 2.174323463409451873e-01 2.467112331051550186e-02 4.934224662103100373e-02 1.570704406007556175e-01 3.141408812015112351e-01
0.000000000000000000e+00 -9.859719438877755371e-01 -5.260085667914573548e-01 1.275001714458099712e-02 2.550003428916199424e-02 1.129159738238173089e-01 2.258319476476346177e-01 1.215532400726100463e-02 2.431064801452200927e-02 1.102511859675940342e-01 2.205023719351880684e-01 2.490534115184200176e-02 4.981068230368400351e-02 1.578142615603608800e-01 3.156285231207217601e-01
0.000000000000000000e+00 -9.719438877755510742e-01 -5.163109198622306550e-01 1.264832078064559787e-02 2.529664156129119573e-02 1.124647535036893131e-01 2.249295070073786262e-01 1.245926273745049696e-02 2.491852547490099393e-02 1.116210676236815830e-01 2.232421352473631659e-01 2.510758351809609656e-02 5.021516703619219313e-02 1.584537267409514005e-01 3.169074534819028011e-01
0.000000000000000000e+00 -9.579158316633266113e-01 -5.065722542543524831e-01 1.254683081849577476e-02 2.509366163699154953e-02 1.120126368696665181e-01 2.240252737393330362e-01 1.281924955603287210e-02 2.563849911206574420e-02 1.132221248521368823e-01 2.264442497042737645e-01 2.536608037452864686e-02 5.073216074905729372e-02 1.592673236245547297e-01 3.185346472491094594e-01
9.830895332428560840e-01 -9.438877755511021483e-01 -4.967927775474305641e-01 1.244555015444039764e-02 2.489110030888079528e-02 1.115596260052909849e-01 2.231192520105819699e-01 1.313335601152905083e-02 2.626671202305810165e-02 1.146008551954524057e-01 2.292017103909048115e-01 2.557890616596944847e-02 5.115781233193889693e-02 1.599340681842660039e-01 3.198681363685320078e-01
2.203747184671945192e+00 -9.298597194388777964e-01 -4.869726988429738945e-01 1.234448167234459236e-02 2.468896334468918471e-02 1.111057229504609778e-01 2.222114459009219556e-01 1.349319351708229246e-02 2.698638703416458492e-02 1.161602062544755121e-01 2.323204125089510241e-01 2.583767518942688482e-02 5.167535037885376964e-02 1.607410190008352613e-01 3.214820380016705226e-01
2.116520019320253798e+00 -9.158316633266533335e-01 -4.771122287572118204e-01 1.224362824349169848e-02 2.448725648698339696e-02 1.106509297000784348e-01 2.213018594001568695e-01 1.383500039655347243e-02 2.767000079310694485e-02 1.176222784873404564e-01 2.352445569746809129e-01 2.607862864004516917e-02 5.215725728009033835e-02 1.614887879700791229e-01 3.229775759401582458e-01
0.000000000000000000e+00 -9.018036072144288706e-01 -4.672115794141435963e-01 1.214299272644306198e-02 2.428598545288612395e-02 1.101952482026473806e-01 2.203904964052947613e-01 1.422807156136805286e-02 2.845614312273610572e-02 1.192814803788419253e-01 2.385629607576838507e-01 2.637106428781111483e-02 5.274212857562222967e-02 1.623917001814166317e-01 3.247834003628332633e-01
0.000000000000000000e+00 -8.877755511022044077e-01 -4.572709644383610161e-01 1.204257796690680338e-02 2.408515593381360675e-02 1.097386803588725618e-01 2.194773607177451236e-01 1.460981091335839671e-02 2.921962182671679342e-02 1.208710507663369182e-01 2.417421015326738365e-01 2.665238888026520009e-02 5.330477776053040018e-02 1.632555937181486005e-01 3.265111874362972011e-01
1.200785559070016273e+00 -8.737474949899799448e-01 -4.472905989478297428e-01 1.194238679759984656e-02 2.388477359519969312e-02 1.092812280201858194e-01 2.185624560403716388e-01 1.502425624153821623e-02 3.004851248307643247e-02 1.225734728297204479e-01 2.451469456594408958e-01 2.696664303913806279e-02 5.393328607827612559e-02 1.642152338826640690e-01 3.284304677653281379e-01
4.119030033726817641e-01 -8.597194388777554819e-01 -4.372706995467101621e-01 1.184242203811494351e-02 2.368484407622988702e-02 1.088228929872522011e-01 2.176457859745044021e-01 1.543420822694346363e-02 3.086841645388692726e-02 1.242344888786663104e-01 2.484689777573326208e-01 2.727663026505840888e-02 5.455326053011681775e-02 1.651563812423195721e-01 3.303127624846391441e-01
