# Y X drop drop_diff a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 -2.991122224837994281e-04 -2.991122224837994281e-04 1.672927891967622427e-01 4.293423299801809589e-01
1.470588235294117696e-01 0.000000000000000000e+00 2.541506493702883063e-04 2.541506493702883063e-04 1.864327638053479008e-01 4.993469891943850270e-01
2.941176470588235392e-01 0.000000000000000000e+00 5.792096145353919923e-04 5.792096145353919923e-04 2.026286126381257324e-01 5.592852218182282620e-01
4.411764705882352811e-01 0.000000000000000000e+00 -7.759718930486769750e-04 -7.759718930486769750e-04 2.162477209783965348e-01 6.061008038141432186e-01
5.882352941176470784e-01 0.000000000000000000e+00 -5.636057088094226231e-04 -5.636057088094226231e-04 2.279915997530587990e-01 6.401704510677298510e-01
7.352941176470588758e-01 0.000000000000000000e+00 8.758954263157203712e-04 8.758954263157203712e-04 2.387646001959497499e-01 6.627850934914184533e-01
8.823529411764705621e-01 0.000000000000000000e+00 8.813922484209868458e-04 8.813922484209868458e-04 2.495360561406828048e-01 6.757749872332767804e-01
1.029411764705882470e+00 0.000000000000000000e+00 3.223562635339405347e-04 3.223562635339405347e-04 2.615528079988770349e-01 6.803205629013865385e-01
1.176470588235294157e+00 0.000000000000000000e+00 3.281783700261886594e-04 3.281783700261886594e-04 2.745238999563029969e-01 6.789144860498892431e-01
1.323529411764705843e+00 0.000000000000000000e+00 -1.021611155723523012e-03 -1.021611155723523012e-03 2.892466339609087722e-01 6.720945838268420625e-01
1.470588235294117752e+00 0.000000000000000000e+00 -1.486858030330662217e-04 -1.486858030330662217e-04 3.057396341197580747e-01 6.609477478840701803e-01
1.617647058823529438e+00 0.000000000000000000e+00 4.615388032869205404e-05 4.615388032869205404e-05 3.235510584979580107e-01 6.466408047483220844e-01
1.764705882352941124e+00 0.000000000000000000e+00 2.941511543896879743e-05 2.941511543896879743e-05 3.428174811838698433e-01 6.295163459983122989e-01
1.911764705882353033e+00 0.000000000000000000e+00 3.765850218779842606e-04 3.765850218779842606e-04 3.632505449550001986e-01 6.101204197538795393e-01
2.058823529411764941e+00 0.000000000000000000e+00 2.100391807815515932e-04 2.100391807815515932e-04 3.835108466730305365e-01 5.899752335773589262e-01
2.205882352941176627e+00 0.000000000000000000e+00 5.397852740174347019e-04 5.397852740174347019e-04 4.039231593348227567e-01 5.688589555333150027e-01
2.352941176470588314e+00 0.000000000000000000e+00 5.258299193549031969e-04 5.258299193549031969e-04 4.231632108085258692e-01 5.481208667285271119e-01
