# Y X a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 1.672927891967622427e-01 4.293423299801809589e-01
1.470588235294117696e-01 0.000000000000000000e+00 1.864327638053479008e-01 4.993469891943850270e-01
2.941176470588235392e-01 0.000000000000000000e+00 2.026286126381257324e-01 5.592852218182282620e-01
4.411764705882352811e-01 0.000000000000000000e+00 2.162477209783965348e-01 6.061008038141432186e-01
5.882352941176470784e-01 0.000000000000000000e+00 2.279915997530587990e-01 6.401704510677298510e-01
7.352941176470588758e-01 0.000000000000000000e+00 2.387646001959497499e-01 6.627850934914184533e-01
8.823529411764705621e-01 0.000000000000000000e+00 2.495360561406828048e-01 6.757749872332767804e-01
1.029411764705882470e+00 0.000000000000000000e+00 2.615528079988770349e-01 6.803205629013865385e-01
1.176470588235294157e+00 0.000000000000000000e+00 2.745238999563029969e-01 6.789144860498892431e-01
1.323529411764705843e+00 0.000000000000000000e+00 2.892466339609087722e-01 6.720945838268420625e-01
1.470588235294117752e+00 0.000000000000000000e+00 3.057396341197580747e-01 6.609477478840701803e-01
1.617647058823529438e+00 0.000000000000000000e+00 3.235510584979580107e-01 6.466408047483220844e-01
1.764705882352941124e+00 0.000000000000000000e+00 3.428174811838698433e-01 6.295163459983122989e-01
1.911764705882353033e+00 0.000000000000000000e+00 3.632505449550001986e-01 6.101204197538795393e-01
2.058823529411764941e+00 0.000000000000000000e+00 3.835108466730305365e-01 5.899752335773589262e-01
2.205882352941176627e+00 0.000000000000000000e+00 4.039231593348227567e-01 5.688589555333150027e-01
2.352941176470588314e+00 0.000000000000000000e+00 4.231632108085258692e-01 5.481208667285271119e-01
2.500000000000000000e+00 0.000000000000000000e+00 4.403521842321552193e-01 5.285553023541553763e-01
2.647058823529411686e+00 0.000000000000000000e+00 4.548925320541993278e-01 5.106612821363739618e-01
2.794117647058823817e+00 0.000000000000000000e+00 4.662217877537339072e-01 4.949297682806014786e-01
2.941176470588235503e+00 0.000000000000000000e+00 4.732365291401230967e-01 4.821898727123611894e-01
3.088235294117647189e+00 0.000000000000000000e+00 4.755986183831779623e-01 4.726042314427981728e-01
3.235294117647058876e+00 0.000000000000000000e+00 4.729096713518461947e-01 4.663587983608608600e-01
3.382352941176470562e+00 0.000000000000000000e+00 4.645939864825425203e-01 4.636701809853740475e-01
3.529411764705882248e+00 0.000000000000000000e+00 4.507603124688621121e-01 4.644279342334883820e-01
3.676470588235294379e+00 0.000000000000000000e+00 4.310398725360117256e-01 4.687163718162414283e-01
3.823529411764706065e+00 0.000000000000000000e+00 4.064475169620206940e-01 4.755942524420532780e-01
3.970588235294117752e+00 0.000000000000000000e+00 3.771559088836228257e-01 4.854784830447355093e-01
4.117647058823529882e+00 0.000000000000000000e+00 3.441748705307908218e-01 4.975181677697305127e-01
4.264705882352941124e+00 0.000000000000000000e+00 3.094332609628861475e-01 5.109530762801902659e-01
4.411764705882353255e+00 0.000000000000000000e+00 2.737374178196711472e-01 5.257571146582263877e-01
4.558823529411764497e+00 0.000000000000000000e+00 2.385789884820992968e-01 5.417252476854972354e-01
4.705882352941176627e+00 0.000000000000000000e+00 2.054884773319330116e-01 5.580252635986842069e-01
4.852941176470588758e+00 0.000000000000000000e+00 1.750757295277920456e-01 5.750027979290417424e-01
5.000000000000000000e+00 0.000000000000000000e+00 1.480464799148568378e-01 5.924523627896309819e-01
0.000000000000000000e+00 1.470588235294117696e-01 1.820958551560254712e-01 4.216439490524744871e-01
1.470588235294117696e-01 1.470588235294117696e-01 2.040491274730526494e-01 4.870666032181524829e-01
2.941176470588235392e-01 1.470588235294117696e-01 2.229984544674479818e-01 5.425713672908716312e-01
4.411764705882352811e-01 1.470588235294117696e-01 2.394754763130114983e-01 5.852745041511441260e-01
5.882352941176470784e-01 1.470588235294117696e-01 2.541165758027431054e-01 6.156120650649951065e-01
7.352941176470588758e-01 1.470588235294117696e-01 2.675732869213268139e-01 6.349894278058128005e-01
8.823529411764705621e-01 1.470588235294117696e-01 2.808756651410413419e-01 6.451823533323562954e-01
1.029411764705882470e+00 1.470588235294117696e-01 2.951594540819962309e-01 6.472994354487606739e-01
1.176470588235294157e+00 1.470588235294117696e-01 3.104191261042036909e-01 6.434645825641222006e-01
1.323529411764705843e+00 1.470588235294117696e-01 3.269921771422263923e-01 6.347562142002365349e-01
1.470588235294117752e+00 1.470588235294117696e-01 3.451362508249330996e-01 6.219167777937936181e-01
1.617647058823529438e+00 1.470588235294117696e-01 3.643124057461299414e-01 6.062237749209464788e-01
1.764705882352941124e+00 1.470588235294117696e-01 3.845155685312717231e-01 5.881207819996504549e-01
1.911764705882353033e+00 1.470588235294117696e-01 4.051071755419889397e-01 5.685517120473809749e-01
2.058823529411764941e+00 1.470588235294117696e-01 4.253620057588521908e-01 5.483825956249706035e-01
2.205882352941176627e+00 1.470588235294117696e-01 4.449855285310591047e-01 5.280353276118423533e-01
2.352941176470588314e+00 1.470588235294117696e-01 4.629507526916988303e-01 5.085005694948498967e-01
2.500000000000000000e+00 1.470588235294117696e-01 4.783691202387324037e-01 4.906515519563053318e-01
2.647058823529411686e+00 1.470588235294117696e-01 4.906376794180533629e-01 4.749811225194357500e-01
2.794117647058823817e+00 1.470588235294117696e-01 4.991430153139729820e-01 4.619701088866799976e-01
2.941176470588235503e+00 1.470588235294117696e-01 5.029204891600832505e-01 4.523361304980353936e-01
3.088235294117647189e+00 1.470588235294117696e-01 5.021165628497001876e-01 4.458053514179385890e-01
3.235294117647058876e+00 1.470588235294117696e-01 4.958558290250404954e-01 4.428325553348105847e-01
3.382352941176470562e+00 1.470588235294117696e-01 4.841473739183100311e-01 4.434338766751805272e-01
3.529411764705882248e+00 1.470588235294117696e-01 4.662832165636308646e-01 4.478685186960632003e-01
3.676470588235294379e+00 1.470588235294117696e-01 4.429346849909516770e-01 4.556532361216213411e-01
3.823529411764706065e+00 1.470588235294117696e-01 4.147795146115931808e-01 4.661673892031288347e-01
3.970588235294117752e+00 1.470588235294117696e-01 3.816991410644651750e-01 4.797380814319990305e-01
4.117647058823529882e+00 1.470588235294117696e-01 3.458004821821282770e-01 4.951551350484901248e-01
4.264705882352941124e+00 1.470588235294117696e-01 3.081486198661173015e-01 5.121660006067644266e-01
4.411764705882353255e+00 1.470588235294117696e-01 2.701087481078537356e-01 5.304854849286079199e-01
4.558823529411764497e+00 1.470588235294117696e-01 2.335663817180877733e-01 5.490544966586389242e-01
4.705882352941176627e+00 1.470588235294117696e-01 1.992947554194335891e-01 5.684332806283960426e-01
4.852941176470588758e+00 1.470588235294117696e-01 1.682400255113456200e-01 5.880885641234439021e-01
5.000000000000000000e+00 1.470588235294117696e-01 1.409690844692329248e-01 6.076821499103074453e-01
0.000000000000000000e+00 2.941176470588235392e-01 1.955064966482693567e-01 4.139853358260185412e-01
1.470588235294117696e-01 2.941176470588235392e-01 2.200028857114563752e-01 4.749666164462799101e-01
2.941176470588235392e-01 2.941176470588235392e-01 2.418412687321565002e-01 5.259176825211312467e-01
4.411764705882352811e-01 2.941176470588235392e-01 2.608709506657095334e-01 5.650932229337941592e-01
5.882352941176470784e-01 2.941176470588235392e-01 2.779891788104438266e-01 5.921686509529157094e-01
7.352941176470588758e-01 2.941176470588235392e-01 2.938999002270207828e-01 6.087648702751263796e-01
8.823529411764705621e-01 2.941176470588235392e-01 3.095345271095773509e-01 6.163568950979642080e-01
1.029411764705882470e+00 2.941176470588235392e-01 3.256505510383785884e-01 6.166751393863311170e-01
1.176470588235294157e+00 2.941176470588235392e-01 3.427278754443422448e-01 6.110961867422481930e-01
1.323529411764705843e+00 2.941176470588235392e-01 3.607251502091105011e-01 6.009814027693739513e-01
1.470588235294117752e+00 2.941176470588235392e-01 3.795751278323321598e-01 5.875032767884292850e-01
1.617647058823529438e+00 2.941176470588235392e-01 3.995077664008514495e-01 5.710837380144857534e-01
1.764705882352941124e+00 2.941176470588235392e-01 4.199104140145762387e-01 5.528085480274920194e-01
1.911764705882353033e+00 2.941176470588235392e-01 4.401359556162104392e-01 5.335953280251749531e-01
2.058823529411764941e+00 2.941176470588235392e-01 4.595498569999381111e-01 5.142828525373067672e-01
2.205882352941176627e+00 2.941176470588235392e-01 4.773292862748828580e-01 4.957371629363916399e-01
2.352941176470588314e+00 2.941176470588235392e-01 4.930927923308463523e-01 4.783800142529073263e-01
2.500000000000000000e+00 2.941176470588235392e-01 5.059627698633188952e-01 4.630316762870111957e-01
2.647058823529411686e+00 2.941176470588235392e-01 5.158559209505970689e-01 4.496472277064252343e-01
2.794117647058823817e+00 2.941176470588235392e-01 5.211871274994607228e-01 4.396639280361753777e-01
2.941176470588235503e+00 2.941176470588235392e-01 5.218414439339824629e-01 4.330401499270850052e-01
3.088235294117647189e+00 2.941176470588235392e-01 5.176181223648620433e-01 4.297299340331234840e-01
3.235294117647058876e+00 2.941176470588235392e-01 5.076627772940233152e-01 4.303275291370326494e-01
3.382352941176470562e+00 2.941176470588235392e-01 4.922459856429508562e-01 4.344945702437001955e-01
3.529411764705882248e+00 2.941176470588235392e-01 4.711430308434411685e-01 4.421309308828379470e-01
3.676470588235294379e+00 2.941176470588235392e-01 4.441890703316404565e-01 4.535795631375685311e-01
3.823529411764706065e+00 2.941176470588235392e-01 4.124884192489816637e-01 4.677674532323801704e-01
3.970588235294117752e+00 2.941176470588235392e-01 3.768866434237942986e-01 4.844923517599545870e-01
4.117647058823529882e+00 2.941176470588235392e-01 3.384809389369232147e-01 5.032429548325693114e-01
4.264705882352941124e+00 2.941176470588235392e-01 2.989238013997871923e-01 5.233435097499661293e-01
4.411764705882353255e+00 2.941176470588235392e-01 2.599123756177762479e-01 5.442777928416555611e-01
4.558823529411764497e+00 2.941176470588235392e-01 2.226526016835627397e-01 5.658234853853567614e-01
4.705882352941176627e+00 2.941176470588235392e-01 1.883296383630948811e-01 5.874901897887037094e-01
4.852941176470588758e+00 2.941176470588235392e-01 1.576328648364357932e-01 6.091443276578635269e-01
