# Y X var std 2std a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 1.462543910805032432e+00 1.209356816992004369e+00 2.418713633984008737e+00 1.672927891967622427e-01 4.293423299801809589e-01
1.470588235294117696e-01 0.000000000000000000e+00 1.414072233620812247e+00 1.189147692097500597e+00 2.378295384195001194e+00 1.864327638053479008e-01 4.993469891943850270e-01
2.941176470588235392e-01 0.000000000000000000e+00 1.368399552428703370e+00 1.169786113966439389e+00 2.339572227932878778e+00 2.026286126381257324e-01 5.592852218182282620e-01
4.411764705882352811e-01 0.000000000000000000e+00 1.323175617874748689e+00 1.150293709395451947e+00 2.300587418790903893e+00 2.162477209783965348e-01 6.061008038141432186e-01
5.882352941176470784e-01 0.000000000000000000e+00 1.280604696312944046e+00 1.131638058883203124e+00 2.263276117766406248e+00 2.279915997530587990e-01 6.401704510677298510e-01
7.352941176470588758e-01 0.000000000000000000e+00 1.239945574487736790e+00 1.113528434521425581e+00 2.227056869042851162e+00 2.387646001959497499e-01 6.627850934914184533e-01
8.823529411764705621e-01 0.000000000000000000e+00 1.200650835493865198e+00 1.095742139143085714e+00 2.191484278286171428e+00 2.495360561406828048e-01 6.757749872332767804e-01
1.029411764705882470e+00 0.000000000000000000e+00 1.163373382065866268e+00 1.078597877833006979e+00 2.157195755666013959e+00 2.615528079988770349e-01 6.803205629013865385e-01
1.176470588235294157e+00 0.000000000000000000e+00 1.127730092709799070e+00 1.061946369978163718e+00 2.123892739956327436e+00 2.745238999563029969e-01 6.789144860498892431e-01
1.323529411764705843e+00 0.000000000000000000e+00 1.094262032512347327e+00 1.046069802887143574e+00 2.092139605774287148e+00 2.892466339609087722e-01 6.720945838268420625e-01
1.470588235294117752e+00 0.000000000000000000e+00 1.062578294180652527e+00 1.030814383960881875e+00 2.061628767921763750e+00 3.057396341197580747e-01 6.609477478840701803e-01
1.617647058823529438e+00 0.000000000000000000e+00 1.032619252999082304e+00 1.016178750515420948e+00 2.032357501030841895e+00 3.235510584979580107e-01 6.466408047483220844e-01
1.764705882352941124e+00 0.000000000000000000e+00 1.005041041350715147e+00 1.002517352144447926e+00 2.005034704288895853e+00 3.428174811838698433e-01 6.295163459983122989e-01
1.911764705882353033e+00 0.000000000000000000e+00 9.790225302199858648e-01 9.894556737014477132e-01 1.978911347402895426e+00 3.632505449550001986e-01 6.101204197538795393e-01
2.058823529411764941e+00 0.000000000000000000e+00 9.548013251088418585e-01 9.771393580799219158e-01 1.954278716159843832e+00 3.835108466730305365e-01 5.899752335773589262e-01
2.205882352941176627e+00 0.000000000000000000e+00 9.322677397879367556e-01 9.655401285228577546e-01 1.931080257045715509e+00 4.039231593348227567e-01 5.688589555333150027e-01
2.352941176470588314e+00 0.000000000000000000e+00 9.113721049929084383e-01 9.546581089546709586e-01 1.909316217909341917e+00 4.231632108085258692e-01 5.481208667285271119e-01
2.500000000000000000e+00 0.000000000000000000e+00 8.921788567446199414e-01 9.445521990576380977e-01 1.889104398115276195e+00 4.403521842321552193e-01 5.285553023541553763e-01
2.647058823529411686e+00 0.000000000000000000e+00 8.744912720419206753e-01 9.351423806254963722e-01 1.870284761250992744e+00 4.548925320541993278e-01 5.106612821363739618e-01
2.794117647058823817e+00 0.000000000000000000e+00 8.585778401405801397e-01 9.265947550793605103e-01 1.853189510158721021e+00 4.662217877537339072e-01 4.949297682806014786e-01
2.941176470588235503e+00 0.000000000000000000e+00 8.435465624414144603e-01 9.184479094872035621e-01 1.836895818974407124e+00 4.732365291401230967e-01 4.821898727123611894e-01
3.088235294117647189e+00 0.000000000000000000e+00 8.302082780111741389e-01 9.111576581531728447e-01 1.822315316306345689e+00 4.755986183831779623e-01 4.726042314427981728e-01
3.235294117647058876e+00 0.000000000000000000e+00 8.180770512926131000e-01 9.044761198022936988e-01 1.808952239604587398e+00 4.729096713518461947e-01 4.663587983608608600e-01
3.382352941176470562e+00 0.000000000000000000e+00 8.072325122116846829e-01 8.984611912663142963e-01 1.796922382532628593e+00 4.645939864825425203e-01 4.636701809853740475e-01
3.529411764705882248e+00 0.000000000000000000e+00 7.977036448627277121e-01 8.931425669302340831e-01 1.786285133860468166e+00 4.507603124688621121e-01 4.644279342334883820e-01
3.676470588235294379e+00 0.000000000000000000e+00 7.898263084054758520e-01 8.887217272045709882e-01 1.777443454409141976e+00 4.310398725360117256e-01 4.687163718162414283e-01
3.823529411764706065e+00 0.000000000000000000e+00 7.826828653436209704e-01 8.846936562130537363e-01 1.769387312426107473e+00 4.064475169620206940e-01 4.755942524420532780e-01
3.970588235294117752e+00 0.000000000000000000e+00 7.774229453918173327e-01 8.817159096850964994e-01 1.763431819370192999e+00 3.771559088836228257e-01 4.854784830447355093e-01
4.117647058823529882e+00 0.000000000000000000e+00 7.739041743901259318e-01 8.797182357949197007e-01 1.759436471589839401e+00 3.441748705307908218e-01 4.975181677697305127e-01
4.264705882352941124e+00 0.000000000000000000e+00 7.714801501391689298e-01 8.783394276355632746e-01 1.756678855271126549e+00 3.094332609628861475e-01 5.109530762801902659e-01
4.411764705882353255e+00 0.000000000000000000e+00 7.709618927837540436e-01 8.780443569568419093e-01 1.756088713913683819e+00 2.737374178196711472e-01 5.257571146582263877e-01
4.558823529411764497e+00 0.000000000000000000e+00 7.724708405850394533e-01 8.789032031942081158e-01 1.757806406388416232e+00 2.385789884820992968e-01 5.417252476854972354e-01
4.705882352941176627e+00 0.000000000000000000e+00 7.750988471118225309e-01 8.803969826798718756e-01 1.760793965359743751e+00 2.054884773319330116e-01 5.580252635986842069e-01
4.852941176470588758e+00 0.000000000000000000e+00 7.804950271077109036e-01 8.834562960937631937e-01 1.766912592187526387e+00 1.750757295277920456e-01 5.750027979290417424e-01
5.000000000000000000e+00 0.000000000000000000e+00 7.873652822730105028e-01 8.873360593783002903e-01 1.774672118756600581e+00 1.480464799148568378e-01 5.924523627896309819e-01
0.000000000000000000e+00 1.470588235294117696e-01 1.428320159404495193e+00 1.195123491277991334e+00 2.390246982555982669e+00 1.820958551560254712e-01 4.216439490524744871e-01
1.470588235294117696e-01 1.470588235294117696e-01 1.383866676291396258e+00 1.176378627947395339e+00 2.352757255894790678e+00 2.040491274730526494e-01 4.870666032181524829e-01
2.941176470588235392e-01 1.470588235294117696e-01 1.342025232686876235e+00 1.158458127291131845e+00 2.316916254582263690e+00 2.229984544674479818e-01 5.425713672908716312e-01
4.411764705882352811e-01 1.470588235294117696e-01 1.300738479376837065e+00 1.140499223751089142e+00 2.280998447502178283e+00 2.394754763130114983e-01 5.852745041511441260e-01
5.882352941176470784e-01 1.470588235294117696e-01 1.261543402176266371e+00 1.123184491602455370e+00 2.246368983204910741e+00 2.541165758027431054e-01 6.156120650649951065e-01
7.352941176470588758e-01 1.470588235294117696e-01 1.223194233298107170e+00 1.105981117966354343e+00 2.211962235932708687e+00 2.675732869213268139e-01 6.349894278058128005e-01
8.823529411764705621e-01 1.470588235294117696e-01 1.186321194194678741e+00 1.089183728392358441e+00 2.178367456784716882e+00 2.808756651410413419e-01 6.451823533323562954e-01
1.029411764705882470e+00 1.470588235294117696e-01 1.151449790437501841e+00 1.073056284841341412e+00 2.146112569682682825e+00 2.951594540819962309e-01 6.472994354487606739e-01
1.176470588235294157e+00 1.470588235294117696e-01 1.117546044537729877e+00 1.057140503688005495e+00 2.114281007376010990e+00 3.104191261042036909e-01 6.434645825641222006e-01
1.323529411764705843e+00 1.470588235294117696e-01 1.085646236202645110e+00 1.041943489927666500e+00 2.083886979855332999e+00 3.269921771422263923e-01 6.347562142002365349e-01
1.470588235294117752e+00 1.470588235294117696e-01 1.055490734676033826e+00 1.027370787338258928e+00 2.054741574676517857e+00 3.451362508249330996e-01 6.219167777937936181e-01
1.617647058823529438e+00 1.470588235294117696e-01 1.026927335228617677e+00 1.013374232565944943e+00 2.026748465131889887e+00 3.643124057461299414e-01 6.062237749209464788e-01
1.764705882352941124e+00 1.470588235294117696e-01 1.000227875459336113e+00 1.000113931239504428e+00 2.000227862479008856e+00 3.845155685312717231e-01 5.881207819996504549e-01
1.911764705882353033e+00 1.470588235294117696e-01 9.744367307753610818e-01 9.871356192415311481e-01 1.974271238483062296e+00 4.051071755419889397e-01 5.685517120473809749e-01
2.058823529411764941e+00 1.470588235294117696e-01 9.511180727400173618e-01 9.752528250356505835e-01 1.950505650071301167e+00 4.253620057588521908e-01 5.483825956249706035e-01
2.205882352941176627e+00 1.470588235294117696e-01 9.295594696292041048e-01 9.641366446874655161e-01 1.928273289374931032e+00 4.449855285310591047e-01 5.280353276118423533e-01
2.352941176470588314e+00 1.470588235294117696e-01 9.087457519723761701e-01 9.532815701419891097e-01 1.906563140283978219e+00 4.629507526916988303e-01 5.085005694948498967e-01
2.500000000000000000e+00 1.470588235294117696e-01 8.899569540299464565e-01 9.433752986112931005e-01 1.886750597222586201e+00 4.783691202387324037e-01 4.906515519563053318e-01
2.647058823529411686e+00 1.470588235294117696e-01 8.722728166775648440e-01 9.339554682518673712e-01 1.867910936503734742e+00 4.906376794180533629e-01 4.749811225194357500e-01
2.794117647058823817e+00 1.470588235294117696e-01 8.558980419642400195e-01 9.251475784782879908e-01 1.850295156956575982e+00 4.991430153139729820e-01 4.619701088866799976e-01
2.941176470588235503e+00 1.470588235294117696e-01 8.408634578687462779e-01 9.169860728870129485e-01 1.833972145774025897e+00 5.029204891600832505e-01 4.523361304980353936e-01
3.088235294117647189e+00 1.470588235294117696e-01 8.271340237812699892e-01 9.094690889641439124e-01 1.818938177928287825e+00 5.021165628497001876e-01 4.458053514179385890e-01
3.235294117647058876e+00 1.470588235294117696e-01 8.146750232802388858e-01 9.025934983591665794e-01 1.805186996718333159e+00 4.958558290250404954e-01 4.428325553348105847e-01
3.382352941176470562e+00 1.470588235294117696e-01 8.030828540118400971e-01 8.961489016964983012e-01 1.792297803392996602e+00 4.841473739183100311e-01 4.434338766751805272e-01
3.529411764705882248e+00 1.470588235294117696e-01 7.929645485967223850e-01 8.904855689997016599e-01 1.780971137999403320e+00 4.662832165636308646e-01 4.478685186960632003e-01
3.676470588235294379e+00 1.470588235294117696e-01 7.839440693215778966e-01 8.854061606526001382e-01 1.770812321305200276e+00 4.429346849909516770e-01 4.556532361216213411e-01
3.823529411764706065e+00 1.470588235294117696e-01 7.761710814257812840e-01 8.810057215624546023e-01 1.762011443124909205e+00 4.147795146115931808e-01 4.661673892031288347e-01
3.970588235294117752e+00 1.470588235294117696e-01 7.698711058195930601e-01 8.774229913898957678e-01 1.754845982779791536e+00 3.816991410644651750e-01 4.797380814319990305e-01
4.117647058823529882e+00 1.470588235294117696e-01 7.645805048404625825e-01 8.744029419212074883e-01 1.748805883842414977e+00 3.458004821821282770e-01 4.951551350484901248e-01
4.264705882352941124e+00 1.470588235294117696e-01 7.607705518244630705e-01 8.722216185261995047e-01 1.744443237052399009e+00 3.081486198661173015e-01 5.121660006067644266e-01
4.411764705882353255e+00 1.470588235294117696e-01 7.586681751428484555e-01 8.710155998274935474e-01 1.742031199654987095e+00 2.701087481078537356e-01 5.304854849286079199e-01
4.558823529411764497e+00 1.470588235294117696e-01 7.578950968676584354e-01 8.705717069073968251e-01 1.741143413814793650e+00 2.335663817180877733e-01 5.490544966586389242e-01
4.705882352941176627e+00 1.470588235294117696e-01 7.590128302638327051e-01 8.712134240608513380e-01 1.742426848121702676e+00 1.992947554194335891e-01 5.684332806283960426e-01
4.852941176470588758e+00 1.470588235294117696e-01 7.619454615845204781e-01 8.728948743030402468e-01 1.745789748606080494e+00 1.682400255113456200e-01 5.880885641234439021e-01
5.000000000000000000e+00 1.470588235294117696e-01 7.665111771024900600e-01 8.755062404703293222e-01 1.751012480940658644e+00 1.409690844692329248e-01 6.076821499103074453e-01
0.000000000000000000e+00 2.941176470588235392e-01 1.386929078502086687e+00 1.177679531325091400e+00 2.355359062650182800e+00 1.955064966482693567e-01 4.139853358260185412e-01
1.470588235294117696e-01 2.941176470588235392e-01 1.347660234522550127e+00 1.160887692467514221e+00 2.321775384935028441e+00 2.200028857114563752e-01 4.749666164462799101e-01
2.941176470588235392e-01 2.941176470588235392e-01 1.309809712536762483e+00 1.144469183742735208e+00 2.288938367485470415e+00 2.418412687321565002e-01 5.259176825211312467e-01
4.411764705882352811e-01 2.941176470588235392e-01 1.272951714266804091e+00 1.128251618331125750e+00 2.256503236662251499e+00 2.608709506657095334e-01 5.650932229337941592e-01
5.882352941176470784e-01 2.941176470588235392e-01 1.237152040286634058e+00 1.112273365808349235e+00 2.224546731616698469e+00 2.779891788104438266e-01 5.921686509529157094e-01
7.352941176470588758e-01 2.941176470588235392e-01 1.202642959325371352e+00 1.096650791877419540e+00 2.193301583754839079e+00 2.938999002270207828e-01 6.087648702751263796e-01
8.823529411764705621e-01 2.941176470588235392e-01 1.169125487946760078e+00 1.081261063733805150e+00 2.162522127467610300e+00 3.095345271095773509e-01 6.163568950979642080e-01
1.029411764705882470e+00 2.941176470588235392e-01 1.137017358608026107e+00 1.066310160604327262e+00 2.132620321208654524e+00 3.256505510383785884e-01 6.166751393863311170e-01
1.176470588235294157e+00 2.941176470588235392e-01 1.106386056461166500e+00 1.051848875295860353e+00 2.103697750591720705e+00 3.427278754443422448e-01 6.110961867422481930e-01
1.323529411764705843e+00 2.941176470588235392e-01 1.077000921732711669e+00 1.037786549215546472e+00 2.075573098431092944e+00 3.607251502091105011e-01 6.009814027693739513e-01
1.470588235294117752e+00 2.941176470588235392e-01 1.048706176057619732e+00 1.024063560555505514e+00 2.048127121111011029e+00 3.795751278323321598e-01 5.875032767884292850e-01
1.617647058823529438e+00 2.941176470588235392e-01 1.022364157874178670e+00 1.011120248968528257e+00 2.022240497937056514e+00 3.995077664008514495e-01 5.710837380144857534e-01
1.764705882352941124e+00 2.941176470588235392e-01 9.971539510795349726e-01 9.985759615970809522e-01 1.997151923194161904e+00 4.199104140145762387e-01 5.528085480274920194e-01
1.911764705882353033e+00 2.941176470588235392e-01 9.736888997285925162e-01 9.867567581367723273e-01 1.973513516273544655e+00 4.401359556162104392e-01 5.335953280251749531e-01
2.058823529411764941e+00 2.941176470588235392e-01 9.516287289228687607e-01 9.755145969809312367e-01 1.951029193961862473e+00 4.595498569999381111e-01 5.142828525373067672e-01
2.205882352941176627e+00 2.941176470588235392e-01 9.315100583848969773e-01 9.651476873437023762e-01 1.930295374687404752e+00 4.773292862748828580e-01 4.957371629363916399e-01
2.352941176470588314e+00 2.941176470588235392e-01 9.117171726853166014e-01 9.548388202651360013e-01 1.909677640530272003e+00 4.930927923308463523e-01 4.783800142529073263e-01
2.500000000000000000e+00 2.941176470588235392e-01 8.937785060761552769e-01 9.453985964005633402e-01 1.890797192801126680e+00 5.059627698633188952e-01 4.630316762870111957e-01
