# Y X speed speed_diff a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 2.903445663051574144e+00 2.903445663051574144e+00 1.672927891967622427e-01 4.293423299801809589e-01
1.470588235294117696e-01 0.000000000000000000e+00 2.890058069532155827e+00 2.890058069532155827e+00 1.864327638053479008e-01 4.993469891943850270e-01
2.941176470588235392e-01 0.000000000000000000e+00 2.872346956345322333e+00 2.872346956345322333e+00 2.026286126381257324e-01 5.592852218182282620e-01
4.411764705882352811e-01 0.000000000000000000e+00 2.852548327667245864e+00 2.852548327667245864e+00 2.162477209783965348e-01 6.061008038141432186e-01
5.882352941176470784e-01 0.000000000000000000e+00 2.829806651767531989e+00 2.829806651767531989e+00 2.279915997530587990e-01 6.401704510677298510e-01
7.352941176470588758e-01 0.000000000000000000e+00 2.803847136780634575e+00 2.803847136780634575e+00 2.387646001959497499e-01 6.627850934914184533e-01
8.823529411764705621e-01 0.000000000000000000e+00 2.777202950627500666e+00 2.777202950627500666e+00 2.495360561406828048e-01 6.757749872332767804e-01
1.029411764705882470e+00 0.000000000000000000e+00 2.747750536795336096e+00 2.747750536795336096e+00 2.615528079988770349e-01 6.803205629013865385e-01
1.176470588235294157e+00 0.000000000000000000e+00 2.719123142355741596e+00 2.719123142355741596e+00 2.745238999563029969e-01 6.789144860498892431e-01
1.323529411764705843e+00 0.000000000000000000e+00 2.690269854812505468e+00 2.690269854812505468e+00 2.892466339609087722e-01 6.720945838268420625e-01
1.470588235294117752e+00 0.000000000000000000e+00 2.661024838080873423e+00 2.661024838080873423e+00 3.057396341197580747e-01 6.609477478840701803e-01
1.617647058823529438e+00 0.000000000000000000e+00 2.633658033149363753e+00 2.633658033149363753e+00 3.235510584979580107e-01 6.466408047483220844e-01
1.764705882352941124e+00 0.000000000000000000e+00 2.609232459578326946e+00 2.609232459578326946e+00 3.428174811838698433e-01 6.295163459983122989e-01
1.911764705882353033e+00 0.000000000000000000e+00 2.586497681156663120e+00 2.586497681156663120e+00 3.632505449550001986e-01 6.101204197538795393e-01
2.058823529411764941e+00 0.000000000000000000e+00 2.567200146660012283e+00 2.567200146660012283e+00 3.835108466730305365e-01 5.899752335773589262e-01
2.205882352941176627e+00 0.000000000000000000e+00 2.550283023505753643e+00 2.550283023505753643e+00 4.039231593348227567e-01 5.688589555333150027e-01
2.352941176470588314e+00 0.000000000000000000e+00 2.538916979622317882e+00 2.538916979622317882e+00 4.231632108085258692e-01 5.481208667285271119e-01
2.500000000000000000e+00 0.000000000000000000e+00 2.532969319487738957e+00 2.532969319487738957e+00 4.403521842321552193e-01 5.285553023541553763e-01
2.647058823529411686e+00 0.000000000000000000e+00 2.530387548626261029e+00 2.530387548626261029e+00 4.548925320541993278e-01 5.106612821363739618e-01
2.794117647058823817e+00 0.000000000000000000e+00 2.533931655940373062e+00 2.533931655940373062e+00 4.662217877537339072e-01 4.949297682806014786e-01
2.941176470588235503e+00 0.000000000000000000e+00 2.543824852175731621e+00 2.543824852175731621e+00 4.732365291401230967e-01 4.821898727123611894e-01
3.088235294117647189e+00 0.000000000000000000e+00 2.559187519022557034e+00 2.559187519022557034e+00 4.755986183831779623e-01 4.726042314427981728e-01
3.235294117647058876e+00 0.000000000000000000e+00 2.580149714334993405e+00 2.580149714334993405e+00 4.729096713518461947e-01 4.663587983608608600e-01
3.382352941176470562e+00 0.000000000000000000e+00 2.608018197120954174e+00 2.608018197120954174e+00 4.645939864825425203e-01 4.636701809853740475e-01
3.529411764705882248e+00 0.000000000000000000e+00 2.641403046047209990e+00 2.641403046047209990e+00 4.507603124688621121e-01 4.644279342334883820e-01
3.676470588235294379e+00 0.000000000000000000e+00 2.680239908462138665e+00 2.680239908462138665e+00 4.310398725360117256e-01 4.687163718162414283e-01
3.823529411764706065e+00 0.000000000000000000e+00 2.725467684856242911e+00 2.725467684856242911e+00 4.064475169620206940e-01 4.755942524420532780e-01
3.970588235294117752e+00 0.000000000000000000e+00 2.776494479701080653e+00 2.776494479701080653e+00 3.771559088836228257e-01 4.854784830447355093e-01
4.117647058823529882e+00 0.000000000000000000e+00 2.830649979337012123e+00 2.830649979337012123e+00 3.441748705307908218e-01 4.975181677697305127e-01
4.264705882352941124e+00 0.000000000000000000e+00 2.890839184858386091e+00 2.890839184858386091e+00 3.094332609628861475e-01 5.109530762801902659e-01
4.411764705882353255e+00 0.000000000000000000e+00 2.954933807285065939e+00 2.954933807285065939e+00 2.737374178196711472e-01 5.257571146582263877e-01
4.558823529411764497e+00 0.000000000000000000e+00 3.022217113233446106e+00 3.022217113233446106e+00 2.385789884820992968e-01 5.417252476854972354e-01
4.705882352941176627e+00 0.000000000000000000e+00 3.092091711352908057e+00 3.092091711352908057e+00 2.054884773319330116e-01 5.580252635986842069e-01
4.852941176470588758e+00 0.000000000000000000e+00 3.164700157107418033e+00 3.164700157107418033e+00 1.750757295277920456e-01 5.750027979290417424e-01
5.000000000000000000e+00 0.000000000000000000e+00 3.238297619235217972e+00 3.238297619235217972e+00 1.480464799148568378e-01 5.924523627896309819e-01
0.000000000000000000e+00 1.470588235294117696e-01 3.017735450451822565e+00 2.870676626922410879e+00 1.820958551560254712e-01 4.216439490524744871e-01
1.470588235294117696e-01 1.470588235294117696e-01 3.007727509240168295e+00 2.860668685710756609e+00 2.040491274730526494e-01 4.870666032181524829e-01
2.941176470588235392e-01 1.470588235294117696e-01 2.991811924834988368e+00 2.844753101305576681e+00 2.229984544674479818e-01 5.425713672908716312e-01
4.411764705882352811e-01 1.470588235294117696e-01 2.974688918122122772e+00 2.827630094592711085e+00 2.394754763130114983e-01 5.852745041511441260e-01
5.882352941176470784e-01 1.470588235294117696e-01 2.954102054652919307e+00 2.807043231123507621e+00 2.541165758027431054e-01 6.156120650649951065e-01
7.352941176470588758e-01 1.470588235294117696e-01 2.930154268612951363e+00 2.783095445083539676e+00 2.675732869213268139e-01 6.349894278058128005e-01
8.823529411764705621e-01 1.470588235294117696e-01 2.905664099305708348e+00 2.758605275776296661e+00 2.808756651410413419e-01 6.451823533323562954e-01
1.029411764705882470e+00 1.470588235294117696e-01 2.878731312884282634e+00 2.731672489354870947e+00 2.951594540819962309e-01 6.472994354487606739e-01
1.176470588235294157e+00 1.470588235294117696e-01 2.850824521565118896e+00 2.703765698035707210e+00 3.104191261042036909e-01 6.434645825641222006e-01
