# Y X aX aY aR
0.000000000000000000e+00 0.000000000000000000e+00 9.988294872507192945e-01 5.614714615216241933e-01 1.058688403794060262e+00
2.631578947368420907e-01 0.000000000000000000e+00 9.977476904339259711e-01 5.798656659861892715e-01 1.044334014552989576e+00
5.263157894736841813e-01 0.000000000000000000e+00 9.955869937779244783e-01 5.966731574833323837e-01 1.030878483806690449e+00
7.894736842105263275e-01 0.000000000000000000e+00 9.913624491061050481e-01 6.129091511732445152e-01 1.017066174212048368e+00
1.052631578947368363e+00 0.000000000000000000e+00 9.832753968277363477e-01 6.225993388178469035e-01 1.006329827320979975e+00
1.315789473684210398e+00 0.000000000000000000e+00 9.674777216145822312e-01 6.379726918806963853e-01 9.878284968045122350e-01
1.578947368421052655e+00 0.000000000000000000e+00 9.369493940600055470e-01 6.558659203104518776e-01 9.600693993577209540e-01
1.842105263157894690e+00 0.000000000000000000e+00 8.795192612013147393e-01 6.729844057258357326e-01 9.176549987566384736e-01
2.105263157894736725e+00 0.000000000000000000e+00 7.879181898371099280e-01 6.829084529851074947e-01 8.566722735510721165e-01
2.368421052631578760e+00 0.000000000000000000e+00 6.247264675819412805e-01 6.755989802780691944e-01 7.462951977502882972e-01
2.631578947368420796e+00 0.000000000000000000e+00 3.585716371406657554e-01 6.620376612444396347e-01 4.963852695976518348e-01
2.894736842105262831e+00 0.000000000000000000e+00 -1.309529091352873431e-02 6.373462689283223570e-01 -2.054369694981236089e-02
3.157894736842105310e+00 0.000000000000000000e+00 -3.652570535902583959e-01 5.994326752098280142e-01 -5.472573340738000613e-01
3.421052631578947345e+00 0.000000000000000000e+00 -5.743038678147558418e-01 5.257345958032081379e-01 -8.295218460655008341e-01
3.684210526315789380e+00 0.000000000000000000e+00 -6.890652971447714936e-01 4.165518875791762721e-01 -1.027061906688260473e+00
3.947368421052631415e+00 0.000000000000000000e+00 -7.824907493754380550e-01 2.714533825390108568e-01 -1.236877490520893685e+00
4.210526315789473450e+00 0.000000000000000000e+00 -8.511337603498776438e-01 1.017054591814442466e-01 -1.451866153081715405e+00
4.473684210526315930e+00 0.000000000000000000e+00 -8.993373201499996750e-01 -8.863761006516224228e-02 -1.669037849218948599e+00
4.736842105263157521e+00 0.000000000000000000e+00 -9.325014889498934867e-01 -2.944717981846143307e-01 -1.876672900552107004e+00
5.000000000000000000e+00 0.000000000000000000e+00 -9.559385540577629570e-01 -5.508711150981503435e-01 -2.093578556761698906e+00
0.000000000000000000e+00 2.631578947368420907e-01 9.990327110396373111e-01 4.341650535873866623e-01 1.160834834601673693e+00
2.631578947368420907e-01 2.631578947368420907e-01 9.982708582842325651e-01 4.614823995147288027e-01 1.137775964648962024e+00
5.263157894736841813e-01 2.631578947368420907e-01 9.966327952391917933e-01 4.824704959999999154e-01 1.119948980522940785e+00
7.894736842105263275e-01 2.631578947368420907e-01 9.934060820858818808e-01 5.024228086246661507e-01 1.102553147365096020e+00
1.052631578947368363e+00 2.631578947368420907e-01 9.871072519247239274e-01 5.217540897080249485e-01 1.084555752945993712e+00
1.315789473684210398e+00 2.631578947368420907e-01 9.748673348152037121e-01 5.404722498144448606e-01 1.064576724122814788e+00
1.578947368421052655e+00 2.631578947368420907e-01 9.506538658311227685e-01 5.695042018120317628e-01 1.031064034446079081e+00
1.842105263157894690e+00 2.631578947368420907e-01 9.050949340116583031e-01 5.902558602675510580e-01 9.929125632556052850e-01
2.105263157894736725e+00 2.631578947368420907e-01 8.201097213854375845e-01 6.087348525564346691e-01 9.322670835735249462e-01
2.368421052631578760e+00 2.631578947368420907e-01 6.590195232649298518e-01 5.973921379872958459e-01 8.344091958556781874e-01
2.631578947368420796e+00 2.631578947368420907e-01 3.934376314109715445e-01 5.729586941668765032e-01 6.017283652589978660e-01
2.894736842105262831e+00 2.631578947368420907e-01 2.123269921284909323e-02 5.381158289901522007e-01 3.943703071884424594e-02
3.157894736842105310e+00 2.631578947368420907e-01 -3.493352470314998737e-01 4.915411990109681550e-01 -6.178669651687684894e-01
3.421052631578947345e+00 2.631578947368420907e-01 -5.825761803896865043e-01 4.132152066380164745e-01 -9.538629245304809379e-01
3.684210526315789380e+00 2.631578947368420907e-01 -7.068606386744074044e-01 2.827568641362830926e-01 -1.190274572573309486e+00
3.947368421052631415e+00 2.631578947368420907e-01 -7.941942696250521294e-01 1.190647324313279798e-01 -1.421985694124949573e+00
4.210526315789473450e+00 2.631578947368420907e-01 -8.594350687624836560e-01 -6.947176168535051932e-02 -1.651455170287372098e+00
4.473684210526315930e+00 2.631578947368420907e-01 -9.050884469750923866e-01 -2.740977493067268123e-01 -1.864857358201357673e+00
4.736842105263157521e+00 2.631578947368420907e-01 -9.364212839427368262e-01 -4.877043733546571058e-01 -2.050958717843248902e+00
5.000000000000000000e+00 2.631578947368420907e-01 -9.609843920300698006e-01 -8.605846169468372997e-01 -2.301133006839820805e+00
0.000000000000000000e+00 5.263157894736841813e-01 9.991867593829086847e-01 2.822241915672338841e-01 1.295513580826494593e+00
2.631578947368420907e-01 5.263157894736841813e-01 9.985710015923991989e-01 3.129347890772420371e-01 1.267107572489131417e+00
5.263157894736841813e-01 5.263157894736841813e-01 9.974310799918848502e-01 3.440991714694058290e-01 1.238595812995971324e+00
7.894736842105263275e-01 5.263157894736841813e-01 9.949674161950314843e-01 3.680280563622774226e-01 1.216513555543119685e+00
1.052631578947368363e+00 5.263157894736841813e-01 9.901526803482889605e-01 3.913106432587004635e-01 1.194432704758802366e+00
1.315789473684210398e+00 5.263157894736841813e-01 9.807760141081838245e-01 4.139477548554962860e-01 1.171417281052089754e+00
1.578947368421052655e+00 5.263157894736841813e-01 9.624838176921133304e-01 4.401193713627326032e-01 1.141909361450910598e+00
1.842105263157894690e+00 5.263157894736841813e-01 9.265631383116030850e-01 4.769640126950186465e-01 1.095405126049731503e+00
2.105263157894736725e+00 5.263157894736841813e-01 8.525270986501385373e-01 5.011387982546740005e-01 1.039375341484332083e+00
2.368421052631578760e+00 5.263157894736841813e-01 6.975162429214178950e-01 4.982844972423543517e-01 9.504912042409243700e-01
2.631578947368420796e+00 5.263157894736841813e-01 4.227622523927874187e-01 4.601826832154325420e-01 7.430421241983010683e-01
2.894736842105262831e+00 5.263157894736841813e-01 4.877120538075208067e-02 4.138522513745387377e-01 1.173058541501200702e-01
3.157894736842105310e+00 5.263157894736841813e-01 -3.332091172403814361e-01 3.617250710292896354e-01 -7.443871361067314618e-01
3.421052631578947345e+00 5.263157894736841813e-01 -5.863167916955105419e-01 2.525892572423762417e-01 -1.164017571683422902e+00
3.684210526315789380e+00 5.263157894736841813e-01 -7.207399675681189777e-01 9.914318509225117371e-02 -1.434096735759672336e+00
3.947368421052631415e+00 5.263157894736841813e-01 -8.058072496856332201e-01 -6.582950142133336957e-02 -1.652309168590113009e+00
