# Y X a0 a1
0.000000000000000000e+00 -1.000000000000000000e+00 9.024678622754527257e-01 9.753213772454728814e-02
0.000000000000000000e+00 -9.859719438877755371e-01 9.031772224228983292e-01 9.682277757710165689e-02
6.598803581415056962e-01 -9.719438877755510742e-01 9.039095653912168071e-01 9.609043460878308185e-02
0.000000000000000000e+00 -9.579158316633266113e-01 9.046585448125621376e-01 9.534145518743780690e-02
7.002962714529149535e-01 -9.438877755511021483e-01 9.053203962896911872e-01 9.467960371030884059e-02
0.000000000000000000e+00 -9.298597194388777964e-01 9.060039920156574000e-01 9.399600798434253057e-02
2.229267190177708802e+00 -9.158316633266533335e-01 9.066570896506315203e-01 9.334291034936850751e-02
0.000000000000000000e+00 -9.018036072144288706e-01 9.073353864667925706e-01 9.266461353320755434e-02
1.707155117999378469e+00 -8.877755511022044077e-01 9.080033591610549015e-01 9.199664083894502908e-02
0.000000000000000000e+00 -8.737474949899799448e-01 9.085934051054357363e-01 9.140659489456431919e-02
2.124831812869631520e+00 -8.597194388777554819e-01 9.092796339722443166e-01 9.072036602775575276e-02
0.000000000000000000e+00 -8.456913827655310190e-01 9.098650597788928707e-01 9.013494022110701831e-02
0.000000000000000000e+00 -8.316633266533066671e-01 9.104180541445016095e-01 8.958194585549825173e-02
0.000000000000000000e+00 -8.176352705410820931e-01 9.110324139651879705e-01 8.896758603481205729e-02
0.000000000000000000e+00 -8.036072144288577412e-01 9.115653404097233681e-01 8.843465959027657641e-02
2.045086063258208853e+00 -7.895791583166332783e-01 9.121287712583191487e-01 8.787122874168085129e-02
1.417215966773071489e+00 -7.755511022044088154e-01 9.127148446294949258e-01 8.728515537050506035e-02
0.000000000000000000e+00 -7.615230460921843525e-01 9.131821753614121073e-01 8.681782463858790655e-02
7.996467186108185965e-02 -7.474949899799598896e-01 9.137732589442428832e-01 8.622674105575704739e-02
0.000000000000000000e+00 -7.334669338677355377e-01 9.143056250616392600e-01 8.569437493836072617e-02
1.397805518823968640e+00 -7.194388777555109638e-01 9.147475582020849760e-01 8.525244179791505172e-02
0.000000000000000000e+00 -7.054108216432866119e-01 9.152652484545787948e-01 8.473475154542110810e-02
2.334277759690823739e+00 -6.913827655310621489e-01 9.157018754361656576e-01 8.429812456383439789e-02
0.000000000000000000e+00 -6.773547094188376860e-01 9.162330284145216996e-01 8.376697158547820321e-02
0.000000000000000000e+00 -6.633266533066132231e-01 9.167497357922753665e-01 8.325026420772449476e-02
0.000000000000000000e+00 -6.492985971943887602e-01 9.171537028719715101e-01 8.284629712802848989e-02
0.000000000000000000e+00 -6.352705410821642973e-01 9.175877772544841493e-01 8.241222274551592009e-02
2.104091210082969621e+00 -6.212424849699398344e-01 9.180232398308025843e-01 8.197676016919736020e-02
0.000000000000000000e+00 -6.072144288577154825e-01 9.184784817625512021e-01 8.152151823744885339e-02
4.837954571610800138e-04 -5.931863727454909085e-01 9.188942170551097632e-01 8.110578294489023676e-02
0.000000000000000000e+00 -5.791583166332665567e-01 9.193079736398073187e-01 8.069202636019266739e-02
0.000000000000000000e+00 -5.651302605210420937e-01 9.197023339218465265e-01 8.029766607815333468e-02
2.896240727789347158e+00 -5.511022044088176308e-01 9.200872753632193257e-01 7.991272463678066040e-02
1.686259900340596474e+00 -5.370741482965931679e-01 9.204834972104479762e-01 7.951650278955207929e-02
0.000000000000000000e+00 -5.230460921843687050e-01 9.208478060239781993e-01 7.915219397602182849e-02
0.000000000000000000e+00 -5.090180360721443531e-01 9.212535868707539821e-01 7.874641312924599013e-02
0.000000000000000000e+00 -4.949899799599197792e-01 9.215569144278509262e-01 7.844308557214911548e-02
