# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
0.000000000000000000e+00 -1.000000000000000000e+00 -4.440892098500626162e-16 1.837918501984343826e-05 3.675837003968687652e-05 4.287095172706507397e-03 8.574190345413014794e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940763585573818312e-02 5.881527171147636623e-02 1.714865471567323385e-01 3.429730943134646770e-01
0.000000000000000000e+00 -9.859719438877755371e-01 -4.440892098500626162e-16 1.830962731897676726e-05 3.661925463795353452e-05 4.278975031357015041e-03 8.557950062714030082e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940756629803731662e-02 5.881513259607463323e-02 1.714863443485728778e-01 3.429726886971457556e-01
0.000000000000000000e+00 -9.719438877755510742e-01 -4.440892098500626162e-16 1.824006961811008948e-05 3.648013923622017897e-05 4.270839451221514378e-03 8.541678902443028756e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940749674033645011e-02 5.881499348067290023e-02 1.714861415401735811e-01 3.429722830803471623e-01
0.000000000000000000e+00 -9.579158316633266113e-01 -4.440892098500626162e-16 1.817051191724342187e-05 3.634102383448684374e-05 4.262688343902638725e-03 8.525376687805277451e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940742718263558361e-02 5.881485436527116722e-02 1.714859387315344486e-01 3.429718774630688971e-01
1.202094019310734119e+00 -9.438877755511021483e-01 -4.440892098500626162e-16 1.810095421637674748e-05 3.620190843275349497e-05 4.254521620156224808e-03 8.509043240312449616e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940735762493471711e-02 5.881471524986943422e-02 1.714857359226554245e-01 3.429714718453108491e-01
0.000000000000000000e+00 -9.298597194388777964e-01 -4.440892098500626162e-16 1.803139651551007310e-05 3.606279303102014619e-05 4.246339189879921698e-03 8.492678379759843396e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940728806723385061e-02 5.881457613446770122e-02 1.714855331135365923e-01 3.429710662270731847e-01
0.000000000000000000e+00 -9.158316633266533335e-01 -4.440892098500626162e-16 1.796183881464340549e-05 3.592367762928681097e-05 4.238140962101591587e-03 8.476281924203183174e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940721850953298411e-02 5.881443701906596822e-02 1.714853303041778687e-01 3.429706606083557374e-01
0.000000000000000000e+00 -9.018036072144288706e-01 -4.440892098500626162e-16 1.789228111377672771e-05 3.578456222755345542e-05 4.229926844967502389e-03 8.459853689935004778e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940714895183211761e-02 5.881429790366423521e-02 1.714851274945793091e-01 3.429702549891586183e-01
8.842935112755204718e-01 -8.877755511022044077e-01 -4.440892098500626162e-16 1.782272341291005332e-05 3.564544682582010664e-05 4.221696745730329527e-03 8.443393491460659053e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940707939413125110e-02 5.881415878826250221e-02 1.714849246847408859e-01 3.429698493694817718e-01
2.099318458665844656e+00 -8.737474949899799448e-01 -4.440892098500626162e-16 1.775316571204338232e-05 3.550633142408676465e-05 4.213450570736932202e-03 8.426901141473864404e-03 2.938925667071834100e-02 5.877851334143668199e-02 1.714329509479386449e-01 3.428659018958772897e-01 2.940700983643038460e-02 5.881401967286076921e-02 1.714847218746625990e-01 3.429694437493251979e-01
