# Y X drop drop_diff a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 -6.152233562857212235e-04 -6.152233562857212235e-04 7.460082549135226282e-01 2.539917450864773718e-01
1.470588235294117696e-01 0.000000000000000000e+00 -1.768269523041654523e-03 -1.768269523041654523e-03 7.939657655501299871e-01 2.060342344498700684e-01
2.941176470588235392e-01 0.000000000000000000e+00 -1.612348382936446001e-03 -1.612348382936446001e-03 8.354507713363544807e-01 1.645492286636455470e-01
4.411764705882352811e-01 0.000000000000000000e+00 -1.524249066097604910e-03 -1.524249066097604910e-03 8.703116588322222791e-01 1.296883411677776654e-01
5.882352941176470784e-01 0.000000000000000000e+00 -2.453804155154948319e-03 -2.453804155154948319e-03 8.987262764799394121e-01 1.012737235200605601e-01
7.352941176470588758e-01 0.000000000000000000e+00 -1.187070918771349071e-03 -1.187070918771349071e-03 9.216328148481289784e-01 7.836718515187113265e-02
8.823529411764705621e-01 0.000000000000000000e+00 -1.779168090518812306e-03 -1.779168090518812306e-03 9.396074969980294789e-01 6.039250300197054888e-02
1.029411764705882470e+00 0.000000000000000000e+00 -1.085826770189868284e-03 -1.085826770189868284e-03 9.535211474349502003e-01 4.647885256504982743e-02
1.176470588235294157e+00 0.000000000000000000e+00 -1.399775987290574619e-03 -1.399775987290574619e-03 9.642323777200501045e-01 3.576762227994995103e-02
1.323529411764705843e+00 0.000000000000000000e+00 -1.806220270991198973e-03 -1.806220270991198973e-03 9.724093040068956251e-01 2.759069599310428125e-02
1.470588235294117752e+00 0.000000000000000000e+00 -1.448493845489284837e-03 -1.448493845489284837e-03 9.786136712249227099e-01 2.138632877507717911e-02
1.617647058823529438e+00 0.000000000000000000e+00 -9.606008321560999264e-04 -9.606008321560999264e-04 9.833093290822306765e-01 1.669067091776922293e-02
1.764705882352941124e+00 0.000000000000000000e+00 -1.260905812278112492e-03 -1.260905812278112492e-03 9.868779001719139021e-01 1.312209982808608226e-02
1.911764705882353033e+00 0.000000000000000000e+00 -1.314565070753559439e-03 -1.314565070753559439e-03 9.895849370879108431e-01 1.041506291208901640e-02
2.058823529411764941e+00 0.000000000000000000e+00 -1.659565759973391508e-03 -1.659565759973391508e-03 9.916429519136575887e-01 8.357048086342352272e-03
2.205882352941176627e+00 0.000000000000000000e+00 -1.193195638667265968e-03 -1.193195638667265968e-03 9.932027344153513404e-01 6.797265584648712507e-03
2.352941176470588314e+00 0.000000000000000000e+00 -1.154917170443470198e-03 -1.154917170443470198e-03 9.944023284270294694e-01 5.597671572970669418e-03
2.500000000000000000e+00 0.000000000000000000e+00 2.296828470464973293e-04 2.296828470464973293e-04 9.953216087034338910e-01 4.678391296565998815e-03
2.647058823529411686e+00 0.000000000000000000e+00 -6.670865468514364238e-04 -6.670865468514364238e-04 9.960278029896171281e-01 3.972197010382899629e-03
