# Y X a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 7.460082549135226282e-01 2.539917450864773718e-01
1.470588235294117696e-01 0.000000000000000000e+00 7.939657655501299871e-01 2.060342344498700684e-01
2.941176470588235392e-01 0.000000000000000000e+00 8.354507713363544807e-01 1.645492286636455470e-01
4.411764705882352811e-01 0.000000000000000000e+00 8.703116588322222791e-01 1.296883411677776654e-01
5.882352941176470784e-01 0.000000000000000000e+00 8.987262764799394121e-01 1.012737235200605601e-01
7.352941176470588758e-01 0.000000000000000000e+00 9.216328148481289784e-01 7.836718515187113265e-02
8.823529411764705621e-01 0.000000000000000000e+00 9.396074969980294789e-01 6.039250300197054888e-02
1.029411764705882470e+00 0.000000000000000000e+00 9.535211474349502003e-01 4.647885256504982743e-02
1.176470588235294157e+00 0.000000000000000000e+00 9.642323777200501045e-01 3.576762227994995103e-02
1.323529411764705843e+00 0.000000000000000000e+00 9.724093040068956251e-01 2.759069599310428125e-02
1.470588235294117752e+00 0.000000000000000000e+00 9.786136712249227099e-01 2.138632877507717911e-02
1.617647058823529438e+00 0.000000000000000000e+00 9.833093290822306765e-01 1.669067091776922293e-02
1.764705882352941124e+00 0.000000000000000000e+00 9.868779001719139021e-01 1.312209982808608226e-02
1.911764705882353033e+00 0.000000000000000000e+00 9.895849370879108431e-01 1.041506291208901640e-02
2.058823529411764941e+00 0.000000000000000000e+00 9.916429519136575887e-01 8.357048086342352272e-03
2.205882352941176627e+00 0.000000000000000000e+00 9.932027344153513404e-01 6.797265584648712507e-03
2.352941176470588314e+00 0.000000000000000000e+00 9.944023284270294694e-01 5.597671572970669418e-03
2.500000000000000000e+00 0.000000000000000000e+00 9.953216087034338910e-01 4.678391296565998815e-03
2.647058823529411686e+00 0.000000000000000000e+00 9.960278029896171281e-01 3.972197010382899629e-03
2.794117647058823817e+00 0.000000000000000000e+00 9.965740916632058743e-01 3.425908336794237109e-03
2.941176470588235503e+00 0.000000000000000000e+00 9.969963287148586595e-01 3.003671285141239471e-03
3.088235294117647189e+00 0.000000000000000000e+00 9.973214417807482191e-01 2.678558219251776611e-03
3.235294117647058876e+00 0.000000000000000000e+00 9.975648591056184289e-01 2.435140894381522536e-03
3.382352941176470562e+00 0.000000000000000000e+00 9.977512274396438396e-01 2.248772560356228009e-03
3.529411764705882248e+00 0.000000000000000000e+00 9.978836751105994995e-01 2.116324889400582852e-03
3.676470588235294379e+00 0.000000000000000000e+00 9.979699334542291300e-01 2.030066545770882122e-03
3.823529411764706065e+00 0.000000000000000000e+00 9.980207860575736056e-01 1.979213942426452915e-03
3.970588235294117752e+00 0.000000000000000000e+00 9.980360155153634727e-01 1.963984484636661313e-03
4.117647058823529882e+00 0.000000000000000000e+00 9.980174654249155397e-01 1.982534575084499325e-03
4.264705882352941124e+00 0.000000000000000000e+00 9.979629847214945837e-01 2.037015278505431917e-03
4.411764705882353255e+00 0.000000000000000000e+00 9.978758450922763368e-01 2.124154907723682303e-03
4.558823529411764497e+00 0.000000000000000000e+00 9.977498247829437172e-01 2.250175217056273221e-03
4.705882352941176627e+00 0.000000000000000000e+00 9.975829425046548460e-01 2.417057495345240319e-03
4.852941176470588758e+00 0.000000000000000000e+00 9.973655970248501701e-01 2.634402975149859830e-03
5.000000000000000000e+00 0.000000000000000000e+00 9.970918341719819944e-01 2.908165828017975681e-03
0.000000000000000000e+00 1.470588235294117696e-01 7.478903080620836752e-01 2.521096919379163248e-01
1.470588235294117696e-01 1.470588235294117696e-01 7.945387386914080086e-01 2.054612613085919082e-01
2.941176470588235392e-01 1.470588235294117696e-01 8.350726863327809779e-01 1.649273136672189666e-01
4.411764705882352811e-01 1.470588235294117696e-01 8.692057738251850463e-01 1.307942261748149815e-01
5.882352941176470784e-01 1.470588235294117696e-01 8.973068462657495248e-01 1.026931537342505724e-01
7.352941176470588758e-01 1.470588235294117696e-01 9.198293704188965636e-01 8.017062958110331150e-02
8.823529411764705621e-01 1.470588235294117696e-01 9.377779010317911501e-01 6.222209896820879438e-02
1.029411764705882470e+00 1.470588235294117696e-01 9.517602887037407422e-01 4.823971129625916759e-02
1.176470588235294157e+00 1.470588235294117696e-01 9.625108046791478467e-01 3.748919532085217415e-02
1.323529411764705843e+00 1.470588235294117696e-01 9.708669207337859985e-01 2.913307926621405697e-02
1.470588235294117752e+00 1.470588235294117696e-01 9.772327156520930203e-01 2.276728434790698669e-02
1.617647058823529438e+00 1.470588235294117696e-01 9.820680343832033365e-01 1.793196561679673978e-02
1.764705882352941124e+00 1.470588235294117696e-01 9.857712945643778424e-01 1.422870543562228599e-02
1.911764705882353033e+00 1.470588235294117696e-01 9.885903518323621020e-01 1.140964816763802639e-02
2.058823529411764941e+00 1.470588235294117696e-01 9.907432916215448415e-01 9.256708378455109909e-03
2.205882352941176627e+00 1.470588235294117696e-01 9.923981515537740883e-01 7.601848446225988043e-03
2.352941176470588314e+00 1.470588235294117696e-01 9.936746685488432318e-01 6.325331451156726570e-03
2.500000000000000000e+00 1.470588235294117696e-01 9.946535826421725179e-01 5.346417357827418747e-03
2.647058823529411686e+00 1.470588235294117696e-01 9.954173307424515338e-01 4.582669257548406365e-03
2.794117647058823817e+00 1.470588235294117696e-01 9.960004586011579342e-01 3.999541398842183793e-03
