# Y X a0 a1 a2 a3
0.000000000000000000e+00 -1.000000000000000000e+00 1.445456418431508884e-02 1.243086090491793416e-01 6.865254798173792139e-01 1.747113469491262672e-01
0.000000000000000000e+00 -9.859719438877755371e-01 1.470129702721785850e-02 1.250050960085517249e-01 6.852183158208938751e-01 1.750752911433366421e-01
0.000000000000000000e+00 -9.719438877755510742e-01 1.494497802012155485e-02 1.257752607668292388e-01 6.838779136684224325e-01 1.754018475446267322e-01
3.867616328634674305e-01 -9.579158316633266113e-01 1.520036462419183110e-02 1.264724465080572235e-01 6.824498193422876557e-01 1.758773695254632341e-01
0.000000000000000000e+00 -9.438877755511021483e-01 1.548332260727515106e-02 1.273524966409577686e-01 6.807898350611075733e-01 1.763743456906596285e-01
0.000000000000000000e+00 -9.298597194388777964e-01 1.574282585062506540e-02 1.280123599062434336e-01 6.794757582869594970e-01 1.767690559561719277e-01
0.000000000000000000e+00 -9.158316633266533335e-01 1.602501670423516975e-02 1.290183479642312558e-01 6.777099115313141020e-01 1.772467238002194412e-01
1.520293686445143289e+00 -9.018036072144288706e-01 1.631343041257983170e-02 1.297727999257978215e-01 6.760712362453529245e-01 1.778425334162694882e-01
2.326457083126067360e+00 -8.877755511022044077e-01 1.659334375631639838e-02 1.305758441795406011e-01 6.743895915014948006e-01 1.784412205626481895e-01
0.000000000000000000e+00 -8.737474949899799448e-01 1.692666831177344275e-02 1.315784839054734701e-01 6.725015743220422726e-01 1.789932734607107279e-01
0.000000000000000000e+00 -8.597194388777554819e-01 1.721608583110512472e-02 1.324668090681865862e-01 6.708065074564392161e-01 1.795105976442689100e-01
3.103745175436515430e-02 -8.456913827655310190e-01 1.754634138536404278e-02 1.334488918827266279e-01 6.688260313994911499e-01 1.801787353324182384e-01
0.000000000000000000e+00 -8.316633266533066671e-01 1.787744359065941355e-02 1.344048614382785667e-01 6.669208218988006420e-01 1.807968730722613881e-01
2.033813164703544452e+00 -8.176352705410820931e-01 1.822643600251114965e-02 1.353555761639010091e-01 6.647985396545461612e-01 1.816194481790415760e-01
0.000000000000000000e+00 -8.036072144288577412e-01 1.857360338222962745e-02 1.363525298158460020e-01 6.629065890398470051e-01 1.821672777620773898e-01
6.783836732874515274e-01 -7.895791583166332783e-01 1.894219522370005696e-02 1.375119915538003390e-01 6.605794085656834236e-01 1.829664046568162672e-01
0.000000000000000000e+00 -7.755511022044088154e-01 1.931653525577865446e-02 1.385323577149805696e-01 6.584133972492547393e-01 1.837377097799860470e-01
1.929794001652468172e+00 -7.615230460921843525e-01 1.969545527315454125e-02 1.394941832061212528e-01 6.563536014783745154e-01 1.844567600423496767e-01
0.000000000000000000e+00 -7.474949899799598896e-01 2.008958640720111266e-02 1.406023193052431675e-01 6.539914709361106526e-01 1.853166233514451089e-01
0.000000000000000000e+00 -7.334669338677355377e-01 2.050315350090309297e-02 1.417355189275468774e-01 6.517137440140691185e-01 1.860475835574808556e-01
2.397178208323287762e+00 -7.194388777555109638e-01 2.092530816704394822e-02 1.428794355511074643e-01 6.493361361307815605e-01 1.868591201510670929e-01
0.000000000000000000e+00 -7.054108216432866119e-01 2.133797415429038169e-02 1.439955382320848298e-01 6.469435408632895346e-01 1.877229467503352123e-01
1.589805006157847256e+00 -6.913827655310621489e-01 2.178796642889807220e-02 1.452871103029916844e-01 6.442752824049803317e-01 1.886496408631298805e-01
0.000000000000000000e+00 -6.773547094188376860e-01 2.223626170394520096e-02 1.464766040767840061e-01 6.418282600882725397e-01 1.894588741309983226e-01
0.000000000000000000e+00 -6.633266533066132231e-01 2.269907097132057780e-02 1.477088570312795890e-01 6.391402562702613865e-01 1.904518157271384293e-01
1.736233074094597706e+00 -6.492985971943887602e-01 2.318233586340279206e-02 1.490583673056256053e-01 6.363034527771914695e-01 1.914558440537801332e-01
2.331399711227013505e+00 -6.352705410821642973e-01 2.367118383807931270e-02 1.503898282399443176e-01 6.335642445133223832e-01 1.923747434086540420e-01
0.000000000000000000e+00 -6.212424849699398344e-01 2.417693785697900069e-02 1.516653417873189136e-01 6.309020733105863421e-01 1.932556470451157749e-01
0.000000000000000000e+00 -6.072144288577154825e-01 2.471476214142059522e-02 1.529583526113853509e-01 6.279478461955146917e-01 1.943790390516793309e-01
1.139234703713363883e+00 -5.931863727454909085e-01 2.521234025288852931e-02 1.543428139275113131e-01 6.250874466817166741e-01 1.953573991378835251e-01
0.000000000000000000e+00 -5.791583166332665567e-01 2.577370155525642026e-02 1.555659325746600319e-01 6.222805519711542832e-01 1.963798138989291675e-01
0.000000000000000000e+00 -5.651302605210420937e-01 2.634252440800509062e-02 1.571296069721108690e-01 6.192069311827822498e-01 1.973209374371019120e-01
2.881307264552379066e-01 -5.511022044088176308e-01 2.690982948292200763e-02 1.586291951097724973e-01 6.159009817114721175e-01 1.985599936958334089e-01
0.000000000000000000e+00 -5.370741482965931679e-01 2.749632892841876938e-02 1.601098808812051189e-01 6.127821012099231579e-01 1.996116889804529781e-01
0.000000000000000000e+00 -5.230460921843687050e-01 2.809398794496267490e-02 1.614854191651201587e-01 6.097414532333176318e-01 2.006791396565995034e-01
0.000000000000000000e+00 -5.090180360721443531e-01 2.872411393412357267e-02 1.629239370901046646e-01 6.064195221121304602e-01 2.019324268636413511e-01
0.000000000000000000e+00 -4.949899799599197792e-01 2.934716936657197350e-02 1.645513342589527972e-01 6.032018568870175512e-01 2.028996394874576226e-01
5.763014085674598164e-01 -4.809619238476954273e-01 3.001815985044795076e-02 1.661083048000106255e-01 5.995800823884346320e-01 2.042934529611068750e-01
9.742619986271466859e-01 -4.669338677354709644e-01 3.068593949232946427e-02 1.677109153629466609e-01 5.962791106274658581e-01 2.053240345172580306e-01
2.463553802080919120e+00 -4.529058116232465014e-01 3.138002954235602493e-02 1.692908227327510895e-01 5.928692523043893603e-01 2.064598954205034975e-01
0.000000000000000000e+00 -4.388777555110220385e-01 3.206937939030046758e-02 1.709760638763867246e-01 5.891913786974735112e-01 2.077631780358393243e-01
2.384913083324001093e+00 -4.248496993987975756e-01 3.281171957481118784e-02 1.724879954592974662e-01 5.857686735181764082e-01 2.089316114477149655e-01
0.000000000000000000e+00 -4.108216432865731127e-01 3.356243155808776718e-02 1.743078899734214482e-01 5.818126293589238607e-01 2.103170491095668615e-01
0.000000000000000000e+00 -3.967935871743486498e-01 3.429427054329553526e-02 1.759303991867740280e-01 5.784498315801689383e-01 2.113254986897614707e-01
1.765983268522226757e+00 -3.827655310621242979e-01 3.507471522274265702e-02 1.776204976001872493e-01 5.745308532444920457e-01 2.127739339325781243e-01
0.000000000000000000e+00 -3.687374749498998350e-01 3.588051667281835083e-02 1.794921320525675601e-01 5.706148567344273559e-01 2.140124945401866707e-01
0.000000000000000000e+00 -3.547094188376753721e-01 3.668424278768959296e-02 1.812285399240928518e-01 5.668179238546163790e-01 2.152692934336012665e-01
0.000000000000000000e+00 -3.406813627254509091e-01 3.750341348477127801e-02 1.828905004876739127e-01 5.630606792917137726e-01 2.165454067358411339e-01
1.417938334574973647e+00 -3.266533066132264462e-01 3.836377267073658170e-02 1.847835471622102377e-01 5.589200647594213534e-01 2.179326154076318411e-01
2.730765869558274272e-01 -3.126252505010019833e-01 3.924045512212952225e-02 1.865453307656136650e-01 5.548966251260613047e-01 2.193175889861954386e-01
0.000000000000000000e+00 -2.985971943887775204e-01 4.011893117986210788e-02 1.883686731208958631e-01 5.509952348668818445e-01 2.205171608323601706e-01
1.801987072754409169e+00 -2.845691382765530575e-01 4.105844290746305664e-02 1.903579503480447577e-01 5.469512382178519649e-01 2.216323685266403387e-01
0.000000000000000000e+00 -2.705410821643285946e-01 4.198316285988043517e-02 1.922960074485756399e-01 5.426086881593601419e-01 2.231121415321838108e-01
0.000000000000000000e+00 -2.565130260521042427e-01 4.290240125035454932e-02 1.940761774426673913e-01 5.385421442684666937e-01 2.244792770385112823e-01
1.484720460844509482e+00 -2.424849699398797798e-01 4.387173872561622723e-02 1.959514806406152387e-01 5.343094617657051515e-01 2.258673188680633270e-01
0.000000000000000000e+00 -2.284569138276553169e-01 4.489863466177894391e-02 1.979437041900474759e-01 5.299548812471799319e-01 2.272027799009936067e-01
2.424826069296909026e+00 -2.144288577154308539e-01 4.587323184971687368e-02 1.999403575604517258e-01 5.258137826065437670e-01 2.283726279832877515e-01
2.273965118669688756e+00 -2.004008016032063910e-01 4.693206532965227967e-02 2.018613519829226544e-01 5.213439547043041689e-01 2.298626279831208485e-01
0.000000000000000000e+00 -1.863727454909819281e-01 4.798475196848572127e-02 2.037207011667899192e-01 5.172891018540775043e-01 2.310054450106467927e-01
0.000000000000000000e+00 -1.723446893787574652e-01 4.902127019361402632e-02 2.057735890043772831e-01 5.128186863492766312e-01 2.323864544527320664e-01
1.535258319332945209e+00 -1.583166332665331133e-01 5.017715796451206745e-02 2.077936067974481549e-01 5.082263633337408271e-01 2.338028719042989367e-01
7.569983922303126223e-01 -1.442885771543086504e-01 5.131361717116083437e-02 2.099057628287278043e-01 5.035061958225389711e-01 2.352744241775724110e-01
1.125606788822949289e+00 -1.302605210420841875e-01 5.241677798892827034e-02 2.119515589414093792e-01 4.991777275551413928e-01 2.364539355145208466e-01
0.000000000000000000e+00 -1.162324649298597246e-01 5.358960318104272202e-02 2.138901629485748246e-01 4.946832503658009084e-01 2.378369835045816283e-01
0.000000000000000000e+00 -1.022044088176352616e-01 5.475369374787276283e-02 2.161023012781348451e-01 4.899361636539803500e-01 2.392078413200120490e-01
2.076922519496813724e+00 -8.817635270541079873e-02 5.603408085248696296e-02 2.181865323750297181e-01 4.853230556099922821e-01 2.404563311624910715e-01
0.000000000000000000e+00 -7.414829659318633581e-02 5.720816597524273212e-02 2.203472977970168667e-01 4.806390154489430522e-01 2.418055207787973837e-01
0.000000000000000000e+00 -6.012024048096187290e-02 5.851138456203606314e-02 2.223316168456981323e-01 4.760146121586575352e-01 2.431423864336080820e-01
1.401098243596208714e+00 -4.609218436873740998e-02 5.974840582473572165e-02 2.245914659853066042e-01 4.710689399404209277e-01 2.445911882495367951e-01
2.084145283832957996e-01 -3.206412825651305809e-02 6.105378743142715614e-02 2.267242556902351047e-01 4.664538322547925886e-01 2.457681246235450812e-01
0.000000000000000000e+00 -1.803607214428859518e-02 6.237914222566669220e-02 2.286806214982363139e-01 4.618939867497038332e-01 2.470462495263932856e-01
0.000000000000000000e+00 -4.008016032064132261e-03 6.372941919156603630e-02 2.308938864917942646e-01 4.570340731492801845e-01 2.483426211673594730e-01
0.000000000000000000e+00 1.002004008016044168e-02 6.505986642547885446e-02 2.330917629749974518e-01 4.524204561889041409e-01 2.494279144106196500e-01
0.000000000000000000e+00 2.404809619238479357e-02 6.650777734563013965e-02 2.352686702532399421e-01 4.474314029010721394e-01 2.507921495000577372e-01
2.869897894172917852e+00 3.807615230460914546e-02 6.786447879971702069e-02 2.374892271053187232e-01 4.425537952926593688e-01 2.520924988023048874e-01
3.488878713638793982e+00 5.210420841683371940e-02 6.934046791471681903e-02 2.394695495695013665e-01 4.378241637884381365e-01 2.533658187273435392e-01
1.599031212770050780e+00 6.613226452905807129e-02 7.074373018376006739e-02 2.417815143514046305e-01 4.329995204885558335e-01 2.544752349762794408e-01
3.413624782108874989e+00 8.016032064128264523e-02 7.224322627506296612e-02 2.440847425151251304e-01 4.280079331088319505e-01 2.556640981009799529e-01
0.000000000000000000e+00 9.418837675350699712e-02 7.371806116421869559e-02 2.461884665530340022e-01 4.233086356763113289e-01 2.567848366064360843e-01
0.000000000000000000e+00 1.082164328657315711e-01 7.521527945947183158e-02 2.484561535410489963e-01 4.184241644065831989e-01 2.579044025928959316e-01
3.288603922100730159e+00 1.222444889779559229e-01 7.676001831231984984e-02 2.505391240939419673e-01 4.134912822266224586e-01 2.592095753671157521e-01
0.000000000000000000e+00 1.362725450901802748e-01 7.830823175037965322e-02 2.528212702926042055e-01 4.086163093861977513e-01 2.602541885708184455e-01
1.667217973451809776e+00 1.503006012024048488e-01 7.981435435399063250e-02 2.548636528517686517e-01 4.039403546993639016e-01 2.613816380948768558e-01
2.982767737492475479e+00 1.643286573146292007e-01 8.148258413140181677e-02 2.570998381367528562e-01 3.990092838752446469e-01 2.624082938566006939e-01
0.000000000000000000e+00 1.783567134268537746e-01 8.308190421255201574e-02 2.591970505160041682e-01 3.941442970472818774e-01 2.635767482241619386e-01
0.000000000000000000e+00 1.923847695390781265e-01 8.470297730061035479e-02 2.615629689207802921e-01 3.890763802654539916e-01 2.646576735131555003e-01
2.810448421304910571e+00 2.064128256513027004e-01 8.635527353584090959e-02 2.638392751626528754e-01 3.842915027348391965e-01 2.655139485666669352e-01
3.031206301911647749e+00 2.204408817635270523e-01 8.803957390411122630e-02 2.657887957662686818e-01 3.796281128838522312e-01 2.665435174457679302e-01
2.304786775321670422e+00 2.344689378757514042e-01 8.968199426029993537e-02 2.681844022422891216e-01 3.748005916634697954e-01 2.673330118339410921e-01
0.000000000000000000e+00 2.484969939879759782e-01 9.136334848236875306e-02 2.702365321819332200e-01 3.699906978340750663e-01 2.684094215016229468e-01
0.000000000000000000e+00 2.625250501002003300e-01 9.307476298704715767e-02 2.725996522368918651e-01 3.648881359914105671e-01 2.694374487846504240e-01
2.758559997658789786e+00 2.765531062124249040e-01 9.485270711850841974e-02 2.745946261817482914e-01 3.603049632829246618e-01 2.702477034168186409e-01
0.000000000000000000e+00 2.905811623246492559e-01 9.652583494402584841e-02 2.769385724283504602e-01 3.553702537341871248e-01 2.711653388934366360e-01
2.941122902310770115e+00 3.046092184368738298e-01 9.828260033999483558e-02 2.791299198910159873e-01 3.507414478008278325e-01 2.718460319681613169e-01
0.000000000000000000e+00 3.186372745490981817e-01 1.000258561976893196e-01 2.811558370120431638e-01 3.460515078240286035e-01 2.727667989662388992e-01
0.000000000000000000e+00 3.326653306613227556e-01 1.018712539320731358e-01 2.832746499845087973e-01 3.413654229808686935e-01 2.734886731025494289e-01
3.294051388267301039e+00 3.466933867735471075e-01 1.036165574693827113e-01 2.855167811838660308e-01 3.366180515494626158e-01 2.742486097972886006e-01
2.580493278641299959e+00 3.607214428857714594e-01 1.054540295041783426e-01 2.875760671068102736e-01 3.320652863181348113e-01 2.749046170708766557e-01
0.000000000000000000e+00 3.747494989979960334e-01 1.072822645267533931e-01 2.897596717558003632e-01 3.273322852803924321e-01 2.756257784370539365e-01
3.021049811399951213e-01 3.887775551102203853e-01 1.089903110509320011e-01 2.917461494001465927e-01 3.228750395930447548e-01 2.763884999558766653e-01
7.632096448248244513e-01 4.028056112224449592e-01 1.109199385062712845e-01 2.939376398526450940e-01 3.182347770088200245e-01 2.769076446322635277e-01
0.000000000000000000e+00 4.168336673346693111e-01 1.127233815426823132e-01 2.962121490598721985e-01 3.136184603529816872e-01 2.774460090444637594e-01
0.000000000000000000e+00 4.308617234468938850e-01 1.145205800039375971e-01 2.982696769631348332e-01 3.090101709904564120e-01 2.781995720424711993e-01
0.000000000000000000e+00 4.448897795591182369e-01 1.164344774227347307e-01 3.002751652887923339e-01 3.044625377854058290e-01 2.788278195030670092e-01
0.000000000000000000e+00 4.589178356713428109e-01 1.182719185047747118e-01 3.023248738533724222e-01 3.002070361494014739e-01 2.791961714924514060e-01
3.094706711243528363e-01 4.729458917835671627e-01 1.200681752636819921e-01 3.044999455613096040e-01 2.958210715765945964e-01 2.796108075984138908e-01
3.018909574495941772e+00 4.869739478957915146e-01 1.220475701584690237e-01 3.065563429811334895e-01 2.912669829858198223e-01 2.801291038745776230e-01
1.064436836650165974e+00 5.010020040080160886e-01 1.238939355180357083e-01 3.085811156519370213e-01 2.870919738113313358e-01 2.804329750186958514e-01
3.903388882350181888e+00 5.150300601202404405e-01 1.258200333694415585e-01 3.106153361198545348e-01 2.827022768689755328e-01 2.808623536417282907e-01
1.666589931112848699e+00 5.290581162324650144e-01 1.276243582362366347e-01 3.125047625532894058e-01 2.785602342770423512e-01 2.813106449334316084e-01
0.000000000000000000e+00 5.430861723446893663e-01 1.295090286344143804e-01 3.145307294134732645e-01 2.742463941160661611e-01 2.817138478360461940e-01
0.000000000000000000e+00 5.571142284569139402e-01 1.314725716102920494e-01 3.165976645434389058e-01 2.700823132838465757e-01 2.818474505624224968e-01
1.856147597181415643e+00 5.711422845691382921e-01 1.332267357611911507e-01 3.186170443237719141e-01 2.660315589618614807e-01 2.821246609531753990e-01
9.592197069992225433e-01 5.851703406813626440e-01 1.351216799948739000e-01 3.204672752876625563e-01 2.620170367209975759e-01 2.823940079964659122e-01
0.000000000000000000e+00 5.991983967935872180e-01 1.369622171905272023e-01 3.226694047552895461e-01 2.579559544849248098e-01 2.824124235692586082e-01
1.358745585500091835e+00 6.132264529058115698e-01 1.388720429795826383e-01 3.244544519074816780e-01 2.539341654284741900e-01 2.827393396844615214e-01
2.131118240830143229e+00 6.272545090180361438e-01 1.407846144193850291e-01 3.263025701707757964e-01 2.500628169576418203e-01 2.828499984521973265e-01
5.495965628992690588e-01 6.412825651302604957e-01 1.425689794874360483e-01 3.283821150664970601e-01 2.460891188040778832e-01 2.829597866419889529e-01
1.023363547697125231e+00 6.553106212424850696e-01 1.444436758502000706e-01 3.302090441704500501e-01 2.422692531580258601e-01 2.830780268213239359e-01
1.448497457084907847e+00 6.693386773547094215e-01 1.463211872348685050e-01 3.319174893845022734e-01 2.386836255716042465e-01 2.830776978090249751e-01
0.000000000000000000e+00 6.833667334669337734e-01 1.481331663865395054e-01 3.339700067694749142e-01 2.346418456354557314e-01 2.832549812085297658e-01
2.923041799362121829e+00 6.973947895791583473e-01 1.499742378608634741e-01 3.358961935439239710e-01 2.311187695293920041e-01 2.830107990658206063e-01
2.618828117264301980e+00 7.114228456913826992e-01 1.517812947069494267e-01 3.376484679150803525e-01 2.275632153726403206e-01 2.830070220053297891e-01
2.800313651049273211e+00 7.254509018036072732e-01 1.535914629085461391e-01 3.395905259499045203e-01 2.239112068069953887e-01 2.829068043345539518e-01
0.000000000000000000e+00 7.394789579158316251e-01 1.553959999619837773e-01 3.411436265140435076e-01 2.204492044039836618e-01 2.830111691199890811e-01
6.750843458843736045e-01 7.535070140280561990e-01 1.571306002640439625e-01 3.431414313647911940e-01 2.169531086971270839e-01 2.827748596740376485e-01
0.000000000000000000e+00 7.675350701402805509e-01 1.589729169049687307e-01 3.448824339769592795e-01 2.135886160539406109e-01 2.825560330641314066e-01
3.618189645662093223e+00 7.815631262525051248e-01 1.607779180299420407e-01 3.466547541792528442e-01 2.100583788591679768e-01 2.825089489316371383e-01
0.000000000000000000e+00 7.955911823647294767e-01 1.623896868249905256e-01 3.484959750316050098e-01 2.068102888682796237e-01 2.823040492751248132e-01
3.636241016014050143e+00 8.096192384769538286e-01 1.641553510995117093e-01 3.501287638698828975e-01 2.035214676420465107e-01 2.821944173885588825e-01
0.000000000000000000e+00 8.236472945891784025e-01 1.659103675069837081e-01 3.518696745055546193e-01 2.002802705207486489e-01 2.819396874667130515e-01
