# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
0.000000000000000000e+00 -1.000000000000000000e+00 4.440892098500626162e-16 2.687383550991795337e-05 5.374767101983590674e-05 5.183998023718561395e-03 1.036799604743712279e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961648494663410638e-02 5.923296989326821277e-02 1.720944070754018007e-01 3.441888141508036014e-01
0.000000000000000000e+00 -9.859719438877755371e-01 4.440892098500626162e-16 2.680485616749864208e-05 5.360971233499728416e-05 5.177340646267989538e-03 1.035468129253597908e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961641596729168782e-02 5.923283193458337564e-02 1.720942066639423174e-01 3.441884133278846347e-01
0.000000000000000000e+00 -9.719438877755510742e-01 4.440892098500626162e-16 2.673587682507932740e-05 5.347175365015865479e-05 5.170674697278811183e-03 1.034134939455762237e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961634698794926579e-02 5.923269397589853158e-02 1.720940062522494374e-01 3.441880125044988747e-01
3.867616328634674305e-01 -9.579158316633266113e-01 4.440892098500626162e-16 2.666689748266001610e-05 5.333379496532003220e-05 5.164000143557319865e-03 1.032800028711463973e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961627800860684723e-02 5.923255601721369445e-02 1.720938058403231607e-01 3.441876116806463215e-01
0.000000000000000000e+00 -9.438877755511021483e-01 4.440892098500626162e-16 2.659791814024070481e-05 5.319583628048140962e-05 5.157316951695009588e-03 1.031463390339001918e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961620902926442866e-02 5.923241805852885733e-02 1.720936054281635152e-01 3.441872108563270305e-01
0.000000000000000000e+00 -9.298597194388777964e-01 4.440892098500626162e-16 2.652893879782139690e-05 5.305787759564279380e-05 5.150625088066631933e-03 1.030125017613326387e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961614004992201010e-02 5.923228009984402020e-02 1.720934050157704731e-01 3.441868100315409462e-01
0.000000000000000000e+00 -9.158316633266533335e-01 4.440892098500626162e-16 2.645995945540208561e-05 5.291991891080417121e-05 5.143924518828215005e-03 1.028784903765643001e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961607107057959154e-02 5.923214214115918308e-02 1.720932046031440343e-01 3.441864092062880687e-01
1.520293686445143289e+00 -9.018036072144288706e-01 4.440892098500626162e-16 2.639098011298277093e-05 5.278196022596554185e-05 5.137215209915073702e-03 1.027443041983014740e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961600209123716951e-02 5.923200418247433902e-02 1.720930041902841712e-01 3.441860083805683423e-01
2.326457083126067360e+00 -8.877755511022044077e-01 4.440892098500626162e-16 2.632200077056344608e-05 5.264400154112689216e-05 5.130497127039780961e-03 1.026099425407956192e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961593311189475095e-02 5.923186622378950189e-02 1.720928037771909669e-01 3.441856075543819338e-01
0.000000000000000000e+00 -8.737474949899799448e-01 4.440892098500626162e-16 2.625302142814413817e-05 5.250604285628827634e-05 5.123770235690134657e-03 1.024754047138026931e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961586413255233238e-02 5.923172826510466477e-02 1.720926033638643382e-01 3.441852067277286764e-01
