# Y X a0 a1
1.860813070519658163e+00 -1.000000000000000000e+00 9.987669199873477899e-01 1.233080012652127072e-03
2.294639311766615730e+00 -9.859719438877755371e-01 9.987596760394006346e-01 1.240323960599405131e-03
1.701319506493193190e+00 -9.719438877755510742e-01 9.987530688788217592e-01 1.246931121178251412e-03
1.936575129184385347e+00 -9.579158316633266113e-01 9.987448861334045080e-01 1.255113866595503232e-03
1.614075307851950303e+00 -9.438877755511021483e-01 9.987384250223909632e-01 1.261574977609164093e-03
1.828101810890501167e+00 -9.298597194388777964e-01 9.987302368312204193e-01 1.269763168779584634e-03
1.876006495831087140e+00 -9.158316633266533335e-01 9.987195857352877404e-01 1.280414264712239009e-03
2.309061133255727150e+00 -9.018036072144288706e-01 9.987123741830863377e-01 1.287625816913688962e-03
1.723196956104520394e+00 -8.877755511022044077e-01 9.987025978497318102e-01 1.297402150268254454e-03
2.266465499532345440e+00 -8.737474949899799448e-01 9.986924792888471902e-01 1.307520711152788083e-03
2.547017800706913082e+00 -8.597194388777554819e-01 9.986826014715912692e-01 1.317398528408635213e-03
2.303719753701170880e+00 -8.456913827655310190e-01 9.986709197171096397e-01 1.329080282890414714e-03
2.622056195774792986e+00 -8.316633266533066671e-01 9.986605539822235311e-01 1.339446017776425293e-03
2.102607446096517396e+00 -8.176352705410820931e-01 9.986475781348942427e-01 1.352421865105816329e-03
1.711917993415460248e+00 -8.036072144288577412e-01 9.986364523395350190e-01 1.363547660465033035e-03
2.683289089798420068e+00 -7.895791583166332783e-01 9.986239875564094648e-01 1.376012443590485549e-03
2.055401177676632773e+00 -7.755511022044088154e-01 9.986103065473794782e-01 1.389693452620645829e-03
2.046672078192254940e+00 -7.615230460921843525e-01 9.985968378321582462e-01 1.403162167841823455e-03
2.502624283000441707e+00 -7.474949899799598896e-01 9.985825436241939634e-01 1.417456375806121129e-03
2.082484423838373289e+00 -7.334669338677355377e-01 9.985682488883872443e-01 1.431751111612768060e-03
1.903768032554856049e+00 -7.194388777555109638e-01 9.985520489586499071e-01 1.447951041350117613e-03
2.187078586051284912e+00 -7.054108216432866119e-01 9.985361009236266572e-01 1.463899076373432161e-03
2.005604214157833187e+00 -6.913827655310621489e-01 9.985193724337434462e-01 1.480627566256509332e-03
1.883179787742436329e+00 -6.773547094188376860e-01 9.985033438925543514e-01 1.496656107445656393e-03
2.770236354084221198e+00 -6.633266533066132231e-01 9.984857901301423810e-01 1.514209869857696157e-03
2.256650051924240508e+00 -6.492985971943887602e-01 9.984677955291603180e-01 1.532204470839657095e-03
1.992610122340066292e+00 -6.352705410821642973e-01 9.984471784227637592e-01 1.552821577236296758e-03
1.911050086331518960e+00 -6.212424849699398344e-01 9.984277372575386389e-01 1.572262742461462155e-03
2.786749600637303814e+00 -6.072144288577154825e-01 9.984067607941078393e-01 1.593239205892143812e-03
2.160336933797266212e+00 -5.931863727454909085e-01 9.983851268516084065e-01 1.614873148391579149e-03
2.524155056137946218e+00 -5.791583166332665567e-01 9.983635885803905374e-01 1.636411419609428743e-03
1.951183391595950889e+00 -5.651302605210420937e-01 9.983404744213982829e-01 1.659525578601691318e-03
2.039237547734726430e+00 -5.511022044088176308e-01 9.983159964259038510e-01 1.684003574096111901e-03
2.884638881818785805e+00 -5.370741482965931679e-01 9.982930165371979303e-01 1.706983462802144072e-03
2.374849395040889544e+00 -5.230460921843687050e-01 9.982668142680229950e-01 1.733185731976938848e-03
2.351495847485664648e+00 -5.090180360721443531e-01 9.982414815771060157e-01 1.758518422894054991e-03
2.362935936697977191e+00 -4.949899799599197792e-01 9.982141608166499314e-01 1.785839183350131738e-03
2.717985703335645375e+00 -4.809619238476954273e-01 9.981853861568542596e-01 1.814613843145737333e-03
2.682029710910280862e+00 -4.669338677354709644e-01 9.981565073259656140e-01 1.843492674034457549e-03
2.125701305053893098e+00 -4.529058116232465014e-01 9.981266669992581164e-01 1.873333000741930418e-03
2.431708382802094004e+00 -4.388777555110220385e-01 9.980961037928930413e-01 1.903896207106905384e-03
2.734813879509719214e+00 -4.248496993987975756e-01 9.980633396323522755e-01 1.936660367647823197e-03
2.393934410830860671e+00 -4.108216432865731127e-01 9.980302860745527971e-01 1.969713925447345165e-03
2.787706881355635602e+00 -3.967935871743486498e-01 9.979960538011051208e-01 2.003946198894972046e-03
2.498709788252930775e+00 -3.827655310621242979e-01 9.979611119657297857e-01 2.038888034270225531e-03
2.732164987910199461e+00 -3.687374749498998350e-01 9.979233317589882857e-01 2.076668241011721261e-03
2.889048210711075093e+00 -3.547094188376753721e-01 9.978861961777237832e-01 2.113803822276179908e-03
2.256809115328819448e+00 -3.406813627254509091e-01 9.978472762685363096e-01 2.152723731463710398e-03
2.526906257674666811e+00 -3.266533066132264462e-01 9.978072052161061078e-01 2.192794783893918607e-03
2.688708677352270371e+00 -3.126252505010019833e-01 9.977656009414418437e-01 2.234399058558040989e-03
2.867976318690622861e+00 -2.985971943887775204e-01 9.977233730575638671e-01 2.276626942436018024e-03
3.142613738626552244e+00 -2.845691382765530575e-01 9.976774356611420869e-01 2.322564338857926580e-03
2.732258517451370494e+00 -2.705410821643285946e-01 9.976311956989268870e-01 2.368804301073015438e-03
2.846491906374660541e+00 -2.565130260521042427e-01 9.975818226230859231e-01 2.418177376914212168e-03
3.022542478326101456e+00 -2.424849699398797798e-01 9.975306763030422630e-01 2.469323696957765202e-03
2.542259661121631709e+00 -2.284569138276553169e-01 9.974817927475458923e-01 2.518207252454088621e-03
2.964099341553111167e+00 -2.144288577154308539e-01 9.974285618264241426e-01 2.571438173575992664e-03
2.858202725274742839e+00 -2.004008016032063910e-01 9.973742880273177569e-01 2.625711972682210141e-03
2.752826125781787425e+00 -1.863727454909819281e-01 9.973128684381702413e-01 2.687131561829801153e-03
2.382318877831561821e+00 -1.723446893787574652e-01 9.972560943651558318e-01 2.743905634844087497e-03
2.443203992491045806e+00 -1.583166332665331133e-01 9.971944820108411545e-01 2.805517989158937912e-03
2.731722885180817517e+00 -1.442885771543086504e-01 9.971309540610806543e-01 2.869045938919429807e-03
3.061044988867913208e+00 -1.302605210420841875e-01 9.970679318335592400e-01 2.932068166440700979e-03
2.577526070788413559e+00 -1.162324649298597246e-01 9.969982676939954658e-01 3.001732306004557642e-03
2.593774399495997418e+00 -1.022044088176352616e-01 9.969281844231909773e-01 3.071815576809097757e-03
2.536539848033715572e+00 -8.817635270541079873e-02 9.968571999960410546e-01 3.142800003958986198e-03
3.266010700556347679e+00 -7.414829659318633581e-02 9.967814582618067520e-01 3.218541738193267908e-03
2.664489684771706113e+00 -6.012024048096187290e-02 9.967036876593804440e-01 3.296312340619468855e-03
2.900278361296076302e+00 -4.609218436873740998e-02 9.966219379448926219e-01 3.378062055107410640e-03
3.089461689353300677e+00 -3.206412825651305809e-02 9.965394576998714005e-01 3.460542300128604740e-03
2.548360301987278920e+00 -1.803607214428859518e-02 9.964527390710735677e-01 3.547260928926450514e-03
3.245568604077639030e+00 -4.008016032064132261e-03 9.963641778832259543e-01 3.635822116774101598e-03
2.975016710791975161e+00 1.002004008016044168e-02 9.962705858437241879e-01 3.729414156275836795e-03
2.904428193863827889e+00 2.404809619238479357e-02 9.961748442251050495e-01 3.825155774894963088e-03
3.522585994296495215e+00 3.807615230460914546e-02 9.960757423401465083e-01 3.924257659853453567e-03
3.511201161002228677e+00 5.210420841683371940e-02 9.959700414403361846e-01 4.029958559663876158e-03
3.220848671634572113e+00 6.613226452905807129e-02 9.958631447399529657e-01 4.136855260046964911e-03
3.544441536383994951e+00 8.016032064128264523e-02 9.957532345965444120e-01 4.246765403455622645e-03
3.259328574357533981e+00 9.418837675350699712e-02 9.956391817510056308e-01 4.360818248994358798e-03
2.854680637111541408e+00 1.082164328657315711e-01 9.955198605420690905e-01 4.480139457930937263e-03
3.586303761819975122e+00 1.222444889779559229e-01 9.953953593854398818e-01 4.604640614560026254e-03
