# Y X drop drop_diff a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 1.338655707406196882e+00 1.338655707406196882e+00 8.867404265367943850e-02 1.999489815175002072e-01
1.470588235294117696e-01 0.000000000000000000e+00 1.234757377328766337e+00 1.234757377328766337e+00 1.124838214342144399e-01 2.390305359896401916e-01
2.941176470588235392e-01 0.000000000000000000e+00 1.134815166364573358e+00 1.134815166364573358e+00 1.388845837929773008e-01 2.782577210182030636e-01
4.411764705882352811e-01 0.000000000000000000e+00 1.042247141063964433e+00 1.042247141063964433e+00 1.665181872851166645e-01 3.155681780995676644e-01
5.882352941176470784e-01 0.000000000000000000e+00 9.574556161144385236e-01 9.574556161144385236e-01 1.943265318791122520e-01 3.495547011290125461e-01
7.352941176470588758e-01 0.000000000000000000e+00 8.784071707459475409e-01 8.784071707459475409e-01 2.209671291455873043e-01 3.791645536509967718e-01
8.823529411764705621e-01 0.000000000000000000e+00 8.099288360700040990e-01 8.099288360700040990e-01 2.458620817171923989e-01 4.039192088329702779e-01
1.029411764705882470e+00 0.000000000000000000e+00 7.511269241028317722e-01 7.511269241028317722e-01 2.685840703243935756e-01 4.242158465960149671e-01
1.176470588235294157e+00 0.000000000000000000e+00 7.035299620009931587e-01 7.035299620009931587e-01 2.887996575646316622e-01 4.405646564421489275e-01
1.323529411764705843e+00 0.000000000000000000e+00 6.661471552788476025e-01 6.661471552788476025e-01 3.065559829816160708e-01 4.532456870746912614e-01
1.470588235294117752e+00 0.000000000000000000e+00 6.416985522441902567e-01 6.416985522441902567e-01 3.220547974858693485e-01 4.628097553170075207e-01
1.617647058823529438e+00 0.000000000000000000e+00 6.287594901975299688e-01 6.287594901975299688e-01 3.355202131480661265e-01 4.697563170537755184e-01
1.764705882352941124e+00 0.000000000000000000e+00 6.280701107723494214e-01 6.280701107723494214e-01 3.471620240878355856e-01 4.743728704070874769e-01
1.911764705882353033e+00 0.000000000000000000e+00 6.405998109693844533e-01 6.405998109693844533e-01 3.579958035193158694e-01 4.761763230568972216e-01
2.058823529411764941e+00 0.000000000000000000e+00 6.649783467372374357e-01 6.649783467372374357e-01 3.673187519316805649e-01 4.762268896670442397e-01
2.205882352941176627e+00 0.000000000000000000e+00 7.002966220887540949e-01 7.002966220887540949e-01 3.765254261848652306e-01 4.737086500250919929e-01
2.352941176470588314e+00 0.000000000000000000e+00 7.482390155999691927e-01 7.482390155999691927e-01 3.854973890919202728e-01 4.688681171109474466e-01
2.500000000000000000e+00 0.000000000000000000e+00 8.073131005053222342e-01 8.073131005053222342e-01 3.943681697996076485e-01 4.615781276878430095e-01
2.647058823529411686e+00 0.000000000000000000e+00 8.756461184166035583e-01 8.756461184166035583e-01 4.039404894835272319e-01 4.513048267178162432e-01
2.794117647058823817e+00 0.000000000000000000e+00 9.548170535329751907e-01 9.548170535329751907e-01 4.141074853870456707e-01 4.382404889458251795e-01
2.941176470588235503e+00 0.000000000000000000e+00 1.041888160402729913e+00 1.041888160402729913e+00 4.249643929973042078e-01 4.220729099883790969e-01
3.088235294117647189e+00 0.000000000000000000e+00 1.135977066193806451e+00 1.135977066193806451e+00 4.364860960552820468e-01 4.031282927682654504e-01
3.235294117647058876e+00 0.000000000000000000e+00 1.235835899982929531e+00 1.235835899982929531e+00 4.487360270199121093e-01 3.809933721636914461e-01
3.382352941176470562e+00 0.000000000000000000e+00 1.343211785631270860e+00 1.343211785631270860e+00 4.612150612733839083e-01 3.560953005541453442e-01
3.529411764705882248e+00 0.000000000000000000e+00 1.452926955039343770e+00 1.452926955039343770e+00 4.736651708192592403e-01 3.288419705439639684e-01
3.676470588235294379e+00 0.000000000000000000e+00 1.564951380666078862e+00 1.564951380666078862e+00 4.857552451560869233e-01 2.995789805332135236e-01
3.823529411764706065e+00 0.000000000000000000e+00 1.678702427852378776e+00 1.678702427852378776e+00 4.969419328637048605e-01 2.689795506561428184e-01
