# Y X var std 2std a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 1.040366633195651369e+00 1.019983643592215383e+00 2.039967287184430766e+00 8.867404265367943850e-02 1.999489815175002072e-01
1.470588235294117696e-01 0.000000000000000000e+00 9.919084905720196854e-01 9.959460279412833961e-01 1.991892055882566792e+00 1.124838214342144399e-01 2.390305359896401916e-01
2.941176470588235392e-01 0.000000000000000000e+00 9.509481038390044105e-01 9.751656801995260970e-01 1.950331360399052194e+00 1.388845837929773008e-01 2.782577210182030636e-01
4.411764705882352811e-01 0.000000000000000000e+00 9.171659134299467997e-01 9.576877953852950265e-01 1.915375590770590053e+00 1.665181872851166645e-01 3.155681780995676644e-01
5.882352941176470784e-01 0.000000000000000000e+00 8.901379852078906696e-01 9.434712423852095187e-01 1.886942484770419037e+00 1.943265318791122520e-01 3.495547011290125461e-01
7.352941176470588758e-01 0.000000000000000000e+00 8.693709759370789047e-01 9.324006520466826542e-01 1.864801304093365308e+00 2.209671291455873043e-01 3.791645536509967718e-01
8.823529411764705621e-01 0.000000000000000000e+00 8.538745976980972596e-01 9.240533521924463312e-01 1.848106704384892662e+00 2.458620817171923989e-01 4.039192088329702779e-01
1.029411764705882470e+00 0.000000000000000000e+00 8.433739027932384280e-01 9.183539093362854677e-01 1.836707818672570935e+00 2.685840703243935756e-01 4.242158465960149671e-01
1.176470588235294157e+00 0.000000000000000000e+00 8.370713922920164363e-01 9.149160575112977867e-01 1.829832115022595573e+00 2.887996575646316622e-01 4.405646564421489275e-01
1.323529411764705843e+00 0.000000000000000000e+00 8.346725198565133619e-01 9.136041373902119567e-01 1.827208274780423913e+00 3.065559829816160708e-01 4.532456870746912614e-01
1.470588235294117752e+00 0.000000000000000000e+00 8.352319176480054175e-01 9.139102350056078627e-01 1.827820470011215725e+00 3.220547974858693485e-01 4.628097553170075207e-01
1.617647058823529438e+00 0.000000000000000000e+00 8.383892089264322056e-01 9.156359587338366302e-01 1.831271917467673260e+00 3.355202131480661265e-01 4.697563170537755184e-01
1.764705882352941124e+00 0.000000000000000000e+00 8.436341081061627944e-01 9.184955678206415675e-01 1.836991135641283135e+00 3.471620240878355856e-01 4.743728704070874769e-01
1.911764705882353033e+00 0.000000000000000000e+00 8.500775518833953992e-01 9.219965031839304492e-01 1.843993006367860898e+00 3.579958035193158694e-01 4.761763230568972216e-01
2.058823529411764941e+00 0.000000000000000000e+00 8.575068962527561123e-01 9.260166824916039596e-01 1.852033364983207919e+00 3.673187519316805649e-01 4.762268896670442397e-01
2.205882352941176627e+00 0.000000000000000000e+00 8.649944291041448130e-01 9.300507669499256114e-01 1.860101533899851223e+00 3.765254261848652306e-01 4.737086500250919929e-01
2.352941176470588314e+00 0.000000000000000000e+00 8.725083152736611281e-01 9.340815356668074054e-01 1.868163071333614811e+00 3.854973890919202728e-01 4.688681171109474466e-01
2.500000000000000000e+00 0.000000000000000000e+00 8.792850117627925011e-01 9.377019845146924437e-01 1.875403969029384887e+00 3.943681697996076485e-01 4.615781276878430095e-01
2.647058823529411686e+00 0.000000000000000000e+00 8.846617081019286788e-01 9.405645688106312186e-01 1.881129137621262437e+00 4.039404894835272319e-01 4.513048267178162432e-01
2.794117647058823817e+00 0.000000000000000000e+00 8.887432779625050738e-01 9.427318165642364356e-01 1.885463633128472871e+00 4.141074853870456707e-01 4.382404889458251795e-01
2.941176470588235503e+00 0.000000000000000000e+00 8.910419106946162460e-01 9.439501632473062953e-01 1.887900326494612591e+00 4.249643929973042078e-01 4.220729099883790969e-01
3.088235294117647189e+00 0.000000000000000000e+00 8.915428834080083575e-01 9.442154856853430811e-01 1.888430971370686162e+00 4.364860960552820468e-01 4.031282927682654504e-01
3.235294117647058876e+00 0.000000000000000000e+00 8.895102304944536575e-01 9.431385001655131495e-01 1.886277000331026299e+00 4.487360270199121093e-01 3.809933721636914461e-01
3.382352941176470562e+00 0.000000000000000000e+00 8.858148098642434354e-01 9.411773530340832306e-01 1.882354706068166461e+00 4.612150612733839083e-01 3.560953005541453442e-01
3.529411764705882248e+00 0.000000000000000000e+00 8.793730018937896409e-01 9.377489013023633246e-01 1.875497802604726649e+00 4.736651708192592403e-01 3.288419705439639684e-01
3.676470588235294379e+00 0.000000000000000000e+00 8.717439379732017102e-01 9.336722861760445857e-01 1.867344572352089171e+00 4.857552451560869233e-01 2.995789805332135236e-01
3.823529411764706065e+00 0.000000000000000000e+00 8.618415305755170452e-01 9.283542053416449225e-01 1.856708410683289845e+00 4.969419328637048605e-01 2.689795506561428184e-01
3.970588235294117752e+00 0.000000000000000000e+00 8.506552773040130244e-01 9.223097512788277497e-01 1.844619502557655499e+00 5.066010832957571486e-01 2.379142689864418569e-01
4.117647058823529882e+00 0.000000000000000000e+00 8.382781485121865162e-01 9.155753101259265225e-01 1.831150620251853045e+00 5.146736858099374423e-01 2.070127181007240524e-01
4.264705882352941124e+00 0.000000000000000000e+00 8.256066980488425688e-01 9.086290211350518398e-01 1.817258042270103680e+00 5.201191469851691451e-01 1.775308457594594602e-01
4.411764705882353255e+00 0.000000000000000000e+00 8.124687838185955524e-01 9.013705030777274807e-01 1.802741006155454961e+00 5.230930109644189585e-01 1.499087772934467599e-01
4.558823529411764497e+00 0.000000000000000000e+00 7.993897025700179571e-01 8.940859592735018735e-01 1.788171918547003747e+00 5.235091588044885613e-01 1.249423671104631095e-01
4.705882352941176627e+00 0.000000000000000000e+00 7.870136340605451419e-01 8.871378889781142973e-01 1.774275777956228595e+00 5.216537424018071745e-01 1.027329470749461238e-01
4.852941176470588758e+00 0.000000000000000000e+00 7.754863396148383714e-01 8.806170221014572030e-01 1.761234044202914406e+00 5.182968428433889496e-01 8.366394372309554628e-02
5.000000000000000000e+00 0.000000000000000000e+00 7.656939657467392024e-01 8.750394081107085720e-01 1.750078816221417144e+00 5.132413177334914645e-01 6.751430501280603069e-02
0.000000000000000000e+00 1.470588235294117696e-01 1.015458772706574031e+00 1.007699743329615982e+00 2.015399486659231965e+00 1.061799443641765761e-01 2.254164682501933192e-01
1.470588235294117696e-01 1.470588235294117696e-01 9.700848482503346970e-01 9.849288544104770615e-01 1.969857708820954123e+00 1.329878770647417163e-01 2.666459500008934169e-01
2.941176470588235392e-01 1.470588235294117696e-01 9.317335162707457430e-01 9.652634439730667371e-01 1.930526887946133474e+00 1.619448889149822657e-01 3.068326922714892380e-01
4.411764705882352811e-01 1.470588235294117696e-01 9.008041436298169780e-01 9.491070243285616437e-01 1.898214048657123287e+00 1.912553912352697449e-01 3.440221267740500855e-01
5.882352941176470784e-01 1.470588235294117696e-01 8.758324477333528923e-01 9.358592029431311854e-01 1.871718405886262371e+00 2.199684518683047707e-01 3.762283641146371149e-01
7.352941176470588758e-01 1.470588235294117696e-01 8.566838916857648645e-01 9.255721969061975196e-01 1.851144393812395039e+00 2.468700161031310014e-01 4.031487829572506509e-01
8.823529411764705621e-01 1.470588235294117696e-01 8.423685651358856497e-01 9.178063876090020168e-01 1.835612775218004034e+00 2.714421845624536700e-01 4.245767913106878733e-01
1.029411764705882470e+00 1.470588235294117696e-01 8.327176014335855303e-01 9.125336166046627007e-01 1.825067233209325401e+00 2.930349016051174149e-01 4.418623634552151236e-01
1.176470588235294157e+00 1.470588235294117696e-01 8.267593087624441894e-01 9.092630580654006422e-01 1.818526116130801284e+00 3.123558191979238785e-01 4.545652670765495396e-01
1.323529411764705843e+00 1.470588235294117696e-01 8.245728567323608038e-01 9.080599411560674739e-01 1.816119882312134948e+00 3.289650056150144608e-01 4.641803333290276390e-01
1.470588235294117752e+00 1.470588235294117696e-01 8.248163410161092335e-01 9.081939996587233832e-01 1.816387999317446766e+00 3.430449077372866862e-01 4.713357200719684448e-01
1.617647058823529438e+00 1.470588235294117696e-01 8.274306714208060631e-01 9.096321627013889133e-01 1.819264325402777827e+00 3.556491003638012072e-01 4.758023948578780082e-01
1.764705882352941124e+00 1.470588235294117696e-01 8.314817956942349708e-01 9.118562363082434175e-01 1.823712472616486835e+00 3.665785243453785203e-01 4.781570289080980252e-01
1.911764705882353033e+00 1.470588235294117696e-01 8.366553847246815945e-01 9.146886818610371339e-01 1.829377363722074268e+00 3.764190227739764860e-01 4.783880306045342201e-01
2.058823529411764941e+00 1.470588235294117696e-01 8.423179787514960548e-01 9.177788288860754262e-01 1.835557657772150852e+00 3.855262596951684606e-01 4.766692918505111010e-01
2.205882352941176627e+00 1.470588235294117696e-01 8.479506867770782996e-01 9.208423788993849168e-01 1.841684757798769834e+00 3.941595852342100748e-01 4.729748321340265238e-01
2.352941176470588314e+00 1.470588235294117696e-01 8.529492277493545549e-01 9.235525040566748833e-01 1.847105008113349767e+00 4.026445359582446759e-01 4.672425785168969337e-01
2.500000000000000000e+00 1.470588235294117696e-01 8.571311477886535135e-01 9.258137759769259345e-01 1.851627551953851869e+00 4.114515228200749664e-01 4.590329982244004126e-01
2.647058823529411686e+00 1.470588235294117696e-01 8.597157949748941430e-01 9.272086038076298165e-01 1.854417207615259633e+00 4.209550336301625673e-01 4.480482654646719687e-01
2.794117647058823817e+00 1.470588235294117696e-01 8.610361039561679197e-01 9.279203112100563589e-01 1.855840622420112718e+00 4.307953600457491428e-01 4.347677458467105738e-01
2.941176470588235503e+00 1.470588235294117696e-01 8.599458859510905606e-01 9.273326727507721357e-01 1.854665345501544271e+00 4.417379785471455822e-01 4.182218635058876366e-01
3.088235294117647189e+00 1.470588235294117696e-01 8.573703246976164261e-01 9.259429381433914585e-01 1.851885876286782917e+00 4.531246909014093327e-01 3.989665191533373623e-01
3.235294117647058876e+00 1.470588235294117696e-01 8.521386438270202035e-01 9.231135595510555625e-01 1.846227119102111125e+00 4.651048039173114601e-01 3.770332693077078634e-01
3.382352941176470562e+00 1.470588235294117696e-01 8.454707300566514094e-01 9.194948232897515172e-01 1.838989646579503034e+00 4.774948755200630335e-01 3.524876167810548910e-01
3.529411764705882248e+00 1.470588235294117696e-01 8.364296505843744622e-01 9.145652795642170707e-01 1.829130559128434141e+00 4.901128901946640859e-01 3.254441503769703314e-01
3.676470588235294379e+00 1.470588235294117696e-01 8.254200278408881930e-01 9.085262945236578513e-01 1.817052589047315703e+00 5.021574179188902365e-01 2.964062178988164376e-01
3.823529411764706065e+00 1.470588235294117696e-01 8.134179977846729415e-01 9.018968886655907014e-01 1.803793777331181403e+00 5.131493285359831624e-01 2.664536716705158126e-01
3.970588235294117752e+00 1.470588235294117696e-01 7.997304539337817264e-01 8.942764974736737704e-01 1.788552994947347541e+00 5.226983837983176784e-01 2.357821505543649110e-01
4.117647058823529882e+00 1.470588235294117696e-01 7.856872232758833619e-01 8.863899950224412017e-01 1.772779990044882403e+00 5.304885031385586647e-01 2.055427894035435354e-01
4.264705882352941124e+00 1.470588235294117696e-01 7.709754676321998179e-01 8.780520870837901226e-01 1.756104174167580245e+00 5.358499734647615975e-01 1.764937166699355187e-01
4.411764705882353255e+00 1.470588235294117696e-01 7.564071769729919792e-01 8.697167222567311340e-01 1.739433444513462268e+00 5.390125422722710224e-01 1.492940837653904396e-01
4.558823529411764497e+00 1.470588235294117696e-01 7.424364236142670936e-01 8.616475054303047720e-01 1.723295010860609544e+00 5.393528920933825521e-01 1.246683787348856209e-01
4.705882352941176627e+00 1.470588235294117696e-01 7.292114033345420410e-01 8.539387585386566393e-01 1.707877517077313279e+00 5.377792858014689426e-01 1.027250121831932289e-01
4.852941176470588758e+00 1.470588235294117696e-01 7.177791488347978754e-01 8.472184776282902785e-01 1.694436955256580557e+00 5.337675949537750153e-01 8.395265308958660411e-02
5.000000000000000000e+00 1.470588235294117696e-01 7.075207132481174943e-01 8.411425047208811456e-01 1.682285009441762291e+00 5.289480545268409051e-01 6.796772735062932280e-02
0.000000000000000000e+00 2.941176470588235392e-01 9.978264910164371670e-01 9.989126543479350806e-01 1.997825308695870161e+00 1.247817383684933779e-01 2.509118219846277476e-01
1.470588235294117696e-01 2.941176470588235392e-01 9.550426398188776034e-01 9.772628304703282476e-01 1.954525660940656495e+00 1.539651421453130942e-01 2.934754507905090737e-01
2.941176470588235392e-01 2.941176470588235392e-01 9.190590992786451530e-01 9.586757007865825964e-01 1.917351401573165193e+00 1.843156802188334331e-01 3.338557464873823655e-01
4.411764705882352811e-01 2.941176470588235392e-01 8.900791748865245490e-01 9.434400748783806634e-01 1.886880149756761327e+00 2.144921944843595774e-01 3.695846167691286821e-01
5.882352941176470784e-01 2.941176470588235392e-01 8.665887513163857969e-01 9.309074880547399955e-01 1.861814976109479991e+00 2.429231495404882979e-01 3.997093531780065434e-01
7.352941176470588758e-01 2.941176470588235392e-01 8.485081696154772590e-01 9.211450318030691697e-01 1.842290063606138339e+00 2.689184776057875759e-01 4.237153326029141631e-01
8.823529411764705621e-01 2.941176470588235392e-01 8.353926204636502595e-01 9.139981512364508953e-01 1.827996302472901791e+00 2.923323080404788277e-01 4.421792849971789563e-01
1.029411764705882470e+00 2.941176470588235392e-01 8.261255491278810537e-01 9.089144894476492986e-01 1.817828978895298597e+00 3.124370257477785962e-01 4.562545494314307892e-01
1.176470588235294157e+00 2.941176470588235392e-01 8.200422579433847003e-01 9.055618465590214994e-01 1.811123693118042999e+00 3.301533313019234250e-01 4.663943611514295151e-01
1.323529411764705843e+00 2.941176470588235392e-01 8.171492024163672374e-01 9.039630536788365589e-01 1.807926107357673118e+00 3.453859969485415515e-01 4.734741404047950741e-01
1.470588235294117752e+00 2.941176470588235392e-01 8.172768168974844372e-01 9.040336370387356268e-01 1.808067274077471254e+00 3.583121068686945798e-01 4.782293035336970255e-01
1.617647058823529438e+00 2.941176470588235392e-01 8.186628366484437480e-01 9.047998876262329793e-01 1.809599775252465959e+00 3.697990655139726246e-01 4.806100966173773581e-01
