# Y X speed speed_diff a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 2.855352847854657927e+00 2.855352847854657927e+00 8.867404265367943850e-02 1.999489815175002072e-01
1.470588235294117696e-01 0.000000000000000000e+00 2.844834954289876983e+00 2.844834954289876983e+00 1.124838214342144399e-01 2.390305359896401916e-01
2.941176470588235392e-01 0.000000000000000000e+00 2.832241958290506734e+00 2.832241958290506734e+00 1.388845837929773008e-01 2.782577210182030636e-01
4.411764705882352811e-01 0.000000000000000000e+00 2.820782956715224721e+00 2.820782956715224721e+00 1.665181872851166645e-01 3.155681780995676644e-01
5.882352941176470784e-01 0.000000000000000000e+00 2.806953859431644105e+00 2.806953859431644105e+00 1.943265318791122520e-01 3.495547011290125461e-01
7.352941176470588758e-01 0.000000000000000000e+00 2.795606016901447166e+00 2.795606016901447166e+00 2.209671291455873043e-01 3.791645536509967718e-01
8.823529411764705621e-01 0.000000000000000000e+00 2.783465134502277394e+00 2.783465134502277394e+00 2.458620817171923989e-01 4.039192088329702779e-01
1.029411764705882470e+00 0.000000000000000000e+00 2.771497242791258309e+00 2.771497242791258309e+00 2.685840703243935756e-01 4.242158465960149671e-01
1.176470588235294157e+00 0.000000000000000000e+00 2.759961057716704413e+00 2.759961057716704413e+00 2.887996575646316622e-01 4.405646564421489275e-01
1.323529411764705843e+00 0.000000000000000000e+00 2.750629697644870753e+00 2.750629697644870753e+00 3.065559829816160708e-01 4.532456870746912614e-01
1.470588235294117752e+00 0.000000000000000000e+00 2.740568527745027350e+00 2.740568527745027350e+00 3.220547974858693485e-01 4.628097553170075207e-01
1.617647058823529438e+00 0.000000000000000000e+00 2.733933159312220251e+00 2.733933159312220251e+00 3.355202131480661265e-01 4.697563170537755184e-01
1.764705882352941124e+00 0.000000000000000000e+00 2.725518980202383368e+00 2.725518980202383368e+00 3.471620240878355856e-01 4.743728704070874769e-01
1.911764705882353033e+00 0.000000000000000000e+00 2.719823814312261501e+00 2.719823814312261501e+00 3.579958035193158694e-01 4.761763230568972216e-01
2.058823529411764941e+00 0.000000000000000000e+00 2.713625080693919944e+00 2.713625080693919944e+00 3.673187519316805649e-01 4.762268896670442397e-01
2.205882352941176627e+00 0.000000000000000000e+00 2.711099194651242605e+00 2.711099194651242605e+00 3.765254261848652306e-01 4.737086500250919929e-01
2.352941176470588314e+00 0.000000000000000000e+00 2.710128898356553684e+00 2.710128898356553684e+00 3.854973890919202728e-01 4.688681171109474466e-01
2.500000000000000000e+00 0.000000000000000000e+00 2.709633176247772113e+00 2.709633176247772113e+00 3.943681697996076485e-01 4.615781276878430095e-01
2.647058823529411686e+00 0.000000000000000000e+00 2.712314007467929500e+00 2.712314007467929500e+00 4.039404894835272319e-01 4.513048267178162432e-01
2.794117647058823817e+00 0.000000000000000000e+00 2.714076822050253579e+00 2.714076822050253579e+00 4.141074853870456707e-01 4.382404889458251795e-01
2.941176470588235503e+00 0.000000000000000000e+00 2.719410038345212666e+00 2.719410038345212666e+00 4.249643929973042078e-01 4.220729099883790969e-01
3.088235294117647189e+00 0.000000000000000000e+00 2.726338409969983001e+00 2.726338409969983001e+00 4.364860960552820468e-01 4.031282927682654504e-01
3.235294117647058876e+00 0.000000000000000000e+00 2.733783932829238594e+00 2.733783932829238594e+00 4.487360270199121093e-01 3.809933721636914461e-01
3.382352941176470562e+00 0.000000000000000000e+00 2.744958560934363856e+00 2.744958560934363856e+00 4.612150612733839083e-01 3.560953005541453442e-01
