# Y X var std 2std a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 1.533247977318636934e+00 1.238243908653960279e+00 2.476487817307920558e+00 7.460082549135226282e-01 2.539917450864773718e-01
1.470588235294117696e-01 0.000000000000000000e+00 1.546645759983553692e+00 1.243642135014552119e+00 2.487284270029104238e+00 7.939657655501299871e-01 2.060342344498700684e-01
2.941176470588235392e-01 0.000000000000000000e+00 1.573752299249868702e+00 1.254492845435903225e+00 2.508985690871806451e+00 8.354507713363544807e-01 1.645492286636455470e-01
4.411764705882352811e-01 0.000000000000000000e+00 1.611562463469382589e+00 1.269473301597706882e+00 2.538946603195413765e+00 8.703116588322222791e-01 1.296883411677776654e-01
5.882352941176470784e-01 0.000000000000000000e+00 1.656739436831258017e+00 1.287143906807338256e+00 2.574287813614676512e+00 8.987262764799394121e-01 1.012737235200605601e-01
7.352941176470588758e-01 0.000000000000000000e+00 1.706330985729769045e+00 1.306266047070721692e+00 2.612532094141443384e+00 9.216328148481289784e-01 7.836718515187113265e-02
8.823529411764705621e-01 0.000000000000000000e+00 1.758388925244600776e+00 1.326042580479450894e+00 2.652085160958901788e+00 9.396074969980294789e-01 6.039250300197054888e-02
1.029411764705882470e+00 0.000000000000000000e+00 1.808763205148102626e+00 1.344902674972469070e+00 2.689805349944938140e+00 9.535211474349502003e-01 4.647885256504982743e-02
1.176470588235294157e+00 0.000000000000000000e+00 1.854627583681691227e+00 1.361847121993394305e+00 2.723694243986788610e+00 9.642323777200501045e-01 3.576762227994995103e-02
1.323529411764705843e+00 0.000000000000000000e+00 1.894128542360177470e+00 1.376273425726217248e+00 2.752546851452434495e+00 9.724093040068956251e-01 2.759069599310428125e-02
1.470588235294117752e+00 0.000000000000000000e+00 1.926095683094513067e+00 1.387838493159241127e+00 2.775676986318482253e+00 9.786136712249227099e-01 2.138632877507717911e-02
1.617647058823529438e+00 0.000000000000000000e+00 1.948448413815896618e+00 1.395868336848392177e+00 2.791736673696784354e+00 9.833093290822306765e-01 1.669067091776922293e-02
1.764705882352941124e+00 0.000000000000000000e+00 1.960772659468934975e+00 1.400275922619872437e+00 2.800551845239744875e+00 9.868779001719139021e-01 1.312209982808608226e-02
1.911764705882353033e+00 0.000000000000000000e+00 1.963719186137502959e+00 1.401327651242743055e+00 2.802655302485486111e+00 9.895849370879108431e-01 1.041506291208901640e-02
2.058823529411764941e+00 0.000000000000000000e+00 1.957517111351569916e+00 1.399112973048127317e+00 2.798225946096254635e+00 9.916429519136575887e-01 8.357048086342352272e-03
2.205882352941176627e+00 0.000000000000000000e+00 1.941868054135727384e+00 1.393509258719054067e+00 2.787018517438108134e+00 9.932027344153513404e-01 6.797265584648712507e-03
2.352941176470588314e+00 0.000000000000000000e+00 1.916494099206714763e+00 1.384374985040799810e+00 2.768749970081599621e+00 9.944023284270294694e-01 5.597671572970669418e-03
2.500000000000000000e+00 0.000000000000000000e+00 1.881049387112991855e+00 1.371513538800471332e+00 2.743027077600942665e+00 9.953216087034338910e-01 4.678391296565998815e-03
2.647058823529411686e+00 0.000000000000000000e+00 1.836954813039535006e+00 1.355343061014271377e+00 2.710686122028542755e+00 9.960278029896171281e-01 3.972197010382899629e-03
2.794117647058823817e+00 0.000000000000000000e+00 1.782068912840631514e+00 1.334941539109721242e+00 2.669883078219442485e+00 9.965740916632058743e-01 3.425908336794237109e-03
2.941176470588235503e+00 0.000000000000000000e+00 1.716809518192548456e+00 1.310270780484914965e+00 2.620541560969829931e+00 9.969963287148586595e-01 3.003671285141239471e-03
3.088235294117647189e+00 0.000000000000000000e+00 1.642454073279817406e+00 1.281582643952319467e+00 2.563165287904638934e+00 9.973214417807482191e-01 2.678558219251776611e-03
3.235294117647058876e+00 0.000000000000000000e+00 1.558692303779972921e+00 1.248475992472411589e+00 2.496951984944823177e+00 9.975648591056184289e-01 2.435140894381522536e-03
3.382352941176470562e+00 0.000000000000000000e+00 1.466506079437376764e+00 1.210993839553850426e+00 2.421987679107700853e+00 9.977512274396438396e-01 2.248772560356228009e-03
3.529411764705882248e+00 0.000000000000000000e+00 1.368962183249744058e+00 1.170026573736572928e+00 2.340053147473145856e+00 9.978836751105994995e-01 2.116324889400582852e-03
3.676470588235294379e+00 0.000000000000000000e+00 1.267185948441721166e+00 1.125693541085548421e+00 2.251387082171096843e+00 9.979699334542291300e-01 2.030066545770882122e-03
3.823529411764706065e+00 0.000000000000000000e+00 1.165005566718501973e+00 1.079354235975614307e+00 2.158708471951228614e+00 9.980207860575736056e-01 1.979213942426452915e-03
3.970588235294117752e+00 0.000000000000000000e+00 1.065304065072241402e+00 1.032135681522657888e+00 2.064271363045315777e+00 9.980360155153634727e-01 1.963984484636661313e-03
