# Y X aX aY aR
0.000000000000000000e+00 0.000000000000000000e+00 9.981320944310916321e-01 9.817684524921442835e-01 7.936628559796300442e-01
2.631578947368420907e-01 0.000000000000000000e+00 9.971105752103668340e-01 9.795399865661121863e-01 7.942870010212766951e-01
5.263157894736841813e-01 0.000000000000000000e+00 9.955308839626466622e-01 9.770394863641732597e-01 7.947721539277492475e-01
7.894736842105263275e-01 0.000000000000000000e+00 9.930905401183907077e-01 9.742360324939807192e-01 7.949816919578591712e-01
1.052631578947368363e+00 0.000000000000000000e+00 9.892431490478894585e-01 9.704733095254374220e-01 7.949757048433463424e-01
1.315789473684210398e+00 0.000000000000000000e+00 9.832332069940710184e-01 9.659512854065616105e-01 7.942641629125819502e-01
1.578947368421052655e+00 0.000000000000000000e+00 9.739150343963791645e-01 9.606669752729992684e-01 7.922460778161651840e-01
1.842105263157894690e+00 0.000000000000000000e+00 9.594337086853059748e-01 9.539903224139075766e-01 7.882429962720972627e-01
2.105263157894736725e+00 0.000000000000000000e+00 9.341261020357809475e-01 9.456309654209027471e-01 7.792778407595525314e-01
2.368421052631578760e+00 0.000000000000000000e+00 8.850985323060014398e-01 9.326699748283904245e-01 7.592338930143076592e-01
2.631578947368420796e+00 0.000000000000000000e+00 7.980730649491476481e-01 9.110198738507359062e-01 7.194082980595992716e-01
2.894736842105262831e+00 0.000000000000000000e+00 6.538931463067578775e-01 8.789304404183733155e-01 6.396272589309586198e-01
3.157894736842105310e+00 0.000000000000000000e+00 4.390307167526694698e-01 8.354143522617049067e-01 4.838580903545314782e-01
3.421052631578947345e+00 0.000000000000000000e+00 2.169305375254493296e-01 7.775839799167558741e-01 2.720627965958926642e-01
3.684210526315789380e+00 0.000000000000000000e+00 -1.174520844993548474e-02 7.013562373141081219e-01 -1.674485811516778638e-02
3.947368421052631415e+00 0.000000000000000000e+00 -2.391989750465215447e-01 6.027397941421459571e-01 -3.777903328718436038e-01
4.210526315789473450e+00 0.000000000000000000e+00 -4.332771662306132421e-01 4.821477313396598241e-01 -7.320631307151631573e-01
4.473684210526315930e+00 0.000000000000000000e+00 -5.592441201818263430e-01 3.539115351217909655e-01 -1.006579769289657200e+00
4.736842105263157521e+00 0.000000000000000000e+00 -6.507644789296154197e-01 2.070167275348623326e-01 -1.262805917377993969e+00
5.000000000000000000e+00 0.000000000000000000e+00 -7.143339549136906719e-01 4.517004420021353273e-02 -1.507646614270847341e+00
0.000000000000000000e+00 2.631578947368420907e-01 9.980227689108214228e-01 9.743833724222641379e-01 7.973826448002576672e-01
2.631578947368420907e-01 2.631578947368420907e-01 9.969684477967561964e-01 9.713717705756910181e-01 7.984016240044867763e-01
5.263157894736841813e-01 2.631578947368420907e-01 9.953234914549267121e-01 9.679205061338628235e-01 7.993552700825441448e-01
7.894736842105263275e-01 2.631578947368420907e-01 9.927703120022721706e-01 9.640170923109762091e-01 8.000912008041651813e-01
1.052631578947368363e+00 2.631578947368420907e-01 9.888310052433846309e-01 9.596451715072777944e-01 8.003758426853949670e-01
1.315789473684210398e+00 2.631578947368420907e-01 9.826499458304727153e-01 9.539139742498813357e-01 8.002357127717869556e-01
1.578947368421052655e+00 2.631578947368420907e-01 9.730063131949497901e-01 9.469012150704201325e-01 7.989943856884151874e-01
1.842105263157894690e+00 2.631578947368420907e-01 9.581157231418033771e-01 9.388434403127889905e-01 7.955573804048277076e-01
2.105263157894736725e+00 2.631578947368420907e-01 9.327496817664886475e-01 9.279998873446315688e-01 7.879507820756224135e-01
2.368421052631578760e+00 2.631578947368420907e-01 8.839708192879391913e-01 9.121527667723798860e-01 7.697090229927402438e-01
2.631578947368420796e+00 2.631578947368420907e-01 7.947354889932214395e-01 8.856126977241687293e-01 7.313684317673938562e-01
2.894736842105262831e+00 2.631578947368420907e-01 6.487378922957725003e-01 8.443685777106669788e-01 6.551176900506078260e-01
3.157894736842105310e+00 2.631578947368420907e-01 4.317746378476925440e-01 7.893389058874529240e-01 5.005431312395716148e-01
3.421052631578947345e+00 2.631578947368420907e-01 2.034683646059427531e-01 7.195315367752335156e-01 2.755837487932548124e-01
3.684210526315789380e+00 2.631578947368420907e-01 -2.582474783609184366e-02 6.260860935111314252e-01 -4.122454889349908697e-02
3.947368421052631415e+00 2.631578947368420907e-01 -2.524323836940194909e-01 5.071491111639099270e-01 -4.618442726885975680e-01
4.210526315789473450e+00 2.631578947368420907e-01 -4.469941063281205884e-01 3.634193512277104077e-01 -8.881609673267586436e-01
4.473684210526315930e+00 2.631578947368420907e-01 -5.657767767041281814e-01 2.160202093237698628e-01 -1.206067144357229948e+00
4.736842105263157521e+00 2.631578947368420907e-01 -6.520386339778301288e-01 5.180403253021725885e-02 -1.491513533216457077e+00
5.000000000000000000e+00 2.631578947368420907e-01 -7.135342294344553249e-01 -1.247809157774850686e-01 -1.743922904533854901e+00
0.000000000000000000e+00 5.263157894736841813e-01 9.978988168503462042e-01 9.640844146366071010e-01 8.026312641738128084e-01
2.631578947368420907e-01 5.263157894736841813e-01 9.967911252778829390e-01 9.598320236674885431e-01 8.042851457300508322e-01
5.263157894736841813e-01 5.263157894736841813e-01 9.950816701277636067e-01 9.551355060070054748e-01 8.058782307141043599e-01
7.894736842105263275e-01 5.263157894736841813e-01 9.924352988177997936e-01 9.498133364137898438e-01 8.073392896890121406e-01
1.052631578947368363e+00 5.263157894736841813e-01 9.883145207493146955e-01 9.437484119076505751e-01 8.084606664601022841e-01
1.315789473684210398e+00 5.263157894736841813e-01 9.819693133999649604e-01 9.369662192292765868e-01 8.088459788844525322e-01
1.578947368421052655e+00 5.263157894736841813e-01 9.720723020622106247e-01 9.282919220177617836e-01 8.084319779468948086e-01
1.842105263157894690e+00 5.263157894736841813e-01 9.566777944395075117e-01 9.174892439195641014e-01 8.063049661812445867e-01
2.105263157894736725e+00 5.263157894736841813e-01 9.313816716380856064e-01 9.043591953607673650e-01 8.001173022662578793e-01
2.368421052631578760e+00 5.263157894736841813e-01 8.829270241748812253e-01 8.847333949523235042e-01 7.843762645479225304e-01
2.631578947368420796e+00 5.263157894736841813e-01 7.921653825950838446e-01 8.521084707683816983e-01 7.489586407987283145e-01
2.894736842105262831e+00 5.263157894736841813e-01 6.435224015269045417e-01 8.006235864272975844e-01 6.770394306344732493e-01
3.157894736842105310e+00 5.263157894736841813e-01 4.244622401096780351e-01 7.315857814134344439e-01 5.257295193596863703e-01
3.421052631578947345e+00 5.263157894736841813e-01 1.960397248652800961e-01 6.466067687502662364e-01 2.943737690977536459e-01
3.684210526315789380e+00 5.263157894736841813e-01 -3.989404918278266488e-02 5.351097009696335061e-01 -7.441536230978459954e-02
3.947368421052631415e+00 5.263157894736841813e-01 -2.655720305895500899e-01 3.939131746912111209e-01 -5.931924848961547259e-01
4.210526315789473450e+00 5.263157894736841813e-01 -4.605040109372370849e-01 2.259586970642537551e-01 -1.114634947566882417e+00
4.473684210526315930e+00 5.263157894736841813e-01 -5.722391720262200998e-01 6.044608475622004207e-02 -1.465555783275375612e+00
4.736842105263157521e+00 5.263157894736841813e-01 -6.512752758905921979e-01 -1.188958633583351299e-01 -1.751366399595577938e+00
5.000000000000000000e+00 5.263157894736841813e-01 -7.148984011010468542e-01 -3.158141404772414340e-01 -1.986777504028325980e+00
0.000000000000000000e+00 7.894736842105263275e-01 9.976244157804097235e-01 9.506191975371747205e-01 8.095204550649353070e-01
2.631578947368420907e-01 7.894736842105263275e-01 9.965637842916896805e-01 9.439195907624158277e-01 8.125209331326405104e-01
5.263157894736841813e-01 7.894736842105263275e-01 9.947942733006724936e-01 9.371894317241438177e-01 8.152057543862316624e-01
7.894736842105263275e-01 7.894736842105263275e-01 9.920252890742300433e-01 9.299081917953497811e-01 8.177070244947505229e-01
1.052631578947368363e+00 7.894736842105263275e-01 9.877742994338003513e-01 9.217550811083120577e-01 8.199579522728450698e-01
1.315789473684210398e+00 7.894736842105263275e-01 9.811385349422840907e-01 9.124000860091264764e-01 8.216838126062945280e-01
1.578947368421052655e+00 7.894736842105263275e-01 9.709536949955743790e-01 9.019641332459560346e-01 8.222168553011338643e-01
1.842105263157894690e+00 7.894736842105263275e-01 9.551916298723706067e-01 8.889604712227704431e-01 8.212968862108050994e-01
2.105263157894736725e+00 7.894736842105263275e-01 9.298338549141875742e-01 8.719256436524549514e-01 8.175269156290145833e-01
2.368421052631578760e+00 7.894736842105263275e-01 8.818236792318074890e-01 8.490020788230546733e-01 8.043588629081133146e-01
2.631578947368420796e+00 7.894736842105263275e-01 7.909646173146829273e-01 8.076628733134464388e-01 7.749531730263714557e-01
2.894736842105262831e+00 7.894736842105263275e-01 6.382464629290600655e-01 7.456821083270488426e-01 7.079226330503932685e-01
3.157894736842105310e+00 7.894736842105263275e-01 4.195178469579741165e-01 6.601749217149228688e-01 5.660891132761379785e-01
3.421052631578947345e+00 7.894736842105263275e-01 1.925638301852714562e-01 5.565115710808663518e-01 3.331242844559030858e-01
3.684210526315789380e+00 7.894736842105263275e-01 -5.394754944489066339e-02 4.268292533940166722e-01 -1.257247588405334682e-01
3.947368421052631415e+00 7.894736842105263275e-01 -2.786137521934568539e-01 2.623154609236053592e-01 -8.155192246153860625e-01
4.210526315789473450e+00 7.894736842105263275e-01 -4.738038898619538752e-01 7.048927214882672043e-02 -1.423106499576181738e+00
4.473684210526315930e+00 7.894736842105263275e-01 -5.789847651797841444e-01 -1.141230738163937497e-01 -1.765410482833445815e+00
4.736842105263157521e+00 7.894736842105263275e-01 -6.570584231006544318e-01 -3.211098309033584286e-01 -2.025369747965631628e+00
5.000000000000000000e+00 7.894736842105263275e-01 -7.258882772949608597e-01 -5.442105607826385194e-01 -2.214116096250584143e+00
0.000000000000000000e+00 1.052631578947368363e+00 9.973142278601099253e-01 9.322211341886972313e-01 8.191204877265997331e-01
2.631578947368420907e-01 1.052631578947368363e+00 9.961153755068536952e-01 9.230904823635701639e-01 8.234293534385265234e-01
5.263157894736841813e-01 1.052631578947368363e+00 9.943828945066439662e-01 9.127664116219766921e-01 8.281670818017933255e-01
7.894736842105263275e-01 1.052631578947368363e+00 9.915600517401153002e-01 9.022049828510069203e-01 8.325470149783911200e-01
1.052631578947368363e+00 1.052631578947368363e+00 9.870818895405051308e-01 8.910186887407179901e-01 8.365027520429575425e-01
1.315789473684210398e+00 1.052631578947368363e+00 9.802512156362543916e-01 8.786063700300584811e-01 8.400251127772893067e-01
1.578947368421052655e+00 1.052631578947368363e+00 9.696231420885710328e-01 8.643865343174262916e-01 8.427159291342722902e-01
1.842105263157894690e+00 1.052631578947368363e+00 9.533665703574103478e-01 8.485281218086860866e-01 8.435149831735637704e-01
2.105263157894736725e+00 1.052631578947368363e+00 9.281843665441107394e-01 8.290936241476710711e-01 8.417272796683221703e-01
2.368421052631578760e+00 1.052631578947368363e+00 8.797569809636389682e-01 7.998752572292381346e-01 8.329214106474109869e-01
2.631578947368420796e+00 1.052631578947368363e+00 7.895261524708558909e-01 7.501797003946655273e-01 8.109471281581192015e-01
2.894736842105262831e+00 1.052631578947368363e+00 6.329098801170400801e-01 6.773448526681578041e-01 7.514979238562959907e-01
3.157894736842105310e+00 1.052631578947368363e+00 4.165368116339038806e-01 5.729807191485306594e-01 6.285948532457169557e-01
3.421052631578947345e+00 1.052631578947368363e+00 1.890830965425276400e-01 4.482358227040849075e-01 3.991897260191005214e-01
3.684210526315789380e+00 1.052631578947368363e+00 -6.095477613380406723e-02 2.960072935005894079e-01 -2.030844257878506309e-01
3.947368421052631415e+00 1.052631578947368363e+00 -2.923493845523297829e-01 1.094597816067270912e-01 -1.212539271483962455e+00
4.210526315789473450e+00 1.052631578947368363e+00 -4.861818350594806493e-01 -1.107278833432945309e-01 -1.794726654277082556e+00
4.473684210526315930e+00 1.052631578947368363e+00 -5.902876400303216364e-01 -3.264100489663368521e-01 -2.075915211874292510e+00
4.736842105263157521e+00 1.052631578947368363e+00 -6.724052549770320741e-01 -5.577120255635412693e-01 -2.263225631458670950e+00
5.000000000000000000e+00 1.052631578947368363e+00 -7.422232154636154711e-01 -7.901383836446320696e-01 -2.387453144263791405e+00
0.000000000000000000e+00 1.315789473684210398e+00 9.969558837712590993e-01 9.015465821503781951e-01 8.356109515958811684e-01
2.631578947368420907e-01 1.315789473684210398e+00 9.956016000347200912e-01 8.908601733440125736e-01 8.408639012200848084e-01
5.263157894736841813e-01 1.315789473684210398e+00 9.936467316933073057e-01 8.790621784309147202e-01 8.465085043850610891e-01
7.894736842105263275e-01 1.315789473684210398e+00 9.908242037419143777e-01 8.651003666658328983e-01 8.530367155372748922e-01
1.052631578947368363e+00 1.315789473684210398e+00 9.863302378292451156e-01 8.487382671848302529e-01 8.602373286102009686e-01
1.315789473684210398e+00 1.315789473684210398e+00 9.791062941895420924e-01 8.317906431537257506e-01 8.665689723195580951e-01
1.578947368421052655e+00 1.315789473684210398e+00 9.681260334831922609e-01 8.130687782022074650e-01 8.722316444397204549e-01
1.842105263157894690e+00 1.315789473684210398e+00 9.512503131079605989e-01 7.919367787657841662e-01 8.765370827281089294e-01
2.105263157894736725e+00 1.315789473684210398e+00 9.255330252342544028e-01 7.682915494977302640e-01 8.779650717450404596e-01
2.368421052631578760e+00 1.315789473684210398e+00 8.775830423876180841e-01 7.360065161552787893e-01 8.729141575355546800e-01
2.631578947368420796e+00 1.315789473684210398e+00 7.877829360041412876e-01 6.761353371525218314e-01 8.615170871494494120e-01
2.894736842105262831e+00 1.315789473684210398e+00 6.297322811789165531e-01 5.862193481549284879e-01 8.211679854966172920e-01
3.157894736842105310e+00 1.315789473684210398e+00 4.129623513950164693e-01 4.660298837710485920e-01 7.250982024866865494e-01
3.421052631578947345e+00 1.315789473684210398e+00 1.843742853878256316e-01 3.165363840956360031e-01 5.274332168936068932e-01
3.684210526315789380e+00 1.315789473684210398e+00 -6.606669780457985475e-02 1.397891554182512097e-01 -4.415020317541728523e-01
3.947368421052631415e+00 1.315789473684210398e+00 -3.188085382057103678e-01 -7.785421879334719630e-02 -1.810312235484824894e+00
4.210526315789473450e+00 1.315789473684210398e+00 -5.154053462081991110e-01 -3.362838211732880334e-01 -2.148902286447663901e+00
4.473684210526315930e+00 1.315789473684210398e+00 -6.129243008783773483e-01 -5.756098419643764785e-01 -2.324809437869038042e+00
4.736842105263157521e+00 1.315789473684210398e+00 -6.947243417621478123e-01 -8.158948215289538730e-01 -2.436235581604933476e+00
5.000000000000000000e+00 1.315789473684210398e+00 -7.620386649610226826e-01 -1.048177010289190525e+00 -2.512966044026899048e+00
0.000000000000000000e+00 1.578947368421052655e+00 9.964836006440673799e-01 8.599989495648165949e-01 8.587840140350064821e-01
2.631578947368420907e-01 1.578947368421052655e+00 9.949832747299316438e-01 8.423170127360816162e-01 8.683004277639742030e-01
5.263157894736841813e-01 1.578947368421052655e+00 9.927978839324906879e-01 8.241413265516478459e-01 8.779574749445488990e-01
7.894736842105263275e-01 1.578947368421052655e+00 9.896033962426464825e-01 8.056159978456689519e-01 8.875289934997221408e-01
1.052631578947368363e+00 1.578947368421052655e+00 9.850026617090401615e-01 7.852875389337434786e-01 8.977380853270408023e-01
