# Y X speed speed_diff a0 a1
0.000000000000000000e+00 0.000000000000000000e+00 1.357224525125406700e+00 1.357224525125406700e+00 7.460082549135226282e-01 2.539917450864773718e-01
1.470588235294117696e-01 0.000000000000000000e+00 1.340380652949074047e+00 1.340380652949074047e+00 7.939657655501299871e-01 2.060342344498700684e-01
2.941176470588235392e-01 0.000000000000000000e+00 1.326249070205739677e+00 1.326249070205739677e+00 8.354507713363544807e-01 1.645492286636455470e-01
4.411764705882352811e-01 0.000000000000000000e+00 1.317152996820933453e+00 1.317152996820933453e+00 8.703116588322222791e-01 1.296883411677776654e-01
5.882352941176470784e-01 0.000000000000000000e+00 1.313149506690203250e+00 1.313149506690203250e+00 8.987262764799394121e-01 1.012737235200605601e-01
7.352941176470588758e-01 0.000000000000000000e+00 1.312675727040364393e+00 1.312675727040364393e+00 9.216328148481289784e-01 7.836718515187113265e-02
8.823529411764705621e-01 0.000000000000000000e+00 1.316627753247886723e+00 1.316627753247886723e+00 9.396074969980294789e-01 6.039250300197054888e-02
1.029411764705882470e+00 0.000000000000000000e+00 1.325945406982903307e+00 1.325945406982903307e+00 9.535211474349502003e-01 4.647885256504982743e-02
1.176470588235294157e+00 0.000000000000000000e+00 1.339704736963144516e+00 1.339704736963144516e+00 9.642323777200501045e-01 3.576762227994995103e-02
1.323529411764705843e+00 0.000000000000000000e+00 1.358304324216051961e+00 1.358304324216051961e+00 9.724093040068956251e-01 2.759069599310428125e-02
1.470588235294117752e+00 0.000000000000000000e+00 1.383045767183769925e+00 1.383045767183769925e+00 9.786136712249227099e-01 2.138632877507717911e-02
1.617647058823529438e+00 0.000000000000000000e+00 1.411368154825555443e+00 1.411368154825555443e+00 9.833093290822306765e-01 1.669067091776922293e-02
1.764705882352941124e+00 0.000000000000000000e+00 1.446313965531620838e+00 1.446313965531620838e+00 9.868779001719139021e-01 1.312209982808608226e-02
1.911764705882353033e+00 0.000000000000000000e+00 1.483547644133764942e+00 1.483547644133764942e+00 9.895849370879108431e-01 1.041506291208901640e-02
2.058823529411764941e+00 0.000000000000000000e+00 1.527893913501008338e+00 1.527893913501008338e+00 9.916429519136575887e-01 8.357048086342352272e-03
2.205882352941176627e+00 0.000000000000000000e+00 1.574940599326898560e+00 1.574940599326898560e+00 9.932027344153513404e-01 6.797265584648712507e-03
2.352941176470588314e+00 0.000000000000000000e+00 1.627931243595011956e+00 1.627931243595011956e+00 9.944023284270294694e-01 5.597671572970669418e-03
2.500000000000000000e+00 0.000000000000000000e+00 1.684305981909753447e+00 1.684305981909753447e+00 9.953216087034338910e-01 4.678391296565998815e-03
2.647058823529411686e+00 0.000000000000000000e+00 1.745982280114285468e+00 1.745982280114285468e+00 9.960278029896171281e-01 3.972197010382899629e-03
2.794117647058823817e+00 0.000000000000000000e+00 1.810658503994739599e+00 1.810658503994739599e+00 9.965740916632058743e-01 3.425908336794237109e-03
2.941176470588235503e+00 0.000000000000000000e+00 1.879170604975054282e+00 1.879170604975054282e+00 9.969963287148586595e-01 3.003671285141239471e-03
3.088235294117647189e+00 0.000000000000000000e+00 1.949651800092875753e+00 1.949651800092875753e+00 9.973214417807482191e-01 2.678558219251776611e-03
3.235294117647058876e+00 0.000000000000000000e+00 2.024662262263789980e+00 2.024662262263789980e+00 9.975648591056184289e-01 2.435140894381522536e-03
3.382352941176470562e+00 0.000000000000000000e+00 2.102594694751418469e+00 2.102594694751418469e+00 9.977512274396438396e-01 2.248772560356228009e-03
3.529411764705882248e+00 0.000000000000000000e+00 2.181729923661242410e+00 2.181729923661242410e+00 9.978836751105994995e-01 2.116324889400582852e-03
3.676470588235294379e+00 0.000000000000000000e+00 2.262855150342060639e+00 2.262855150342060639e+00 9.979699334542291300e-01 2.030066545770882122e-03
3.823529411764706065e+00 0.000000000000000000e+00 2.346136934731928747e+00 2.346136934731928747e+00 9.980207860575736056e-01 1.979213942426452915e-03
3.970588235294117752e+00 0.000000000000000000e+00 2.429737701988873511e+00 2.429737701988873511e+00 9.980360155153634727e-01 1.963984484636661313e-03
4.117647058823529882e+00 0.000000000000000000e+00 2.515261128067492358e+00 2.515261128067492358e+00 9.980174654249155397e-01 1.982534575084499325e-03
4.264705882352941124e+00 0.000000000000000000e+00 2.599364990088868232e+00 2.599364990088868232e+00 9.979629847214945837e-01 2.037015278505431917e-03
4.411764705882353255e+00 0.000000000000000000e+00 2.686261003519252455e+00 2.686261003519252455e+00 9.978758450922763368e-01 2.124154907723682303e-03
4.558823529411764497e+00 0.000000000000000000e+00 2.769472017301801259e+00 2.769472017301801259e+00 9.977498247829437172e-01 2.250175217056273221e-03
4.705882352941176627e+00 0.000000000000000000e+00 2.854508673716730449e+00 2.854508673716730449e+00 9.975829425046548460e-01 2.417057495345240319e-03
4.852941176470588758e+00 0.000000000000000000e+00 2.937152208718956992e+00 2.937152208718956992e+00 9.973655970248501701e-01 2.634402975149859830e-03
5.000000000000000000e+00 0.000000000000000000e+00 3.018142138295202503e+00 3.018142138295202503e+00 9.970918341719819944e-01 2.908165828017975681e-03
0.000000000000000000e+00 1.470588235294117696e-01 1.418433953484615762e+00 1.271375129955204075e+00 7.478903080620836752e-01 2.521096919379163248e-01
1.470588235294117696e-01 1.470588235294117696e-01 1.403832534725790726e+00 1.256773711196379040e+00 7.945387386914080086e-01 2.054612613085919082e-01
2.941176470588235392e-01 1.470588235294117696e-01 1.394410827642607487e+00 1.247352004113195800e+00 8.350726863327809779e-01 1.649273136672189666e-01
4.411764705882352811e-01 1.470588235294117696e-01 1.388179320866155919e+00 1.241120497336744233e+00 8.692057738251850463e-01 1.307942261748149815e-01
5.882352941176470784e-01 1.470588235294117696e-01 1.387153302930252963e+00 1.240094479400841276e+00 8.973068462657495248e-01 1.026931537342505724e-01
7.352941176470588758e-01 1.470588235294117696e-01 1.388958818567322506e+00 1.241899995037910820e+00 9.198293704188965636e-01 8.017062958110331150e-02
8.823529411764705621e-01 1.470588235294117696e-01 1.395466209656608836e+00 1.248407386127197150e+00 9.377779010317911501e-01 6.222209896820879438e-02
1.029411764705882470e+00 1.470588235294117696e-01 1.408474580839113255e+00 1.261415757309701569e+00 9.517602887037407422e-01 4.823971129625916759e-02
1.176470588235294157e+00 1.470588235294117696e-01 1.425271837475394321e+00 1.278213013945982635e+00 9.625108046791478467e-01 3.748919532085217415e-02
1.323529411764705843e+00 1.470588235294117696e-01 1.446282121490850781e+00 1.299223297961439094e+00 9.708669207337859985e-01 2.913307926621405697e-02
1.470588235294117752e+00 1.470588235294117696e-01 1.474455620557438618e+00 1.327396797028026931e+00 9.772327156520930203e-01 2.276728434790698669e-02
1.617647058823529438e+00 1.470588235294117696e-01 1.505005961055807973e+00 1.357947137526396286e+00 9.820680343832033365e-01 1.793196561679673978e-02
1.764705882352941124e+00 1.470588235294117696e-01 1.540540873760462670e+00 1.393482050231050984e+00 9.857712945643778424e-01 1.422870543562228599e-02
1.911764705882353033e+00 1.470588235294117696e-01 1.582823779194418412e+00 1.435764955665006726e+00 9.885903518323621020e-01 1.140964816763802639e-02
2.058823529411764941e+00 1.470588235294117696e-01 1.627956445648356842e+00 1.480897622118945156e+00 9.907432916215448415e-01 9.256708378455109909e-03
2.205882352941176627e+00 1.470588235294117696e-01 1.677849266284215934e+00 1.530790442754804248e+00 9.923981515537740883e-01 7.601848446225988043e-03
2.352941176470588314e+00 1.470588235294117696e-01 1.732863815331652901e+00 1.585804991802241215e+00 9.936746685488432318e-01 6.325331451156726570e-03
2.500000000000000000e+00 1.470588235294117696e-01 1.792871155773156033e+00 1.645812332243744347e+00 9.946535826421725179e-01 5.346417357827418747e-03
2.647058823529411686e+00 1.470588235294117696e-01 1.855646152496798207e+00 1.708587328967386521e+00 9.954173307424515338e-01 4.582669257548406365e-03
2.794117647058823817e+00 1.470588235294117696e-01 1.922920458993659487e+00 1.775861635464247801e+00 9.960004586011579342e-01 3.999541398842183793e-03
2.941176470588235503e+00 1.470588235294117696e-01 1.993384734498304889e+00 1.846325910968893202e+00 9.964509378804435880e-01 3.549062119556308393e-03
3.088235294117647189e+00 1.470588235294117696e-01 2.066312974608520925e+00 1.919254151079109239e+00 9.967965614122590301e-01 3.203438587740923063e-03
3.235294117647058876e+00 1.470588235294117696e-01 2.143215335729162341e+00 1.996156512199750654e+00 9.970570759504481240e-01 2.942924049551827025e-03
3.382352941176470562e+00 1.470588235294117696e-01 2.220912138887201515e+00 2.073853315357789828e+00 9.972506064269570647e-01 2.749393573042893234e-03
3.529411764705882248e+00 1.470588235294117696e-01 2.301394263673158136e+00 2.154335440143746450e+00 9.973817046740852676e-01 2.618295325914757506e-03
3.676470588235294379e+00 1.470588235294117696e-01 2.384509744953550836e+00 2.237450921424139150e+00 9.974627952767705086e-01 2.537204723229618923e-03
3.823529411764706065e+00 1.470588235294117696e-01 2.470198402231131851e+00 2.323139578701720165e+00 9.974987308795498775e-01 2.501269120450094318e-03
3.970588235294117752e+00 1.470588235294117696e-01 2.554064910585045922e+00 2.407006087055634236e+00 9.974908026817034257e-01 2.509197318296714843e-03
4.117647058823529882e+00 1.470588235294117696e-01 2.639367380113881723e+00 2.492308556584470036e+00 9.974388947446723996e-01 2.561105255327651969e-03
4.264705882352941124e+00 1.470588235294117696e-01 2.725796595385837406e+00 2.578737771856425720e+00 9.973442612670515572e-01 2.655738732948460541e-03
4.411764705882353255e+00 1.470588235294117696e-01 2.811218742789023839e+00 2.664159919259612153e+00 9.972013308040462709e-01 2.798669195953684425e-03
4.558823529411764497e+00 1.470588235294117696e-01 2.895212791818302822e+00 2.748153968288891136e+00 9.970059670855894174e-01 2.994032914410493709e-03
4.705882352941176627e+00 1.470588235294117696e-01 2.979746915979621491e+00 2.832688092450209805e+00 9.967514436774091990e-01 3.248556322590830884e-03
4.852941176470588758e+00 1.470588235294117696e-01 3.063323090559229023e+00 2.916264267029817336e+00 9.964310398804148150e-01 3.568960119585274336e-03
5.000000000000000000e+00 1.470588235294117696e-01 3.143598777321728210e+00 2.996539953792316524e+00 9.960262413627118949e-01 3.973758637288072118e-03
0.000000000000000000e+00 2.941176470588235392e-01 1.481214034118432776e+00 1.187096387059609182e+00 7.486420937597261238e-01 2.513579062402738762e-01
1.470588235294117696e-01 2.941176470588235392e-01 1.470469115318908671e+00 1.176351468260085076e+00 7.941433233314034723e-01 2.058566766685965554e-01
2.941176470588235392e-01 2.941176470588235392e-01 1.463241767049104247e+00 1.169124119990280652e+00 8.338085715748215776e-01 1.661914284251783114e-01
4.411764705882352811e-01 2.941176470588235392e-01 1.459748457629615359e+00 1.165630810570791764e+00 8.673076719692294212e-01 1.326923280307705233e-01
5.882352941176470784e-01 2.941176470588235392e-01 1.460933871121515182e+00 1.166816224062691587e+00 8.950115534963800634e-01 1.049884465036199921e-01
7.352941176470588758e-01 2.941176470588235392e-01 1.466564007402401337e+00 1.172446360343577743e+00 9.174621965679941038e-01 8.253780343200593783e-02
8.823529411764705621e-01 2.941176470588235392e-01 1.475666660588439205e+00 1.181549013529615610e+00 9.353808769054875460e-01 6.461912309451248171e-02
1.029411764705882470e+00 2.941176470588235392e-01 1.490555945624624457e+00 1.196438298565800862e+00 9.494589855476273099e-01 5.054101445237269008e-02
1.176470588235294157e+00 2.941176470588235392e-01 1.509736691318097623e+00 1.215619044259274029e+00 9.604194286354369448e-01 3.958057136456299280e-02
1.323529411764705843e+00 2.941176470588235392e-01 1.534365202790393568e+00 1.240247555731569973e+00 9.688836224992757318e-01 3.111637750072429598e-02
1.470588235294117752e+00 2.941176470588235392e-01 1.564857019969046137e+00 1.270739372910222542e+00 9.754450680774562343e-01 2.455493192254380730e-02
1.617647058823529438e+00 2.941176470588235392e-01 1.598096220206673301e+00 1.303978573147849707e+00 9.804696975247392254e-01 1.953030247526070864e-02
1.764705882352941124e+00 2.941176470588235392e-01 1.637179070961733096e+00 1.343061423902909501e+00 9.843264953029051689e-01 1.567350469709481026e-02
1.911764705882353033e+00 2.941176470588235392e-01 1.680876929156107646e+00 1.386759282097284052e+00 9.873039759629581580e-01 1.269602403704176569e-02
2.058823529411764941e+00 2.941176470588235392e-01 1.729640841301187448e+00 1.435523194242363854e+00 9.895904896275536933e-01 1.040951037244620958e-02
2.205882352941176627e+00 2.941176470588235392e-01 1.782051403975704496e+00 1.487933756916880901e+00 9.913635747740779935e-01 8.636425225921938800e-03
2.352941176470588314e+00 2.941176470588235392e-01 1.839773516028568201e+00 1.545655868969744606e+00 9.927263014149450004e-01 7.273698585054962258e-03
2.500000000000000000e+00 2.941176470588235392e-01 1.901439301228300849e+00 1.607321654169477254e+00 9.937856310249503222e-01 6.214368975049789669e-03
