# X align relalign posterior
-1.731812249505963575e+00 -1.694378793832652219e+00 -2.348831412730850721e-02 -2.413304079558918680e+00
-1.727040759632686440e+00 -1.691447818322631136e+00 -2.532882849056455887e-02 -2.391334766749297902e+00
-1.722269269759409083e+00 -1.688437121594136725e+00 -2.708962163534750500e-02 -2.358881365607258029e+00
-1.717497779886131948e+00 -1.685343037372491803e+00 -2.876702728697971834e-02 -2.314882116681094448e+00
-1.712726290012854813e+00 -1.682161532904050238e+00 -3.035701269181528827e-02 -2.258596851176011278e+00
-1.707954800139577456e+00 -1.678888990255380964e+00 -3.185595991642337088e-02 -2.189769128283972854e+00
-1.703183310266300321e+00 -1.675522030431441545e+00 -3.326048996576108641e-02 -2.108799113971580041e+00
-1.698411820393023186e+00 -1.672057184017177622e+00 -3.456713342477429896e-02 -2.016938463069399390e+00
-1.693640330519745829e+00 -1.668491644054033829e+00 -3.577308333490786252e-02 -1.916518305377939768e+00
-1.688868840646468694e+00 -1.664822437688956658e+00 -3.687536684310782631e-02 -1.811122828170625088e+00
-1.684097350773191559e+00 -1.661047015671351268e+00 -3.787143469877957136e-02 -1.705727287330244035e+00
-1.679325860899914202e+00 -1.657163124222452488e+00 -3.875903312315814864e-02 -1.606667248341744791e+00
-1.674554371026637067e+00 -1.653168804085322074e+00 -3.953620285930486977e-02 -1.521350983179682981e+00
-1.669782881153359932e+00 -1.649062340066771659e+00 -4.020122871403158937e-02 -1.457590358033767242e+00
-1.665011391280082576e+00 -1.644842482264861072e+00 -4.075286078539835932e-02 -1.422469606541172382e+00
-1.660239901406805441e+00 -1.640508179799352373e+00 -4.119004819316679500e-02 -1.420769161435716743e+00
-1.655468411533528306e+00 -1.636058814802767492e+00 -4.151217306985904854e-02 -1.453164163944725029e+00
-1.650696921660250949e+00 -1.631494138368045022e+00 -4.171898650841393552e-02 -1.514668063139607668e+00
-1.645925431786973814e+00 -1.626814210763919633e+00 -4.181054877756568144e-02 -1.594000008127773427e+00
-1.641153941913696679e+00 -1.622019716917501242e+00 -4.178754480442442576e-02 -1.674536033051358341e+00
-1.636382452040419322e+00 -1.617111421673899319e+00 -4.165073943409985935e-02 -1.737175170375723887e+00
-1.631610962167142187e+00 -1.612090753666332699e+00 -4.140156129981037436e-02 -1.764668794624888459e+00
-1.626839472293865052e+00 -1.606959403706111011e+00 -4.104170121286582207e-02 -1.746192100394929003e+00
-1.622067982420587695e+00 -1.601719628394978168e+00 -4.057341577501033525e-02 -1.680439145763949593e+00
-1.617296492547310560e+00 -1.596373851893479801e+00 -3.999912914678910303e-02 -1.575954956580245536e+00
-1.612525002674033425e+00 -1.590925280422510912e+00 -3.932204754909734978e-02 -1.448613042183033883e+00
-1.607753512800756068e+00 -1.585377306374578632e+00 -3.854556337444242642e-02 -1.317474233141528117e+00
-1.602982022927478933e+00 -1.579733657672064639e+00 -3.767340454520556881e-02 -1.200858454327597968e+00
-1.598210533054201798e+00 -1.573998777757563250e+00 -3.671001450398131416e-02 -1.113735986293166391e+00
-1.593439043180924442e+00 -1.568177165445700627e+00 -3.565989206539604828e-02 -1.066217978629356189e+00
-1.588667553307647307e+00 -1.562273998588476376e+00 -3.452821508144893192e-02 -1.062278777142559916e+00
-1.583896063434370172e+00 -1.556294760605546390e+00 -3.332046697179608108e-02 -1.098347842916191919e+00
-1.579124573561092815e+00 -1.550245212855623889e+00 -3.204240909515093660e-02 -1.162745514386641865e+00
-1.574353083687815680e+00 -1.544131706187085395e+00 -3.070039229988957841e-02 -1.237467264973012515e+00
