# X align relalign posterior
-1.731812249505963575e+00 -1.703596183170691836e+00 2.821606633527173891e-02 -2.500540065352671704e+00
-1.727040759632686440e+00 -1.698796010560478909e+00 2.824474907220753117e-02 -2.482055772560081142e+00
-1.722269269759409083e+00 -1.694002681563820722e+00 2.826658819558836022e-02 -2.463679637044947857e+00
-1.717497779886131948e+00 -1.689213537745847038e+00 2.828424214028490979e-02 -2.449315997764709874e+00
-1.712726290012854813e+00 -1.684426074109295346e+00 2.830021590355946692e-02 -2.442021215419327707e+00
-1.707954800139577456e+00 -1.679637934663852361e+00 2.831686547572509483e-02 -2.443139217870913704e+00
-1.703183310266300321e+00 -1.674846752199525834e+00 2.833655806677448652e-02 -2.451505404551158396e+00
-1.698411820393023186e+00 -1.670049898129114530e+00 2.836192226390865656e-02 -2.463130341338309659e+00
-1.693640330519745829e+00 -1.665245165858673770e+00 2.839516466107205872e-02 -2.471686952631946266e+00
-1.688868840646468694e+00 -1.660430352832922063e+00 2.843848781354663124e-02 -2.469876017907336685e+00
-1.684097350773191559e+00 -1.655603238938295529e+00 2.849411183489602983e-02 -2.451333364011149651e+00
-1.679325860899914202e+00 -1.650761668884278999e+00 2.856419201563520360e-02 -2.412432386608768464e+00
-1.674554371026637067e+00 -1.645903786260504154e+00 2.865058476613291383e-02 -2.353296018344946727e+00
-1.669782881153359932e+00 -1.641027464081879383e+00 2.875541707148054904e-02 -2.277600262879736714e+00
-1.665011391280082576e+00 -1.636131240498608141e+00 2.888015078147443404e-02 -2.191289357512650859e+00
-1.660239901406805441e+00 -1.631213256308509996e+00 2.902664509829544492e-02 -2.100730070311149333e+00
-1.655468411533528306e+00 -1.626272113254143559e+00 2.919629827938474698e-02 -2.011161884974363989e+00
-1.650696921660250949e+00 -1.621306466384255796e+00 2.939045527599515317e-02 -1.926023091212722527e+00
-1.645925431786973814e+00 -1.616315052459030621e+00 2.961037932794319261e-02 -1.847344515903965867e+00
-1.641153941913696679e+00 -1.611296939254833749e+00 2.985700265886293003e-02 -1.776820723316202333e+00
-1.636382452040419322e+00 -1.606251213166056679e+00 3.013123887436264248e-02 -1.716838920777608912e+00
-1.631610962167142187e+00 -1.601177164416387022e+00 3.043379775075516491e-02 -1.670768618504550940e+00
-1.626839472293865052e+00 -1.596074285029357664e+00 3.076518726450738761e-02 -1.642209965749278577e+00
-1.622067982420587695e+00 -1.590942394839104601e+00 3.112558758148309401e-02 -1.633491790701411261e+00
-1.617296492547310560e+00 -1.585781160564368575e+00 3.151533198294198534e-02 -1.644171559223098100e+00
-1.612525002674033425e+00 -1.580590799759110654e+00 3.193420291492277130e-02 -1.670425481422244118e+00
-1.607753512800756068e+00 -1.575371444198291782e+00 3.238206860246428676e-02 -1.705812435278594386e+00
-1.602982022927478933e+00 -1.570123618497548224e+00 3.285840442993070987e-02 -1.743183465658085574e+00
-1.598210533054201798e+00 -1.564847842410495682e+00 3.336269064370611659e-02 -1.776802532452637529e+00
-1.593439043180924442e+00 -1.559545123473789596e+00 3.389391970713484525e-02 -1.803547420419557401e+00
-1.588667553307647307e+00 -1.554216314372008689e+00 3.445123893563861728e-02 -1.822531801570100196e+00
-1.583896063434370172e+00 -1.548862775328405661e+00 3.503328810596451071e-02 -1.833449991841378246e+00
-1.579124573561092815e+00 -1.543485823783106836e+00 3.563874977798597854e-02 -1.834777775673498645e+00
-1.574353083687815680e+00 -1.538087047594242973e+00 3.626603609357270663e-02 -1.823046232465175276e+00
-1.569581593814538545e+00 -1.532668223398667928e+00 3.691337041587061663e-02 -1.793791787389552805e+00
-1.564810103941261188e+00 -1.527231306607589767e+00 3.757879733367142094e-02 -1.743722156059616335e+00
-1.560038614067984053e+00 -1.521778446041533117e+00 3.826016802645093584e-02 -1.673024019482252545e+00
-1.555267124194706918e+00 -1.516311754499420239e+00 3.895536969528667903e-02 -1.586782187573549940e+00
-1.550495634321429561e+00 -1.510833819607597661e+00 3.966181471383189994e-02 -1.495055374899183054e+00
-1.545724144448152426e+00 -1.505347111329698562e+00 4.037703311845386445e-02 -1.411714165624952333e+00
-1.540952654574875291e+00 -1.499854291170435783e+00 4.109836340443950853e-02 -1.352370116099800956e+00
-1.536181164701597934e+00 -1.494358331287189978e+00 4.182283341440795610e-02 -1.331606064188547212e+00
-1.531409674828320799e+00 -1.488862029678348797e+00 4.254764514997200209e-02 -1.359633455991313244e+00
-1.526638184955043664e+00 -1.483368529792245871e+00 4.326965516279779322e-02 -1.438774782818530884e+00
-1.521866695081766307e+00 -1.477880809773972626e+00 4.398588530779368178e-02 -1.560644484331318527e+00
-1.517095205208489173e+00 -1.472402244474201538e+00 4.469296073428763449e-02 -1.705319172763105406e+00
-1.512323715335211816e+00 -1.466936031812833274e+00 4.538768352237854131e-02 -1.843717119436720786e+00
-1.507552225461934681e+00 -1.461485602164580122e+00 4.606662329735455863e-02 -1.943409633780399215e+00
-1.502780735588657546e+00 -1.456054182925102580e+00 4.672655266355496551e-02 -1.976707348852872137e+00
-1.498009245715380189e+00 -1.450645320375025360e+00 4.736392534035482882e-02 -1.928454661924188240e+00
-1.493237755842103054e+00 -1.445262313188977243e+00 4.797544265312581047e-02 -1.800651907864940338e+00
-1.488466265968825919e+00 -1.439908600403141614e+00 4.855766556568430481e-02 -1.611946596324223435e+00
-1.483694776095548562e+00 -1.434587639427722827e+00 4.910713666782573483e-02 -1.392060914997804932e+00
-1.478923286222271427e+00 -1.429302854458144534e+00 4.962043176412689327e-02 -1.173179106252656423e+00
-1.474151796348994292e+00 -1.424057361610405081e+00 5.009443473858921081e-02 -9.813569950997528268e-01
-1.469380306475716935e+00 -1.418854600655075515e+00 5.052570582064142002e-02 -8.307325204457722823e-01
-1.464608816602439800e+00 -1.413697835135190539e+00 5.091098146724926110e-02 -7.218791582616969071e-01
-1.459837326729162665e+00 -1.408589997564008822e+00 5.124732916515384318e-02 -6.441862389704950953e-01
-1.455065836855885308e+00 -1.403534216248942590e+00 5.153162060694271851e-02 -5.808848156887143066e-01
-1.450294346982608173e+00 -1.398533413214937404e+00 5.176093376767076926e-02 -5.148227903715196785e-01
-1.445522857109331039e+00 -1.393590305009355212e+00 5.193255209997582611e-02 -4.332986427914681804e-01
-1.440751367236053682e+00 -1.388707466061358975e+00 5.204390117469470667e-02 -3.308810673306364358e-01
-1.435979877362776547e+00 -1.383887602232609870e+00 5.209227513016667643e-02 -2.099191100341736282e-01
-1.431208387489499412e+00 -1.379132795671012657e+00 5.207559181848675500e-02 -7.909229119974142685e-02
-1.426436897616222055e+00 -1.374445280741777076e+00 5.199161687444497915e-02 4.915771396145407479e-02
-1.421665407742944920e+00 -1.369827174623049482e+00 5.183823311989543825e-02 1.615560440439659518e-01
-1.416893917869667785e+00 -1.365280008548067414e+00 5.161390932160037082e-02 2.466163138394219523e-01
-1.412122427996390428e+00 -1.360805469131962875e+00 5.131695886442755317e-02 2.965319676443901598e-01
-1.407350938123113293e+00 -1.356404949695569906e+00 5.094598842754338719e-02 3.082596346963337730e-01
-1.402579448249836158e+00 -1.352079502470565631e+00 5.049994577927052752e-02 2.837570306275144505e-01
