# X mu var std 2std
-1.731812249505963575e+00 -2.081113397566447976e+00 4.764351573370191606e-02 2.182739465298181580e-01 4.365478930596363161e-01
-1.707954800139577456e+00 -2.056333772344854260e+00 4.760318398595100170e-02 2.181815390585349346e-01 4.363630781170698691e-01
-1.684097350773191559e+00 -1.980641096209897256e+00 4.760760625416252112e-02 2.181916732007949944e-01 4.363833464015899888e-01
-1.660239901406805441e+00 -1.844195492380209522e+00 4.762514280494131724e-02 2.182318556144847432e-01 4.364637112289694865e-01
-1.636382452040419322e+00 -1.772344537833455469e+00 4.763672299042413100e-02 2.182583858421575651e-01 4.365167716843151302e-01
-1.612525002674033425e+00 -1.816507850402325097e+00 4.763580849802943190e-02 2.182562908555660264e-01 4.365125817111320528e-01
-1.588667553307647307e+00 -1.783938778881745346e+00 4.762624553333904415e-02 2.182343821063469358e-01 4.364687642126938716e-01
-1.564810103941261188e+00 -1.510636666679808560e+00 4.761586542042803294e-02 2.182105987811500392e-01 4.364211975623000783e-01
-1.540952654574875291e+00 -1.397280825489839007e+00 4.761109292245419705e-02 2.181996629751159766e-01 4.363993259502319533e-01
-1.517095205208489173e+00 -1.686436892790876385e+00 4.761419372150964974e-02 2.182067682761230365e-01 4.364135365522460730e-01
-1.493237755842103054e+00 -1.529284965865409518e+00 4.762068672585265811e-02 2.182216458691773608e-01 4.364432917383547217e-01
-1.469380306475716935e+00 -9.176110980455604027e-01 4.762464680234048536e-02 2.182307191995216944e-01 4.364614383990433888e-01
-1.445522857109331039e+00 -3.861901484081041724e-01 4.761925682719424929e-02 2.182183695915498600e-01 4.364367391830997200e-01
-1.421665407742944920e+00 1.321069748399680277e-01 4.760844651074545159e-02 2.181935986933288829e-01 4.363871973866577658e-01
-1.397807958376558801e+00 1.873551062238344445e-01 4.760682697960824661e-02 2.181898874366276497e-01 4.363797748732552995e-01
-1.373950509010172905e+00 -9.568199597283499891e-03 4.764358690148406961e-02 2.182741095537537035e-01 4.365482191075074070e-01
