# X mu var std 2std
-1.731812249505963575e+00 -2.069139440969367083e+00 2.229029818067336521e-01 4.721260232255087841e-01 9.442520464510175682e-01
-1.727040759632686440e+00 -2.067087103625213640e+00 2.239307168057962649e-01 4.732131832544358430e-01 9.464263665088716859e-01
-1.722269269759409083e+00 -2.063388895373964527e+00 2.233547882963593245e-01 4.726042618262760731e-01 9.452085236525521461e-01
-1.717497779886131948e+00 -2.058008774844374944e+00 2.207646391489019311e-01 4.698559770279632786e-01 9.397119540559265571e-01
-1.712726290012854813e+00 -2.051105704869615742e+00 2.168817018314360412e-01 4.657055956625774096e-01 9.314111913251548192e-01
-1.707954800139577456e+00 -2.042624744474495824e+00 2.130305829069789603e-01 4.615523620424653028e-01 9.231047240849306057e-01
-1.703183310266300321e+00 -2.032210652736624379e+00 2.100431494655976561e-01 4.583046470041490239e-01 9.166092940082980478e-01
-1.698411820393023186e+00 -2.019393871113539962e+00 2.077438780586058076e-01 4.557892912943499741e-01 9.115785825886999483e-01
-1.693640330519745829e+00 -2.003786780372425191e+00 2.052684357356254763e-01 4.530655976077034852e-01 9.061311952154069704e-01
-1.688868840646468694e+00 -1.985151068738391533e+00 2.014920107994828680e-01 4.488786147718366037e-01 8.977572295436732075e-01
-1.684097350773191559e+00 -1.963404203575932705e+00 1.953103807171091277e-01 4.419393405402025632e-01 8.838786810804051264e-01
-1.679325860899914202e+00 -1.938675920107961304e+00 1.859840842346709433e-01 4.312587207636164877e-01 8.625174415272329753e-01
-1.674554371026637067e+00 -1.911425879655047622e+00 1.733741774822642745e-01 4.163822492401234587e-01 8.327644984802469175e-01
-1.669782881153359932e+00 -1.882544968509782590e+00 1.578097145754711328e-01 3.972527087075318208e-01 7.945054174150636417e-01
-1.665011391280082576e+00 -1.853361368264846432e+00 1.398853568782437717e-01 3.740125089863222119e-01 7.480250179726444237e-01
-1.660239901406805441e+00 -1.825524113296680406e+00 1.205678036373870332e-01 3.472287482876195153e-01 6.944574965752390305e-01
-1.655468411533528306e+00 -1.800791963820195685e+00 1.014275740428065564e-01 3.184769599873851775e-01 6.369539199747703551e-01
-1.650696921660250949e+00 -1.780782253089659983e+00 8.459126350817086637e-02 2.908457727184132202e-01 5.816915454368264404e-01
-1.645925431786973814e+00 -1.766736856266854394e+00 7.232196339923893658e-02 2.689274314740668914e-01 5.378548629481337828e-01
-1.641153941913696679e+00 -1.759345547536446563e+00 6.642393323658594972e-02 2.577284098359859943e-01 5.154568196719719886e-01
-1.636382452040419322e+00 -1.758651072279313832e+00 6.772643368443911904e-02 2.602430281187934624e-01 5.204860562375869248e-01
-1.631610962167142187e+00 -1.764040810322511366e+00 7.584820601130103090e-02 2.754055301029756375e-01 5.508110602059512750e-01
-1.626839472293865052e+00 -1.774310443836358830e+00 8.934695591332156295e-02 2.989096116108037604e-01 5.978192232216075208e-01
-1.622067982420587695e+00 -1.787771572215358873e+00 1.062136102381761593e-01 3.259042961333528665e-01 6.518085922667057330e-01
-1.617296492547310560e+00 -1.802373158586123347e+00 1.245041553737800955e-01 3.528514636129204129e-01 7.057029272258408259e-01
-1.612525002674033425e+00 -1.815816449921549225e+00 1.427888844841656846e-01 3.778741648805402087e-01 7.557483297610804174e-01
-1.607753512800756068e+00 -1.825662447560603141e+00 1.601614445948544851e-01 4.002017548622875398e-01 8.004035097245750796e-01
-1.602982022927478933e+00 -1.829447797517951502e+00 1.758444705155202681e-01 4.193381338675511993e-01 8.386762677351023987e-01
