# X mu var std 2std
-1.731812249505963575e+00 -2.069139440969367083e+00 1.783735272273062333e-01 4.223429024232634443e-01 8.446858048465268887e-01
-1.727040759632686440e+00 -2.067087103625213640e+00 1.794012622263688461e-01 4.235578617218299646e-01 8.471157234436599293e-01
-1.722269269759409083e+00 -2.063388895373964527e+00 1.788253337169319057e-01 4.228774452686403507e-01 8.457548905372807013e-01
-1.717497779886131948e+00 -2.058008774844374944e+00 1.762351845694745123e-01 4.198037453018666487e-01 8.396074906037332974e-01
-1.712726290012854813e+00 -2.051105704869615742e+00 1.723522472520086224e-01 4.151532816346374943e-01 8.303065632692749887e-01
-1.707954800139577456e+00 -2.042624744474495824e+00 1.685011283275515415e-01 4.104888894081684669e-01 8.209777788163369339e-01
-1.703183310266300321e+00 -2.032210652736624379e+00 1.655136948861702373e-01 4.068337435441782834e-01 8.136674870883565669e-01
-1.698411820393023186e+00 -2.019393871113539962e+00 1.632144234791783888e-01 4.039980488556577098e-01 8.079960977113154197e-01
-1.693640330519745829e+00 -2.003786780372425191e+00 1.607389811561980575e-01 4.009226623130676126e-01 8.018453246261352252e-01
-1.688868840646468694e+00 -1.985151068738391533e+00 1.569625562200554492e-01 3.961850025178331181e-01 7.923700050356662361e-01
-1.684097350773191559e+00 -1.963404203575932705e+00 1.507809261376817089e-01 3.883051971551265691e-01 7.766103943102531382e-01
-1.679325860899914202e+00 -1.938675920107961304e+00 1.414546296552435245e-01 3.761045461773142584e-01 7.522090923546285168e-01
-1.674554371026637067e+00 -1.911425879655047622e+00 1.288447229028368557e-01 3.589494712391102516e-01 7.178989424782205031e-01
-1.669782881153359932e+00 -1.882544968509782590e+00 1.132802599960437279e-01 3.365713297297375783e-01 6.731426594594751567e-01
-1.665011391280082576e+00 -1.853361368264846432e+00 9.535590229881636681e-02 3.087975101888231766e-01 6.175950203776463532e-01
-1.660239901406805441e+00 -1.825524113296680406e+00 7.603834905795961441e-02 2.757505195968987244e-01 5.515010391937974488e-01
-1.655468411533528306e+00 -1.800791963820195685e+00 5.689811946337914456e-02 2.385332669951492346e-01 4.770665339902984692e-01
-1.650696921660250949e+00 -1.780782253089659983e+00 4.006180892874345451e-02 2.001544626750636768e-01 4.003089253501273537e-01
-1.645925431786973814e+00 -1.766736856266854394e+00 2.779250881981152471e-02 1.667108539352238072e-01 3.334217078704476145e-01
-1.641153941913696679e+00 -1.759345547536446563e+00 2.189447865715853786e-02 1.479678298048550111e-01 2.959356596097100223e-01
-1.636382452040419322e+00 -1.758651072279313832e+00 2.319697910501171065e-02 1.523055452208215144e-01 3.046110904416430287e-01
-1.631610962167142187e+00 -1.764040810322511366e+00 3.131875143187361904e-02 1.769710468745484266e-01 3.539420937490968533e-01
-1.626839472293865052e+00 -1.774310443836358830e+00 4.481750133389415802e-02 2.117014438635083096e-01 4.234028877270166191e-01
-1.622067982420587695e+00 -1.787771572215358873e+00 6.168415565874874051e-02 2.483629514616637335e-01 4.967259029233274670e-01
-1.617296492547310560e+00 -1.802373158586123347e+00 7.997470079435267665e-02 2.827979858385711309e-01 5.655959716771422618e-01
-1.612525002674033425e+00 -1.815816449921549225e+00 9.825942990473827965e-02 3.134636022008588374e-01 6.269272044017176748e-01
-1.607753512800756068e+00 -1.825662447560603141e+00 1.156319900154270663e-01 3.400470408861501204e-01 6.800940817723002407e-01
-1.602982022927478933e+00 -1.829447797517951502e+00 1.313150159360928493e-01 3.623741380618832886e-01 7.247482761237665772e-01
-1.598210533054201798e+00 -1.824832033650951812e+00 1.442448026282667495e-01 3.797957380333101263e-01 7.595914760666202525e-01
-1.593439043180924442e+00 -1.809791301553498544e+00 1.530665435381280692e-01 3.912371960053492304e-01 7.824743920106984607e-01
-1.588667553307647307e+00 -1.782861622961321224e+00 1.565711592975610744e-01 3.956907369367661520e-01 7.913814738735323040e-01
-1.583896063434370172e+00 -1.743423474631436543e+00 1.541315294579082285e-01 3.925958856864246727e-01 7.851917713728493453e-01
-1.579124573561092815e+00 -1.692011744679164931e+00 1.457249050933705770e-01 3.817393156243807373e-01 7.634786312487614746e-01
-1.574353083687815680e+00 -1.630616315465442279e+00 1.316500470383455690e-01 3.628361159509146394e-01 7.256722319018292788e-01
-1.569581593814538545e+00 -1.562900459199065173e+00 1.124082925277587741e-01 3.352734593250094597e-01 6.705469186500189194e-01
-1.564810103941261188e+00 -1.494221187124392003e+00 8.900749218152909092e-02 2.983412344640430369e-01 5.966824689280860738e-01
-1.560038614067984053e+00 -1.431325444421000626e+00 6.348658434815587781e-02 2.519654427657806450e-01 5.039308855315612901e-01
-1.555267124194706918e+00 -1.381645863567454890e+00 3.912972406681392706e-02 1.978123455874630787e-01 3.956246911749261574e-01
-1.550495634321429561e+00 -1.352218184506245757e+00 1.979895901920293924e-02 1.407087737818894513e-01 2.814175475637789026e-01
-1.545724144448152426e+00 -1.348357288620890770e+00 8.333338934611637244e-03 9.128712359698730461e-02 1.825742471939746092e-01
-1.540952654574875291e+00 -1.372334005824655812e+00 4.945971544003753030e-03 7.032760158006068352e-02 1.406552031601213670e-01
-1.536181164701597934e+00 -1.422376479942848659e+00 6.963471389766356066e-03 8.344741691488333224e-02 1.668948338297666645e-01
-1.531409674828320799e+00 -1.492335448436165946e+00 1.030003375475491492e-02 1.014890819485274182e-01 2.029781638970548363e-01
-1.526638184955043664e+00 -1.572247682443234762e+00 1.162988830659977130e-02 1.078419598607136404e-01 2.156839197214272807e-01
-1.521866695081766307e+00 -1.649792411989786434e+00 9.886621629994825355e-03 9.943149214406281355e-02 1.988629842881256271e-01
