# X mu var std 2std
-1.731812249505963575e+00 -2.093212303288835674e+00 2.068349730109649565e-01 4.547911311920725397e-01 9.095822623841450794e-01
-1.727040759632686440e+00 -2.091941547631804177e+00 2.084183796839150504e-01 4.565286186910028077e-01 9.130572373820056153e-01
-1.722269269759409083e+00 -2.088606810230943633e+00 2.116052196888076053e-01 4.600056735398027619e-01 9.200113470796055237e-01
-1.717497779886131948e+00 -2.082716551888941225e+00 2.155103890809768885e-01 4.642309652327997194e-01 9.284619304655994387e-01
-1.712726290012854813e+00 -2.073520432170513406e+00 2.169003925837772462e-01 4.657256623633458936e-01 9.314513247266917872e-01
-1.707954800139577456e+00 -2.061481759877888287e+00 2.134044138951641245e-01 4.619571559086017021e-01 9.239143118172034042e-01
-1.703183310266300321e+00 -2.047297464112430188e+00 2.066211022250550311e-01 4.545559395993578056e-01 9.091118791987156111e-01
-1.698411820393023186e+00 -2.031285362140221373e+00 1.989494293007208481e-01 4.460374752200994553e-01 8.920749504401989105e-01
-1.693640330519745829e+00 -2.013460894686956326e+00 1.928117694166670004e-01 4.391033698534628771e-01 8.782067397069257542e-01
-1.688868840646468694e+00 -1.993325280160227031e+00 1.881238720587727065e-01 4.337324890514575038e-01 8.674649781029150075e-01
-1.684097350773191559e+00 -1.969882299584661212e+00 1.834238314247468860e-01 4.282800852535019187e-01 8.565601705070038374e-01
-1.679325860899914202e+00 -1.942868291580002404e+00 1.765552592302762347e-01 4.201847917646189812e-01 8.403695835292379623e-01
-1.674554371026637067e+00 -1.912912675405828322e+00 1.663747421195665988e-01 4.078906006756794489e-01 8.157812013513588978e-01
-1.669782881153359932e+00 -1.881069300616106554e+00 1.522816200584060642e-01 3.902327767607509101e-01 7.804655535215018203e-01
-1.665011391280082576e+00 -1.849296577014023057e+00 1.351079590125836838e-01 3.675703456654027534e-01 7.351406913308055069e-01
-1.660239901406805441e+00 -1.820210110812857884e+00 1.162039155175632332e-01 3.408869541615859866e-01 6.817739083231719732e-01
-1.655468411533528306e+00 -1.795796410031151646e+00 9.736123029040755217e-02 3.120276114231039788e-01 6.240552228462079576e-01
-1.650696921660250949e+00 -1.777658036222588889e+00 8.069184282831723398e-02 2.840630965618681780e-01 5.681261931237363560e-01
-1.645925431786973814e+00 -1.767321292050022530e+00 6.821864713247378920e-02 2.611869964842694625e-01 5.223739929685389249e-01
-1.641153941913696679e+00 -1.764879257911990962e+00 6.172469796260146579e-02 2.484445571200976643e-01 4.968891142401953287e-01
-1.636382452040419322e+00 -1.770325636316157913e+00 6.240532089764180140e-02 2.498105700278549224e-01 4.996211400557098448e-01
-1.631610962167142187e+00 -1.782509978541684470e+00 7.017810480910138815e-02 2.649115037311542964e-01 5.298230074623085928e-01
-1.626839472293865052e+00 -1.799725994018292141e+00 8.430650800160206793e-02 2.903558299769475326e-01 5.807116599538950652e-01
-1.622067982420587695e+00 -1.819608487651713347e+00 1.031797422496263106e-01 3.212160367254821569e-01 6.424320734509643138e-01
-1.617296492547310560e+00 -1.840068950232058631e+00 1.252840943909102056e-01 3.539549327116521815e-01 7.079098654233043630e-01
-1.612525002674033425e+00 -1.857513334026454022e+00 1.486884863463357742e-01 3.856014605085615887e-01 7.712029210171231774e-01
