# X mu var std 2std
-1.731812249505963575e+00 -1.906313340130439959e+00 4.758534539101511723e-02 2.181406550623132268e-01 4.362813101246264536e-01
-1.707954800139577456e+00 -1.892764171247453886e+00 4.758534539507223993e-02 2.181406550716125381e-01 4.362813101432250762e-01
-1.684097350773191559e+00 -1.871659361842190172e+00 4.758534600936497466e-02 2.181406564796323777e-01 4.362813129592647554e-01
-1.660239901406805441e+00 -1.812106588031744181e+00 4.758536915537435463e-02 2.181407095325729184e-01 4.362814190651458368e-01
-1.636382452040419322e+00 -1.681441216408132489e+00 4.758557606650300198e-02 2.181411837927515196e-01 4.362823675855030392e-01
-1.612525002674033425e+00 -1.570047260335935890e+00 4.758591094549168704e-02 2.181419513653705400e-01 4.362839027307410800e-01
-1.588667553307647307e+00 -1.608239717905247224e+00 4.758569587856816691e-02 2.181414584130402512e-01 4.362829168260805024e-01
-1.564810103941261188e+00 -1.666693057958563928e+00 4.758540557979255153e-02 2.181407930209124102e-01 4.362815860418248204e-01
-1.540952654574875291e+00 -1.500955351600633980e+00 4.758542530633826095e-02 2.181408382360768838e-01 4.362816764721537677e-01
-1.517095205208489173e+00 -1.201404275082302187e+00 4.758563010291954470e-02 2.181413076492380865e-01 4.362826152984761729e-01
-1.493237755842103054e+00 -1.268436069481117201e+00 4.758581062055653593e-02 2.181417214119218684e-01 4.362834428238437368e-01
-1.469380306475716935e+00 -1.576608487421861993e+00 4.758634881377613729e-02 2.181429549946001245e-01 4.362859099892002490e-01
-1.445522857109331039e+00 -1.345930583228998278e+00 4.758620047741160541e-02 2.181426149962716610e-01 4.362852299925433219e-01
-1.421665407742944920e+00 -7.351317648149451323e-01 4.758690653822988254e-02 2.181442333370971487e-01 4.362884666741942974e-01
-1.397807958376558801e+00 -2.872024469049267448e-01 4.758633139951574942e-02 2.181429150798066818e-01 4.362858301596133637e-01
-1.373950509010172905e+00 2.366232758122189250e-01 4.758619022247986136e-02 2.181425914911617192e-01 4.362851829823234384e-01
-1.350093059643786786e+00 3.834290609706714759e-01 4.758617763934607642e-02 2.181425626496261705e-01 4.362851252992523410e-01
-1.326235610277400667e+00 1.866938725998507076e-02 4.758777519583925336e-02 2.181462243446795346e-01 4.362924486893590692e-01
-1.302378160911014549e+00 2.968171584508033090e-01 4.758831541813536570e-02 2.181474625525939293e-01 4.362949251051878585e-01
-1.278520711544628652e+00 4.260725685917080008e-01 4.758845042585935214e-02 2.181477719938009208e-01 4.362955439876018415e-01
-1.254663262178242533e+00 -1.593005983802088799e-01 4.758730582396066000e-02 2.181451485226308107e-01 4.362902970452616214e-01
-1.230805812811856415e+00 -3.620445508235285437e-01 4.758757497580902440e-02 2.181457654317613126e-01 4.362915308635226252e-01
-1.206948363445470518e+00 1.646048643505969022e-01 4.758632316755245090e-02 2.181428962115256609e-01 4.362857924230513218e-01
-1.183090914079084399e+00 5.892491746616801418e-01 4.758699112119548630e-02 2.181444272063705059e-01 4.362888544127410118e-01
-1.159233464712698281e+00 3.804660914826472617e-01 4.758673534457744103e-02 2.181438409503634046e-01 4.362876819007268092e-01
-1.135376015346312384e+00 5.074762180056207050e-01 4.758824826346741421e-02 2.181473086321887578e-01 4.362946172643775156e-01
-1.111518565979926265e+00 9.350771004464883962e-01 4.759085744436122173e-02 2.181532888689996785e-01 4.363065777379993571e-01
-1.087661116613540147e+00 9.699796645911373805e-01 4.759012091786078008e-02 2.181516007685040670e-01 4.363032015370081340e-01
-1.063803667247154028e+00 1.275626809787631766e+00 4.759035532939842605e-02 2.181521380353592388e-01 4.363042760707184775e-01
-1.039946217880768131e+00 1.573931554276507994e+00 4.758809071585418798e-02 2.181469475281609116e-01 4.362938950563218232e-01
-1.016088768514382012e+00 1.624255382087822275e+00 4.758853121230650907e-02 2.181479571582244092e-01 4.362959143164488185e-01
-9.922313191479960048e-01 1.759394119744934093e+00 4.758973500572205584e-02 2.181507162622255969e-01 4.363014325244511937e-01
-9.683738697816098862e-01 1.628644407587377163e+00 4.758973686613397064e-02 2.181507205262773474e-01 4.363014410525546949e-01
-9.445164204152238785e-01 1.469645030496839366e+00 4.758924280795844008e-02 2.181495881452872321e-01 4.362991762905744642e-01
-9.206589710488377598e-01 6.345886615960532051e-01 4.758973285703163580e-02 2.181507113374412943e-01 4.363014226748825886e-01
-8.968015216824517521e-01 1.281396661050965280e-02 4.758963064047039976e-02 2.181504770576273566e-01 4.363009541152547133e-01
-8.729440723160657445e-01 4.624644427721412154e-01 4.758727102722827562e-02 2.181450687667000066e-01 4.362901375334000131e-01
-8.490866229496796258e-01 5.308919209023357233e-01 4.758881797887042076e-02 2.181486144326165999e-01 4.362972288652331998e-01
-8.252291735832936181e-01 5.714532376622230014e-01 4.758972531320494054e-02 2.181506940470392952e-01 4.363013880940785905e-01
-8.013717242169074995e-01 1.417962171650548386e+00 4.758989290274019679e-02 2.181510781608475003e-01 4.363021563216950005e-01
-7.775142748505214918e-01 1.878642546141793490e+00 4.758801729270641101e-02 2.181467792398192052e-01 4.362935584796384103e-01
-7.536568254841353731e-01 1.417510225608125340e+00 4.758855896340311031e-02 2.181480207643496094e-01 4.362960415286992188e-01
-7.297993761177493655e-01 1.738818843556442006e+00 4.759046458522296630e-02 2.181523884472112984e-01 4.363047768944225968e-01
-7.059419267513633578e-01 2.136231445880894420e+00 4.758669395703013505e-02 2.181437460873681122e-01 4.362874921747362245e-01
-6.820844773849772391e-01 1.461920284153966687e+00 4.758962205967545711e-02 2.181504573904796129e-01 4.363009147809592259e-01
-6.582270280185912315e-01 1.081095729507396186e+00 4.758958307352258860e-02 2.181503680343505336e-01 4.363007360687010672e-01
-6.343695786522051128e-01 1.524098376223953499e+00 4.759122604063446144e-02 2.181541336776235962e-01 4.363082673552471924e-01
-6.105121292858191051e-01 1.185936868315937920e+00 4.758642368941448653e-02 2.181431266151067361e-01 4.362862532302134722e-01
-5.866546799194330974e-01 1.113002228924301784e+00 4.758705931671284445e-02 2.181445835144958378e-01 4.362891670289916757e-01
-5.627972305530469788e-01 3.288640900677567980e-01 4.758874142165360477e-02 2.181484389622204145e-01 4.362968779244408291e-01
-5.389397811866609711e-01 -6.351874806023132258e-01 4.758692063513562942e-02 2.181442656480697684e-01 4.362885312961395368e-01
-5.150823318202748524e-01 -2.394717251154629412e-01 4.759065960796103611e-02 2.181528354341538967e-01 4.363056708683077933e-01
-4.912248824538888448e-01 6.140744462026523909e-01 4.759333995540355328e-02 2.181589786266051323e-01 4.363179572532102646e-01
-4.673674330875027816e-01 1.085936000927149481e+00 4.758674309774480610e-02 2.181438587211310953e-01 4.362877174422621906e-01
-4.435099837211167184e-01 7.690064965727965163e-01 4.758804518095191560e-02 2.181468431606378156e-01 4.362936863212756311e-01
-4.196525343547306552e-01 1.122037991817665392e-01 4.759180767715506105e-02 2.181554667597286334e-01 4.363109335194572669e-01
-3.957950849883446476e-01 1.664486766791640204e-01 4.758703665849476488e-02 2.181445315805435603e-01 4.362890631610871206e-01
-3.719376356219585844e-01 1.006953123462556166e-02 4.758894478875478479e-02 2.181489050826402598e-01 4.362978101652805196e-01
-3.480801862555725212e-01 -3.100816688745181016e-01 4.758819096423816397e-02 2.181471773006429804e-01 4.362943546012859608e-01
-3.242227368891864581e-01 -1.073581482282492394e-01 4.758735295388078629e-02 2.181452565468265936e-01 4.362905130936531872e-01
-3.003652875228003949e-01 6.321435803044678226e-02 4.759415373643888225e-02 2.181608437287472502e-01 4.363216874574945003e-01
-2.765078381564143317e-01 8.829007322357311782e-01 4.759393843461969670e-02 2.181603502807503703e-01 4.363207005615007406e-01
-2.526503887900283241e-01 1.129645358223459350e+00 4.759282300411590838e-02 2.181577938193268174e-01 4.363155876386536347e-01
-2.287929394236422609e-01 8.011446620283586562e-01 4.759130191205344224e-02 2.181543075716210478e-01 4.363086151432420956e-01
-2.049354900572561977e-01 8.703263962259415454e-01 4.758648007715828715e-02 2.181432558599011307e-01 4.362865117198022613e-01
-1.810780406908701345e-01 7.213663462339729993e-01 4.758640606713676613e-02 2.181430862235536616e-01 4.362861724471073233e-01
-1.572205913244840991e-01 4.181067021515876836e-01 4.758668911072466701e-02 2.181437349793128311e-01 4.362874699586256622e-01
-1.333631419580980360e-01 6.465699766983334928e-01 4.758617520823031632e-02 2.181425570773165568e-01 4.362851141546331135e-01
-1.095056925917119867e-01 7.230433159595675008e-01 4.758761539775164390e-02 2.181458580806696079e-01 4.362917161613392159e-01
-8.564824322532593737e-02 5.469352056472323031e-01 4.758781753764047828e-02 2.181463213937848700e-01 4.362926427875697399e-01
-6.179079385893988113e-02 8.998680178273625874e-01 4.758617582396042905e-02 2.181425584886186875e-01 4.362851169772373749e-01
-3.793334449255382490e-02 1.239847017122316819e+00 4.758737593318156101e-02 2.181453092165439311e-01 4.362906184330878623e-01
-1.407589512616777214e-02 8.461245090300313354e-01 4.758702782565442380e-02 2.181445113351569709e-01 4.362890226703139418e-01
9.781554240218282362e-03 7.752736188555735541e-01 4.758834897020849941e-02 2.181475394548572366e-01 4.362950789097144733e-01
3.363900360660433686e-02 9.169723731179579840e-01 4.758731724187385131e-02 2.181451746930787583e-01 4.362903493861575166e-01
5.749645297299038615e-02 4.424037655922737344e-01 4.758781971531032134e-02 2.181463263850902390e-01 4.362926527701804780e-01
8.135390233937643545e-02 7.217898934176998349e-01 4.758755140446288556e-02 2.181457114051589263e-01 4.362914228103178527e-01
1.052113517057624986e-01 8.141220594678670874e-01 4.758763769556914602e-02 2.181459091882521351e-01 4.362918183765042701e-01
1.290688010721485479e-01 4.513022071996120599e-01 4.758729145556288981e-02 2.181451155895150762e-01 4.362902311790301524e-01
1.529262504385346111e-01 7.530114733731798626e-01 4.758700850491241752e-02 2.181444670508798922e-01 4.362889341017597844e-01
1.767836998049206465e-01 6.729645423058125964e-01 4.758866254929343398e-02 2.181482581853300962e-01 4.362965163706601923e-01
2.006411491713067097e-01 1.124959836949235958e+00 4.758688274995478973e-02 2.181441788129006853e-01 4.362883576258013707e-01
2.244985985376927728e-01 1.663432014172521844e+00 4.758869737159503177e-02 2.181483379986999260e-01 4.362966759973998521e-01
2.483560479040788083e-01 2.088048905219025642e+00 4.758607553787989192e-02 2.181423286248679594e-01 4.362846572497359188e-01
2.722134972704648437e-01 1.655883840267495133e+00 4.758693961907313474e-02 2.181443091604113593e-01 4.362886183208227187e-01
2.960709466368509069e-01 1.311405609615092560e+00 4.758812521957826724e-02 2.181470266118203660e-01 4.362940532236407321e-01
3.199283960032369700e-01 1.211205564462799256e+00 4.759050856855555345e-02 2.181524892559228990e-01 4.363049785118457979e-01
3.437858453696230332e-01 6.608731411450006199e-01 4.758719720442362161e-02 2.181448995608735730e-01 4.362897991217471461e-01
3.676432947360090964e-01 1.065882538049002237e+00 4.758791128210755617e-02 2.181465362597067581e-01 4.362930725194135162e-01
3.915007441023951595e-01 1.134212233394468194e+00 4.758680068967471172e-02 2.181439907255634525e-01 4.362879814511269050e-01
4.153581934687811672e-01 1.835573091340621521e-01 4.758579993141587305e-02 2.181416969114705340e-01 4.362833938229410680e-01
4.392156428351672304e-01 -3.605817027067972358e-01 4.758542272141230017e-02 2.181408323111752867e-01 4.362816646223505734e-01
4.630730922015532935e-01 -3.810758070426143451e-01 4.758554482945762110e-02 2.181411121945096010e-01 4.362822243890192020e-01
4.869305415679393567e-01 -4.342965133514751774e-01 4.758549901521158532e-02 2.181410071839120779e-01 4.362820143678241558e-01
5.107879909343253644e-01 -6.396450193215578173e-01 4.758538321453655712e-02 2.181407417575556007e-01 4.362814835151112014e-01
5.346454403007114831e-01 -9.300188117508174646e-01 4.758565344929047147e-02 2.181413611612673387e-01 4.362827223225346773e-01
5.585028896670974907e-01 -1.211406736906892379e+00 4.758670141875151471e-02 2.181437631901299856e-01 4.362875263802599712e-01
5.823603390334836094e-01 -1.080567863008591756e+00 4.758674051943115324e-02 2.181438528114673925e-01 4.362877056229347850e-01
6.062177883998696171e-01 -4.592366973524311669e-01 4.758596926744923516e-02 2.181420850442418180e-01 4.362841700884836360e-01
6.300752377662556247e-01 -1.648727247450115785e-02 4.758622424749176655e-02 2.181426694791547827e-01 4.362853389583095653e-01
6.539326871326417434e-01 -1.449586832686047821e-01 4.758580005490969239e-02 2.181416971945292493e-01 4.362833943890584987e-01
6.777901364990277511e-01 -4.486509986496638458e-01 4.758540640598883653e-02 2.181407949146349778e-01 4.362815898292699557e-01
7.016475858654138698e-01 -6.128093955098996570e-01 4.758550644084399983e-02 2.181410242041693648e-01 4.362820484083387296e-01
7.255050352317998774e-01 -6.820195074283200709e-01 4.758620282260091899e-02 2.181426203716296253e-01 4.362852407432592505e-01
7.493624845981858851e-01 -6.442033035663534690e-01 4.758651058813471307e-02 2.181433257932378633e-01 4.362866515864757266e-01
7.732199339645720038e-01 -4.743761513592764101e-01 4.758644160172526005e-02 2.181431676714291612e-01 4.362863353428583224e-01
7.970773833309580114e-01 -3.619981608123205574e-01 4.758713170735121012e-02 2.181447494379619712e-01 4.362894988759239423e-01
8.209348326973441301e-01 -4.964645471328013038e-01 4.758626619183476542e-02 2.181427656188368036e-01 4.362855312376736072e-01
8.447922820637301378e-01 -6.876985010807833421e-01 4.758617937269231379e-02 2.181425666225927373e-01 4.362851332451854747e-01
8.686497314301162564e-01 -5.947008895857472943e-01 4.758637456609768335e-02 2.181430140208429624e-01 4.362860280416859249e-01
8.925071807965022641e-01 -4.262012766124725349e-01 4.758701362822988917e-02 2.181444787938257301e-01 4.362889575876514603e-01
9.163646301628882718e-01 -6.650445699297520274e-01 4.758654285768479375e-02 2.181433997573265782e-01 4.362867995146531563e-01
9.402220795292743905e-01 -1.042704548741831161e+00 4.758712361900184484e-02 2.181447308990108191e-01 4.362894617980216383e-01
9.640795288956603981e-01 -1.011061262948790729e+00 4.758680754092666637e-02 2.181440064290712244e-01 4.362880128581424488e-01
9.879369782620465168e-01 -7.455266214388032164e-01 4.758638763991168003e-02 2.181430439869941895e-01 4.362860879739883790e-01
1.011794427628432524e+00 -5.858287834887022649e-01 4.758651533512604087e-02 2.181433366736789392e-01 4.362866733473578784e-01
1.035651876994818643e+00 -5.644311435826743217e-01 4.758572149425834702e-02 2.181415171265166375e-01 4.362830342530332750e-01
