# X mu var std 2std
-1.731812249505963575e+00 -1.936334271520956163e+00 2.085405940318237061e-01 4.566624508669655524e-01 9.133249017339311049e-01
-1.727040759632686440e+00 -1.934707715443177767e+00 2.099800049709685534e-01 4.582357526109988588e-01 9.164715052219977176e-01
-1.722269269759409083e+00 -1.930331679349828855e+00 2.083112262058794129e-01 4.564112468003821976e-01 9.128224936007643953e-01
-1.717497779886131948e+00 -1.924816085610156158e+00 2.090903695756787251e-01 4.572640042422743689e-01 9.145280084845487378e-01
-1.712726290012854813e+00 -1.919149856432466938e+00 2.092204095600290192e-01 4.574061756907409904e-01 9.148123513814819807e-01
-1.707954800139577456e+00 -1.913934118574264209e+00 2.070832977440195399e-01 4.550640589455725582e-01 9.101281178911451164e-01
-1.703183310266300321e+00 -1.907459539844084118e+00 2.054850525549878626e-01 4.533045913676452821e-01 9.066091827352905641e-01
-1.698411820393023186e+00 -1.900857742245863902e+00 2.027925633083641210e-01 4.503249530154465052e-01 9.006499060308930105e-01
-1.693640330519745829e+00 -1.890896129691213456e+00 1.979869188368178767e-01 4.449572101189258055e-01 8.899144202378516111e-01
-1.688868840646468694e+00 -1.884365304747109393e+00 1.970088721644442098e-01 4.438568149352268288e-01 8.877136298704536577e-01
-1.684097350773191559e+00 -1.872739774833821702e+00 1.958742249255371881e-01 4.425768011605863417e-01 8.851536023211726834e-01
-1.679325860899914202e+00 -1.862800093167170434e+00 1.963212779137014641e-01 4.430815702708717496e-01 8.861631405417434992e-01
-1.674554371026637067e+00 -1.850266949115048298e+00 1.988944789723337270e-01 4.459758726347577973e-01 8.919517452695155946e-01
-1.669782881153359932e+00 -1.834191883109451249e+00 2.032724565556695284e-01 4.508574681156668484e-01 9.017149362313336969e-01
-1.665011391280082576e+00 -1.814785770168493517e+00 2.060904091577166752e-01 4.539718153781319154e-01 9.079436307562638309e-01
-1.660239901406805441e+00 -1.794134387901165084e+00 2.075181256506124505e-01 4.555415740090167365e-01 9.110831480180334729e-01
-1.655468411533528306e+00 -1.771460255240473014e+00 2.027923880120604261e-01 4.503247583822817535e-01 9.006495167645635069e-01
-1.650696921660250949e+00 -1.743857735772762707e+00 1.941338498945675839e-01 4.406062299770255875e-01 8.812124599540511749e-01
-1.645925431786973814e+00 -1.715964006032466793e+00 1.808492838508578282e-01 4.252637814943306949e-01 8.505275629886613897e-01
-1.641153941913696679e+00 -1.684589800420480454e+00 1.623948288888820979e-01 4.029824175927308461e-01 8.059648351854616921e-01
-1.636382452040419322e+00 -1.655123910815621935e+00 1.400717733915589902e-01 3.742616376167333114e-01 7.485232752334666229e-01
-1.631610962167142187e+00 -1.629815771505045419e+00 1.176238743660365516e-01 3.429633717556971884e-01 6.859267435113943767e-01
-1.626839472293865052e+00 -1.604514572778100279e+00 9.413657323137100685e-02 3.068168398757978865e-01 6.136336797515957731e-01
-1.622067982420587695e+00 -1.586727237689641745e+00 7.276144256237139507e-02 2.697432901155678575e-01 5.394865802311357150e-01
-1.617296492547310560e+00 -1.573448979800336378e+00 5.710846309391914150e-02 2.389737707237326592e-01 4.779475414474653183e-01
-1.612525002674033425e+00 -1.566678479931199686e+00 4.714485249560897151e-02 2.171286542481414839e-01 4.342573084962829677e-01
