# X mu var std 2std
-1.731812249505963575e+00 -2.054812648550088383e+00 4.258717772956822911e-02 2.063666100161754002e-01 4.127332200323508005e-01
-1.727040759632686440e+00 -2.143882214394725594e+00 3.995315463915870280e-02 1.998828522889312398e-01 3.997657045778624796e-01
-1.722269269759409083e+00 -2.212049144622827868e+00 3.805690823157444058e-02 1.950817988218645771e-01 3.901635976437291542e-01
-1.717497779886131948e+00 -2.258009538627545165e+00 3.703065396289389327e-02 1.924335053022053488e-01 3.848670106044106975e-01
-1.712726290012854813e+00 -2.281474473227507183e+00 3.694408821836931561e-02 1.922084499140693792e-01 3.844168998281387584e-01
-1.707954800139577456e+00 -2.283219943498736360e+00 3.779419043035841391e-02 1.944072797771688732e-01 3.888145595543377464e-01
-1.703183310266300321e+00 -2.265065622071179785e+00 3.950314292523693371e-02 1.987539758727782935e-01 3.975079517455565870e-01
-1.698411820393023186e+00 -2.229780934236058609e+00 4.192460048884535245e-02 2.047549767132544052e-01 4.095099534265088104e-01
-1.693640330519745829e+00 -2.180922988140397756e+00 4.485720783807978229e-02 2.117952025851383147e-01 4.235904051702766293e-01
-1.688868840646468694e+00 -2.122616692980007880e+00 4.806321652537446504e-02 2.192332468522383282e-01 4.384664937044766564e-01
-1.684097350773191559e+00 -2.059292386792166862e+00 5.128950846208447240e-02 2.264718712380954235e-01 4.529437424761908471e-01
-1.679325860899914202e+00 -1.995400011818566188e+00 5.428836847982470432e-02 2.329986448025496704e-01 4.659972896050993407e-01
-1.674554371026637067e+00 -1.935120987773417234e+00 5.683588597157711308e-02 2.384027809644365670e-01 4.768055619288731339e-01
-1.669782881153359932e+00 -1.882099273061582423e+00 5.874670314322393005e-02 2.423771918791533808e-01 4.847543837583067616e-01
-1.665011391280082576e+00 -1.839211671376355328e+00 5.988470171869385295e-02 2.447135094732079685e-01 4.894270189464159371e-01
-1.660239901406805441e+00 -1.808394393444691328e+00 6.016988739990711266e-02 2.452955103541585580e-01 4.905910207083171160e-01
-1.655468411533528306e+00 -1.790538508298791909e+00 5.958203830292733982e-02 2.440943225536541250e-01 4.881886451073082500e-01
-1.650696921660250949e+00 -1.785461597984919324e+00 5.816160709066851842e-02 2.411671766444773157e-01 4.823343532889546315e-01
-1.645925431786973814e+00 -1.791957103918261351e+00 5.600801460257565090e-02 2.366601246568074690e-01 4.733202493136149380e-01
-1.641153941913696679e+00 -1.807916982229347713e+00 5.327504488656556458e-02 2.308138749871107009e-01 4.616277499742214019e-01
-1.636382452040419322e+00 -1.830517816736238812e+00 5.016277196894736168e-02 2.239704711986545693e-01 4.479409423973091386e-01
-1.631610962167142187e+00 -1.856455876884145484e+00 4.690549271438456541e-02 2.165767594050307387e-01 4.331535188100614775e-01
-1.626839472293865052e+00 -1.882213092995368209e+00 4.375557451871984332e-02 2.091783318575799466e-01 4.183566637151598933e-01
-1.622067982420587695e+00 -1.904333803691077520e+00 4.096388263500542332e-02 2.023953621874904074e-01 4.047907243749808148e-01
-1.617296492547310560e+00 -1.919691557248576430e+00 3.875833981969698666e-02 1.968713788738652160e-01 3.937427577477304319e-01
-1.612525002674033425e+00 -1.925726250240459514e+00 3.732293263358842789e-02 1.931914403735021379e-01 3.863828807470042759e-01
-1.607753512800756068e+00 -1.920634371978736210e+00 3.677986461889572872e-02 1.917807722867329867e-01 3.835615445734659734e-01
-1.602982022927478933e+00 -1.903498883661407737e+00 3.717740368243797888e-02 1.928144280971680335e-01 3.856288561943360671e-01
-1.598210533054201798e+00 -1.874349985766879279e+00 3.848525773939255601e-02 1.961765983480001085e-01 3.923531966960002171e-01
-1.593439043180924442e+00 -1.834153328652434745e+00 4.059817262585968534e-02 2.014898821922820049e-01 4.029797643845640098e-01
-1.588667553307647307e+00 -1.784727670169546698e+00 4.334713539955561273e-02 2.081997487980127570e-01 4.163994975960255140e-01
-1.583896063434370172e+00 -1.728599149689274972e+00 4.651639214972237701e-02 2.156765915664525246e-01 4.313531831329050492e-01
-1.579124573561092815e+00 -1.668803838718413646e+00 4.986372501220243114e-02 2.233018697015375087e-01 4.466037394030750174e-01
-1.574353083687815680e+00 -1.608653726885142410e+00 5.314123913989785009e-02 2.305238363811817348e-01 4.610476727623634696e-01
-1.569581593814538545e+00 -1.551483590385796196e+00 5.611429243200677375e-02 2.368845550727332050e-01 4.737691101454664100e-01
-1.564810103941261188e+00 -1.500397160328760471e+00 5.857701087007657903e-02 2.420268804700762555e-01 4.840537609401525110e-01
-1.560038614067984053e+00 -1.458030661652320648e+00 6.036381433022693088e-02 2.456904848182503986e-01 4.913809696365007973e-01
-1.555267124194706918e+00 -1.426350224616947937e+00 6.135724261849584416e-02 2.477039414674216400e-01 4.954078829348432800e-01
-1.550495634321429561e+00 -1.406497048423755780e+00 6.149287948867299125e-02 2.479775786007133997e-01 4.959551572014267995e-01
-1.545724144448152426e+00 -1.398690737412607632e+00 6.076220089353449871e-02 2.464999003925447685e-01 4.929998007850895370e-01
-1.540952654574875291e+00 -1.402197178979390557e+00 5.921375253540114847e-02 2.433387608569607674e-01 4.866775217139215348e-01
-1.536181164701597934e+00 -1.415362944329642936e+00 5.695236767903043978e-02 2.386469519583906962e-01 4.772939039167813924e-01
-1.531409674828320799e+00 -1.435713725548271258e+00 5.413544711283275329e-02 2.326702540352607040e-01 4.653405080705214081e-01
-1.526638184955043664e+00 -1.460110029402802656e+00 5.096494218897032469e-02 2.257541631708490093e-01 4.515083263416980186e-01
-1.521866695081766307e+00 -1.484949478987142246e+00 4.767384799040138427e-02 2.183434175568418345e-01 4.366868351136836690e-01
-1.517095205208489173e+00 -1.506401869171287489e+00 4.450682078138679804e-02 2.109663972801990861e-01 4.219327945603981722e-01
-1.512323715335211816e+00 -1.520660803856361598e+00 4.169588101365657995e-02 2.041956929361062323e-01 4.083913858722124646e-01
-1.507552225461934681e+00 -1.524194502860983791e+00 3.943375393929762773e-02 1.985793391551538833e-01 3.971586783103077667e-01
-1.502780735588657546e+00 -1.513978341405851191e+00 3.784879983409562137e-02 1.945476801046355786e-01 3.890953602092711572e-01
-1.498009245715380189e+00 -1.487692936607158511e+00 3.698623025877565557e-02 1.923180445480237588e-01 3.846360890960475176e-01
-1.493237755842103054e+00 -1.443874086790790878e+00 3.680003554463505411e-02 1.918333535770957998e-01 3.836667071541915996e-01
-1.488466265968825919e+00 -1.382004453653221887e+00 3.715863095237408043e-02 1.927657411273436816e-01 3.855314822546873632e-01
-1.483694776095548562e+00 -1.302541295965493617e+00 3.786483739712372121e-02 1.945888933036100110e-01 3.891777866072200220e-01
-1.478923286222271427e+00 -1.206879461880226323e+00 3.868791633994455442e-02 1.966924409832379872e-01 3.933848819664759744e-01
-1.474151796348994292e+00 -1.097253804136819610e+00 3.940264555394446672e-02 1.985009963550421752e-01 3.970019927100843504e-01
-1.469380306475716935e+00 -9.765897545863986284e-01 3.982855203753762896e-02 1.995709198193404976e-01 3.991418396386809953e-01
-1.464608816602439800e+00 -8.483145638674607358e-01 3.986194627570160270e-02 1.996545673800166343e-01 3.993091347600332686e-01
-1.459837326729162665e+00 -7.161443368429766254e-01 3.949453889991053068e-02 1.987323297803116062e-01 3.974646595606232125e-01
-1.455065836855885308e+00 -5.838632494027464759e-01 3.881497370778891343e-02 1.970151611114964729e-01 3.940303222229929458e-01
-1.450294346982608173e+00 -4.551111359125826206e-01 3.799301841850880046e-02 1.949179786949084836e-01 3.898359573898169672e-01
-1.445522857109331039e+00 -3.331940595240192593e-01 3.724962781817840046e-02 1.930016264651114311e-01 3.860032529302228621e-01
-1.440751367236053682e+00 -2.209297308134338667e-01 3.681882589083521756e-02 1.918823230285562620e-01 3.837646460571125240e-01
-1.435979877362776547e+00 -1.205360470437212839e-01 3.690873222083693173e-02 1.921164548414240614e-01 3.842329096828481227e-01
-1.431208387489499412e+00 -3.356697771479449227e-02 3.766882260908537006e-02 1.940845759175245933e-01 3.881691518350491865e-01
-1.426436897616222055e+00 3.910406329143641113e-02 3.916880837060123660e-02 1.979111122969128278e-01 3.958222245938256556e-01
-1.421665407742944920e+00 9.725695480079783739e-02 4.139183153017236133e-02 2.034498255840303249e-01 4.068996511680606498e-01
-1.416893917869667785e+00 1.412603775344408730e-01 4.424168677048459508e-02 2.103370789244839723e-01 4.206741578489679445e-01
-1.412122427996390428e+00 1.719789341092163304e-01 4.756118209818083198e-02 2.180852633677498875e-01 4.361705267354997750e-01
-1.407350938123113293e+00 1.906618942715173626e-01 5.115705656746086238e-02 2.261792575977312481e-01 4.523585151954624961e-01
-1.402579448249836158e+00 1.988237595894291054e-01 5.482632617553444276e-02 2.341502213869003368e-01 4.683004427738006736e-01
-1.397807958376558801e+00 1.981261298900335588e-01 5.837947227241629261e-02 2.416184435684003984e-01 4.832368871368007968e-01
-1.393036468503281666e+00 1.902689307642173033e-01 6.165722817779870080e-02 2.483087356050904249e-01 4.966174712101808497e-01
-1.388264978630004531e+00 1.768971551998417546e-01 6.453944278795684109e-02 2.540461430290899547e-01 5.080922860581799094e-01
-1.383493488756727174e+00 1.595271268815168786e-01 6.694618807171806574e-02 2.587396144229137107e-01 5.174792288458274214e-01
-1.378721998883450039e+00 1.394941399741526922e-01 6.883261186398055564e-02 2.623596993899416363e-01 5.247193987798832726e-01
-1.373950509010172905e+00 1.179213678792350034e-01 7.017984839169215394e-02 2.649147945881696886e-01 5.298295891763393772e-01
-1.369179019136895548e+00 9.570830977226775504e-02 7.098456461562774322e-02 2.664292863324670968e-01 5.328585726649341936e-01
-1.364407529263618413e+00 7.353585077472081510e-02 7.124952718847532562e-02 2.669260706421823781e-01 5.338521412843647562e-01
-1.359636039390341278e+00 5.188428588057748814e-02 7.097706062512205982e-02 2.664152034421498061e-01 5.328304068842996122e-01
-1.354864549517063921e+00 3.106038664492331153e-02 7.016657004524454178e-02 2.648897318607207341e-01 5.297794637214414681e-01
-1.350093059643786786e+00 1.122972158101577696e-02 6.881652836923379812e-02 2.623290459884947690e-01 5.246580919769895379e-01
-1.345321569770509651e+00 -7.549102553514542603e-03 6.693054872024020718e-02 2.587093904755685680e-01 5.174187809511371361e-01
-1.340550079897232294e+00 -2.529092542461785359e-02 6.452642812643959169e-02 2.540205269785093534e-01 5.080410539570187067e-01
-1.335778590023955159e+00 -4.205307545795781282e-02 6.164641240546991918e-02 2.482869557698710872e-01 4.965739115397421743e-01
-1.331007100150678024e+00 -5.790795642036305341e-02 5.836647077888360707e-02 2.415915370597314649e-01 4.831830741194629297e-01
-1.326235610277400667e+00 -7.291938211739862341e-02 5.480218267652629816e-02 2.340986601339834494e-01 4.681973202679668988e-01
-1.321464120404123532e+00 -8.712222480706716121e-02 5.110903260239761658e-02 2.260730691665807646e-01 4.521461383331615291e-01
-1.316692630530846175e+00 -1.005045175848591349e-01 4.747555270158904800e-02 2.178888540095363646e-01 4.357777080190727292e-01
-1.311921140657569040e+00 -1.129909901122191224e-01 4.410884177481755319e-02 2.100210507897185830e-01 4.200421015794371660e-01
-1.307149650784291905e+00 -1.244271507936819537e-01 4.121341148829615192e-02 2.030108654439366500e-01 4.060217308878733000e-01
-1.302378160911014549e+00 -1.345634601096915017e-01 3.896583979579225365e-02 1.973976691751760659e-01 3.947953383503521319e-01
-1.297606671037737414e+00 -1.430398396034696651e-01 3.748903761374732663e-02 1.936208604818895063e-01 3.872417209637790125e-01
-1.292835181164460279e+00 -1.493716611804989935e-01 3.683072259486680489e-02 1.919133205248317320e-01 3.838266410496634640e-01
-1.288063691291182922e+00 -1.529393533989631127e-01 3.695066420325139600e-02 1.922255555415340600e-01 3.844511110830681200e-01
-1.283292201417905787e+00 -1.529846983617142997e-01 3.772027411492275689e-02 1.942170798743580173e-01 3.884341597487160347e-01
-1.278520711544628652e+00 -1.486175981955187575e-01 3.893621757115162813e-02 1.973226230596776543e-01 3.946452461193553085e-01
-1.273749221671351295e+00 -1.388373747455314000e-01 4.034718331460016710e-02 2.008660830369332628e-01 4.017321660738665257e-01
-1.268977731798074160e+00 -1.225723527336618907e-01 4.169023039091805660e-02 2.041818561746318872e-01 4.083637123492637744e-01
-1.264206241924797025e+00 -9.874043053857080310e-02 4.273080335761381826e-02 2.067143037083157830e-01 4.134286074166315661e-01
-1.259434752051519668e+00 -6.633150514473480641e-02 4.329915089663739780e-02 2.080844801916697517e-01 4.161689603833395035e-01
-1.254663262178242533e+00 -2.451003638421222000e-02 4.331594432830140201e-02 2.081248287165695099e-01 4.162496574331390198e-01
-1.249891772304965398e+00 2.726711375102993523e-02 4.280155945348271956e-02 2.068853775729032063e-01 4.137707551458064126e-01
-1.245120282431688041e+00 8.912583797018980292e-02 4.186658691100504648e-02 2.046132618160539651e-01 4.092265236321079303e-01
-1.240348792558410906e+00 1.606544427848372314e-01 4.068511418440509675e-02 2.017055135200946647e-01 4.034110270401893295e-01
-1.235577302685133771e+00 2.408018677018820553e-01 3.945629723548685353e-02 1.986360924794053073e-01 3.972721849588106147e-01
-1.230805812811856415e+00 3.278098609549513487e-01 3.836268873604314206e-02 1.958639546625237093e-01 3.917279093250474187e-01
-1.226034322938579280e+00 4.191941637109199981e-01 3.753481349545724488e-02 1.937390345166849492e-01 3.874780690333698985e-01
-1.221262833065302145e+00 5.117874045277652773e-01 3.703009840476410158e-02 1.924320617900356634e-01 3.848641235800713267e-01
-1.216491343192024788e+00 6.018519562320607807e-01 3.683063814076285858e-02 1.919131004928086026e-01 3.838262009856172052e-01
-1.211719853318747653e+00 6.852646530899685340e-01 3.685927779111860397e-02 1.919877021871937706e-01 3.839754043743875411e-01
-1.206948363445470518e+00 7.577675139655374315e-01 3.700851797011146804e-02 1.923759807515258990e-01 3.847519615030517981e-01
-1.202176873572193161e+00 8.152702625785133161e-01 3.717332765053057292e-02 1.928038579762618998e-01 3.856077159525237996e-01
-1.197405383698916026e+00 8.541824885908579912e-01 3.727823451922232523e-02 1.930757222418767183e-01 3.861514444837534366e-01
-1.192633893825638891e+00 8.717468555021314902e-01 3.729137097334038475e-02 1.931097381628911758e-01 3.862194763257823515e-01
-1.187862403952361534e+00 8.663408756512368525e-01 3.722277725942643029e-02 1.929320534784887131e-01 3.858641069569774262e-01
-1.183090914079084399e+00 8.377142566206531304e-01 3.710963952199022864e-02 1.926386241696877999e-01 3.852772483393755998e-01
-1.178319424205807264e+00 7.871321227354065586e-01 3.699537702904595604e-02 1.923418234005437322e-01 3.846836468010874643e-01
-1.173547934332529907e+00 7.174014983930362410e-01 3.691106528833678485e-02 1.921225267591928909e-01 3.842450535183857818e-01
-1.168776444459252772e+00 6.327687578816163505e-01 3.686603860604756311e-02 1.920053087965214733e-01 3.840106175930429466e-01
-1.164004954585975637e+00 5.386882706917137664e-01 3.685032995512311366e-02 1.919643976239425454e-01 3.839287952478850907e-01
-1.159233464712698281e+00 4.414758084713192865e-01 3.684654567266330838e-02 1.919545406409114141e-01 3.839090812818228282e-01
-1.154461974839421146e+00 3.478728486209115012e-01 3.684485720585770757e-02 1.919501425002276551e-01 3.839002850004553102e-01
-1.149690484966144011e+00 2.645581564330286017e-01 3.685358799619301018e-02 1.919728834918958404e-01 3.839457669837916809e-01
-1.144918995092866654e+00 1.976496451721162506e-01 3.689985664531163917e-02 1.920933539852736349e-01 3.841867079705472698e-01
-1.140147505219589519e+00 1.522416282660457865e-01 3.701909530935451609e-02 1.924034701073619180e-01 3.848069402147238360e-01
-1.135376015346312384e+00 1.320198759454413728e-01 3.723722084593683590e-02 1.929694816439553873e-01 3.859389632879107745e-01
-1.130604525473035027e+00 1.389896604893905707e-01 3.755277699822584525e-02 1.937853890215303354e-01 3.875707780430606708e-01
-1.125833035599757892e+00 1.733410690994883485e-01 3.792703409786159913e-02 1.947486433787450066e-01 3.894972867574900133e-01
-1.121061545726480757e+00 2.334625659712425971e-01 3.828750648210989260e-02 1.956719358572145684e-01 3.913438717144291368e-01
-1.116290055853203400e+00 3.160996324907942023e-01 3.854554544654523185e-02 1.963301949434809457e-01 3.926603898869618914e-01
-1.111518565979926265e+00 4.166418853270420497e-01 3.862336717616778048e-02 1.965282859442064600e-01 3.930565718884129200e-01
-1.106747076106648908e+00 5.295107808120117499e-01 3.848202965958692767e-02 1.961683706910645753e-01 3.923367413821291505e-01
-1.101975586233371773e+00 6.486119402488706998e-01 3.814087550418709255e-02 1.952968906669716731e-01 3.905937813339433462e-01
-1.097204096360094638e+00 7.678119081175119875e-01 3.768117263162148317e-02 1.941163893946656893e-01 3.882327787893313786e-01
-1.092432606486817281e+00 8.813989297064467321e-01 3.723136679035832231e-02 1.929543127021480231e-01 3.859086254042960462e-01
-1.087661116613540147e+00 9.844907942399665490e-01 3.693696883699942174e-02 1.921899290727779597e-01 3.843798581455559193e-01
-1.082889626740263012e+00 1.073359252348244031e+00 3.692285780794914152e-02 1.921532144096193273e-01 3.843064288192386546e-01
-1.078118136866985655e+00 1.145649060637068173e+00 3.725825389682217714e-02 1.930239723371741656e-01 3.860479446743483312e-01
-1.073346646993708520e+00 1.200479314908506678e+00 3.793412709701243085e-02 1.947668531783897650e-01 3.895337063567795299e-01
-1.068575157120431385e+00 1.238424436851523147e+00 3.885957581398322147e-02 1.971283232160797871e-01 3.942566464321595743e-01
-1.063803667247154028e+00 1.261381165014222816e+00 3.987870868851326606e-02 1.996965415036356384e-01 3.993930830072712768e-01
-1.059032177373876893e+00 1.272335588606018142e+00 4.080418876289822888e-02 2.020004672343562457e-01 4.040009344687124915e-01
-1.054260687500599758e+00 1.275050326067920681e+00 4.145927041486753561e-02 2.036154964998183325e-01 4.072309929996366651e-01
-1.049489197627322401e+00 1.273696296277813556e+00 4.171796063118769077e-02 2.042497506269902174e-01 4.084995012539804349e-01
-1.044717707754045266e+00 1.272456238973562082e+00 4.153338213868661144e-02 2.037974046416848040e-01 4.075948092833696079e-01
-1.039946217880768131e+00 1.275128383820951505e+00 4.094736561145225634e-02 2.023545542147550946e-01 4.047091084295101893e-01
-1.035174728007490774e+00 1.284758619681136249e+00 4.007901045166867987e-02 2.001974286839585671e-01 4.003948573679171341e-01
-1.030403238134213639e+00 1.303328283129119303e+00 3.909526043276120855e-02 1.977252144587564042e-01 3.954504289175128084e-01
-1.025631748260936504e+00 1.331522262710403970e+00 3.817110587805254418e-02 1.953742712796455727e-01 3.907485425592911454e-01
-1.020860258387659147e+00 1.368598385686204510e+00 3.744965153824496296e-02 1.935191244767425212e-01 3.870382489534850423e-01
-1.016088768514382012e+00 1.412373833756705777e+00 3.701222710748367645e-02 1.923856208438761706e-01 3.847712416877523411e-01
-1.011317278641104878e+00 1.459337459617248145e+00 3.686589374430038896e-02 1.920049315624481334e-01 3.840098631248962668e-01
-1.006545788767827521e+00 1.504888313588587323e+00 3.695081215993351736e-02 1.922259403928968102e-01 3.844518807857936205e-01
-1.001774298894550386e+00 1.543690648810768229e+00 3.716433126190740038e-02 1.927805261480199372e-01 3.855610522960398745e-01
-9.970028090212731398e-01 1.570124695532807424e+00 3.739398322355470122e-02 1.933752394272718056e-01 3.867504788545436112e-01
-9.922313191479960048e-01 1.578801487069758203e+00 3.754929349562130536e-02 1.937764007706338498e-01 3.875528015412676996e-01
-9.874598292747187589e-01 1.565100216646138520e+00 3.758319904631154951e-02 1.938638673046412519e-01 3.877277346092825039e-01
-9.826883394014415130e-01 1.525679444793579087e+00 3.749765801889816397e-02 1.936431202467522872e-01 3.872862404935045744e-01
-9.779168495281643780e-01 1.458910405024679280e+00 3.733345848456605387e-02 1.932186804751705456e-01 3.864373609503410911e-01
-9.731453596548871321e-01 1.365182865578155491e+00 3.714940571765500826e-02 1.927418110261886197e-01 3.854836220523772394e-01
-9.683738697816098862e-01 1.247042175057001101e+00 3.699915885140288990e-02 1.923516541426220361e-01 3.847033082852440722e-01
-9.636023799083326402e-01 1.109130181240866042e+00 3.691393970562950599e-02 1.921300073013830489e-01 3.842600146027660979e-01
-9.588308900350555053e-01 9.579217108215482002e-01 3.689630062822593648e-02 1.920840978015252998e-01 3.841681956030505996e-01
-9.540594001617782594e-01 8.012703875787137164e-01 3.692543650469531230e-02 1.921599242940507379e-01 3.843198485881014759e-01
-9.492879102885010134e-01 6.478001648019003911e-01 3.697010970847734723e-02 1.922761288056251405e-01 3.845522576112502811e-01
-9.445164204152238785e-01 5.061990447596071974e-01 3.700287616420929598e-02 1.923613167042929617e-01 3.847226334085859234e-01
-9.397449305419466326e-01 3.844860488799848319e-01 3.700975520166325389e-02 1.923791963848046904e-01 3.847583927696093808e-01
-9.349734406686693866e-01 2.893290775774071122e-01 3.699230402131759021e-02 1.923338348323497538e-01 3.846676696646995075e-01
-9.302019507953922517e-01 2.254883087649655893e-01 3.696276719580238873e-02 1.922570341906958413e-01 3.845140683813916826e-01
-9.254304609221150058e-01 1.954469904170688943e-01 3.693583175935280516e-02 1.921869708366121532e-01 3.843739416732243064e-01
-9.206589710488377598e-01 1.992701154995937529e-01 3.692135069799032387e-02 1.921492927335157475e-01 3.842985854670314949e-01
-9.158874811755606249e-01 2.347041449688206383e-01 3.692110132631544472e-02 1.921486438315801459e-01 3.842972876631602919e-01
-9.111159913022833789e-01 2.975013422204339508e-01 3.693014684563152017e-02 1.921721802073118046e-01 3.843443604146236092e-01
-9.063445014290061330e-01 3.819245971818171492e-01 3.694106027368639772e-02 1.922005730316286021e-01 3.844011460632572041e-01
-9.015730115557289981e-01 4.813669071228388607e-01 3.694825277274212116e-02 1.922192830408596675e-01 3.844385660817193351e-01
-8.968015216824517521e-01 5.890071874844730049e-01 3.695020832927702059e-02 1.922243697590839406e-01 3.844487395181678813e-01
-8.920300318091745062e-01 6.984226775108390850e-01 3.694899118734583376e-02 1.922212037922607364e-01 3.844424075845214728e-01
-8.872585419358973713e-01 8.040880295547302437e-01 3.694795730179604998e-02 1.922185144615264352e-01 3.844370289230528703e-01
-8.824870520626201253e-01 9.017105998566583569e-01 3.694933827215538674e-02 1.922221066166828474e-01 3.844442132333656947e-01
