# X mu var std 2std
-1.731812249505963575e+00 -1.847185364335343749e+00 4.258717772956822911e-02 2.063666100161754002e-01 4.127332200323508005e-01
-1.727040759632686440e+00 -1.927229510044686789e+00 3.995315463915870280e-02 1.998828522889312398e-01 3.997657045778624796e-01
-1.722269269759409083e+00 -1.988473355595703485e+00 3.805690823157444058e-02 1.950817988218645771e-01 3.901635976437291542e-01
-1.717497779886131948e+00 -2.029742590426636628e+00 3.703065396289389327e-02 1.924335053022053488e-01 3.848670106044106975e-01
-1.712726290012854813e+00 -2.050775100463025247e+00 3.694408821836931561e-02 1.922084499140693792e-01 3.844168998281387584e-01
-1.707954800139577456e+00 -2.052265908355544788e+00 3.779419043035841391e-02 1.944072797771688732e-01 3.888145595543377464e-01
-1.703183310266300321e+00 -2.035848149786604999e+00 3.950314292523693371e-02 1.987539758727782935e-01 3.975079517455565870e-01
-1.698411820393023186e+00 -2.004008736680137126e+00 4.192460048884535245e-02 2.047549767132544052e-01 4.095099534265088104e-01
-1.693640330519745829e+00 -1.959942786899149914e+00 4.485720783807978229e-02 2.117952025851383147e-01 4.235904051702766293e-01
-1.688868840646468694e+00 -1.907356104600632651e+00 4.806321652537446504e-02 2.192332468522383282e-01 4.384664937044766564e-01
-1.684097350773191559e+00 -1.850229475569428850e+00 5.128950846208447240e-02 2.264718712380954235e-01 4.529437424761908471e-01
-1.679325860899914202e+00 -1.792561877722732566e+00 5.428836847982470432e-02 2.329986448025496704e-01 4.659972896050993407e-01
-1.674554371026637067e+00 -1.738111600873441631e+00 5.683588597157711308e-02 2.384027809644365670e-01 4.768055619288731339e-01
-1.669782881153359932e+00 -1.690154570803744205e+00 5.874670314322393005e-02 2.423771918791533808e-01 4.847543837583067616e-01
-1.665011391280082576e+00 -1.651277881815426118e+00 5.988470171869385295e-02 2.447135094732079685e-01 4.894270189464159371e-01
-1.660239901406805441e+00 -1.623223801458245852e+00 6.016988739990711266e-02 2.452955103541585580e-01 4.905910207083171160e-01
-1.655468411533528306e+00 -1.606795580284875458e+00 5.958203830292733982e-02 2.440943225536541250e-01 4.881886451073082500e-01
-1.650696921660250949e+00 -1.601831623073492139e+00 5.816160709066851842e-02 2.411671766444773157e-01 4.823343532889546315e-01
-1.645925431786973814e+00 -1.607249352104672901e+00 5.600801460257565090e-02 2.366601246568074690e-01 4.733202493136149380e-01
-1.641153941913696679e+00 -1.621154831836660204e+00 5.327504488656556458e-02 2.308138749871107009e-01 4.616277499742214019e-01
-1.636382452040419322e+00 -1.641009329956329310e+00 5.016277196894736168e-02 2.239704711986545693e-01 4.479409423973091386e-01
-1.631610962167142187e+00 -1.663839826338778582e+00 4.690549271438456541e-02 2.165767594050307387e-01 4.331535188100614775e-01
-1.626839472293865052e+00 -1.686477352766298621e+00 4.375557451871984332e-02 2.091783318575799466e-01 4.183566637151598933e-01
-1.622067982420587695e+00 -1.705805176743688589e+00 4.096388263500542332e-02 2.023953621874904074e-01 4.047907243749808148e-01
-1.617296492547310560e+00 -1.718998362227934562e+00 3.875833981969698666e-02 1.968713788738652160e-01 3.937427577477304319e-01
-1.612525002674033425e+00 -1.723737172708327714e+00 3.732293263358842789e-02 1.931914403735021379e-01 3.863828807470042759e-01
-1.607753512800756068e+00 -1.718379041855647493e+00 3.677986461889572872e-02 1.917807722867329867e-01 3.835615445734659734e-01
-1.602982022927478933e+00 -1.702077231451561756e+00 3.717740368243797888e-02 1.928144280971680335e-01 3.856288561943360671e-01
-1.598210533054201798e+00 -1.674838539964748074e+00 3.848525773939255601e-02 1.961765983480001085e-01 3.923531966960002171e-01
-1.593439043180924442e+00 -1.637517162943447957e+00 4.059817262585968534e-02 2.014898821922820049e-01 4.029797643845640098e-01
-1.588667553307647307e+00 -1.591746645702557750e+00 4.334713539955561273e-02 2.081997487980127570e-01 4.163994975960255140e-01
-1.583896063434370172e+00 -1.539816416533669852e+00 4.651639214972237701e-02 2.156765915664525246e-01 4.313531831329050492e-01
-1.579124573561092815e+00 -1.484503289082915511e+00 4.986372501220243114e-02 2.233018697015375087e-01 4.466037394030750174e-01
-1.574353083687815680e+00 -1.428871289971052727e+00 5.314123913989785009e-02 2.305238363811817348e-01 4.610476727623634696e-01
-1.569581593814538545e+00 -1.376055010823479918e+00 5.611429243200677375e-02 2.368845550727332050e-01 4.737691101454664100e-01
-1.564810103941261188e+00 -1.329042316990504125e+00 5.857701087007657903e-02 2.420268804700762555e-01 4.840537609401525110e-01
-1.560038614067984053e+00 -1.290471687722745786e+00 6.036381433022693088e-02 2.456904848182503986e-01 4.913809696365007973e-01
-1.555267124194706918e+00 -1.262457826166244468e+00 6.135724261849584416e-02 2.477039414674216400e-01 4.954078829348432800e-01
-1.550495634321429561e+00 -1.246456646246461020e+00 6.149287948867299125e-02 2.479775786007133997e-01 4.959551572014267995e-01
-1.545724144448152426e+00 -1.243177549685561267e+00 6.076220089353449871e-02 2.464999003925447685e-01 4.929998007850895370e-01
-1.540952654574875291e+00 -1.252547307519177311e+00 5.921375253540114847e-02 2.433387608569607674e-01 4.866775217139215348e-01
-1.536181164701597934e+00 -1.273726119416332736e+00 5.695236767903043978e-02 2.386469519583906962e-01 4.772939039167813924e-01
-1.531409674828320799e+00 -1.305172794536780145e+00 5.413544711283275329e-02 2.326702540352607040e-01 4.653405080705214081e-01
-1.526638184955043664e+00 -1.344752713746915296e+00 5.096494218897032469e-02 2.257541631708490093e-01 4.515083263416980186e-01
-1.521866695081766307e+00 -1.389879501973297460e+00 4.767384799040138427e-02 2.183434175568418345e-01 4.366868351136836690e-01
-1.517095205208489173e+00 -1.437679334456687386e+00 4.450682078138679804e-02 2.109663972801990861e-01 4.219327945603981722e-01
