# X mu var std 2std
-1.731812249505963575e+00 -2.330439942908566486e+00 7.015256298506991617e-02 2.648632911240625387e-01 5.297265822481250774e-01
-1.707954800139577456e+00 -2.134138534124169873e+00 6.928699275430666438e-02 2.632242252421054252e-01 5.264484504842108503e-01
-1.684097350773191559e+00 -1.968009670708405157e+00 6.902230780501994456e-02 2.627209694809684026e-01 5.254419389619368053e-01
-1.660239901406805441e+00 -1.839491194332242285e+00 6.897377249707330182e-02 2.626285827876952417e-01 5.252571655753904833e-01
-1.636382452040419322e+00 -1.742180813493751312e+00 6.897114070145961284e-02 2.626235722502068271e-01 5.252471445004136541e-01
-1.612525002674033425e+00 -1.665736210638037784e+00 6.897091519522846603e-02 2.626231429162869113e-01 5.252462858325738226e-01
-1.588667553307647307e+00 -1.599828642752214813e+00 6.897135528557175876e-02 2.626239807892107869e-01 5.252479615784215738e-01
-1.564810103941261188e+00 -1.533770049200996910e+00 6.896960785515046655e-02 2.626206539005461749e-01 5.252413078010923497e-01
-1.540952654574875291e+00 -1.454584796156725535e+00 6.897097195866673525e-02 2.626232509864020459e-01 5.252465019728040918e-01
-1.517095205208489173e+00 -1.345933648633376389e+00 6.897999310908889403e-02 2.626404255043173763e-01 5.252808510086347527e-01
-1.493237755842103054e+00 -1.191243125739050335e+00 6.897897174969558343e-02 2.626384810908248824e-01 5.252769621816497647e-01
-1.469380306475716935e+00 -9.826463331168759918e-01 6.896954479334616028e-02 2.626205338379810628e-01 5.252410676759621255e-01
-1.445522857109331039e+00 -7.307563121698604780e-01 6.897191733719673645e-02 2.626250508561526198e-01 5.252501017123052396e-01
-1.421665407742944920e+00 -4.658860186471371345e-01 6.897779103104792475e-02 2.626362332791268295e-01 5.252724665582536590e-01
-1.397807958376558801e+00 -2.267680521970222018e-01 6.897451279805910662e-02 2.626299921906466439e-01 5.252599843812932878e-01
-1.373950509010172905e+00 -4.396435842019332657e-02 6.896974187530574563e-02 2.626209090596286488e-01 5.252418181192572977e-01
-1.350093059643786786e+00 7.057889512517888375e-02 6.896869061635982345e-02 2.626189075759013392e-01 5.252378151518026783e-01
-1.326235610277400667e+00 1.236544326951712208e-01 6.896872033908210686e-02 2.626189641649706030e-01 5.252379283299412061e-01
-1.302378160911014549e+00 1.353064639779858469e-01 6.896883896441238782e-02 2.626191900155287473e-01 5.252383800310574946e-01
-1.278520711544628652e+00 1.323354757194478148e-01 6.896888222426272863e-02 2.626192723778335569e-01 5.252385447556671139e-01
-1.254663262178242533e+00 1.405250197777577759e-01 6.896875842182741134e-02 2.626190366706637191e-01 5.252380733413274383e-01
-1.230805812811856415e+00 1.766808558619832326e-01 6.896882740610094098e-02 2.626191680096883752e-01 5.252383360193767503e-01
-1.206948363445470518e+00 2.465963659758897697e-01 6.896871001191176576e-02 2.626189445030799319e-01 5.252378890061598637e-01
-1.183090914079084399e+00 3.512863994578909743e-01 6.896866181449665123e-02 2.626188527400434847e-01 5.252377054800869693e-01
-1.159233464712698281e+00 4.931981954542424273e-01 6.896868966415732605e-02 2.626189057630035073e-01 5.252378115260070146e-01
-1.135376015346312384e+00 6.732143519416847743e-01 6.896859148020344221e-02 2.626187188305575404e-01 5.252374376611150808e-01
-1.111518565979926265e+00 8.814039466225013220e-01 6.896860439910874885e-02 2.626187434268710819e-01 5.252374868537421637e-01
-1.087661116613540147e+00 1.092627620559201596e+00 6.896834761644918266e-02 2.626182545377399591e-01 5.252365090754799182e-01
-1.063803667247154028e+00 1.271871185206108645e+00 6.896813718733882381e-02 2.626178539005656343e-01 5.252357078011312685e-01
-1.039946217880768131e+00 1.384348838654018143e+00 6.896809877975412784e-02 2.626177807760817218e-01 5.252355615521634435e-01
-1.016088768514382012e+00 1.404778064203719756e+00 6.896810273709876038e-02 2.626177883105003108e-01 5.252355766210006216e-01
-9.922313191479960048e-01 1.325571815726833469e+00 6.896829280978003518e-02 2.626181501910712091e-01 5.252363003821424181e-01
-9.683738697816098862e-01 1.164361909609963774e+00 6.896853270170262562e-02 2.626186069220964869e-01 5.252372138441929739e-01
-9.445164204152238785e-01 9.660976522759706642e-01 6.896864497675340988e-02 2.626188206826643445e-01 5.252376413653286891e-01
-9.206589710488377598e-01 7.930172615696116090e-01 6.896864678567161955e-02 2.626188241266638745e-01 5.252376482533277491e-01
-8.968015216824517521e-01 7.027533501342406730e-01 6.896868521956270315e-02 2.626188973009419558e-01 5.252377946018839117e-01
-8.729440723160657445e-01 7.248561658300903821e-01 6.896870415602478210e-02 2.626189333540611126e-01 5.252378667081222252e-01
-8.490866229496796258e-01 8.491678053224205325e-01 6.896871882032537537e-02 2.626189612734110557e-01 5.252379225468221113e-01
-8.252291735832936181e-01 1.032820473420981600e+00 6.896872984416964336e-02 2.626189822616972203e-01 5.252379645233944405e-01
-8.013717242169074995e-01 1.221151644611348397e+00 6.896868143824268216e-02 2.626188901016883737e-01 5.252377802033767473e-01
-7.775142748505214918e-01 1.369538285227729357e+00 6.896871098276981249e-02 2.626189463514957412e-01 5.252378927029914824e-01
-7.536568254841353731e-01 1.454582705804467135e+00 6.896874148553434891e-02 2.626190044256781486e-01 5.252380088513562972e-01
-7.297993761177493655e-01 1.472678734281600565e+00 6.896867016907268222e-02 2.626188686463192257e-01 5.252377372926384513e-01
-7.059419267513633578e-01 1.431470047928481426e+00 6.896885397057302136e-02 2.626192185857177952e-01 5.252384371714355904e-01
-6.820844773849772391e-01 1.339782571398357547e+00 6.896908405464145797e-02 2.626196566417705602e-01 5.252393132835411205e-01
-6.582270280185912315e-01 1.200922587698641575e+00 6.896874587590468009e-02 2.626190127844986733e-01 5.252380255689973465e-01
-6.343695786522051128e-01 1.015737440961881344e+00 6.896832838179169090e-02 2.626182179167920738e-01 5.252364358335841477e-01
