# X mu var std 2std
-1.731812249505963575e+00 -2.330449508778926315e+00 7.018442053657501789e-02 2.649234239107123856e-01 5.298468478214247712e-01
-1.727040759632686440e+00 -2.289953368624094932e+00 6.992880252013421172e-02 2.644405462861816880e-01 5.288810925723633760e-01
-1.722269269759409083e+00 -2.249801721360531026e+00 6.971464522734670266e-02 2.640353105691485291e-01 5.280706211382970583e-01
-1.717497779886131948e+00 -2.210305167808414240e+00 6.953847934164000821e-02 2.637014966617368672e-01 5.274029933234737344e-01
-1.712726290012854813e+00 -2.171724877854192659e+00 6.939632847432287976e-02 2.634318288937820829e-01 5.268636577875641658e-01
-1.707954800139577456e+00 -2.134273586109891152e+00 6.928387188910666017e-02 2.632182970256943810e-01 5.264365940513887621e-01
-1.703183310266300321e+00 -2.098117420087068474e+00 6.919667270435400641e-02 2.630526044432063837e-01 5.261052088864127674e-01
-1.698411820393023186e+00 -2.063378906932513690e+00 6.913039616227481532e-02 2.629265984305787507e-01 5.258531968611575014e-01
-1.693640330519745829e+00 -2.030140702333484981e+00 6.908100573147904488e-02 2.628326572773616587e-01 5.256653145547233175e-01
-1.688868840646468694e+00 -1.998449768006817395e+00 6.904490158900151997e-02 2.627639655451285972e-01 5.255279310902571943e-01
-1.684097350773191559e+00 -1.968321995874755093e+00 6.901900025284680995e-02 2.627146746050680881e-01 5.254293492101361762e-01
-1.679325860899914202e+00 -1.939746817730015227e+00 6.900075803507667305e-02 2.626799536224199150e-01 5.253599072448398299e-01
-1.674554371026637067e+00 -1.912691880485174245e+00 6.898814343972980989e-02 2.626559411849079262e-01 5.253118823698158524e-01
-1.669782881153359932e+00 -1.887107379000091623e+00 6.897958060036059325e-02 2.626396401923376533e-01 5.252792803846753067e-01
-1.665011391280082576e+00 -1.862930079086953628e+00 6.897387660613246707e-02 2.626287809935012874e-01 5.252575619870025747e-01
-1.660239901406805441e+00 -1.840086964296975713e+00 6.897014444113395981e-02 2.626216754975376211e-01 5.252433509950752422e-01
-1.655468411533528306e+00 -1.818498173342952384e+00 6.896773517960874678e-02 2.626170885140735600e-01 5.252341770281471200e-01
-1.650696921660250949e+00 -1.798079750476017091e+00 6.896618322024339331e-02 2.626141337023645272e-01 5.252282674047290545e-01
-1.645925431786973814e+00 -1.778745442419652489e+00 6.896516502307882546e-02 2.626121951149238409e-01 5.252243902298476819e-01
-1.641153941913696679e+00 -1.760408385996081959e+00 6.896446770910490132e-02 2.626108674619253014e-01 5.252217349238506028e-01
-1.636382452040419322e+00 -1.742982056918790157e+00 6.896396874763502383e-02 2.626099174586424834e-01 5.252198349172849667e-01
-1.631610962167142187e+00 -1.726380997909175985e+00 6.896361386009537686e-02 2.626092417644424470e-01 5.252184835288848941e-01
-1.626839472293865052e+00 -1.710521114682318711e+00 6.896339870511385139e-02 2.626088321155894412e-01 5.252176642311788823e-01
-1.622067982420587695e+00 -1.695319701656316624e+00 6.896334955022329072e-02 2.626087385260119089e-01 5.252174770520238178e-01
-1.617296492547310560e+00 -1.680695282431744486e+00 6.896350108367149678e-02 2.626090270414775940e-01 5.252180540829551880e-01
-1.612525002674033425e+00 -1.666567231632520851e+00 6.896387813206757145e-02 2.626097449297485342e-01 5.252194898594970685e-01
-1.607753512800756068e+00 -1.652855313271324622e+00 6.896447876001206290e-02 2.626108885023849537e-01 5.252217770047699075e-01
-1.602982022927478933e+00 -1.639479111513869380e+00 6.896527044957195818e-02 2.626123958414224302e-01 5.252247916828448604e-01
-1.598210533054201798e+00 -1.626357395033724007e+00 6.896618821879078876e-02 2.626141432192691250e-01 5.252282864385382499e-01
-1.593439043180924442e+00 -1.613407329269941126e+00 6.896714488906389995e-02 2.626159646500263456e-01 5.252319293000526912e-01
-1.588667553307647307e+00 -1.600543879247776635e+00 6.896804758986860295e-02 2.626176833152493728e-01 5.252353666304987456e-01
-1.583896063434370172e+00 -1.587678904663688551e+00 6.896881735879563380e-02 2.626191488806473573e-01 5.252382977612947146e-01
-1.579124573561092815e+00 -1.574720500669822609e+00 6.896940657948198716e-02 2.626202706941754283e-01 5.252405413883508567e-01
-1.574353083687815680e+00 -1.561572179355288137e+00 6.896981447571055857e-02 2.626210472824113684e-01 5.252420945648227368e-01
-1.569581593814538545e+00 -1.548132199428480460e+00 6.897009164657832980e-02 2.626215749830511093e-01 5.252431499661022185e-01
-1.564810103941261188e+00 -1.534292979311917327e+00 6.897033196997363891e-02 2.626220325295911540e-01 5.252440650591823079e-01
-1.560038614067984053e+00 -1.519940660983689407e+00 6.897066355799914839e-02 2.626226638315877771e-01 5.252453276631755541e-01
