# X mu var std 2std
-1.731812249505963575e+00 -2.277801158756464162e+00 9.021736311268127584e-02 3.003620533833814554e-01 6.007241067667629109e-01
-1.707954800139577456e+00 -1.927087353974715533e+00 9.056879150243792032e-02 3.009464927564997061e-01 6.018929855129994122e-01
-1.684097350773191559e+00 -1.921614165616128300e+00 8.546271935999003033e-02 2.923400748443326647e-01 5.846801496886653293e-01
-1.660239901406805441e+00 -1.923150140708461242e+00 8.080928859791651486e-02 2.842697461882226495e-01 5.685394923764452990e-01
-1.636382452040419322e+00 -1.745479238372993347e+00 7.902779725655192933e-02 2.811188312023083502e-01 5.622376624046167004e-01
-1.612525002674033425e+00 -1.584521063263677476e+00 7.776687465260057053e-02 2.788671272355359165e-01 5.577342544710718331e-01
-1.588667553307647307e+00 -1.611896580474533325e+00 7.226415278320094671e-02 2.688199263135099826e-01 5.376398526270199651e-01
-1.564810103941261188e+00 -1.666860001881337316e+00 7.508225360616563315e-02 2.740114114524532796e-01 5.480228229049065591e-01
-1.540952654574875291e+00 -1.541546423144139144e+00 7.038329530302747661e-02 2.652985022630687251e-01 5.305970045261374501e-01
-1.517095205208489173e+00 -1.369657444292799120e+00 7.257591888778985867e-02 2.693991813049732564e-01 5.387983626099465129e-01
-1.493237755842103054e+00 -1.433121807346329657e+00 7.312374532080909151e-02 2.704140257472032460e-01 5.408280514944064921e-01
-1.469380306475716935e+00 -1.525939130401060995e+00 7.647552545167102256e-02 2.765420862213761044e-01 5.530841724427522088e-01
-1.445522857109331039e+00 -1.228890292226953562e+00 7.171614217832930627e-02 2.677986971184312948e-01 5.355973942368625895e-01
-1.421665407742944920e+00 -6.547339409505966712e-01 7.836944379538325622e-02 2.799454300312531618e-01 5.598908600625063237e-01
-1.397807958376558801e+00 -9.381593513064957757e-02 6.998697209018361898e-02 2.645505095254658823e-01 5.291010190509317646e-01
-1.373950509010172905e+00 2.715855792362271148e-01 7.589874942030291893e-02 2.754972766114084926e-01 5.509945532228169851e-01
-1.350093059643786786e+00 2.289106454407130731e-01 7.079327197025582497e-02 2.660700508705476919e-01 5.321401017410953838e-01
-1.326235610277400667e+00 6.850621210914333015e-02 7.346659673606115160e-02 2.710472223360002597e-01 5.420944446720005194e-01
-1.302378160911014549e+00 3.082410798281723374e-01 7.163250050663819146e-02 2.676424863631299278e-01 5.352849727262598556e-01
-1.278520711544628652e+00 4.482540581110915356e-01 7.081694078395200931e-02 2.661145256913872714e-01 5.322290513827745428e-01
-1.254663262178242533e+00 -1.102181704308091564e-01 7.268493472411954870e-02 2.696014367990637317e-01 5.392028735981274634e-01
-1.230805812811856415e+00 -4.047048752729222043e-01 6.963650344598205921e-02 2.638872930741115730e-01 5.277745861482231460e-01
-1.206948363445470518e+00 2.452611287801918505e-01 7.228699969824467497e-02 2.688624177869504139e-01 5.377248355739008279e-01
-1.183090914079084399e+00 6.178109063424180869e-01 7.077107252724698649e-02 2.660283303094747032e-01 5.320566606189494063e-01
-1.159233464712698281e+00 1.803600920372005201e-01 7.054734241223428737e-02 2.656074969051782642e-01 5.312149938103565283e-01
-1.135376015346312384e+00 9.086101929897583140e-02 7.302430797845076149e-02 2.702301019102993362e-01 5.404602038205986725e-01
-1.111518565979926265e+00 6.203453047922413699e-01 6.994194216060908853e-02 2.644653893435001124e-01 5.289307786870002248e-01
-1.087661116613540147e+00 1.043784549644897641e+00 7.458199294781391042e-02 2.730970394343628094e-01 5.461940788687256187e-01
-1.063803667247154028e+00 1.319524601170089628e+00 7.176201619232755458e-02 2.678843336074873127e-01 5.357686672149746254e-01
-1.039946217880768131e+00 1.579333257360316267e+00 7.562001775213961219e-02 2.749909412183237922e-01 5.499818824366475845e-01
-1.016088768514382012e+00 1.677516104620848214e+00 7.430493592238647527e-02 2.725893173299102079e-01 5.451786346598204158e-01
-9.922313191479960048e-01 1.737261540193048237e+00 7.646442791550561724e-02 2.765220206701549666e-01 5.530440413403099331e-01
-9.683738697816098862e-01 1.763043991525298892e+00 7.598931038476587629e-02 2.756615867050863922e-01 5.513231734101727843e-01
-9.445164204152238785e-01 1.367097147251852274e+00 7.680589146878850915e-02 2.771387585105852813e-01 5.542775170211705626e-01
-9.206589710488377598e-01 6.133166612088305492e-01 7.650622237989193608e-02 2.765975820210508362e-01 5.531951640421016725e-01
-8.968015216824517521e-01 1.690971527215629489e-01 7.627020356807528989e-02 2.761706059088752663e-01 5.523412118177505326e-01
-8.729440723160657445e-01 2.048963992981832072e-01 7.567692588650448693e-02 2.750943945021498971e-01 5.501887890042997942e-01
-8.490866229496796258e-01 2.927153977083463143e-01 7.471208043149310529e-02 2.733351064746222803e-01 5.466702129492445605e-01
-8.252291735832936181e-01 6.298006847189211443e-01 7.331873229961052840e-02 2.707743198673214780e-01 5.415486397346429559e-01
-8.013717242169074995e-01 1.490874275650646563e+00 7.230396450657601559e-02 2.688939651732184521e-01 5.377879303464369043e-01
-7.775142748505214918e-01 1.773491588153856657e+00 7.055498290721080867e-02 2.656218795717152914e-01 5.312437591434305828e-01
-7.536568254841353731e-01 1.287375919741742480e+00 7.020074431735347231e-02 2.649542306085213017e-01 5.299084612170426034e-01
-7.297993761177493655e-01 1.642800133038861743e+00 6.965723211846749918e-02 2.639265657687143718e-01 5.278531315374287436e-01
