# X mu var std 2std
-1.731812249505963575e+00 -2.285363543402463726e+00 9.056478158269391787e-02 3.009398305022017439e-01 6.018796610044034878e-01
-1.727040759632686440e+00 -2.181557118017487529e+00 8.875669677864582441e-02 2.979206216069069102e-01 5.958412432138138204e-01
-1.722269269759409083e+00 -2.093706675236242543e+00 8.753507653565109625e-02 2.958632733808829740e-01 5.917265467617659480e-01
-1.717497779886131948e+00 -2.022813999346429803e+00 8.695782954467752568e-02 2.948861297936501979e-01 5.897722595873003959e-01
-1.712726290012854813e+00 -1.968952134282647037e+00 8.693845255382348647e-02 2.948532729237094419e-01 5.897065458474188837e-01
-1.707954800139577456e+00 -1.931318511998669774e+00 8.724122037934717300e-02 2.953662478675367908e-01 5.907324957350735817e-01
-1.703183310266300321e+00 -1.908335667027544424e+00 8.755904132023450970e-02 2.959037703717790069e-01 5.918075407435580138e-01
-1.698411820393023186e+00 -1.897788334454947989e+00 8.762958849622178026e-02 2.960229526510094189e-01 5.920459053020188378e-01
-1.693640330519745829e+00 -1.896984284127223752e+00 8.732484199669893199e-02 2.955077697738232589e-01 5.910155395476465179e-01
-1.688868840646468694e+00 -1.902928380592820767e+00 8.666780262094025966e-02 2.943939581936766969e-01 5.887879163873533939e-01
-1.684097350773191559e+00 -1.912502742755803009e+00 8.577527588840122563e-02 2.928741639141309028e-01 5.857483278282618055e-01
-1.679325860899914202e+00 -1.922646581561788581e+00 8.476911844717642530e-02 2.911513668990348691e-01 5.823027337980697382e-01
-1.674554371026637067e+00 -1.930531372472899410e+00 8.371282698811123579e-02 2.893316902589677109e-01 5.786633805179354217e-01
-1.669782881153359932e+00 -1.933725894919400945e+00 8.260938612207224807e-02 2.874184860479093162e-01 5.748369720958186324e-01
-1.665011391280082576e+00 -1.930344184394958695e+00 8.145378216793035253e-02 2.854010899907888366e-01 5.708021799815776731e-01
-1.660239901406805441e+00 -1.919166414209163785e+00 8.029752061030763499e-02 2.833681714842152810e-01 5.667363429684305620e-01
-1.655468411533528306e+00 -1.899721853458367304e+00 7.927607189036209312e-02 2.815600679967990572e-01 5.631201359935981143e-01
-1.650696921660250949e+00 -1.872321609037270518e+00 7.857459182214904247e-02 2.803115977303633488e-01 5.606231954607266976e-01
-1.645925431786973814e+00 -1.838032245014103783e+00 7.834636402694024337e-02 2.799042050897775358e-01 5.598084101795550716e-01
-1.641153941913696679e+00 -1.798585375240647544e+00 7.862635369243063665e-02 2.804039116924559316e-01 5.608078233849118632e-01
