# X mu var std 2std
-1.731812249505963575e+00 -1.989504398342175406e+00 5.133749255688734719e-02 2.265777847823730318e-01 4.531555695647460635e-01
-1.722269269759409083e+00 -1.967345117486982264e+00 5.133738952251300225e-02 2.265775574113927937e-01 4.531551148227855874e-01
-1.712726290012854813e+00 -1.942963867283912460e+00 5.133728408016149242e-02 2.265773247263756784e-01 4.531546494527513569e-01
-1.703183310266300321e+00 -1.916182953995845040e+00 5.133717757526714415e-02 2.265770896963484882e-01 4.531541793926969763e-01
-1.693640330519745829e+00 -1.886835350510915443e+00 5.133707170462020047e-02 2.265768560657072106e-01 4.531537121314144212e-01
-1.684097350773191559e+00 -1.854779919925673592e+00 5.133696852047663073e-02 2.265766283632904554e-01 4.531532567265809108e-01
-1.674554371026637067e+00 -1.819924453202204084e+00 5.133687039343708819e-02 2.265764118204653121e-01 4.531528236409306243e-01
-1.665011391280082576e+00 -1.782259792856300207e+00 5.133677991425267262e-02 2.265762121544374896e-01 4.531524243088749793e-01
-1.655468411533528306e+00 -1.741909425021314739e+00 5.133669971615481553e-02 2.265760351761739455e-01 4.531520703523478910e-01
-1.645925431786973814e+00 -1.699200197658574663e+00 5.133663220995883514e-02 2.265758862058335488e-01 4.531517724116670975e-01
-1.636382452040419322e+00 -1.654760973244929101e+00 5.133657924915415588e-02 2.265757693336914458e-01 4.531515386673828916e-01
-1.626839472293865052e+00 -1.609656121761492198e+00 5.133654178343840385e-02 2.265756866555597715e-01 4.531513733111195430e-01
-1.617296492547310560e+00 -1.565557215797250379e+00 5.133651961003389552e-02 2.265756377239925012e-01 4.531512754479850025e-01
-1.607753512800756068e+00 -1.524942532059497147e+00 5.133651137477661386e-02 2.265756195506846982e-01 4.531512391013693963e-01
-1.598210533054201798e+00 -1.491274747326648331e+00 5.133651498851021094e-02 2.265756275253589802e-01 4.531512550507179604e-01
-1.588667553307647307e+00 -1.469010579636061298e+00 5.133652859939145940e-02 2.265756575614235324e-01 4.531513151228470648e-01
-1.579124573561092815e+00 -1.463083041005684537e+00 5.133655215727531140e-02 2.265757095482110739e-01 4.531514190964221478e-01
-1.569581593814538545e+00 -1.477083550896781006e+00 5.133658910624034483e-02 2.265757910859859392e-01 4.531515821719718784e-01
-1.560038614067984053e+00 -1.508777881353557726e+00 5.133664623719205733e-02 2.265759171606551436e-01 4.531518343213102873e-01
-1.550495634321429561e+00 -1.541820973239078185e+00 5.133673380831924732e-02 2.265761104095470324e-01 4.531522208190940648e-01
-1.540952654574875291e+00 -1.538465180125975662e+00 5.133693471361143457e-02 2.265765537596761969e-01 4.531531075193523939e-01
-1.531409674828320799e+00 -1.454715543662690624e+00 5.133782461775480976e-02 2.265785175557356590e-01 4.531570351114713180e-01
-1.521866695081766307e+00 -1.293860368485715062e+00 5.134144283292479960e-02 2.265865018771524297e-01 4.531730037543048595e-01
-1.512323715335211816e+00 -1.240481890710636748e+00 5.135209071128896824e-02 2.266099969359008093e-01 4.532199938718016186e-01
-1.502780735588657546e+00 -1.325953032312747970e+00 5.137481403281018294e-02 2.266601288996593355e-01 4.533202577993186710e-01
-1.493237755842103054e+00 -1.340726196372311607e+00 5.140253985006942167e-02 2.267212823051012738e-01 4.534425646102025476e-01
-1.483694776095548562e+00 -1.460208329949947759e+00 5.140776545184647800e-02 2.267328062981766035e-01 4.534656125963532070e-01
-1.474151796348994292e+00 -1.634436398774244292e+00 5.138003034240182232e-02 2.266716355047579123e-01 4.533432710095158247e-01
-1.464608816602439800e+00 -1.434727374859829041e+00 5.135783044247223955e-02 2.266226609200241437e-01 4.532453218400482875e-01
-1.455065836855885308e+00 -1.389958104365874192e+00 5.136483198416696289e-02 2.266381079698799594e-01 4.532762159397599189e-01
-1.445522857109331039e+00 -1.299226056066928425e+00 5.137517932350917083e-02 2.266609347097756355e-01 4.533218694195512710e-01
-1.435979877362776547e+00 -1.095277492527094720e+00 5.137005260256661404e-02 2.266496251983810550e-01 4.532992503967621101e-01
-1.426436897616222055e+00 -7.919239665252137961e-01 5.135869516547202085e-02 2.266245687595941638e-01 4.532491375191883276e-01
-1.416893917869667785e+00 -4.972245236826904335e-01 5.135171811064320746e-02 2.266091748156795205e-01 4.532183496313590410e-01
-1.407350938123113293e+00 -3.179690164673645292e-01 5.135063542484512994e-02 2.266067859196743695e-01 4.532135718393487389e-01
-1.397807958376558801e+00 -1.869335965030201052e-01 5.135252899376487740e-02 2.266109639751900384e-01 4.532219279503800768e-01
-1.388264978630004531e+00 -4.738954182431054374e-02 5.135483103659577164e-02 2.266160432021435134e-01 4.532320864042870268e-01
-1.378721998883450039e+00 9.412056714834671212e-02 5.135639852289566876e-02 2.266195016385299243e-01 4.532390032770598487e-01
-1.369179019136895548e+00 2.140753640660701951e-01 5.135700394718856893e-02 2.266208374073058751e-01 4.532416748146117502e-01
-1.359636039390341278e+00 2.993993987190403105e-01 5.135680702921178314e-02 2.266204029411557352e-01 4.532408058823114705e-01
-1.350093059643786786e+00 3.487032581993234626e-01 5.135608054696119695e-02 2.266188000739594310e-01 4.532376001479188621e-01
-1.340550079897232294e+00 3.668650338122539933e-01 5.135508593291666923e-02 2.266166055983468153e-01 4.532332111966936306e-01
-1.331007100150678024e+00 3.609437468494002266e-01 5.135402117302191594e-02 2.266142563322570691e-01 4.532285126645141382e-01
-1.321464120404123532e+00 3.380884102773022981e-01 5.135301088781807355e-02 2.266120272355774123e-01 4.532240544711548247e-01
-1.311921140657569040e+00 3.046241785802689117e-01 5.135211889037974431e-02 2.266100591111959994e-01 4.532201182223919989e-01
-1.302378160911014549e+00 2.657444893486807791e-01 5.135136727127317946e-02 2.266084007076374363e-01 4.532168014152748725e-01
-1.292835181164460279e+00 2.255178611114925236e-01 5.135075340363632473e-02 2.266070462356286064e-01 4.532140924712572128e-01
-1.283292201417905787e+00 1.869933658371646379e-01 5.135026238617918654e-02 2.266059628213238086e-01 4.532119256426476173e-01
-1.273749221671351295e+00 1.522745850664160017e-01 5.134987513463907388e-02 2.266051083595404525e-01 4.532102167190809050e-01
-1.264206241924797025e+00 1.225662698486520430e-01 5.134957304537034889e-02 2.266044418041498754e-01 4.532088836082997507e-01
-1.254663262178242533e+00 9.826619915331047395e-02 5.134934021833068712e-02 2.266039280734795380e-01 4.532078561469590761e-01
-1.245120282431688041e+00 7.914665635174089608e-02 5.134916412092869337e-02 2.266035395154468723e-01 4.532070790308937447e-01
-1.235577302685133771e+00 6.461017344870156887e-02 5.134903540836645991e-02 2.266032555114035896e-01 4.532065110228071791e-01
-1.226034322938579280e+00 5.397086544797591312e-02 5.134894741207324947e-02 2.266030613475317756e-01 4.532061226950635513e-01
-1.216491343192024788e+00 4.671605421837587979e-02 5.134889559924147445e-02 2.266029470224107112e-01 4.532058940448214224e-01
-1.206948363445470518e+00 4.272445072492536688e-02 5.134887713767742612e-02 2.266029062869173161e-01 4.532058125738346321e-01
-1.197405383698916026e+00 4.243661724293190662e-02 5.134889059473687206e-02 2.266029359799578424e-01 4.532058719599156849e-01
-1.187862403952361534e+00 4.698030678618092537e-02 5.134893575251824743e-02 2.266030356207044405e-01 4.532060712414088810e-01
-1.178319424205807264e+00 5.824634415530305365e-02 5.134901351706741557e-02 2.266032072082551363e-01 4.532064144165102726e-01
-1.168776444459252772e+00 7.889387126505831294e-02 5.134912592291204086e-02 2.266034552316271433e-01 4.532069104632542866e-01
-1.159233464712698281e+00 1.122436305767551268e-01 5.134927627370609177e-02 2.266037869800636984e-01 4.532075739601273967e-01
-1.149690484966144011e+00 1.620037613364651019e-01 5.134946949213154560e-02 2.266042133150474869e-01 4.532084266300949738e-01
-1.140147505219589519e+00 2.317767766059934953e-01 5.134971272600324932e-02 2.266047500075919485e-01 4.532095000151838970e-01
-1.130604525473035027e+00 3.243328781620384849e-01 5.135001608358807229e-02 2.266054193605882561e-01 4.532108387211765121e-01
-1.121061545726480757e+00 4.407124941129930695e-01 5.135039295078815125e-02 2.266062509084604826e-01 4.532125018169209651e-01
-1.111518565979926265e+00 5.793328999569724580e-01 5.135085870694552218e-02 2.266072785833357084e-01 4.532145571666714168e-01
-1.101975586233371773e+00 7.353865799040333329e-01 5.135142627379019054e-02 2.266085308936761911e-01 4.532170617873523821e-01
-1.092432606486817281e+00 9.008720960940662659e-01 5.135209787145110505e-02 2.266100127343253778e-01 4.532200254686507557e-01
