# X mu var std 2std
-1.731812249505963575e+00 -2.329632105654351193e+00 9.973548998590668901e+00 3.158092620331244937e+00 6.316185240662489875e+00
-1.727040759632686440e+00 -2.289921098645591346e+00 9.543380334250590735e+00 3.089236205642195809e+00 6.178472411284391619e+00
-1.722269269759409083e+00 -2.240568114698078261e+00 9.320089229221681038e+00 3.052882118461451633e+00 6.105764236922903265e+00
-1.717497779886131948e+00 -2.264097738263660453e+00 9.396094225669836320e+00 3.065304915611143155e+00 6.130609831222286310e+00
-1.712726290012854813e+00 -2.314477697789453003e+00 9.547116761451906797e+00 3.089840895815172406e+00 6.179681791630344811e+00
-1.707954800139577456e+00 -2.408970663791908162e+00 1.021702433422039569e+01 3.196408036252630147e+00 6.392816072505260294e+00
-1.703183310266300321e+00 -2.436320408338541466e+00 1.008696159594073727e+01 3.175997732357618730e+00 6.351995464715237460e+00
-1.698411820393023186e+00 -2.417069333885915050e+00 9.540874938316287412e+00 3.088830674918307651e+00 6.177661349836615301e+00
-1.693640330519745829e+00 -2.357476599126654637e+00 9.513248680682401925e+00 3.084355472490549754e+00 6.168710944981099509e+00
-1.688868840646468694e+00 -2.320892414989889296e+00 9.661047553652558406e+00 3.108222571446993321e+00 6.216445142893986642e+00
-1.684097350773191559e+00 -2.267806234309935665e+00 9.772346910676938947e+00 3.126075320697973670e+00 6.252150641395947339e+00
-1.679325860899914202e+00 -2.210570155902440437e+00 9.405516440694128733e+00 3.066841443683407942e+00 6.133682887366815883e+00
-1.674554371026637067e+00 -2.203336358074898804e+00 8.859627766944914384e+00 2.976512685500418698e+00 5.953025371000837396e+00
-1.669782881153359932e+00 -2.219805523805226777e+00 8.605510978288920754e+00 2.933515123241896561e+00 5.867030246483793121e+00
-1.665011391280082576e+00 -2.251277840444507294e+00 8.498442134363179079e+00 2.915208763427274530e+00 5.830417526854549060e+00
-1.660239901406805441e+00 -2.256746286293708437e+00 8.703243807765559836e+00 2.950126066419121784e+00 5.900252132838243568e+00
-1.655468411533528306e+00 -2.263676223676554411e+00 9.013906319194930461e+00 3.002316825252613341e+00 6.004633650505226683e+00
-1.650696921660250949e+00 -2.254143032140420111e+00 8.927206457026802155e+00 2.987843111180170652e+00 5.975686222360341304e+00
-1.645925431786973814e+00 -2.279011579949725252e+00 9.484388476187488592e+00 3.079673436614260407e+00 6.159346873228520813e+00
