# X mu var std 2std
-1.731812249505963575e+00 -2.330389363526995439e+00 4.584742019354935000e-02 2.141201069342843211e-01 4.282402138685686421e-01
-1.722269269759409083e+00 -2.348266391232097128e+00 4.584691256685689831e-02 2.141189215526196621e-01 4.282378431052393242e-01
-1.712726290012854813e+00 -2.315889491384434340e+00 4.584632032131307627e-02 2.141175385654175700e-01 4.282350771308351400e-01
-1.703183310266300321e+00 -2.241375370361303965e+00 4.584579902182174538e-02 2.141163212410995553e-01 4.282326424821991107e-01
-1.693640330519745829e+00 -2.139777700496227286e+00 4.584546150128573916e-02 2.141155330686817237e-01 4.282310661373634475e-01
-1.684097350773191559e+00 -2.030986583876912555e+00 4.584533911169902387e-02 2.141152472658101602e-01 4.282304945316203204e-01
-1.674554371026637067e+00 -1.936806177890292746e+00 4.584537837198948002e-02 2.141153389460677681e-01 4.282306778921355361e-01
-1.665011391280082576e+00 -1.877155172954026341e+00 4.584548365470397790e-02 2.141155848010694862e-01 4.282311696021389724e-01
-1.655468411533528306e+00 -1.864612646275897845e+00 4.584559127534125478e-02 2.141158361152702139e-01 4.282316722305404277e-01
-1.645925431786973814e+00 -1.897360368880766535e+00 4.584572179822936355e-02 2.141161409100896529e-01 4.282322818201793058e-01
-1.636382452040419322e+00 -1.954444607986834059e+00 4.584595046740274488e-02 2.141166748933925057e-01 4.282333497867850114e-01
-1.626839472293865052e+00 -2.002522652123326807e+00 4.584630075643320035e-02 2.141174928781700570e-01 4.282349857563401141e-01
-1.617296492547310560e+00 -2.016745731603657443e+00 4.584669361503219270e-02 2.141184102664509259e-01 4.282368205329018518e-01
-1.607753512800756068e+00 -1.993339117374297587e+00 4.584705082667263343e-02 2.141192444099143388e-01 4.282384888198286776e-01
-1.598210533054201798e+00 -1.933296090482881979e+00 4.584741994858786140e-02 2.141201063622654444e-01 4.282402127245308887e-01
-1.588667553307647307e+00 -1.825438705743595014e+00 4.584798300157195278e-02 2.141214211646559062e-01 4.282428423293118125e-01
-1.579124573561092815e+00 -1.666523490979655353e+00 4.584890669166061944e-02 2.141235780843870895e-01 4.282471561687741790e-01
-1.569581593814538545e+00 -1.488539565161861589e+00 4.585011206059031591e-02 2.141263927230604436e-01 4.282527854461208872e-01
-1.560038614067984053e+00 -1.338903935106166676e+00 4.585125633838599279e-02 2.141290646745228621e-01 4.282581293490457242e-01
-1.550495634321429561e+00 -1.246248557340295493e+00 4.585195696612627547e-02 2.141307006622970854e-01 4.282614013245941709e-01
-1.540952654574875291e+00 -1.221587339368066738e+00 4.585204342499767105e-02 2.141309025456103465e-01 4.282618050912206931e-01
-1.531409674828320799e+00 -1.271990585480112568e+00 4.585163393935649118e-02 2.141299463861990882e-01 4.282598927723981763e-01
-1.521866695081766307e+00 -1.392545782570731250e+00 4.585100559518600488e-02 2.141284791782400998e-01 4.282569583564801996e-01
-1.512323715335211816e+00 -1.537849493462867478e+00 4.585042410663728307e-02 2.141271213710147503e-01 4.282542427420295006e-01
-1.502780735588657546e+00 -1.616412044437638418e+00 4.585003747325606255e-02 2.141262185563833909e-01 4.282524371127667817e-01
-1.493237755842103054e+00 -1.546626429379912349e+00 4.584982161790013278e-02 2.141257145181309773e-01 4.282514290362619547e-01
-1.483694776095548562e+00 -1.331837693471060735e+00 4.584971619334225063e-02 2.141254683435444284e-01 4.282509366870888567e-01
-1.474151796348994292e+00 -1.067104771830809540e+00 4.584978654543566540e-02 2.141256326212153116e-01 4.282512652424306232e-01
-1.464608816602439800e+00 -8.566171583212354168e-01 4.585005264820765647e-02 2.141262539909752904e-01 4.282525079819505809e-01
-1.455065836855885308e+00 -7.205105210561526530e-01 4.585044039892464951e-02 2.141271594145045531e-01 4.282543188290091063e-01
-1.445522857109331039e+00 -5.868604015503597893e-01 4.585094636530053641e-02 2.141283408736464611e-01 4.282566817472929221e-01
-1.435979877362776547e+00 -3.770103851942920858e-01 4.585164091742906234e-02 2.141299626802121714e-01 4.282599253604243428e-01
-1.426436897616222055e+00 -9.655666222809888843e-02 4.585264545068198222e-02 2.141323082831780023e-01 4.282646165663560045e-01
