# X mu var std 2std
-1.731812249505963575e+00 -1.072637118362654629e+00 2.506176332055000788e+00 1.583090752943431490e+00 3.166181505886862979e+00
-1.727040759632686440e+00 -1.018147347896817489e+00 2.504542700505169694e+00 1.582574706137176213e+00 3.165149412274352425e+00
-1.722269269759409083e+00 -9.771566507962923254e-01 2.550482030373509179e+00 1.597022864699660261e+00 3.194045729399320521e+00
-1.717497779886131948e+00 -9.863490257497996572e-01 2.607745433050976835e+00 1.614851520434921195e+00 3.229703040869842390e+00
-1.712726290012854813e+00 -1.096956492650653425e+00 2.640794042383178386e+00 1.625052012208587193e+00 3.250104024417174386e+00
-1.707954800139577456e+00 -1.095375462286432233e+00 2.591843495474413395e+00 1.609920338238638893e+00 3.219840676477277785e+00
-1.703183310266300321e+00 -1.076854006268915143e+00 2.524124568884160258e+00 1.588749372583404096e+00 3.177498745166808192e+00
-1.698411820393023186e+00 -1.082803241516924864e+00 2.457918792780619199e+00 1.567775109121400501e+00 3.135550218242801002e+00
-1.693640330519745829e+00 -1.053863196195504282e+00 2.496299407670176329e+00 1.579968166663549001e+00 3.159936333327098001e+00
-1.688868840646468694e+00 -1.056310838928910867e+00 2.543269149488622816e+00 1.594763038663933541e+00 3.189526077327867082e+00
-1.684097350773191559e+00 -1.084085672641359688e+00 2.679523679799684643e+00 1.636925068474328393e+00 3.273850136948656786e+00
-1.679325860899914202e+00 -1.094236703058879989e+00 2.479699791773049888e+00 1.574706255710267344e+00 3.149412511420534688e+00
-1.674554371026637067e+00 -1.071031920972786544e+00 2.292631565730788079e+00 1.514143839181333551e+00 3.028287678362667101e+00
-1.669782881153359932e+00 -1.100571440904887233e+00 2.201142430209200196e+00 1.483624760581057522e+00 2.967249521162115045e+00
-1.665011391280082576e+00 -1.122995926027164248e+00 2.225517659600781073e+00 1.491816898818612014e+00 2.983633797637224028e+00
-1.660239901406805441e+00 -1.120115806632220989e+00 2.416472554629149894e+00 1.554500741276487741e+00 3.109001482552975482e+00
-1.655468411533528306e+00 -1.149281067641788612e+00 2.429705144734415345e+00 1.558751149072364006e+00 3.117502298144728012e+00
-1.650696921660250949e+00 -1.159469505754883167e+00 2.465236158139436640e+00 1.570107053082507642e+00 3.140214106165015284e+00
-1.645925431786973814e+00 -1.121708565809480307e+00 2.340827534019132017e+00 1.529976318123627665e+00 3.059952636247255331e+00
-1.641153941913696679e+00 -1.125527876351653189e+00 2.372662461901477560e+00 1.540344916537032427e+00 3.080689833074064854e+00
