# X mu var std 2std
-1.731812249505963575e+00 -1.757476418230023985e+00 4.171352686603740229e-02 2.042388965550817892e-01 4.084777931101635784e-01
-1.722269269759409083e+00 -1.917549077686780290e+00 3.763169928501103323e-02 1.939889153663451882e-01 3.879778307326903763e-01
-1.712726290012854813e+00 -2.000146210038983519e+00 3.548035719290094925e-02 1.883623030038148183e-01 3.767246060076296366e-01
-1.703183310266300321e+00 -2.009986013667461879e+00 3.477257598195807736e-02 1.864740624911627731e-01 3.729481249823255462e-01
-1.693640330519745829e+00 -1.967370116463107221e+00 3.470955983234397246e-02 1.863050182693530565e-01 3.726100365387061131e-01
-1.684097350773191559e+00 -1.900660647084959187e+00 3.474564295563487698e-02 1.864018319535376278e-01 3.728036639070752556e-01
-1.674554371026637067e+00 -1.835658728415486829e+00 3.474129505135088725e-02 1.863901688699028114e-01 3.727803377398056228e-01
-1.665011391280082576e+00 -1.786574608720518542e+00 3.473175231280627162e-02 1.863645682870171405e-01 3.727291365740342810e-01
-1.655468411533528306e+00 -1.752824499183323281e+00 3.472402165518451850e-02 1.863438264477375039e-01 3.726876528954750079e-01
-1.645925431786973814e+00 -1.723110891245669629e+00 3.471144347583688533e-02 1.863100734684973725e-01 3.726201469369947450e-01
-1.636382452040419322e+00 -1.684498723769362494e+00 3.471732025372686187e-02 1.863258442989776387e-01 3.726516885979552773e-01
-1.626839472293865052e+00 -1.631545660995139091e+00 3.473981492514321978e-02 1.863861983225775787e-01 3.727723966451551574e-01
-1.617296492547310560e+00 -1.570531270539298863e+00 3.473752241592299034e-02 1.863800483311531531e-01 3.727600966623063061e-01
-1.607753512800756068e+00 -1.516536307205452516e+00 3.472099540151761532e-02 1.863357061905141498e-01 3.726714123810282997e-01
-1.598210533054201798e+00 -1.485067239680002871e+00 3.476588940598009797e-02 1.864561326585427725e-01 3.729122653170855450e-01
-1.588667553307647307e+00 -1.482913807218702029e+00 3.487405043685574274e-02 1.867459515942868908e-01 3.734919031885737817e-01
-1.579124573561092815e+00 -1.503338618167882945e+00 3.492111206207442614e-02 1.868719135185232250e-01 3.737438270370464499e-01
