# X mu var std 2std
-1.731812249505963575e+00 -1.759189772527317119e+00 4.243681718791549040e-02 2.060019834562655250e-01 4.120039669125310500e-01
-1.727040759632686440e+00 -1.848111420237673164e+00 3.989121296920563470e-02 1.997278472552228568e-01 3.994556945104457135e-01
-1.722269269759409083e+00 -1.918454973526041440e+00 3.789273252757736216e-02 1.946605571952812475e-01 3.893211143905624949e-01
-1.717497779886131948e+00 -1.969140177396864422e+00 3.645438158254513117e-02 1.909303055634309909e-01 3.818606111268619818e-01
-1.712726290012854813e+00 -2.000219246666144368e+00 3.552529442224089395e-02 1.884815492886263710e-01 3.769630985772527421e-01
-1.707954800139577456e+00 -2.012880707077074671e+00 3.500789332846118013e-02 1.871039639571037416e-01 3.742079279142074832e-01
-1.703183310266300321e+00 -2.009343128089606800e+00 3.478224455890632782e-02 1.864999854126169199e-01 3.729999708252338397e-01
-1.698411820393023186e+00 -1.992644560482697447e+00 3.473105067623814129e-02 1.863626858473501902e-01 3.727253716947003803e-01
-1.693640330519745829e+00 -1.966347048914673934e+00 3.475910071611713198e-02 1.864379272468912885e-01 3.728758544937825770e-01
-1.688868840646468694e+00 -1.934187378083710440e+00 3.480320948074522996e-02 1.865561831747884758e-01 3.731123663495769516e-01
-1.684097350773191559e+00 -1.899713944100229757e+00 3.483198495787865473e-02 1.866332900580136567e-01 3.732665801160273134e-01
-1.679325860899914202e+00 -1.865952646345696575e+00 3.483793611159291537e-02 1.866492328181204030e-01 3.732984656362408060e-01
-1.674554371026637067e+00 -1.835142723676726373e+00 3.482639381886139252e-02 1.866183105133614462e-01 3.732366210267228923e-01
-1.669782881153359932e+00 -1.808575203238913742e+00 3.480577675525682591e-02 1.865630637485802823e-01 3.731261274971605646e-01
-1.665011391280082576e+00 -1.786553812978457945e+00 3.478212193397293289e-02 1.864996566591288207e-01 3.729993133182576415e-01
-1.660239901406805441e+00 -1.768482051023546386e+00 3.475829341857314403e-02 1.864357621771454698e-01 3.728715243542909397e-01
-1.655468411533528306e+00 -1.753063362357559107e+00 3.473606609646000959e-02 1.863761414356998880e-01 3.727522828713997760e-01
-1.650696921660250949e+00 -1.738585875650367374e+00 3.471836304589400596e-02 1.863286425805061319e-01 3.726572851610122639e-01
-1.645925431786973814e+00 -1.723251478548410542e+00 3.470953007224961834e-02 1.863049384000585729e-01 3.726098768001171457e-01
-1.641153941913696679e+00 -1.705502985465311427e+00 3.471325812387639903e-02 1.863149433724423376e-01 3.726298867448846752e-01
-1.636382452040419322e+00 -1.684303472690972914e+00 3.472957640820372588e-02 1.863587304319379856e-01 3.727174608638759712e-01
-1.631610962167142187e+00 -1.659328803201609137e+00 3.475318259614532806e-02 1.864220550153476985e-01 3.728441100306953970e-01
-1.626839472293865052e+00 -1.631046810579367401e+00 3.477478904613520716e-02 1.864799963699463603e-01 3.729599927398927206e-01
-1.622067982420587695e+00 -1.600672452493685061e+00 3.478538475276280600e-02 1.865084039735550592e-01 3.730168079471101183e-01
-1.617296492547310560e+00 -1.570006333857978609e+00 3.478141383027001654e-02 1.864977582446234461e-01 3.729955164892468922e-01
-1.612525002674033425e+00 -1.541180126770621106e+00 3.476786977132982626e-02 1.864614431225121438e-01 3.729228862450242876e-01
-1.607753512800756068e+00 -1.516345835357888694e+00 3.475705645524426735e-02 1.864324447494165871e-01 3.728648894988331741e-01
