# X mu var std 2std
-1.731812249505963575e+00 -2.284373653489151224e+00 2.978916000430362199e-02 1.725953649560254544e-01 3.451907299120509087e-01
-1.722269269759409083e+00 -2.368526744804909434e+00 2.926384406637019819e-02 1.710667824750620458e-01 3.421335649501240916e-01
-1.712726290012854813e+00 -2.328131456354233020e+00 3.214037560828311019e-02 1.792773705973040865e-01 3.585547411946081731e-01
-1.703183310266300321e+00 -2.198889584420820942e+00 3.661240146759735942e-02 1.913436737067556181e-01 3.826873474135112363e-01
-1.693640330519745829e+00 -2.034446126959647660e+00 4.004681833216924836e-02 2.001170116011361244e-01 4.002340232022722488e-01
-1.684097350773191559e+00 -1.887172911375126327e+00 4.044953802994535191e-02 2.011207051249208067e-01 4.022414102498416133e-01
-1.674554371026637067e+00 -1.791771143986603754e+00 3.759082474808662228e-02 1.938835339787435830e-01 3.877670679574871659e-01
-1.665011391280082576e+00 -1.758511086834250614e+00 3.314355983602909617e-02 1.820537278828123773e-01 3.641074557656247546e-01
-1.655468411533528306e+00 -1.777227176420837162e+00 2.967817891228936508e-02 1.722735583665971903e-01 3.445471167331943807e-01
-1.645925431786973814e+00 -1.827487363462843906e+00 2.898476220623627184e-02 1.702491180777047919e-01 3.404982361554095838e-01
-1.636382452040419322e+00 -1.888117222185684341e+00 3.080650380739547237e-02 1.755178162107638440e-01 3.510356324215276880e-01
-1.626839472293865052e+00 -1.941517068568546778e+00 3.305667294591349559e-02 1.818149414814786147e-01 3.636298829629572293e-01
-1.617296492547310560e+00 -1.972984905280378065e+00 3.353323325799358740e-02 1.831208160149839226e-01 3.662416320299678452e-01
-1.607753512800756068e+00 -1.969011924152513693e+00 3.177940339023312133e-02 1.782677856210513334e-01 3.565355712421026668e-01
-1.598210533054201798e+00 -1.918664475805564651e+00 2.948030191003010725e-02 1.716982874405860449e-01 3.433965748811720897e-01
-1.588667553307647307e+00 -1.818869491808382755e+00 2.906919856967776772e-02 1.704969165987401947e-01 3.409938331974803893e-01
-1.579124573561092815e+00 -1.680351242032413817e+00 3.180991389035346673e-02 1.783533400033581184e-01 3.567066800067162369e-01
-1.569581593814538545e+00 -1.529232052442766276e+00 3.693549549542412408e-02 1.921860959992270634e-01 3.843721919984541269e-01
-1.560038614067984053e+00 -1.401185257722760369e+00 4.228340304005072381e-02 2.056292854630651090e-01 4.112585709261302180e-01
-1.550495634321429561e+00 -1.329236073307675126e+00 4.561070561752302022e-02 2.135666303932405585e-01 4.271332607864811171e-01
-1.540952654574875291e+00 -1.330161768258281585e+00 4.559991861739987051e-02 2.135413744860697183e-01 4.270827489721394365e-01
-1.531409674828320799e+00 -1.395728473699266781e+00 4.225451737813012976e-02 2.055590362356520817e-01 4.111180724713041634e-01
-1.521866695081766307e+00 -1.493129701206187931e+00 3.687585509206083023e-02 1.920308701538917528e-01 3.840617403077835057e-01
-1.512323715335211816e+00 -1.574985969262031382e+00 3.168368662526030444e-02 1.779991197317006557e-01 3.559982394634013114e-01
-1.502780735588657546e+00 -1.595043694603170303e+00 2.896562789030074705e-02 1.701929137487831756e-01 3.403858274975663512e-01
-1.493237755842103054e+00 -1.523233339822493981e+00 2.996503446161190298e-02 1.731041145138147996e-01 3.462082290276295993e-01
-1.483694776095548562e+00 -1.354207089264612751e+00 3.418505908099694207e-02 1.848920200576459338e-01 3.697840401152918677e-01
-1.474151796348994292e+00 -1.106667029928666057e+00 3.964947070659582268e-02 1.991217484520358127e-01 3.982434969040716255e-01
-1.464608816602439800e+00 -8.150393730279137383e-01 4.392610557461860965e-02 2.095855566937249725e-01 4.191711133874499451e-01
-1.455065836855885308e+00 -5.180636817594387322e-01 4.521124132682095148e-02 2.126293519879627336e-01 4.252587039759254672e-01
-1.445522857109331039e+00 -2.491724658808709414e-01 4.297972692087913271e-02 2.073155250358234281e-01 4.146310500716468561e-01
-1.435979877362776547e+00 -3.140668823137159754e-02 3.815420200299515091e-02 1.953310062509154010e-01 3.906620125018308021e-01
-1.426436897616222055e+00 1.232624771440773426e-01 3.281978582635873554e-02 1.811623190024866381e-01 3.623246380049732762e-01
-1.416893917869667785e+00 2.121601085115832341e-01 2.937779281927608427e-02 1.713995123075794658e-01 3.427990246151589315e-01
-1.407350938123113293e+00 2.397119848108938689e-01 2.927973324008670969e-02 1.711132176077777844e-01 3.422264352155555689e-01
-1.397807958376558801e+00 2.157727746192537599e-01 3.205890223776480114e-02 1.790499992677039853e-01 3.580999985354079707e-01
-1.388264978630004531e+00 1.543015529135822461e-01 3.550429940510750615e-02 1.884258459052459977e-01 3.768516918104919955e-01
-1.378721998883450039e+00 7.178663892377004641e-02 3.707423092225117789e-02 1.925466980299874731e-01 3.850933960599749462e-01
-1.369179019136895548e+00 -1.489468604615337873e-02 3.562591633511513062e-02 1.887482882971793507e-01 3.774965765943587015e-01
