# X mu var std 2std
-1.731812249505963575e+00 -2.282240427182941733e+00 2.980457377129414054e-02 1.726400120809024330e-01 3.452800241618048660e-01
-1.727040759632686440e+00 -2.341036103783076250e+00 2.902843334826344518e-02 1.703773263913465896e-01 3.407546527826931793e-01
-1.722269269759409083e+00 -2.366655293718940900e+00 2.924850233891462120e-02 1.710219352566056672e-01 3.420438705132113344e-01
-1.717497779886131948e+00 -2.360751336851253157e+00 3.038225911859496892e-02 1.743050748503753855e-01 3.486101497007507710e-01
-1.712726290012854813e+00 -2.327013671342077039e+00 3.222613643922035698e-02 1.795163960178021156e-01 3.590327920356042313e-01
-1.707954800139577456e+00 -2.270817807200454119e+00 3.447816511401021605e-02 1.856829693698649753e-01 3.713659387397299505e-01
-1.703183310266300321e+00 -2.198707975399626147e+00 3.677952510025668531e-02 1.917798871108664649e-01 3.835597742217329298e-01
-1.698411820393023186e+00 -2.117776571073791025e+00 3.876870906321686766e-02 1.968977121838058897e-01 3.937954243676117794e-01
-1.693640330519745829e+00 -2.035016948197065467e+00 4.013817481783533980e-02 2.003451392418476862e-01 4.006902784836953724e-01
-1.688868840646468694e+00 -1.956728233792623506e+00 4.068228198895230963e-02 2.016984927780877401e-01 4.033969855561754803e-01
-1.684097350773191559e+00 -1.888039817839521017e+00 4.032742412556485773e-02 2.008168920324305273e-01 4.016337840648610547e-01
-1.679325860899914202e+00 -1.832603290408359564e+00 3.913963318111148004e-02 1.978373907559222711e-01 3.956747815118445422e-01
-1.674554371026637067e+00 -1.792473258920232571e+00 3.730979403544606998e-02 1.931574332906866587e-01 3.863148665813733174e-01
-1.669782881153359932e+00 -1.768170621895878591e+00 3.512018965162682499e-02 1.874038143998857375e-01 3.748076287997714751e-01
-1.665011391280082576e+00 -1.758896573092324944e+00 3.289831272550097080e-02 1.813789202898202502e-01 3.627578405796405003e-01
-1.660239901406805441e+00 -1.762847820205403204e+00 3.096462359000446557e-02 1.759676776854330882e-01 3.519353553708661764e-01
-1.655468411533528306e+00 -1.777573999857010589e+00 2.958113788185930126e-02 1.719916796878828702e-01 3.439833593757657404e-01
-1.650696921660250949e+00 -1.800319781082447834e+00 2.890783526510562820e-02 1.700230433356185733e-01 3.400460866712371466e-01
-1.645925431786973814e+00 -1.828304529584841465e+00 2.897400307039299863e-02 1.702175169316983150e-01 3.404350338633966300e-01
-1.641153941913696679e+00 -1.858909969141278484e+00 2.967110547159673706e-02 1.722530274671442152e-01 3.445060549342884304e-01
-1.636382452040419322e+00 -1.889767461884101163e+00 3.077166422047885805e-02 1.754185401275442646e-01 3.508370802550885292e-01
-1.631610962167142187e+00 -1.918757626275053196e+00 3.197399614560938325e-02 1.788127404454430414e-01 3.576254808908860827e-01
-1.626839472293865052e+00 -1.943951778050148738e+00 3.296608118254015785e-02 1.815656387716028108e-01 3.631312775432056217e-01
-1.622067982420587695e+00 -1.963534957868127373e+00 3.349522596108418793e-02 1.830170100320846760e-01 3.660340200641693520e-01
-1.617296492547310560e+00 -1.975751600765018434e+00 3.342663493554431237e-02 1.828295242447026403e-01 3.656590484894052806e-01
-1.612525002674033425e+00 -1.978907153452696077e+00 3.277554143634767159e-02 1.810401652571817233e-01 3.620803305143634465e-01
-1.607753512800756068e+00 -1.971444427152386769e+00 3.170462154851987763e-02 1.780579162759125256e-01 3.561158325518250511e-01
-1.602982022927478933e+00 -1.952093860043998097e+00 3.048809818870976129e-02 1.746084138542864095e-01 3.492168277085728190e-01
-1.598210533054201798e+00 -1.920077376395717295e+00 2.945289743770401064e-02 1.716184647341421898e-01 3.432369294682843797e-01
-1.593439043180924442e+00 -1.875329298798642519e+00 2.891160118581570515e-02 1.700341177111690805e-01 3.400682354223381609e-01
-1.588667553307647307e+00 -1.818688584011216802e+00 2.910167631738592650e-02 1.705921343948364199e-01 3.411842687896728399e-01
-1.583896063434370172e+00 -1.752016993024359648e+00 3.014177269158143518e-02 1.736138608855336551e-01 3.472277217710673103e-01
-1.579124573561092815e+00 -1.678206350597994279e+00 3.201145256596702598e-02 1.789174462314031266e-01 3.578348924628062533e-01
-1.574353083687815680e+00 -1.601054369289170110e+00 3.455636996612908296e-02 1.858934371249536255e-01 3.717868742499072510e-01
-1.569581593814538545e+00 -1.525009131744363700e+00 3.751643483874175788e-02 1.936915972331834379e-01 3.873831944663668758e-01
-1.564810103941261188e+00 -1.454802493891441451e+00 4.056978621017846148e-02 2.014194285816997831e-01 4.028388571633995663e-01
-1.560038614067984053e+00 -1.395010313282758485e+00 4.338194518993154780e-02 2.082833291214915006e-01 4.165666582429830012e-01
-1.555267124194706918e+00 -1.349588967638723158e+00 4.564964126151394019e-02 2.136577666772587480e-01 4.273155333545174961e-01
-1.550495634321429561e+00 -1.321442121261042102e+00 4.713295358733390200e-02 2.171012519248424477e-01 4.342025038496848954e-01
-1.545724144448152426e+00 -1.312069174870557298e+00 4.767545481379308059e-02 2.183470971041132913e-01 4.366941942082265826e-01
-1.540952654574875291e+00 -1.321338050127038644e+00 4.721581405171737522e-02 2.172920018125779340e-01 4.345840036251558680e-01
-1.536181164701597934e+00 -1.347411250206391742e+00 4.579392489240929898e-02 2.139951515628550349e-01 4.279903031257100698e-01
-1.531409674828320799e+00 -1.386837539280036946e+00 4.355116964460588325e-02 2.086891699264863120e-01 4.173783398529726241e-01
-1.526638184955043664e+00 -1.434803307469593170e+00 4.072146554670227903e-02 2.017956033879387545e-01 4.035912067758775090e-01
-1.521866695081766307e+00 -1.485520200956081727e+00 3.761026661649487929e-02 1.939336655057467829e-01 3.878673310114935657e-01
-1.517095205208489173e+00 -1.532710233094909613e+00 3.456201005432837925e-02 1.859086067247247565e-01 3.718172134494495129e-01
-1.512323715335211816e+00 -1.570138586639558076e+00 3.192002372297986917e-02 1.786617578637909598e-01 3.573235157275819196e-01
-1.507552225461934681e+00 -1.592138985590812572e+00 2.998489193492965069e-02 1.731614620373992108e-01 3.463229240747984217e-01
-1.502780735588657546e+00 -1.594077786257252605e+00 2.897666556763169379e-02 1.702253376193793577e-01 3.404506752387587154e-01
-1.498009245715380189e+00 -1.572710979154921418e+00 2.900547820809753694e-02 1.703099474725347229e-01 3.406198949450694458e-01
-1.493237755842103054e+00 -1.526401843650962764e+00 3.005469120308718392e-02 1.733628887711761157e-01 3.467257775423522315e-01
-1.488466265968825919e+00 -1.455184468745535531e+00 3.198049408879936883e-02 1.788309092097878084e-01 3.576618184195756167e-01
-1.483694776095548562e+00 -1.360676722938952921e+00 3.453030550422256373e-02 1.858233179776493105e-01 3.716466359552986209e-01
-1.478923286222271427e+00 -1.245863200340098453e+00 3.737857323240726531e-02 1.933353905326370137e-01 3.866707810652740274e-01
-1.474151796348994292e+00 -1.114781897257571153e+00 4.017374155560157062e-02 2.004338832523123448e-01 4.008677665046246896e-01
-1.469380306475716935e+00 -9.721558420171251269e-01 4.258671997069757992e-02 2.063655009217809644e-01 4.127310018435619288e-01
-1.464608816602439800e+00 -8.230123655995876808e-01 4.435119994447403458e-02 2.105972458140752401e-01 4.211944916281504803e-01
-1.459837326729162665e+00 -6.723288450566313745e-01 4.528960251027280837e-02 2.128135393020679222e-01 4.256270786041358445e-01
-1.455065836855885308e+00 -5.247348279785265524e-01 4.532351065446450777e-02 2.128931907188778838e-01 4.257863814377557676e-01
-1.450294346982608173e+00 -3.842895227138223291e-01 4.447160939584535178e-02 2.108829281754342200e-01 4.217658563508684400e-01
-1.445522857109331039e+00 -2.543417109791263897e-01 4.283986962975638857e-02 2.069779447906379966e-01 4.139558895812759931e-01
-1.440751367236053682e+00 -1.374685867966944086e-01 4.060759263003915071e-02 2.015132567104188088e-01 4.030265134208376177e-01
-1.435979877362776547e+00 -3.548135296046719955e-02 3.801077370824428037e-02 1.949635189163456683e-01 3.899270378326913367e-01
-1.431208387489499412e+00 5.051911381458489697e-02 3.532212531599128458e-02 1.879418136445194787e-01 3.758836272890389574e-01
-1.426436897616222055e+00 1.200556448176724189e-01 3.282673472535971998e-02 1.811814966417920891e-01 3.623629932835841783e-01
-1.421665407742944920e+00 1.731751165776492796e-01 3.079345293471217118e-02 1.754806340731425995e-01 3.509612681462851991e-01
-1.416893917869667785e+00 2.103507211945040423e-01 2.944395816270367269e-02 1.715924187215264740e-01 3.431848374430529480e-01
-1.412122427996390428e+00 2.323967284011941303e-01 2.892271317661030891e-02 1.700667903401787417e-01 3.401335806803574835e-01
-1.407350938123113293e+00 2.404016175736595762e-01 2.927148089793571439e-02 1.710891022185098698e-01 3.421782044370197395e-01
-1.402579448249836158e+00 2.356805789647396510e-01 3.041239486431862593e-02 1.743914988304149649e-01 3.487829976608299298e-01
-1.397807958376558801e+00 2.197439913534925959e-01 3.214453901058533791e-02 1.792889818437969074e-01 3.585779636875938148e-01
-1.393036468503281666e+00 1.942759403124987849e-01 3.415998461640953887e-02 1.848241992175525261e-01 3.696483984351050522e-01
-1.388264978630004531e+00 1.611143022217173537e-01 3.608399103094817734e-02 1.899578664624031188e-01 3.799157329248062376e-01
-1.383493488756727174e+00 1.222242602310431581e-01 3.753849047742966599e-02 1.937485238070981164e-01 3.874970476141962328e-01
-1.378721998883450039e+00 7.965824950549817152e-02 3.821876143593787994e-02 1.954961928937182236e-01 3.909923857874364472e-01
-1.373950509010172905e+00 3.549823169842717535e-02 3.796469140230582240e-02 1.948453012066388712e-01 3.896906024132777424e-01
-1.369179019136895548e+00 -8.219404151332253619e-03 3.680547856220746372e-02 1.918475398909443019e-01 3.836950797818886039e-01
-1.364407529263618413e+00 -4.959190076715702666e-02 3.496286613897543055e-02 1.869835985828046665e-01 3.739671971656093330e-01
-1.359636039390341278e+00 -8.694275294787508213e-02 3.281026670533979811e-02 1.811360447435567678e-01 3.622720894871135355e-01
-1.354864549517063921e+00 -1.189077406702064715e-01 3.079789635562731748e-02 1.754932943323684880e-01 3.509865886647369759e-01
-1.350093059643786786e+00 -1.445033041494343529e-01 2.936218090942449913e-02 1.713539637984032860e-01 3.427079275968065719e-01
-1.345321569770509651e+00 -1.631674271498412265e-01 2.883971355272111139e-02 1.698225943528160475e-01 3.396451887056320951e-01
-1.340550079897232294e+00 -1.747673096376412272e-01 2.940369573175684662e-02 1.714750586288188161e-01 3.429501172576376322e-01
-1.335778590023955159e+00 -1.795726736592482276e-01 3.103605501955964546e-02 1.761705282377266646e-01 3.523410564754533292e-01
-1.331007100150678024e+00 -1.781981540938708808e-01 3.354170816731683741e-02 1.831439547659622913e-01 3.662879095319245826e-01
-1.326235610277400667e+00 -1.715221912223924838e-01 3.660218510266401160e-02 1.913169754691517455e-01 3.826339509383034909e-01
-1.321464120404123532e+00 -1.605918631677228925e-01 3.985499340700101450e-02 1.996371543751338240e-01 3.992743087502676480e-01
-1.316692630530846175e+00 -1.465234015991575822e-01 4.297633997012845208e-02 2.073073562856090624e-01 4.146147125712181247e-01
-1.311921140657569040e+00 -1.304071985650775978e-01 4.574290730613467248e-02 2.138759156757363278e-01 4.277518313514726556e-01
-1.307149650784291905e+00 -1.132236144438577008e-01 4.805590679406998578e-02 2.192165750897271670e-01 4.384331501794543340e-01
-1.302378160911014549e+00 -9.577389586280470046e-02 4.992498329348851738e-02 2.234389923300955927e-01 4.468779846601911854e-01
-1.297606671037737414e+00 -7.862821631314123594e-02 5.142437615050093891e-02 2.267694338981798008e-01 4.535388677963596016e-01
