# X mu var std 2std
-1.731812249505963575e+00 -2.081113397566447532e+00 4.764351573370191606e-02 2.182739465298181580e-01 4.365478930596363161e-01
-1.729426504569325118e+00 -2.079466937969264073e+00 4.763633036842453150e-02 2.182574863972013557e-01 4.365149727944027114e-01
-1.727040759632686440e+00 -2.077719407943145136e+00 4.762996289099894615e-02 2.182428988329263853e-01 4.364857976658527705e-01
-1.724655014696047761e+00 -2.075848837145097381e+00 4.762436802162110100e-02 2.182300804692632323e-01 4.364601609385264647e-01
-1.722269269759409083e+00 -2.073828524877957324e+00 4.761950112393644602e-02 2.182189293437589162e-01 4.364378586875178323e-01
-1.719883524822770626e+00 -2.071626391725534422e+00 4.761531826754943075e-02 2.182093450509153265e-01 4.364186901018306530e-01
-1.717497779886131948e+00 -2.069204406663237794e+00 4.761177628888433461e-02 2.182012288894916718e-01 4.364024577789833437e-01
-1.715112034949493269e+00 -2.066518171247937019e+00 4.760883285036925788e-02 2.181944840053690604e-01 4.363889680107381208e-01
-1.712726290012854813e+00 -2.063516759659352662e+00 4.760644649794511241e-02 2.181890155299874567e-01 4.363780310599749135e-01
-1.710340545076216134e+00 -2.060142923849166863e+00 4.760457671689581616e-02 2.181847307143554848e-01 4.363694614287109697e-01
-1.707954800139577456e+00 -2.056333772344804078e+00 4.760318398595136252e-02 2.181815390585357672e-01 4.363630781170715345e-01
-1.705569055202938999e+00 -2.052022015387965137e+00 4.760222982954578907e-02 2.181793524363517534e-01 4.363587048727035067e-01
-1.703183310266300321e+00 -2.047137835810296735e+00 4.760167686798624787e-02 2.181780852147764405e-01 4.363561704295528809e-01
-1.700797565329661643e+00 -2.041611394895508802e+00 4.760148886508664551e-02 2.181776543670012058e-01 4.363553087340024117e-01
-1.698411820393023186e+00 -2.035375919395427946e+00 4.760163077260774062e-02 2.181779795777010478e-01 4.363559591554020956e-01
-1.696026075456384508e+00 -2.028371247113857745e+00 4.760206877060321751e-02 2.181789833384581989e-01 4.363579666769163978e-01
-1.693640330519745829e+00 -2.020547643583925801e+00 4.760277030256936104e-02 2.181805910308461938e-01 4.363611820616923875e-01
-1.691254585583107373e+00 -2.011869651431271055e+00 4.760370410420511345e-02 2.181827309944696647e-01 4.363654619889393294e-01
-1.688868840646468694e+00 -2.002319705625152491e+00 4.760484022465275022e-02 2.181853345774017738e-01 4.363706691548035477e-01
-1.686483095709830016e+00 -1.991901247222450433e+00 4.760615003935678852e-02 2.181883361670755861e-01 4.363766723341511722e-01
-1.684097350773191559e+00 -1.980641096209899921e+00 4.760760625416252112e-02 2.181916732007949944e-01 4.363833464015899888e-01
-1.681711605836552881e+00 -1.968590896906182053e+00 4.760918290091869370e-02 2.181952861565040758e-01 4.363905723130081515e-01
-1.679325860899914202e+00 -1.955827519672993731e+00 4.761085532559459349e-02 2.181991185261631383e-01 4.363982370523262766e-01
-1.676940115963275746e+00 -1.942452380884801322e+00 4.761260017064084665e-02 2.182031167757253753e-01 4.364062335514507507e-01
-1.674554371026637067e+00 -1.928589719429349980e+00 4.761439535390343814e-02 2.182072302970353983e-01 4.364144605940707966e-01
-1.672168626089998389e+00 -1.914383934040432056e+00 4.761622004674764819e-02 2.182114113577648118e-01 4.364228227155296236e-01
-1.669782881153359932e+00 -1.899996135606627945e+00 4.761805465408462668e-02 2.182156150555789875e-01 4.364312301111579750e-01
-1.667397136216721254e+00 -1.885600099362291449e+00 4.761988079871416063e-02 2.182197992820865962e-01 4.364395985641731923e-01
-1.665011391280082576e+00 -1.871377813546968749e+00 4.762168131185392367e-02 2.182239247008767591e-01 4.364478494017535182e-01
-1.662625646343444119e+00 -1.857514816032694416e+00 4.762344023094100542e-02 2.182279547421480115e-01 4.364559094842960230e-01
-1.660239901406805441e+00 -1.844195492380157564e+00 4.762514280494101193e-02 2.182318556144840493e-01 4.364637112289680987e-01
-1.657854156470166762e+00 -1.831598482287255081e+00 4.762677550650040725e-02 2.182355963322674952e-01 4.364711926645349904e-01
-1.655468411533528306e+00 -1.819892310861406681e+00 4.762832604949598925e-02 2.182391487554329323e-01 4.364782975108658647e-01
-1.653082666596889627e+00 -1.809231330427622186e+00 4.762978340988477388e-02 2.182424876367678734e-01 4.364849752735357469e-01
-1.650696921660250949e+00 -1.799752030631111666e+00 4.763113784730508421e-02 2.182455906709344917e-01 4.364911813418689834e-01
-1.648311176723612492e+00 -1.791569751377662278e+00 4.763238092465177376e-02 2.182484385388628045e-01 4.364968770777256091e-01
-1.645925431786973814e+00 -1.784775815689538359e+00 4.763350552281873235e-02 2.182510149410964995e-01 4.365020298821929989e-01
-1.643539686850335135e+00 -1.779435088051029901e+00 4.763450584796721093e-02 2.182533066140515676e-01 4.365066132281031352e-01
-1.641153941913696679e+00 -1.775583957863238638e+00 4.763537742900984806e-02 2.182553033239051643e-01 4.365106066478103286e-01
-1.638768196977058000e+00 -1.773228746378763709e+00 4.763611710346911388e-02 2.182569978339047867e-01 4.365139956678095734e-01
-1.636382452040419322e+00 -1.772344537833565159e+00 4.763672299042440855e-02 2.182583858421582035e-01 4.365167716843164070e-01
-1.633996707103780865e+00 -1.772874440240798322e+00 4.763719444991088015e-02 2.182594658884486616e-01 4.365189317768973232e-01
-1.631610962167142187e+00 -1.774729287239715791e+00 4.763753202880611354e-02 2.182602392301587202e-01 4.365204784603174404e-01
-1.629225217230503509e+00 -1.777787798398873687e+00 4.763773739391879980e-02 2.182607096889378206e-01 4.365214193778756413e-01
-1.626839472293865052e+00 -1.781897220521021286e+00 4.763781325367172359e-02 2.182608834712984613e-01 4.365217669425969227e-01
-1.624453727357226374e+00 -1.786874476032692893e+00 4.763776327036136488e-02 2.182607689676762941e-01 4.365215379353525882e-01
-1.622067982420587695e+00 -1.792507845999268046e+00 4.763759196548206232e-02 2.182603765356462000e-01 4.365207530712924000e-01
-1.619682237483949239e+00 -1.798559214471702639e+00 4.763730462097928720e-02 2.182597182738475194e-01 4.365194365476950389e-01
