# X mu var std 2std
-1.731812249505963575e+00 2.831283148262020433e-02 1.463104323265126429e-04 1.209588493358434123e-02 2.419176986716868247e-02
-1.729426504569325118e+00 2.823560750601705749e-02 1.215449056006717097e-04 1.102474061375920654e-02 2.204948122751841308e-02
-1.727040759632686440e+00 2.816436763848240155e-02 9.959832448752862079e-05 9.979896015867531500e-03 1.995979203173506300e-02
-1.724655014696047761e+00 2.809915969517273737e-02 8.031461206077837947e-05 8.961842001551822284e-03 1.792368400310364457e-02
-1.722269269759409083e+00 2.804002888846124364e-02 6.353990287738756223e-05 7.971192061253296046e-03 1.594238412250659209e-02
-1.719883524822770626e+00 2.798701777357504028e-02 4.912275552155908741e-05 7.008762766819768252e-03 1.401752553363953650e-02
-1.717497779886131948e+00 2.794016619519168465e-02 3.691435825416405897e-05 6.075718743833034147e-03 1.215143748766606829e-02
-1.715112034949493269e+00 2.789951123508571662e-02 2.676872728858505405e-05 5.173850334961869676e-03 1.034770066992373935e-02
-1.712726290012854813e+00 2.786508716083369031e-02 1.854289728692413714e-05 4.306146454421184121e-03 8.612292908842368241e-03
-1.710340545076216134e+00 2.783692537567161729e-02 1.209710368228875543e-05 3.478089084869557309e-03 6.956178169739114618e-03
-1.707954800139577456e+00 2.781505436949638366e-02 7.294956417440015209e-06 2.700917699123765552e-03 5.401835398247531103e-03
-1.705569055202938999e+00 2.779949967112904652e-02 4.003604735783410616e-06 2.000900981004160185e-03 4.001801962008320369e-03
-1.703183310266300321e+00 2.779028380182468894e-02 2.093892698869955734e-06 1.447028921227891656e-03 2.894057842455783312e-03
-1.700797565329661643e+00 2.778742623011143387e-02 1.440505067243136015e-06 1.200210426234973263e-03 2.400420852469946527e-03
-1.698411820393023186e+00 2.779094332801390621e-02 1.922103257710731842e-06 1.386399386075575120e-03 2.772798772151150240e-03
-1.696026075456384508e+00 2.780084832866647204e-02 3.421451097097112470e-06 1.849716491005341150e-03 3.699432982010682300e-03
-1.693640330519745829e+00 2.781715128542483484e-02 5.825530101878393696e-06 2.413613494716665420e-03 4.827226989433330839e-03
-1.691254585583107373e+00 2.783985903245778104e-02 9.025644056696208747e-06 3.004270969252974613e-03 6.008541938505949226e-03
-1.688868840646468694e+00 2.786897514691477618e-02 1.291751268204875314e-05 3.594094139285830200e-03 7.188188278571660400e-03
-1.686483095709830016e+00 2.790449991270582686e-02 1.740135420385948513e-05 4.171493042527996825e-03 8.342986085055993650e-03
-1.684097350773191559e+00 2.794643028590271250e-02 2.238195668167866487e-05 4.730957269060740746e-03 9.461914538121481491e-03
-1.681711605836552881e+00 2.799475986185839815e-02 2.776873795698493058e-05 5.269605104463229855e-03 1.053921020892645971e-02
-1.679325860899914202e+00 2.804947884405351033e-02 3.347579412858952777e-05 5.785827004723657560e-03 1.157165400944731512e-02
-1.676940115963275746e+00 2.811057401472760731e-02 3.942193648609670562e-05 6.278689073851062043e-03 1.255737814770212409e-02
-1.674554371026637067e+00 2.817802870733632226e-02 4.553071685563322318e-05 6.747645282291683984e-03 1.349529056458336797e-02
-1.672168626089998389e+00 2.825182278086502130e-02 5.173044135746819941e-05 7.192387736869321375e-03 1.438477547373864275e-02
-1.669782881153359932e+00 2.833193259605493175e-02 5.795417259119211900e-05 7.612763794522467604e-03 1.522552758904493521e-02
-1.667397136216721254e+00 2.841833099357837789e-02 6.413972028416440197e-05 8.008727756901491343e-03 1.601745551380298269e-02
-1.665011391280082576e+00 2.851098727420553480e-02 7.022962051711922231e-05 8.380311480912819647e-03 1.676062296182563929e-02
-1.662625646343444119e+00 2.860986718096736325e-02 7.617110359834562716e-05 8.727605834267815679e-03 1.745521166853563136e-02
-1.660239901406805441e+00 2.871493288342086281e-02 8.191605076454127232e-05 9.050748630060459488e-03 1.810149726012091898e-02
-1.657854156470166762e+00 2.882614296397978393e-02 8.742093984924928876e-05 9.349916569106341696e-03 1.869983313821268339e-02
-1.655468411533528306e+00 2.894345240639539796e-02 9.264678014103745773e-05 9.625319742275446205e-03 1.925063948455089241e-02
-1.653082666596889627e+00 2.906681258639798315e-02 9.755903666260893530e-05 9.877197814289685046e-03 1.975439562857937009e-02
-1.650696921660250949e+00 2.919617126453655231e-02 1.021275441179961090e-04 1.010581734042309381e-02 2.021163468084618761e-02
-1.648311176723612492e+00 2.933147258125923251e-02 1.063264108114639057e-04 1.031146986668069095e-02 2.062293973336138189e-02
-1.645925431786973814e+00 2.947265705425317073e-02 1.101339128552428909e-04 1.049447058480049676e-02 2.098894116960099351e-02
-1.643539686850335135e+00 2.961966157806461553e-02 1.135323790090705302e-04 1.065515739015949689e-02 2.131031478031899379e-02
-1.641153941913696679e+00 2.977241942605179936e-02 1.165080665241316385e-04 1.079389024050789701e-02 2.158778048101579403e-02
-1.638768196977058000e+00 2.993086025468416622e-02 1.190510284055284541e-04 1.091105074708794732e-02 2.182210149417589465e-02
-1.636382452040419322e+00 3.009491011020193341e-02 1.211549724960996126e-04 1.100704195031978680e-02 2.201408390063957360e-02
-1.633996707103780865e+00 3.026449143768439320e-02 1.228171128500512438e-04 1.108228824972763704e-02 2.216457649945527408e-02
-1.631610962167142187e+00 3.043952309251785060e-02 1.240380138728069091e-04 1.113723546814050780e-02 2.227447093628101560e-02
-1.629225217230503509e+00 3.061992035432781201e-02 1.248214276979236570e-04 1.117235103717761219e-02 2.234470207435522437e-02
-1.626839472293865052e+00 3.080559494333257042e-02 1.251741253484014494e-04 1.118812429982798604e-02 2.237624859965597207e-02
-1.624453727357226374e+00 3.099645503921077960e-02 1.251057222057309849e-04 1.118506692897860977e-02 2.237013385795721954e-02
-1.622067982420587695e+00 3.119240530242950449e-02 1.246284983324825112e-04 1.116371346517289025e-02 2.232742693034578049e-02
-1.619682237483949239e+00 3.139334689809025747e-02 1.237572142374367113e-04 1.112462198177703067e-02 2.224924396355406134e-02
-1.617296492547310560e+00 3.159917752229257637e-02 1.225089226682842913e-04 1.106837488831509918e-02 2.213674977663019836e-02
-1.614910747610671882e+00 3.180979143102913298e-02 1.209027770184024084e-04 1.099557988549955574e-02 2.199115977099911148e-02
-1.612525002674033425e+00 3.202507947160326829e-02 1.189598369787136286e-04 1.090687109022168803e-02 2.181374218044337607e-02
-1.610139257737394747e+00 3.224492911661691608e-02 1.167028720574931613e-04 1.080291035126614181e-02 2.160582070253228362e-02
-1.607753512800756068e+00 3.246922450048561615e-02 1.141561635830662782e-04 1.068438877910506818e-02 2.136877755821013636e-02
-1.605367767864117612e+00 3.269784645852835681e-02 1.113453058630642042e-04 1.055202851887087137e-02 2.110405703774174274e-02
-1.602982022927478933e+00 3.293067256858805969e-02 1.082970071044519111e-04 1.040658479542889807e-02 2.081316959085779614e-02
-1.600596277990840255e+00 3.316757719525087467e-02 1.050388907900509953e-04 1.024884826651516895e-02 2.049769653303033790e-02
-1.598210533054201798e+00 3.340843153657035991e-02 1.015992981203101637e-04 1.007964771806585391e-02 2.015929543613170782e-02
-1.595824788117563120e+00 3.365310367338447683e-02 9.800709219474897191e-05 9.899853140059653236e-03 1.979970628011930647e-02
-1.593439043180924442e+00 3.390145862115567787e-02 9.429146457983751358e-05 9.710379219157072583e-03 1.942075843831414517e-02
-1.591053298244285985e+00 3.415335838435007432e-02 9.048174489443861499e-05 9.512189279784050849e-03 1.902437855956810170e-02
-1.588667553307647307e+00 3.440866201336234553e-02 8.660721406618240241e-05 9.306299697848893770e-03 1.861259939569778754e-02
-1.586281808371008628e+00 3.466722566393554139e-02 8.269692187435008686e-05 9.093784793712136535e-03 1.818756958742427307e-02
-1.583896063434370172e+00 3.492890265908821235e-02 7.877950940620586946e-05 8.875782185599524060e-03 1.775156437119904812e-02
-1.581510318497731493e+00 3.519354355354598063e-02 7.488303703906057439e-05 8.653498543309554383e-03 1.730699708661910877e-02
-1.579124573561092815e+00 3.546099620063092317e-02 7.103481851914331753e-05 8.428215618928085184e-03 1.685643123785617037e-02
-1.576738828624454358e+00 3.573110582157856818e-02 6.726126174087797315e-05 8.201296345144343941e-03 1.640259269028868788e-02
-1.574353083687815680e+00 3.600371507732913479e-02 6.358771676707696539e-05 7.974190665332562405e-03 1.594838133066512481e-02
-1.571967338751177001e+00 3.627866414268776651e-02 6.003833163756798328e-05 7.748440593923914058e-03 1.549688118784782812e-02
-1.569581593814538545e+00 3.655579078286530503e-02 5.663591647421164089e-05 7.525683787817000897e-03 1.505136757563400179e-02
-1.567195848877899866e+00 3.683493043239272069e-02 5.340181638762561206e-05 7.307654643428739341e-03 1.461530928685747868e-02
-1.564810103941261188e+00 3.711591627632393475e-02 5.035579364401614205e-05 7.096181624226943589e-03 1.419236324845388718e-02
-1.562424359004622731e+00 3.739857933374524102e-02 4.751591953357141247e-05 6.893179203645544151e-03 1.378635840729108830e-02
-1.560038614067984053e+00 3.768274854353470538e-02 4.489847636073443038e-05 6.700632534375723127e-03 1.340126506875144625e-02
-1.557652869131345374e+00 3.796825085233757058e-02 4.251786993195673836e-05 6.520572822379697847e-03 1.304114564475939569e-02
-1.555267124194706918e+00 3.825491130471525558e-02 4.038655288312033797e-05 6.355041532761240147e-03 1.271008306552248029e-02
-1.552881379258068240e+00 3.854255313543042405e-02 3.851495917904454458e-05 6.206042150923932361e-03 1.241208430184786472e-02
-1.550495634321429561e+00 3.883099786384724972e-02 3.691145006370330538e-05 6.075479410194993372e-03 1.215095882038998674e-02
-1.548109889384791105e+00 3.912006539034451613e-02 3.558227169363250273e-05 5.965087735619024889e-03 1.193017547123804978e-02
-1.545724144448152426e+00 3.940957409477263695e-02 3.453152467990007067e-05 5.876353008448358291e-03 1.175270601689671658e-02
-1.543338399511513748e+00 3.969934093683180620e-02 3.376114569747957762e-05 5.810434209031161042e-03 1.162086841806232208e-02
-1.540952654574875291e+00 3.998918155837749566e-02 3.327090130903853047e-05 5.768093385949860791e-03 1.153618677189972158e-02
-1.538566909638236613e+00 4.027891038755226916e-02 3.305839407510121952e-05 5.749642951966775495e-03 1.149928590393355099e-02
-1.536181164701597934e+00 4.056834074475346164e-02 3.311908102449663408e-05 5.754917985905327882e-03 1.150983597181065576e-02
-1.533795419764959478e+00 4.085728495028595475e-02 3.344630446338534837e-05 5.783278003294096102e-03 1.156655600658819220e-02
-1.531409674828320799e+00 4.114555443374623422e-02 3.403133513774297627e-05 5.833638241932985295e-03 1.166727648386597059e-02
-1.529023929891682121e+00 4.143295984499761886e-02 3.486342761618471166e-05 5.904526028072423945e-03 1.180905205614484789e-02
-1.526638184955043664e+00 4.171931116669846951e-02 3.592988783171702704e-05 5.994154471793084436e-03 1.198830894358616887e-02
-1.524252440018404986e+00 4.200441782836339399e-02 3.721615258715319652e-05 6.100504289577477098e-03 1.220100857915495420e-02
-1.521866695081766307e+00 4.228808882178891615e-02 3.870588083114748484e-05 6.221405052811421199e-03 1.244281010562284240e-02
-1.519480950145127629e+00 4.257013281790000825e-02 4.038105647174818134e-05 6.354609073086099451e-03 1.270921814617219890e-02
-1.517095205208489173e+00 4.285035828484007325e-02 4.222210241530421372e-05 6.497853677584946100e-03 1.299570735516989220e-02
