# X mu
-1.731812249505963575e+00 -2.000000000000000111e-01
-1.727040759632686440e+00 -2.000000000000000111e-01
-1.722269269759409083e+00 -2.000000000000000111e-01
-1.717497779886131948e+00 -2.000000000000000111e-01
-1.712726290012854813e+00 -2.000000000000000111e-01
-1.707954800139577456e+00 -2.000000000000000111e-01
-1.703183310266300321e+00 -2.000000000000000111e-01
-1.698411820393023186e+00 -2.000000000000000111e-01
-1.693640330519745829e+00 -2.000000000000000111e-01
-1.688868840646468694e+00 -2.000000000000000111e-01
-1.684097350773191559e+00 -2.000000000000000111e-01
-1.679325860899914202e+00 -2.000000000000000111e-01
-1.674554371026637067e+00 -2.000000000000000111e-01
-1.669782881153359932e+00 -2.000000000000000111e-01
-1.665011391280082576e+00 -2.000000000000000111e-01
-1.660239901406805441e+00 -6.466165413533836448e-02
-1.655468411533528306e+00 -6.065162907268170644e-02
-1.650696921660250949e+00 1.954887218045112118e-02
-1.645925431786973814e+00 1.854636591478694974e-02
-1.641153941913696679e+00 1.754385964912280604e-02
-1.636382452040419322e+00 1.368421052631578760e-01
-1.631610962167142187e+00 1.348370927318295331e-01
-1.626839472293865052e+00 1.328320802005012458e-01
-1.622067982420587695e+00 1.328320802005012458e-01
-1.617296492547310560e+00 1.338345864661654172e-01
-1.612525002674033425e+00 1.338345864661654172e-01
-1.607753512800756068e+00 1.348370927318295331e-01
-1.602982022927478933e+00 1.348370927318295331e-01
-1.598210533054201798e+00 1.378446115288220475e-01
-1.593439043180924442e+00 1.468671679197994795e-01
-1.588667553307647307e+00 1.498746867167919383e-01
-1.583896063434370172e+00 1.518796992481202812e-01
-1.579124573561092815e+00 1.538847117794486241e-01
-1.574353083687815680e+00 1.809523809523809201e-01
-1.569581593814538545e+00 1.809523809523809201e-01
-1.564810103941261188e+00 1.809523809523809201e-01
-1.560038614067984053e+00 1.829573934837092630e-01
-1.555267124194706918e+00 1.839598997493734345e-01
-1.550495634321429561e+00 1.849624060150376059e-01
-1.545724144448152426e+00 1.849624060150376059e-01
-1.540952654574875291e+00 1.839598997493734345e-01
-1.536181164701597934e+00 1.849624060150376059e-01
-1.531409674828320799e+00 1.839598997493734345e-01
-1.526638184955043664e+00 4.060150375939847178e-02
-1.521866695081766307e+00 3.859649122807015664e-02
-1.517095205208489173e+00 3.759398496240601295e-02
-1.512323715335211816e+00 3.659147869674184150e-02
-1.507552225461934681e+00 3.659147869674184150e-02
-1.502780735588657546e+00 3.659147869674184150e-02
-1.498009245715380189e+00 3.659147869674184150e-02
-1.493237755842103054e+00 3.659147869674184150e-02
-1.488466265968825919e+00 3.759398496240601295e-02
-1.483694776095548562e+00 3.659147869674184150e-02
-1.478923286222271427e+00 3.558897243107767006e-02
-1.474151796348994292e+00 3.458646616541352636e-02
-1.469380306475716935e+00 3.458646616541352636e-02
-1.464608816602439800e+00 3.558897243107767006e-02
-1.459837326729162665e+00 3.558897243107767006e-02
-1.455065836855885308e+00 3.759398496240601295e-02
-1.450294346982608173e+00 4.360902255639095837e-02
-1.445522857109331039e+00 4.661654135338344496e-02
-1.440751367236053682e+00 4.761904761904761640e-02
-1.435979877362776547e+00 4.761904761904761640e-02
-1.431208387489499412e+00 4.561403508771927351e-02
-1.426436897616222055e+00 4.360902255639095837e-02
-1.421665407742944920e+00 4.160401002506264323e-02
-1.416893917869667785e+00 4.160401002506264323e-02
-1.412122427996390428e+00 3.959899749373432809e-02
-1.407350938123113293e+00 3.759398496240601295e-02
-1.402579448249836158e+00 -1.107769423558897376e-01
-1.397807958376558801e+00 -1.127819548872180527e-01
-1.393036468503281666e+00 -1.959899749373433808e-01
-1.388264978630004531e+00 1.197994987468671280e-01
-1.383493488756727174e+00 1.177944862155388406e-01
-1.378721998883450039e+00 1.157894736842104977e-01
-1.373950509010172905e+00 1.137844611528822103e-01
-1.369179019136895548e+00 1.127819548872180389e-01
-1.364407529263618413e+00 1.127819548872180389e-01
-1.359636039390341278e+00 1.137844611528822103e-01
-1.354864549517063921e+00 1.147869674185463262e-01
-1.350093059643786786e+00 1.157894736842104977e-01
-1.345321569770509651e+00 1.157894736842104977e-01
-1.340550079897232294e+00 1.147869674185463262e-01
-1.335778590023955159e+00 1.137844611528822103e-01
-1.331007100150678024e+00 1.127819548872180389e-01
-1.326235610277400667e+00 1.127819548872180389e-01
-1.321464120404123532e+00 1.117794486215538674e-01
-1.316692630530846175e+00 1.137844611528822103e-01
-1.311921140657569040e+00 -1.779448621553884891e-01
-1.307149650784291905e+00 -1.789473684210526327e-01
-1.302378160911014549e+00 -1.799498746867168042e-01
-1.297606671037737414e+00 -1.809523809523809756e-01
-1.292835181164460279e+00 -1.829573934837092908e-01
-1.288063691291182922e+00 -1.829573934837092908e-01
-1.283292201417905787e+00 -1.829573934837092908e-01
-1.278520711544628652e+00 -1.829573934837092908e-01
-1.273749221671351295e+00 -1.829573934837092908e-01
-1.268977731798074160e+00 -1.829573934837092908e-01
-1.264206241924797025e+00 -1.839598997493734345e-01
-1.259434752051519668e+00 -1.869674185463659211e-01
-1.254663262178242533e+00 -1.899749373433584076e-01
-1.249891772304965398e+00 -1.929824561403508942e-01
-1.245120282431688041e+00 -1.949874686716792094e-01
-1.240348792558410906e+00 -1.949874686716792094e-01
-1.235577302685133771e+00 -1.949874686716792094e-01
-1.230805812811856415e+00 1.338345864661654172e-01
-1.226034322938579280e+00 1.348370927318295331e-01
-1.221262833065302145e+00 1.328320802005012458e-01
-1.216491343192024788e+00 1.328320802005012458e-01
-1.211719853318747653e+00 1.859649122807017219e-01
-1.206948363445470518e+00 1.859649122807017219e-01
-1.202176873572193161e+00 1.859649122807017219e-01
-1.197405383698916026e+00 5.513784461152859695e-03
-1.192633893825638891e+00 4.511278195488716003e-03
-1.187862403952361534e+00 2.506265664160400863e-03
-1.183090914079084399e+00 -9.674185463659148998e-02
-1.178319424205807264e+00 -9.573934837092733241e-02
-1.173547934332529907e+00 -9.674185463659148998e-02
