# X mu var std 2std
-1.731812249505963575e+00 -1.906313340130439737e+00 4.758534539101511723e-02 2.181406550623132268e-01 4.362813101246264536e-01
-1.729426504569325118e+00 -1.905015799268328314e+00 4.758534539102198674e-02 2.181406550623289642e-01 4.362813101246579284e-01
-1.727040759632686440e+00 -1.903713422977637126e+00 4.758534539103546207e-02 2.181406550623598561e-01 4.362813101247197123e-01
-1.724655014696047761e+00 -1.902404511189447200e+00 4.758534539106155231e-02 2.181406550624196417e-01 4.362813101248392833e-01
-1.722269269759409083e+00 -1.901086835177914658e+00 4.758534539111134581e-02 2.181406550625337726e-01 4.362813101250675452e-01
-1.719883524822770626e+00 -1.899757498636649888e+00 4.758534539120502088e-02 2.181406550627484897e-01 4.362813101254969794e-01
-1.717497779886131948e+00 -1.898412770966680041e+00 4.758534539137879160e-02 2.181406550631467822e-01 4.362813101262935644e-01
-1.715112034949493269e+00 -1.897047890031152484e+00 4.758534539169657213e-02 2.181406550638751718e-01 4.362813101277503436e-01
-1.712726290012854813e+00 -1.895656832298842076e+00 4.758534539226952353e-02 2.181406550651884546e-01 4.362813101303769092e-01
-1.710340545076216134e+00 -1.894232049352423397e+00 4.758534539328788254e-02 2.181406550675226153e-01 4.362813101350452305e-01
-1.707954800139577456e+00 -1.892764171247453664e+00 4.758534539507223993e-02 2.181406550716125381e-01 4.362813101432250762e-01
-1.705569055202938999e+00 -1.891241679232233741e+00 4.758534539815435782e-02 2.181406550786770537e-01 4.362813101573541075e-01
-1.703183310266300321e+00 -1.889650552915464132e+00 4.758534540340228491e-02 2.181406550907058206e-01 4.362813101814116412e-01
-1.700797565329661643e+00 -1.887973900105700986e+00 4.758534541221046132e-02 2.181406551108950598e-01 4.362813102217901196e-01
-1.698411820393023186e+00 -1.886191581210281853e+00 4.758534542678280466e-02 2.181406551442963138e-01 4.362813102885926275e-01
-1.696026075456384508e+00 -1.884279844185185349e+00 4.758534545054589338e-02 2.181406551987636611e-01 4.362813103975273221e-01
-1.693640330519745829e+00 -1.882210990422110486e+00 4.758534548873943892e-02 2.181406552863070503e-01 4.362813105726141005e-01
-1.691254585583107373e+00 -1.879953096426235204e+00 4.758534554924186838e-02 2.181406554249846197e-01 4.362813108499692394e-01
-1.688868840646468694e+00 -1.877469820386289845e+00 4.758534564369838044e-02 2.181406556414882958e-01 4.362813112829765916e-01
-1.686483095709830016e+00 -1.874720326406959847e+00 4.758534578902535311e-02 2.181406559745921181e-01 4.362813119491842362e-01
-1.684097350773191559e+00 -1.871659361842189728e+00 4.758534600936497466e-02 2.181406564796323777e-01 4.362813129592647554e-01
-1.681711605836552881e+00 -1.868237524376455072e+00 4.758534633855433099e-02 2.181406572341669792e-01 4.362813144683339583e-01
-1.679325860899914202e+00 -1.864401754776701337e+00 4.758534682314825154e-02 2.181406583449042591e-01 4.362813166898085182e-01
-1.676940115963275746e+00 -1.860096088131686365e+00 4.758534752599161144e-02 2.181406599558908810e-01 4.362813199117817620e-01
-1.674554371026637067e+00 -1.855262690527001324e+00 4.758534853026902961e-02 2.181406622577941878e-01 4.362813245155883757e-01
-1.672168626089998389e+00 -1.849843199208713207e+00 4.758534994386696276e-02 2.181406654979005932e-01 4.362813309958011865e-01
-1.669782881153359932e+00 -1.843780372268560175e+00 4.758535190376458890e-02 2.181406699901799473e-01 4.362813399803598946e-01
-1.667397136216721254e+00 -1.837020038854393134e+00 4.758535458003181062e-02 2.181406761244491233e-01 4.362813522488982465e-01
-1.665011391280082576e+00 -1.829513323237826672e+00 4.758535817886543062e-02 2.181406843733315060e-01 4.362813687466630119e-01
-1.662625646343444119e+00 -1.821219096398496662e+00 4.758536294395628030e-02 2.181406952953902079e-01 4.362813905907804157e-01
-1.660239901406805441e+00 -1.812106588031743515e+00 4.758536915537435463e-02 2.181407095325729184e-01 4.362814190651458368e-01
-1.657854156470166762e+00 -1.802158071233471270e+00 4.758537712511509699e-02 2.181407278000032091e-01 4.362814556000064181e-01
-1.655468411533528306e+00 -1.791371512953665590e+00 4.758538718849834870e-02 2.181407508662660533e-01 4.362815017325321065e-01
-1.653082666596889627e+00 -1.779763067166748813e+00 4.758539969078038473e-02 2.181407795227210122e-01 4.362815590454420245e-01
-1.650696921660250949e+00 -1.767369276147293666e+00 4.758541496864786974e-02 2.181408145410846100e-01 4.362816290821692200e-01
-1.648311176723612492e+00 -1.754248839744104282e+00 4.758543332671501258e-02 2.181408566195590371e-01 4.362817132391180741e-01
-1.645925431786973814e+00 -1.740483814377957739e+00 4.758545500972420628e-02 2.181409063191133979e-01 4.362818126382267958e-01
-1.643539686850335135e+00 -1.726180113560403573e+00 4.758548017181486040e-02 2.181409639930447786e-01 4.362819279860895572e-01
-1.641153941913696679e+00 -1.711467200480148110e+00 4.758550884490736488e-02 2.181410297145114363e-01 4.362820594290228726e-01
-1.638768196977058000e+00 -1.696496890493015774e+00 4.758554090886076005e-02 2.181411032081316814e-01 4.362822064162633628e-01
-1.636382452040419322e+00 -1.681441216408131156e+00 4.758557606650300198e-02 2.181411837927515196e-01 4.362823675855030392e-01
-1.633996707103780865e+00 -1.666489350862786267e+00 4.758561382680152191e-02 2.181412703428709798e-01 4.362825406857419597e-01
-1.631610962167142187e+00 -1.651843625786778125e+00 4.758565349925747423e-02 2.181413612757962805e-01 4.362827225515925611e-01
-1.629225217230503509e+00 -1.637714736425475603e+00 4.758569420202282685e-02 2.181414545702462793e-01 4.362829091404925586e-01
-1.626839472293865052e+00 -1.624316263709741470e+00 4.758573488525767031e-02 2.181415478198907298e-01 4.362830956397814597e-01
-1.624453727357226374e+00 -1.611858690856750043e+00 4.758577436992778714e-02 2.181416383222785638e-01 4.362832766445571275e-01
-1.622067982420587695e+00 -1.600543124951119944e+00 4.758581140070904103e-02 2.181417232000999740e-01 4.362834464001999479e-01
-1.619682237483949239e+00 -1.590554959192741924e+00 4.758584471008435457e-02 2.181417995481020888e-01 4.362835990962041777e-01
-1.617296492547310560e+00 -1.582057724353905570e+00 4.758587308928811932e-02 2.181418645956986480e-01 4.362837291913972959e-01
-1.614910747610671882e+00 -1.575187377363295615e+00 4.758589546067067827e-02 2.181419158728342134e-01 4.362838317456684267e-01
-1.612525002674033425e+00 -1.570047260335935446e+00 4.758591094549168704e-02 2.181419513653705400e-01 4.362839027307410800e-01
-1.610139257737394747e+00 -1.566703935300964856e+00 4.758591892121669109e-02 2.181419696464132751e-01 4.362839392928265503e-01
-1.607753512800756068e+00 -1.565184059854196175e+00 4.758591906311892411e-02 2.181419699716652949e-01 4.362839399433305898e-01
-1.605367767864117612e+00 -1.565472419422392791e+00 4.758591136631955959e-02 2.181419523299439889e-01 4.362839046598879778e-01
-1.602982022927478933e+00 -1.567511175989253047e+00 4.758589614619193608e-02 2.181419174441077968e-01 4.362838348882155937e-01
-1.600596277990840255e+00 -1.571200334765257445e+00 4.758587401709971076e-02 2.181418667223229413e-01 4.362837334446458826e-01
-1.598210533054201798e+00 -1.576399373417982419e+00 4.758584585148809692e-02 2.181418021642988481e-01 4.362836043285976961e-01
-1.595824788117563120e+00 -1.582929927103406742e+00 4.758581272315540872e-02 2.181417262312632666e-01 4.362834524625265331e-01
-1.593439043180924442e+00 -1.590579380275106036e+00 4.758577583988696930e-02 2.181416416915554768e-01 4.362832833831109536e-01
-1.591053298244285985e+00 -1.599105186058148220e+00 4.758573647139039547e-02 2.181415514554492230e-01 4.362831029108984460e-01
-1.588667553307647307e+00 -1.608239717905247890e+00 4.758569587856816691e-02 2.181414584130402512e-01 4.362829168260805024e-01
-1.586281808371008628e+00 -1.617695457253270463e+00 4.758565524962973109e-02 2.181413652878099463e-01 4.362827305756198926e-01
-1.583896063434370172e+00 -1.627170334717358502e+00 4.758561564748813727e-02 2.181412745160533351e-01 4.362825490321066702e-01
