# X true mean std 2std sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9 sample_10 sample_11 sample_12 sample_13 sample_14 sample_15 sample_16 sample_17 sample_18 sample_19 sample_20 sample_21 sample_22 sample_23 sample_24 sample_25 sample_26 sample_27 sample_28 sample_29
-2.500000000000000000e+00 -1.194531249999999822e+01 -1.508711338043212891e+00 1.327425122261047363e+00 2.654850244522094727e+00 4.213801622390747070e-01 -1.360709667205810547e+00 -1.982624053955078125e+00 -3.277961730957031250e+00 -3.663478136062622070e+00 -7.483825683593750000e-01 -3.461799860000610352e+00 -3.626913785934448242e+00 -7.145704030990600586e-01 -2.400226116180419922e+00 8.167374730110168457e-01 -1.060315132141113281e+00 -2.653964281082153320e+00 -2.391542911529541016e+00 1.421855211257934570e+00 -2.439388751983642578e+00 -1.569489717483520508e+00 -1.620931386947631836e+00 -1.317917823791503906e+00 -5.315296649932861328e-01 -2.606192111968994141e+00 -2.000490427017211914e+00 -4.451619088649749756e-01 -2.000490427017211914e+00 -2.000490427017211914e+00 -2.403536796569824219e+00 -1.625203013420104980e+00 -1.494561910629272461e+00 -7.592422962188720703e-01 1.937146782875061035e-01
-2.449494949494949392e+00 -1.069034568669658825e+01 -1.464213252067565918e+00 1.305706024169921875e+00 2.611412048339843750e+00 4.347969293594360352e-01 -1.326833963394165039e+00 -1.919805765151977539e+00 -3.214410066604614258e+00 -3.594146013259887695e+00 -7.051343917846679688e-01 -3.377804040908813477e+00 -3.553458929061889648e+00 -6.828948259353637695e-01 -2.337711334228515625e+00 8.050224184989929199e-01 -1.020452737808227539e+00 -2.613664627075195312e+00 -2.364623546600341797e+00 1.408951997756958008e+00 -2.359690189361572266e+00 -1.522663831710815430e+00 -1.573868513107299805e+00 -1.248396158218383789e+00 -5.434966683387756348e-01 -2.547619819641113281e+00 -1.935046911239624023e+00 -4.304377734661102295e-01 -1.935046911239624023e+00 -1.935046911239624023e+00 -2.369033813476562500e+00 -1.566948533058166504e+00 -1.464461445808410645e+00 -7.181380987167358398e-01 2.079057097434997559e-01
-2.398989898989898784e+00 -9.523914607490880258e+00 -1.419710993766784668e+00 1.284129500389099121e+00 2.568259000778198242e+00 4.482136368751525879e-01 -1.292958498001098633e+00 -1.856987953186035156e+00 -3.150858640670776367e+00 -3.524814128875732422e+00 -6.618862152099609375e-01 -3.293808221817016602e+00 -3.480004310607910156e+00 -6.512194871902465820e-01 -2.275197505950927734e+00 7.933074831962585449e-01 -9.805905818939208984e-01 -2.573364973068237305e+00 -2.337704181671142578e+00 1.396048784255981445e+00 -2.279992103576660156e+00 -1.475837945938110352e+00 -1.526805639266967773e+00 -1.178874731063842773e+00 -5.554636120796203613e-01 -2.489047765731811523e+00 -1.869603872299194336e+00 -4.157137572765350342e-01 -1.869603872299194336e+00 -1.869603872299194336e+00 -2.334531307220458984e+00 -1.508694052696228027e+00 -1.434361100196838379e+00 -6.770339012145996094e-01 2.220966219902038574e-01
-2.348484848484848619e+00 -8.442261829536565898e+00 -1.375211358070373535e+00 1.262700915336608887e+00 2.525401830673217773e+00 4.616304039955139160e-01 -1.259082794189453125e+00 -1.794169664382934570e+00 -3.087307214736938477e+00 -3.455482006072998047e+00 -6.186378002166748047e-01 -3.209811925888061523e+00 -3.406549453735351562e+00 -6.195439100265502930e-01 -2.212682723999023438e+00 7.815924286842346191e-01 -9.407283067703247070e-01 -2.533065319061279297e+00 -2.310784816741943359e+00 1.383145570755004883e+00 -2.200293540954589844e+00 -1.429012060165405273e+00 -1.479742765426635742e+00 -1.109353065490722656e+00 -5.674306154251098633e-01 -2.430475711822509766e+00 -1.804160356521606445e+00 -4.009896814823150635e-01 -1.804160356521606445e+00 -1.804160356521606445e+00 -2.300028324127197266e+00 -1.450439333915710449e+00 -1.404260635375976562e+00 -6.359295845031738281e-01 2.362875938415527344e-01
-2.297979797979798011e+00 -7.441701490136794384e+00 -1.330709218978881836e+00 1.241429090499877930e+00 2.482858180999755859e+00 4.750471115112304688e-01 -1.225207328796386719e+00 -1.731351613998413086e+00 -3.023755788803100586e+00 -3.386150121688842773e+00 -5.753895044326782227e-01 -3.125816106796264648e+00 -3.333095073699951172e+00 -5.878685712814331055e-01 -2.150168895721435547e+00 7.698774337768554688e-01 -9.008661508560180664e-01 -2.492765665054321289e+00 -2.283865690231323242e+00 1.370242357254028320e+00 -2.120595455169677734e+00 -1.382186174392700195e+00 -1.432679891586303711e+00 -1.039831876754760742e+00 -5.793975591659545898e-01 -2.371903657913208008e+00 -1.738717317581176758e+00 -3.862656652927398682e-01 -1.738717317581176758e+00 -1.738717317581176758e+00 -2.265525579452514648e+00 -1.392185091972351074e+00 -1.374160408973693848e+00 -5.948253870010375977e-01 2.504785060882568359e-01
-2.247474747474747403e+00 -6.518619296744169844e+00 -1.286206483840942383e+00 1.220320820808410645e+00 2.440641641616821289e+00 4.884638786315917969e-01 -1.191331624984741211e+00 -1.668533325195312500e+00 -2.960204124450683594e+00 -3.316817998886108398e+00 -5.321412086486816406e-01 -3.041820049285888672e+00 -3.259640216827392578e+00 -5.561929941177368164e-01 -2.087654113769531250e+00 7.581623792648315430e-01 -8.610037565231323242e-01 -2.452466011047363281e+00 -2.256946325302124023e+00 1.357339024543762207e+00 -2.040896892547607422e+00 -1.335360288619995117e+00 -1.385617017745971680e+00 -9.703102111816406250e-01 -5.913645625114440918e-01 -2.313331365585327148e+00 -1.673273801803588867e+00 -3.715415894985198975e-01 -1.673273801803588867e+00 -1.673273801803588867e+00 -2.231022596359252930e+00 -1.333930373191833496e+00 -1.344059944152832031e+00 -5.537210702896118164e-01 2.646695375442504883e-01
-2.196969696969696795e+00 -5.669472526960761094e+00 -1.241704583168029785e+00 1.199386358261108398e+00 2.398772716522216797e+00 5.018805861473083496e-01 -1.157456159591674805e+00 -1.605715274810791016e+00 -2.896652936935424805e+00 -3.247486114501953125e+00 -4.888930320739746094e-01 -2.957824230194091797e+00 -3.186185598373413086e+00 -5.245176553726196289e-01 -2.025140285491943359e+00 7.464474439620971680e-01 -8.211416006088256836e-01 -2.412166118621826172e+00 -2.230027198791503906e+00 1.344435811042785645e+00 -1.961198568344116211e+00 -1.288534402847290039e+00 -1.338554143905639648e+00 -9.007887840270996094e-01 -6.033314466476440430e-01 -2.254759311676025391e+00 -1.607830762863159180e+00 -3.568175733089447021e-01 -1.607830762863159180e+00 -1.607830762863159180e+00 -2.196519851684570312e+00 -1.275675892829895020e+00 -1.313959598541259766e+00 -5.126168727874755859e-01 2.788604497909545898e-01
-2.146464646464646631e+00 -4.890790028538072320e+00 -1.197204947471618652e+00 1.178634166717529297e+00 2.357268333435058594e+00 5.152973532676696777e-01 -1.123580455780029297e+00 -1.542896986007690430e+00 -2.833101272583007812e+00 -3.178153991699218750e+00 -4.456446170806884766e-01 -2.873827934265136719e+00 -3.112730741500854492e+00 -4.928420782089233398e-01 -1.962625622749328613e+00 7.347323894500732422e-01 -7.812792062759399414e-01 -2.371866464614868164e+00 -2.203107833862304688e+00 1.331532478332519531e+00 -1.881500005722045898e+00 -1.241708278656005859e+00 -1.291491270065307617e+00 -8.312671184539794922e-01 -6.152984499931335449e-01 -2.196187257766723633e+00 -1.542387247085571289e+00 -3.420934975147247314e-01 -1.542387247085571289e+00 -1.542387247085571289e+00 -2.162016868591308594e+00 -1.217421412467956543e+00 -1.283859133720397949e+00 -4.715125560760498047e-01 2.930514216423034668e-01
-2.095959595959596022e+00 -4.179172219377070618e+00 -1.152702569961547852e+00 1.158074259757995605e+00 2.316148519515991211e+00 5.287140607833862305e-01 -1.089704990386962891e+00 -1.480078935623168945e+00 -2.769549846649169922e+00 -3.108822107315063477e+00 -4.023964405059814453e-01 -2.789832115173339844e+00 -3.039276361465454102e+00 -4.611667394638061523e-01 -1.900111556053161621e+00 7.230173945426940918e-01 -7.414170503616333008e-01 -2.331566810607910156e+00 -2.176188468933105469e+00 1.318629264831542969e+00 -1.801801919937133789e+00 -1.194882631301879883e+00 -1.244428634643554688e+00 -7.617459297180175781e-01 -6.272653937339782715e-01 -2.137615203857421875e+00 -1.476944208145141602e+00 -3.273694813251495361e-01 -1.476944208145141602e+00 -1.476944208145141602e+00 -2.127514362335205078e+00 -1.159166932106018066e+00 -1.253758788108825684e+00 -4.304084777832031250e-01 3.072423934936523438e-01
-2.045454545454545414e+00 -3.531291087528172223e+00 -1.108201384544372559e+00 1.137716889381408691e+00 2.275433778762817383e+00 5.421308279037475586e-01 -1.055829286575317383e+00 -1.417260646820068359e+00 -2.705998420715332031e+00 -3.039489746093750000e+00 -3.591480255126953125e-01 -2.705836057662963867e+00 -2.965821504592895508e+00 -4.294911623001098633e-01 -1.837597012519836426e+00 7.113023996353149414e-01 -7.015547752380371094e-01 -2.291267156600952148e+00 -2.149269104003906250e+00 1.305726051330566406e+00 -1.722103357315063477e+00 -1.148056507110595703e+00 -1.197365522384643555e+00 -6.922242641448974609e-01 -6.392323970794677734e-01 -2.079042911529541016e+00 -1.411500692367553711e+00 -3.126454055309295654e-01 -1.411500692367553711e+00 -1.411500692367553711e+00 -2.093011379241943359e+00 -1.100912213325500488e+00 -1.223658323287963867e+00 -3.893040418624877930e-01 3.214333653450012207e-01
