# X true mean std 2std sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9 sample_10 sample_11 sample_12 sample_13 sample_14 sample_15 sample_16 sample_17 sample_18 sample_19 sample_20 sample_21 sample_22 sample_23 sample_24 sample_25 sample_26 sample_27 sample_28 sample_29
-2.500000000000000000e+00 -1.194531249999999822e+01 -1.897629141807556152e+00 1.452963948249816895e+00 2.905927896499633789e+00 -2.313483238220214844e+00 -2.017831802368164062e+00 -2.223701238632202148e+00 -2.232170581817626953e+00 -1.799321174621582031e+00 -1.260489583015441895e+00 -3.545613288879394531e+00 -2.260192871093750000e+00 4.074312448501586914e-01 -2.693136930465698242e+00 -6.964909076690673828e+00 -6.964909076690673828e+00 -1.645548582077026367e+00 -2.053433656692504883e+00 2.026525735855102539e-01 2.026525735855102539e-01 -6.964909076690673828e+00 -1.043968439102172852e+00 -1.260489583015441895e+00 -1.189589500427246094e-02 -1.212801456451416016e+00 -3.366987228393554688e+00 -2.210531473159790039e+00 -1.016697406768798828e+00 -2.313483238220214844e+00 -1.212801456451416016e+00 -1.629786729812622070e+00 -5.055173873901367188e+00 -2.313483238220214844e+00 -4.142247200012207031e+00
-2.449494949494949392e+00 -1.069034568669658825e+01 -1.829925656318664551e+00 1.429825305938720703e+00 2.859650611877441406e+00 -2.246030330657958984e+00 -1.952558755874633789e+00 -2.175086259841918945e+00 -2.134314060211181641e+00 -1.727901220321655273e+00 -1.198271393775939941e+00 -3.467517852783203125e+00 -2.190022468566894531e+00 4.386851787567138672e-01 -2.620383739471435547e+00 -6.805131435394287109e+00 -6.805131435394287109e+00 -1.585122823715209961e+00 -1.986513376235961914e+00 2.422660589218139648e-01 2.422660589218139648e-01 -6.805131435394287109e+00 -1.009783148765563965e+00 -1.198271393775939941e+00 3.203344345092773438e-02 -1.162817001342773438e+00 -3.264191150665283203e+00 -2.128414154052734375e+00 -9.784424901008605957e-01 -2.246030330657958984e+00 -1.162817001342773438e+00 -1.562347650527954102e+00 -4.943488597869873047e+00 -2.246030330657958984e+00 -4.035963058471679688e+00
-2.398989898989898784e+00 -9.523914607490880258e+00 -1.762221932411193848e+00 1.406772613525390625e+00 2.813545227050781250e+00 -2.178577423095703125e+00 -1.887286186218261719e+00 -2.126471281051635742e+00 -2.036457538604736328e+00 -1.656481742858886719e+00 -1.136053204536437988e+00 -3.389422416687011719e+00 -2.119852542877197266e+00 4.699389934539794922e-01 -2.547631263732910156e+00 -6.645354747772216797e+00 -6.645354747772216797e+00 -1.524697065353393555e+00 -1.919593334197998047e+00 2.818794250488281250e-01 2.818794250488281250e-01 -6.645354747772216797e+00 -9.755979776382446289e-01 -1.136053204536437988e+00 7.596278190612792969e-02 -1.112833023071289062e+00 -3.161395072937011719e+00 -2.046297311782836914e+00 -9.401877522468566895e-01 -2.178577423095703125e+00 -1.112833023071289062e+00 -1.494909048080444336e+00 -4.831804275512695312e+00 -2.178577423095703125e+00 -3.929678678512573242e+00
-2.348484848484848619e+00 -8.442261829536565898e+00 -1.694519639015197754e+00 1.383812308311462402e+00 2.767624616622924805e+00 -2.111124515533447266e+00 -1.822013139724731445e+00 -2.077856063842773438e+00 -1.938601016998291016e+00 -1.585062026977539062e+00 -1.073835015296936035e+00 -3.311326742172241211e+00 -2.049682140350341797e+00 5.011929273605346680e-01 -2.474878311157226562e+00 -6.485577106475830078e+00 -6.485577106475830078e+00 -1.464271306991577148e+00 -1.852672815322875977e+00 3.214929103851318359e-01 3.214929103851318359e-01 -6.485577106475830078e+00 -9.414125680923461914e-01 -1.073835015296936035e+00 1.198923587799072266e-01 -1.062848567962646484e+00 -3.058598995208740234e+00 -1.964179754257202148e+00 -9.019328951835632324e-01 -2.111124515533447266e+00 -1.062848567962646484e+00 -1.427469968795776367e+00 -4.720118999481201172e+00 -2.111124515533447266e+00 -3.823394536972045898e+00
-2.297979797979798011e+00 -7.441701490136794384e+00 -1.626817464828491211e+00 1.360946536064147949e+00 2.721893072128295898e+00 -2.043672084808349609e+00 -1.756740570068359375e+00 -2.029241323471069336e+00 -1.840744972229003906e+00 -1.513642549514770508e+00 -1.011617064476013184e+00 -3.233231544494628906e+00 -1.979512095451354980e+00 5.324467420578002930e-01 -2.402125597000122070e+00 -6.325800418853759766e+00 -6.325800418853759766e+00 -1.403845548629760742e+00 -1.785752773284912109e+00 3.611062765121459961e-01 3.611062765121459961e-01 -6.325800418853759766e+00 -9.072275161743164062e-01 -1.011617064476013184e+00 1.638216972351074219e-01 -1.012864589691162109e+00 -2.955803394317626953e+00 -1.882062911987304688e+00 -8.636782765388488770e-01 -2.043672084808349609e+00 -1.012864589691162109e+00 -1.360031127929687500e+00 -4.608434200286865234e+00 -2.043672084808349609e+00 -3.717110395431518555e+00
-2.247474747474747403e+00 -6.518619296744169844e+00 -1.559113264083862305e+00 1.338181257247924805e+00 2.676362514495849609e+00 -1.976219058036804199e+00 -1.691467761993408203e+00 -1.980626106262207031e+00 -1.742887973785400391e+00 -1.442222833633422852e+00 -9.493988752365112305e-01 -3.155135869979858398e+00 -1.909341692924499512e+00 5.637006759643554688e-01 -2.329372644424438477e+00 -6.166023254394531250e+00 -6.166023254394531250e+00 -1.343419790267944336e+00 -1.718832492828369141e+00 4.007197618484497070e-01 4.007197618484497070e-01 -6.166023254394531250e+00 -8.730421066284179688e-01 -9.493988752365112305e-01 2.077511548995971680e-01 -9.628801345825195312e-01 -2.853006839752197266e+00 -1.799945354461669922e+00 -8.254234194755554199e-01 -1.976219058036804199e+00 -9.628801345825195312e-01 -1.292592048645019531e+00 -4.496748924255371094e+00 -1.976219058036804199e+00 -3.610826253890991211e+00
-2.196969696969696795e+00 -5.669472526960761094e+00 -1.491410493850708008e+00 1.315522789955139160e+00 2.631045579910278320e+00 -1.908766388893127441e+00 -1.626195192337036133e+00 -1.932011127471923828e+00 -1.645031929016113281e+00 -1.370803356170654297e+00 -8.871806859970092773e-01 -3.077040672302246094e+00 -1.839171528816223145e+00 5.949544906616210938e-01 -2.256619930267333984e+00 -6.006246089935302734e+00 -6.006246089935302734e+00 -1.282994270324707031e+00 -1.651912450790405273e+00 4.403331279754638672e-01 4.403331279754638672e-01 -6.006246089935302734e+00 -8.388569355010986328e-01 -8.871806859970092773e-01 2.516804933547973633e-01 -9.128961563110351562e-01 -2.750211238861083984e+00 -1.717828512191772461e+00 -7.871688008308410645e-01 -1.908766388893127441e+00 -9.128961563110351562e-01 -1.225153207778930664e+00 -4.385064601898193359e+00 -1.908766388893127441e+00 -3.504542112350463867e+00
-2.146464646464646631e+00 -4.890790028538072320e+00 -1.423706650733947754e+00 1.292975425720214844e+00 2.585950851440429688e+00 -1.841313481330871582e+00 -1.560922145843505859e+00 -1.883396148681640625e+00 -1.547174930572509766e+00 -1.299383401870727539e+00 -8.249624967575073242e-01 -2.998944997787475586e+00 -1.769001126289367676e+00 6.262084245681762695e-01 -2.183866977691650391e+00 -5.846468925476074219e+00 -5.846468925476074219e+00 -1.222568273544311523e+00 -1.584992170333862305e+00 4.799466133117675781e-01 4.799466133117675781e-01 -5.846468925476074219e+00 -8.046716451644897461e-01 -8.249624967575073242e-01 2.956100702285766602e-01 -8.629117012023925781e-01 -2.647415161132812500e+00 -1.635711193084716797e+00 -7.489139437675476074e-01 -1.841313481330871582e+00 -8.629117012023925781e-01 -1.157714128494262695e+00 -4.273379325866699219e+00 -1.841313481330871582e+00 -3.398257970809936523e+00
-2.095959595959596022e+00 -4.179172219377070618e+00 -1.356006503105163574e+00 1.270545482635498047e+00 2.541090965270996094e+00 -1.773861050605773926e+00 -1.495649576187133789e+00 -1.834781169891357422e+00 -1.449318885803222656e+00 -1.227963924407958984e+00 -7.627445459365844727e-01 -2.920849561691284180e+00 -1.698831200599670410e+00 6.574621200561523438e-01 -2.111114501953125000e+00 -5.686692237854003906e+00 -5.686692237854003906e+00 -1.162142753601074219e+00 -1.518072128295898438e+00 5.195599794387817383e-01 5.195599794387817383e-01 -5.686692237854003906e+00 -7.704864740371704102e-01 -7.627445459365844727e-01 3.395394086837768555e-01 -8.129277229309082031e-01 -2.544619083404541016e+00 -1.553594112396240234e+00 -7.106592059135437012e-01 -1.773861050605773926e+00 -8.129277229309082031e-01 -1.090275287628173828e+00 -4.161694526672363281e+00 -1.773861050605773926e+00 -3.291973829269409180e+00
-2.045454545454545414e+00 -3.531291087528172223e+00 -1.288301944732666016e+00 1.248239159584045410e+00 2.496478319168090820e+00 -1.706407904624938965e+00 -1.430376529693603516e+00 -1.786166071891784668e+00 -1.351462125778198242e+00 -1.156544208526611328e+00 -7.005261182785034180e-01 -2.842753887176513672e+00 -1.628660798072814941e+00 6.887160539627075195e-01 -2.038361310958862305e+00 -5.526914596557617188e+00 -5.526914596557617188e+00 -1.101716756820678711e+00 -1.451151609420776367e+00 5.591734647750854492e-01 5.591734647750854492e-01 -5.526914596557617188e+00 -7.363011837005615234e-01 -7.005261182785034180e-01 3.834688663482666016e-01 -7.629432678222656250e-01 -2.441823005676269531e+00 -1.471476793289184570e+00 -6.724043488502502441e-01 -1.706407904624938965e+00 -7.629432678222656250e-01 -1.022836208343505859e+00 -4.050009250640869141e+00 -1.706407904624938965e+00 -3.185689210891723633e+00
