# X true mean std 2std sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9 sample_10 sample_11 sample_12 sample_13 sample_14 sample_15 sample_16 sample_17 sample_18 sample_19 sample_20 sample_21 sample_22 sample_23 sample_24 sample_25 sample_26 sample_27 sample_28 sample_29
-2.500000000000000000e+00 -1.194531249999999822e+01 -2.367638826370239258e+00 1.044398188591003418e+00 2.088796377182006836e+00 -2.156896114349365234e+00 -2.437304019927978516e+00 -7.449707984924316406e-01 -2.328409671783447266e+00 -2.034878253936767578e+00 -1.632983326911926270e+00 -2.518912792205810547e+00 -1.748018860816955566e+00 -3.332464694976806641e-01 -1.009674310684204102e+00 -2.843063354492187500e+00 -2.518912792205810547e+00 -2.169189214706420898e+00 -8.317701816558837891e-01 -8.317701816558837891e-01 -2.338914394378662109e+00 -1.862792372703552246e+00 -2.153270959854125977e+00 -2.518912792205810547e+00 -1.826597452163696289e+00 -1.969033241271972656e+00 -2.623739004135131836e+00 -9.079664945602416992e-01 -3.435162782669067383e+00 -2.363057851791381836e+00 -2.328409671783447266e+00 -3.075574874877929688e+00 -3.382514715194702148e+00 -4.449276447296142578e+00 -1.268335103988647461e+00
-2.449494949494949392e+00 -1.069034568669658825e+01 -2.293875694274902344e+00 1.026221632957458496e+00 2.052443265914916992e+00 -2.077841281890869141e+00 -2.354198455810546875e+00 -6.873028278350830078e-01 -2.253947496414184570e+00 -1.955778241157531738e+00 -1.566799521446228027e+00 -2.438616752624511719e+00 -1.695476412773132324e+00 -2.960059642791748047e-01 -9.555416107177734375e-01 -2.749702930450439453e+00 -2.438616752624511719e+00 -2.082431554794311523e+00 -7.795155048370361328e-01 -7.795155048370361328e-01 -2.258003950119018555e+00 -1.792512536048889160e+00 -2.073126316070556641e+00 -2.438616752624511719e+00 -1.769759178161621094e+00 -1.910684108734130859e+00 -2.550780534744262695e+00 -8.777775764465332031e-01 -3.332417726516723633e+00 -2.287527322769165039e+00 -2.253947496414184570e+00 -2.984317302703857422e+00 -3.298901796340942383e+00 -4.343914985656738281e+00 -1.205617666244506836e+00
-2.398989898989898784e+00 -9.523914607490880258e+00 -2.220113039016723633e+00 1.008139848709106445e+00 2.016279697418212891e+00 -1.998786807060241699e+00 -2.271092653274536133e+00 -6.296348571777343750e-01 -2.179485797882080078e+00 -1.876678586006164551e+00 -1.500616192817687988e+00 -2.358321189880371094e+00 -1.642934441566467285e+00 -2.587655782699584961e-01 -9.014093875885009766e-01 -2.656343460083007812e+00 -2.358321189880371094e+00 -1.995674371719360352e+00 -7.272610664367675781e-01 -7.272610664367675781e-01 -2.177093744277954102e+00 -1.722233176231384277e+00 -1.992982149124145508e+00 -2.358321189880371094e+00 -1.712920904159545898e+00 -1.852335453033447266e+00 -2.477822542190551758e+00 -8.475888967514038086e-01 -3.229673624038696289e+00 -2.211997032165527344e+00 -2.179485797882080078e+00 -2.893060207366943359e+00 -3.215289354324340820e+00 -4.238553524017333984e+00 -1.142900466918945312e+00
-2.348484848484848619e+00 -8.442261829536565898e+00 -2.146349906921386719e+00 9.901599287986755371e-01 1.980319857597351074e+00 -1.919731736183166504e+00 -2.187986612319946289e+00 -5.719668865203857422e-01 -2.105023860931396484e+00 -1.797578454017639160e+00 -1.434432625770568848e+00 -2.278025150299072266e+00 -1.590391993522644043e+00 -2.215250730514526367e-01 -8.472769260406494141e-01 -2.562983036041259766e+00 -2.278025150299072266e+00 -1.908916711807250977e+00 -6.750061511993408203e-01 -6.750061511993408203e-01 -2.096183300018310547e+00 -1.651953339576721191e+00 -1.912837743759155273e+00 -2.278025150299072266e+00 -1.656082391738891602e+00 -1.793986320495605469e+00 -2.404864311218261719e+00 -8.173999786376953125e-01 -3.126928567886352539e+00 -2.136466264724731445e+00 -2.105023860931396484e+00 -2.801803112030029297e+00 -3.131676673889160156e+00 -4.133191585540771484e+00 -1.080183029174804688e+00
-2.297979797979798011e+00 -7.441701490136794384e+00 -2.072590112686157227e+00 9.722865223884582520e-01 1.944573044776916504e+00 -1.840677142143249512e+00 -2.104881048202514648e+00 -5.142991542816162109e-01 -2.030562162399291992e+00 -1.718478560447692871e+00 -1.368249058723449707e+00 -2.197729110717773438e+00 -1.537850022315979004e+00 -1.842846870422363281e-01 -7.931447029113769531e-01 -2.469623088836669922e+00 -2.197729110717773438e+00 -1.822159290313720703e+00 -6.227517127990722656e-01 -6.227517127990722656e-01 -2.015273094177246094e+00 -1.581673741340637207e+00 -1.832693338394165039e+00 -2.197729110717773438e+00 -1.599244117736816406e+00 -1.735637664794921875e+00 -2.331906318664550781e+00 -7.872111797332763672e-01 -3.024183988571166992e+00 -2.060935974121093750e+00 -2.030562162399291992e+00 -2.710546016693115234e+00 -3.048064231872558594e+00 -4.027830600738525391e+00 -1.017465829849243164e+00
-2.247474747474747403e+00 -6.518619296744169844e+00 -1.998828291893005371e+00 9.545261859893798828e-01 1.909052371978759766e+00 -1.761622309684753418e+00 -2.021775007247924805e+00 -4.566309452056884766e-01 -1.956099987030029297e+00 -1.639378428459167480e+00 -1.302065491676330566e+00 -2.117433071136474609e+00 -1.485307574272155762e+00 -1.470441818237304688e-01 -7.390122413635253906e-01 -2.376263141632080078e+00 -2.117433071136474609e+00 -1.735401630401611328e+00 -5.704970359802246094e-01 -5.704970359802246094e-01 -1.934362649917602539e+00 -1.511393904685974121e+00 -1.752548933029174805e+00 -2.117433071136474609e+00 -1.542405605316162109e+00 -1.677288532257080078e+00 -2.258947849273681641e+00 -7.570223808288574219e-01 -2.921439409255981445e+00 -1.985405445098876953e+00 -1.956099987030029297e+00 -2.619288444519042969e+00 -2.964451551437377930e+00 -3.922468662261962891e+00 -9.547483921051025391e-01
-2.196969696969696795e+00 -5.669472526960761094e+00 -1.925064682960510254e+00 9.368855953216552734e-01 1.873771190643310547e+00 -1.682567715644836426e+00 -1.938669443130493164e+00 -3.989632129669189453e-01 -1.881638288497924805e+00 -1.560278773307800293e+00 -1.235882163047790527e+00 -2.037137508392333984e+00 -1.432765603065490723e+00 -1.098037958145141602e-01 -6.848800182342529297e-01 -2.282903194427490234e+00 -2.037137508392333984e+00 -1.648644447326660156e+00 -5.182423591613769531e-01 -5.182423591613769531e-01 -1.853452444076538086e+00 -1.441114306449890137e+00 -1.672404527664184570e+00 -2.037137508392333984e+00 -1.485567331314086914e+00 -1.618939876556396484e+00 -2.185989856719970703e+00 -7.268335819244384766e-01 -2.818694829940795898e+00 -1.909875154495239258e+00 -1.881638288497924805e+00 -2.528031826019287109e+00 -2.880839347839355469e+00 -3.817107200622558594e+00 -8.920311927795410156e-01
-2.146464646464646631e+00 -4.890790028538072320e+00 -1.851304292678833008e+00 9.193707704544067383e-01 1.838741540908813477e+00 -1.603512883186340332e+00 -1.855563640594482422e+00 -3.412952423095703125e-01 -1.807176351547241211e+00 -1.481178641319274902e+00 -1.169698357582092285e+00 -1.956841111183166504e+00 -1.380223155021667480e+00 -7.256329059600830078e-02 -6.307475566864013672e-01 -2.189542770385742188e+00 -1.956841111183166504e+00 -1.561886787414550781e+00 -4.659876823425292969e-01 -4.659876823425292969e-01 -1.772541761398315430e+00 -1.370834469795227051e+00 -1.592260122299194336e+00 -1.956841111183166504e+00 -1.428728818893432617e+00 -1.560590744018554688e+00 -2.113031625747680664e+00 -6.966446638107299805e-01 -2.715949773788452148e+00 -1.834344387054443359e+00 -1.807176351547241211e+00 -2.436774253845214844e+00 -2.797226428985595703e+00 -3.711745738983154297e+00 -8.293137550354003906e-01
-2.095959595959596022e+00 -4.179172219377070618e+00 -1.777543902397155762e+00 9.019885659217834473e-01 1.803977131843566895e+00 -1.524458289146423340e+00 -1.772457838058471680e+00 -2.836272716522216797e-01 -1.732714653015136719e+00 -1.402078986167907715e+00 -1.103515028953552246e+00 -1.876545310020446777e+00 -1.327681183815002441e+00 -3.532290458679199219e-02 -5.766153335571289062e-01 -2.096183300018310547e+00 -1.876545310020446777e+00 -1.475129604339599609e+00 -4.137332439422607422e-01 -4.137332439422607422e-01 -1.691631793975830078e+00 -1.300555109977722168e+00 -1.512115716934204102e+00 -1.876545310020446777e+00 -1.371890544891357422e+00 -1.502242088317871094e+00 -2.040073633193969727e+00 -6.664559841156005859e-01 -2.613205671310424805e+00 -1.758814096450805664e+00 -1.732714653015136719e+00 -2.345517158508300781e+00 -2.713614225387573242e+00 -3.606384277343750000e+00 -7.665967941284179688e-01
-2.045454545454545414e+00 -3.531291087528172223e+00 -1.703778028488159180e+00 8.847481608390808105e-01 1.769496321678161621e+00 -1.445403218269348145e+00 -1.689352035522460938e+00 -2.259593009948730469e-01 -1.658252477645874023e+00 -1.322978854179382324e+00 -1.037331223487854004e+00 -1.796249270439147949e+00 -1.275138735771179199e+00 1.917600631713867188e-03 -5.224828720092773438e-01 -2.002822875976562500e+00 -1.796249270439147949e+00 -1.388371944427490234e+00 -3.614783287048339844e-01 -3.614783287048339844e-01 -1.610721111297607422e+00 -1.230275273323059082e+00 -1.431971311569213867e+00 -1.796249270439147949e+00 -1.315052032470703125e+00 -1.443892955780029297e+00 -1.967115402221679688e+00 -6.362670660018920898e-01 -2.510460615158081055e+00 -1.683283567428588867e+00 -1.658252477645874023e+00 -2.254259586334228516e+00 -2.630001544952392578e+00 -3.501022338867187500e+00 -7.038793563842773438e-01
