# X Ytrue noise Y
-2.000000000000000000e+00 -2.999999999999999112e+00 4.967141530112326731e-01 -2.503285846988766217e+00
-1.800000000000000044e+00 -1.186400000000000787e+00 -1.382643011711846559e-01 -1.324664301171185388e+00
-1.300000000000000044e+00 5.742875000000002839e-01 6.476885381006924902e-01 1.221976038100692774e+00
-1.000000000000000000e+00 5.000000000000000000e-01 1.523029856408025351e+00 2.023029856408025573e+00
-8.000000000000000444e-01 2.456000000000000405e-01 -2.341533747233359719e-01 1.144662527666406859e-02
-1.000000000000000056e-01 -5.117125000000000146e-01 -2.341369569491805469e-01 -7.458494569491805892e-01
2.999999999999999889e-01 -1.937125000000000097e-01 1.579212815507391454e+00 1.385500315507391500e+00
1.000000000000000000e+00 2.000000000000000444e+00 7.674347291529087789e-01 2.767434729152909334e+00
1.199999999999999956e+00 2.849599999999999689e+00 -4.694743859349521098e-01 2.380125614065047746e+00
1.800000000000000044e+00 4.873600000000001486e+00 5.425600435859646575e-01 5.416160043585966477e+00
2.000000000000000000e+00 5.000000000000000888e+00 -4.634176928124622563e-01 4.536582307187538632e+00
